,Recent headlines and conversations for SBUX,Polarity
3834,compare sbux mcd ko and pep:sbux worth $150 per share.,0.574
3835,"Americans voted for Trump and these ""radical"" CEOs are voting for possible Radicals????? It's this kind of nonsense that brings us to the conclusion some of these CEOs are ""clowns"" One MORE way to evaluate what stocks you buy!",0.3936
3836,My only red stock today,0.1636
3837,I've got inside info and no ONE is listening. Starbucks is going to crash.. Get out NOW...,0.4558
3838,$SBUX Target Raised by Oppenheimer Holdings Outperform USD 122 » USD 135,-0.3107
3839,"folks that try Starbucks coffee once, they never go back to what they had before",0.4206
3840,$110 by February,0.0141
3841,"Well the time has come to say goodbye to my two favorite whipping boys, Kenema Manson and the Big Rimster as well as Dum Dum in training, pap psychology spewing, Offendable Jon. Sorry boys, you won't have me to be kicked around by for awhile. The wife and I fly out tonight for 17 days in beautiful New Zealand aka New Sea Land aka The Kiwi Paradise.This will be our third trip down there, so try not to let the envy and jealously eat you alive. Kenema you'll always have Orlando and all that sun, sex and salami or whatever it was at the investors conderence. Better get the yacht moving south if you are going to continue to defile my wife Rimster. Yeah, like that ever happened! HAHAHAHAHA! Not to worry though boys. I'm sure Mroeland will keep you in line with that birch rod of besmirchment and I'll be back in a few weeks to inflict my own brand of pain on you fragile psyches. Toodles Noodles and don't forget your caps and mittens in this cold weather boys.",0.9492
3842,"For the record, I'm voting Hark The Sterile Sissy King best of show in the 2016 Kenny Kristmas Karols Kompetition.",0.6512
3843,Considering shorting $SBUX against the box.,-0.2254
3844,nice small AH boost hoping it can go to 59 or back to 60,0.888
3845,I'm up 7% typo..let's go $58,0.1852
3846,pullback coming soon.... just my humble op. good luck all..,0.8263
3847,they won't have to pay the help,0.472
3848,Stay at home stock,0.4667
3849,"Oversold, so on its way back up to its high. Great trading range on this stock. Buy at $59/60 and sell at $69/70. Will Starbucks (SBUX) Beat Estimates Again in Its Next Earnings Report? https://finance.yahoo.com/news/starbucks-sbux-beat-estimates-again-151003000.html",0.916
3850,Big boys want this at $115.00,0.2049
3851,"It's a Sell. My target is 18 a share. Ackman couldn't run JC Penney's or Herbalife let alone a Hot Dog stand. It's definitely going lower, way lower.",-0.2285
3852,"The employee walk out at a Dollar General in Maine is all over the internet tonight. Many retailers could face Unionization, because of low pay, rising cost of living and being over-worked. I see this at DLTR all the time. I wrote DLTR several times in 2020 asking that they set up a tip jar at the door so we customers can show our appreciation for the cashiers and all employees. Nothing came of it.",0.5791
3853,No customer for the next 3 months. Who cares FED supply money to starbuckLet's go SBUX higher everyday.Can i get money too FED . If i get 100000 from FED and i invest SBUX and everyday it went up $2 and so i can earn everyday $2000 and for the month $40000 and sit idle in home.,-0.2428
3854,So do we still get dividend?,0.24
3855,$93-$95 after earnings,0.0227
3856,"God gives me SBUX this morning. You got to know that SBUX always play lowball guideline all the time, plus the barista wrote wrong name on the cup, BIG DEAL! I bought when SBUX dropped over 3 points. I believe that SBUX will test new high because the market wants to go higher, even though Trump works so hard on tariffs.",0.8572
3857,Went into a Starbucks in New Haven this morning. The line for the restrooms was longer than the line to purchase coffee...LOL.,0.3474
3858,Starbucks announcment soon going to deliver all over the USA. this 80 dollar stock easy.,0.5294
3859,"8400 people in California being monitored for Corona Virus. South Korea, Japan China have the most locations outside the U.S. California has the most locations in the U.S. Starbucks well off its low for the year. This is not going to end well.",-0.2632
3860,"COST analysis (The dangers of shorting COST at a low point)(Current price - Shorted price) = loss per share on short position($192.26 - $113.00) = $79.29/per share loss. Multiply -$79.26/share x total number of imaginary shares shorted.And that, my friends, is how you seduce the married ladies of the World onto you imaginary yacht in the south of France and then studiously avoid any and all references to the fated Costco short.",-0.9142
3861,Starbucks cloud  drink is so good ,0.3107
3862,Dunkins crowded while sbux empty.,-0.2876
3863,We are yet to see that sweet short squeeze..hope it's coming soon..,0.0188
3864,"time for all the tattooed blue and pink haired baristas to get a dose of reality. SBUX is no longer the best place to go. stock however is fairly priced until we start putting in wages, rising oil and rising dollar. this could fall to $45 but hard to see it much lower unless currencies really hit earnings. currently at 16-17 PE",0.1418
3865,"Shortage of monkey dung will require $SBUX to use coal or natural gas to roast their beans. Going to hurt margins and Howard Schultz will be #$%$ about the environmental impact, I?d go long $DNKN",0.6795
3866,"SBUX CEO Schultz said he doesn't understand Trump tax cut, that means SBUX business very good, SBUX doesn't need help, this is not political, it's business .his words are very happy,",0.6529
3867,after hours looking good ..,0.3954
3868,"Tsk...tsk....tsk.... Rodrigo - it’s been a week, the market is down so far this morning but alas, SBUX just keeps going up. Swing and a miss!!",-0.2761
3869,All snow plow drivers at Dunkin. They know the better coffee.,0.4931
3870,buy. Fred. stock invest. us. strong buy 6.20 near term 12.00 to 18.00 profits,0.8627
3871,Oh little rimster. Sailor suited lord of the high seas. What has happened to the mighty Dumpn? Seems like just a short time ago you were getting cocky and wondering what the poor people were doing. I don't think you have to axe that anymore do you son?,-0.1843
3872,"Grimmikins, thank you very much for the $7 dividend from Costco. Very much appreciated.",0.7848
3873,it sounds like it was a scam and guilty liberal sbux fell for it. they opened the door for more scams.,-0.8323
3874,CORPORAL FRUITCAKE INFORNS BOARD HE LIKES HIS NEW NAME VERY FITTING!!!!!!!!!!,0.7836
3875,will rise after,-0.1789
3876,Lousy coffee & high price.,-0.2692
3877,Reminder. Italy 1000 coronavirus cases In a FLASH,-0.7353
3878,"Had a drink and sandwich at Starbucks today. Many ppl in the store buying drinks, foods . Very good sign. International expansion is going well...China, Japan and many other countries in Asia. Will go higher",0.9055
3879,DC ngr councilman blames snow on the Rothschilds.,-0.5289
3880,Buying back in has already started. Told you shorts not to get your hopes up. Professor says not to buy here...some professor. Meanwhile analysts think otherwise. People who lean on the P/E like Professor are completely missing out on the fact the company right now has a large chunk of their stores around the world closed down and that there is lots of potential value still to be unlocked. We aren't getting a mean reversion anytime soon. Not to mention SBUX has no formidable competition to speak of when it comes to coffee. Only an idiot can't see this.,0.5421
3881,"Nothing to do with politics and everything to do with dollars and sense. I believe SBUX has gotten too far ahead of itself since mid March. Makes no sense to me that PPS is at/near an historical high while coming out of a pandemic. Sold nearly 1,000 shares and hope to buy back again at a lower price. GLTA",0.8731
3882,"Store closure, CEO out, CFO out...next up is Shareholder lawsuits, followed by “accounting issues” and the collapse continues.",-0.1554
3883,What's going on with the Yahoo format. It sux.,-0.1879
3884,travelled to SE Asia in august recently....saw many Starbucks and many people buying coffee and stuff. I believe their international business is doing well,0.7211
3885,perfect short,0.1391
3886,The problem with Starbucks has nothing to do with politics; actually I admire the company that they try to provide good benefits to the workers; however they HAVE STOPPED GROWING and that is deadly as a stock; they are going to be in the penalty box for the next two years. If your horizon is super long stay with the stock but personally I can find thousands of better companies to put my money,0.9377
3887,"Really don't know to much about company financials just enough to get me in trouble. I had a little extra cash to play so I bought this stock (2,343 shares) back in July last year when it hit rock bottom because of all the negative news coverage , thinking it would most likely bounce back at least 10 to 15 percent and I would take my gains and run. I had a little scare in December and almost sold but I'm still hanging strong, never imagine it would almost double in a year. Now all I worry about these days is paying the dam taxes on this monster. I hope many people are enjoying the same situation....and remember haters gonna hate, glad I didn't listen.",0.9429
3888,"Testing the high of $99 next week! All stocks are up only on hopes not about the real economy!! If unemployment stays under 20% the market will keep on pumping higher into 30,000 on the Dow !! They keep printing fake money gold price will break out to $2500! Let it fly !!",0.5397
3889,134 P/E and rev growth of 11%? nah I'm good,0.5969
3890,Drive thru will keep going but not the bistro!,0.3344
3891,Anyone think this will split soon?,0.1213
3892,"sorry guys i just bought this,so it will go down",-0.2872
3893,nice,0.4215
3894,"Today, all of the major stock indexes are declining sharply lower falling by more than 1.0 percent on the session. This decline comes after a huge rally that started on December 26, 2018 and lead to a near term overbought condition. Whenever you see a big broad based decline such as today it is important to look for stocks that are holding up in this sell off. A few stocks that are trading higher today include Starbucks Corp (NASDAQ:SBUX), McDonalds Corp (NYSE:MCD) and Chipotle Mexican Grill Inc (NYSE:CMG). The one thing these stocks have in common is that they are all restaurant stocks. Now if these market indexes decline further over the next few days or weeks it will be important to see how these key stocks hold up over that time period. In fact, the restaurant sector should be watched closely. These stocks could emerge as the leaders in the next rally.",0.7923
3895,Shorts better take cover. Starbucks Beats Analysts’ Fourth-Quarter EPS Expectations https://marketrealist.com/2018/11/starbucks-beats-analysts-fourth-quarter-eps-expectations?utm_source=yahoo&utm_medium=feed&yptr=yahoo,0.4593
3896,if tomorrow is a market up day we see $81.75Down days at worst we see $74,-0.4593
3897,"Can we say ""Down SixBux"" today?Let this be a lesson to every CEO out there, focus on running your business, stop being a politician and #$%$ off half of the country. If you want to be one, go to Washington instead.",0.6554
3898,Go to your local coffee shop. SBUX blows hard,0.5699
3899,High pe sell,0.3511
3900,Buffett said he was not buying equities because he did not find anything compelling and compared 1929 to this recession and it took until 1954 to recover.,0.6103
3901,"This end of the quarter window dressing, sell your losers. Next week buyback will start, they announced cfo today to get out bad news before end of quarter. Easily above 50 next week, great longterm entry point.",0.7076
3902,sbux days of above $80 per share in my opinion. The market is vastly underestimating the damagin effect of corona virus at least for the next 3 to 6 months.,0.717
3903,Starbucks operates as the biggest major international franchise of washroom service providers worldwide. Its leading renowned franchise network of political washrooms are available for both men and women to use at anytime. It also operates a barista service.,0.92
3904,"P/E of 68??? When the bottom falls out, you'll better cash out quick. Starbucks' ttm P/E has historically been 30 =/- 2, while their forward P/E has historically been 24 =/- 2. Next quarter their ttm EPS will go even lower, and it will be 2 years before their ttm EPS gets back to $3.",-0.6171
3905,The one and only reason this most recent kerfluffle is a thing is that it was recorded and put on the internet for all to see. It's like viewing the process to make sausage. This is a wonderful model for the shakedown industry. Just like insurance fraud only more insidious.,0.8048
3906,"Priced for perfection , so they missed that",0.4039
3907,Powerful move.GLA.,0.4215
3908,"Just watch and see ... when earning post, The stock will shoot up like tsla (lol ok not quite like that) but still lots of money to be made here. People can’t survive without their $SBUX !",0.6638
3909,does anyone have an update on dnkn stock today?,0.3063
3910,"Technology has been ""momentum"" driven for a long time. Also; once SBUX problems are fixed (if they are ever fixed) than it will be too late. There are big premiums to be paid for stocks that have ""sunny forcasts"" and even those are not guaranteed...",0.7552
3911,Rapper Common training Starbucks employees about anti bias? Doesnt he hate Donald Trump and All Republicans. He is very opinionated and controversial to be teaching anti bias. Is Colleen Kapernick in Starbucks next training session?,-0.8242
3912,A lot of $ for sugar water.,-0.0749
3913,This going to 40 soon,0.0194
3914,"https://www.cnbc.com/2018/06/22/starbucks-has-a-void-in-innovation-and-healthy-beverages-wont-turn-the-tide.html?__source=yahoo%7Cfinance%7Cheadline%7Cstory%7C&par=yahoo&yptr=yahooWhy Starbucks' push for 'better for you' drinks may not be enough to turn around weak sales, traffic",0.1969
3915,77.48 is what needs to break today then 77.94. It's wide up into 78+ with any buying pressure.,0.0303
3916,Well Mroeland. It looks like we've finally induced a MAD MANSON MELTDOWN! Just as you predicted!,-0.3862
3917,You have no idea how many travellers were ordered during the 12 days of Christmas.This is going to look really good!,0.2396
3918,Starbucks 5-1 Split Coming which should make 6 Billion shares outstanding!!!,0.8428
3919,"SBUX, the company that supports hidden cells coming in .",0.1608
3920,Does this go down after dividend?,-0.1495
3921,Does $SBUX really trade at a 39/PE? Talk about insanity. Coffee company trades at high growth tech valuation.,0.2433
3922,SBUX should be renamed white guilt incorporated.,-0.1872
3923,CEO focused on political distraction to cover his ineptness at managing the numbers. Where is the board on this one?,0.3799
3924,The party’s over.,-0.1215
3925,National Starbucks boycotting! Everyone I know is talking about stop going to buy this anti America over priced #$%$ coffee. sold my shares.,-0.0964
3926,A move down soon. This isn't good entry point.,-0.4744
3927,10.000 shares bought at 51,0.29
3928,"A good day for market bears, not so good for SBUX bears. Yes SBUX went down, on some volume today, but it fell at half the rate of the S&P 500. SPX pierced the 15 DMA, and SBUX was above it for a while today but ultimately closed quite a way away. SBUX is 4.25% above the 50 DMA, and SPX is just .25% more. If these lines are crosses look out below. I doubt ther will be a challenge tomorrow, but perhaps Friday. News? SBUX got a compliment from Jefferies. Perhaps that is why it held up so well today. Still short at least until it challenges the 50 DMA. If it bounces off I will cover and take a small gain. If it puches through I will take a large gain in the neighborhood of $66.00.",0.9698
3929,Any news yet??,0.205
3930,"Shares are plunging, stop price is diminishing, and value is lost in dilution. It will only get worse from here. Stay away at all costs from satanicsucks.",-0.4805
3931,$50 would be a very reasonable price for SBUX right now...fair value.,0.471
3932,$SBUX entering into new market to merge their interest in bathrooms with coffee. They will offer coffee enemas at a fixed price of $20 to improve the health of their customers. A “hot shot” will achieve the stated objective followed by an “iced shot” to relieve any temporary inflammation. Should improve margins and allow for the addition of multiple restrooms that can double as enema rooms. These guys can make money out of the ****storm they created recently. No word on insurance reimbursement in the USA. Gerbil removal will be a $99 charge.,0.9745
3933,"I believe there are operational issues at Starbucks costing the company about 1/2 billion dollars of bottom line. Specifically, faulty equipment is making them use 3x more coffee on espresso drinks, costing loyalty, and redundant labor, not to mention all other direct costs of electric, water, cups, etc. if just 1/3 of the store have older faulty equipment, the cost to bottom line is between 350 and 700 million dollars. Because of the upgrade cycle at Starbucks, this cycle will continue for years.",0.1132
3934,Adding on any weakness.,-0.3799
3935,"New first lady to make an example of former cyber bully. I fully expect Mrs. Trump to hold KCM out as an example of what can happen to a cyber bully. Every cyber bully will eventually have their own Chatham Branch incident, Melania will remind us. Be nice and respectful online, or you too will feel the sting of your own self pepper spraying.",0.0875
3936,"The far right threatened boycotts of DIS, SBUX and TGT a couple years back... To those who did and are still reading this message board, please reply so I can ask you to threaten boycotts of the others stocks I own. BTW... Thank you!#DIS, #SBUX, #TGT",0.3094
3937,Run,0.2066
3938,"Will There Be Condequences Kenneth?. For my support of Starbucks and CEO Schultz? Can I expect a visit from the so called People's Army, aka Dumb Peoples Army or DPA?",0.4014
3939,Who needs REPUBLICANS ?,0.0363
3940,It’s amazing the talking heads refuse to even consider that this might be due to social issues,0.5376
3941,"I was wondering if $DNKN was going to let non customers in to use the lobby and bathrooms. My local manager said no, they were going to refer them to $SBUX",0.2055
3942,there's Always a Long Line @SBUX!!! GOOD 4 INVESTORS!!!,0.8467
3943,Starbucks has 16.3 million reward users and climbing that's powerful strong growth and getting right poeple this is great stock proformance model,0.9656
3944,P.S only reason it’s $0.25 worth of coffee is because of the fair trade agreement!,0.7963
3945,SBUX back to 5 bucks like 2008?Whose going there now? Not me,0.5794
3946,tmw is double star day,0.5552
3947,Starbucks are always packed,0.0656
3948,If you don't want coffee meet at the park,0.2974
3949,Long lines at ours in Tampa,0.4129
3950,Good day to short SBUX or buy puts. They slightly up the new stores before 2022 in China. I still think tea cannot be replaced by coffee in China. And Luckin will keep kicking Starbucks' #$%$. The management needs to come up with something to excite the stock holders. Today is the day but they will fail.,0.2239
3951,"BUY AND HOLD, THANK ME LATER ROUMD XMAS TIME",0.792
3952,"Jane, you were a cheerleader here. You had all positive comments here and now your jumping ship?",0.7803
3953,"Kenneth, your little cartoons aside.........your claim to have ""shut my mouth"".......blah, blah, blah.........You do realize that just because you won't engage in conversation, doesn't mean that you've muzzled your opponent, right?Now, could you explain your call on JNUG and tell me about the impending dividend cut in TD?Nah, didn't think so.Post some more cartoons and respond to yourself in the third person, strange lonely old dude.",-0.6179
3954,"Negative net value, too much expansion/debt, too expensive, fad over, down to -0- soon.",-0.3698
3955,Trying to think of one example in which getting political helped the shareholders......anyone?,-0.0446
3956,More hunters at DNKN,-0.0068
3957,The only thing I don't like about starbucks is the line is always to long just bought another 1000 shares on the dip have owned since 2014 have doubled my money since these are free.,0.8845
3958,Your smoking straight up rocks if your buying at these prices...,0.7618
3959,"If people can buy a 6 pack of beer and eat a big Mac at Mcdonalds, I am sure people will always be able to go buy a Starbucks coffee",0.9098
3960,$90 here we come!!!,0.2297
3961,I’m looking forward to the newly designed U.S. stores.,-0.2605
3962,SBUX just whipping DUMPN's tail today. Lil Rimster must feel like Charlie Rose. The jig is up lil fella. Down you go!,0.4583
3963,Wait till they figure out that Starbucks is not an essential business. Start buying below 55,0.5528
3964,"Sanders kicked out of restaurant because of who she works for.... what a nasty precedent set... so no matter what background the person is you can kick them out if you just don't like their boss. Starbucks can use that excuse: ""we didnt kick them out because they were loafing in our restaurant it was because we didn't like who they work for.""",0.0282
3965,this stock is worth 35,0.4094
3966,I guess you can't make as much running a homeless shelter as you can running a business,0.4913
3967,Pure over-reaction! I am in and long.,0.4682
3968,Trying to decide if I should sell.,0.2308
3969,just comparing a cup of black coffee from Dunkin Donuts to a cup of black coffee from Starbucks and you will see Starbucks wins every time. that is if you like a strong and Rich cup of coffee!,0.9675
3970,What does Bathe Boy mean anyways?,0.2336
3971,"Oh Kenneth Boy, are you going to join us in our little yule tide end of the year celebration? Come on over and have some egg nog and cookies boy. Rim is here and he brought some shrimp on a stick. Ya never know, we might even sing a few karols. C'mon Kenny, you don't wanna miss this. You can even bring your pet goat Leroy.",0.9528
3972,sbux in great position as a downturn in the world economy is starting,0.4394
3973,Passed by a Starbucks Sunday afternoon and the drive thru line was looooong,0.4729
3974,Rock solid!!!,0.7114
3975,So now I can go ask to use the locked bathrooms without buying anything. If they don’t let me I can sue! The homeless can all now hang out there without buying and taking a bath in the bathrooms.,0.7841
3976,What's up with those wacked-out over paid coffee makers refusing service to cops? Most of these punks are lucky to have a job that pays so we'll with benefits.,0.6134
3977,Long SBUX!,0.4986
3978,Sbux huge reversal up to minimum 55 can go vertical to 70 and higher there is more news to follow . Infinity reversal up,0.5298
3979,"It moves down no matter how the market goes, I am so mad about this stock",-0.7076
3980,"this is dead money, until they raise the dividend again.",-0.3995
3981,"Sell advertising in their bathrooms, since their business model is running a franchise of bathrooms.",0.7323
3982,Earnings next week will be critical to direction of the stock. I believe the analysts are too high with there estimates and I think Sbux will crater after earnings. It will create a good long term buying opportunity. My 2 cents.,0.9094
3983,this new CEO is so square stock goes down to 45 before replacing him,0.2441
3984,"SBUX executives are destroying its own company from within. First it was preferential treatment to illegals, then having innocent people arrested, then a place for the homeless and druggies to loiter. Why haven't the entire executive team (including board of directors) been fired?",-0.4187
3985,Dunkin superior coffee to starshits.,0.5623
3986,Upgrade to 107,0.144
3987,Great results and great dividend raise!,0.899
3988,Great Call!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.7405
3989,After hours looking good,0.3954
3990,now deatholl rise to about 136 virus this getting alotlot worst and strongerbe warned warned seethis crashingbelow $65 in 2020when you shut down haalf your store in china and could do a complete shut down in china coming days to week this will diffently hurt your revenue and earning number ii the coming q1q2q3 in 2020,-0.8889
3991,bizarre price action on a solid market day.. wth?,-0.5652
3992,I wonder if the $SBUX employees are feeling good about their stock options. Baristas might go on strike. Power to the people who don't buy anything. Long $DNKN,0.7411
3993,Great dividend growth and stock appreciation. Reinvesting my dividend has proven to be a wise move.,0.9454
3994,Bought in 2007.. was down 75% for 3 yrs. Now up over 600%. Just buy it you have long horizon and don’t look at it.,0.5385
3995,"will be interesting to see what they end up at tmrw. If it's negative news, this will probably drop a good stone. Then it will go back up. people are addicted to coffee.",0.4698
3996,Earnings better go better then Intels today.. Good revenue and still got battered in after hours.,0.8306
3997,Wonder when they'll re-open for inside seating. Around Chicago they still have a no inside seat policy.,-0.3557
3998,news came out .. reccession b.s. fear is gone for 2020..rest comfortably tonight cz Starbucks will be fine,-0.3161
3999,"Chinese people are a lot poorer than Americans on the average. I'm not an investor yet, but I don't think quarters and dimes in China would make a big difference",0.4624
4000,"Lol, classic. Y'all shorters are gonna lose your money, and those who went long on the slip will laugh it up. Keep the shorting fellas, I wanna make more money. #TrumpIsSecretlyGay",0.6487
4001,will China Joe really inact a 100 day lock down ie marshal Law ???how will that be for SBUX profits ?,0.824
4002,SBUX remains and will be a strong company,0.4665
4003,Looks like boycott is workingEasy short,-0.4508
4004,"i mean yes there are short term issues here, but there is also the balance sheet. They are loaded with debt. they're very profitable so not a huge issue but i would still be cautious of buying a coffee shop that trades around 4x revenue",0.8658
4005,sbux is green but unermarket. Monday will start red and finish green. LET'S GO UP,-0.2109
4006,I think I will have a Grande please!,0.3424
4007,Let the boycott of Starbucks begin. Trending on Twitter.,-0.17
4008,Declares a loss and the price go's up???,-0.1911
4009,is this a good stock to buy,0.6417
4010,Starbucks Price Target Raised to $81.00/Share From $75.00 by Morgan Stanley yesterday. Well I guess that means were over valued here lol,0.8396
4011,Downgrades will take this back to $62,-0.2536
4012,Love Starbucks drinks and the cheese danish and egg bites and lemon loaf,0.632
4013,I told you guys Modigliani technical analysis shows 48 a strong support line,0.7484
4014,If they know anything guys they are keep it to themselves... I see no truth to the rumours from this lot,0.4051
4015,Went short after hrs. Too many unknowns with this Woke pajama boy company,-0.1452
4016,Broke 50 like I predicted; next stop 48,-0.3678
4017,All the while going up. hmmm. How long will the boycott last?,0.2504
4018,"A truly evil company. I like it. Waiting for a pull back. They have exelent tasting coffee and snacks, second to none. The driveways are always full here. Who else here likes Starbucks Coffee ?",0.7752
4019,"Hey, ""Lekes mees askes you soomeseen"" (Maria Bataromo talks like Popeye). How much is a large coffee with 15 add-ons? And, 30 add-ons?",0.6607
4020,Nobody ever drank beer from a straw. Just sayin.,0.0966
4021,Strong support at 200ma,0.7161
4022,Pricier brews and premium food will make SBUX SOAR,0.4727
4023,"Schultzcharged with greed and avarice , found guilty",-0.6392
4024,way over valued,0.3498
4025,Blue Horse Shoe Loves RRGB,0.4401
4026,"the PE ratio will come down quickly when the stores open for inside seating and ""impulse"". buying",0.0396
4027,Does this ever go up 2 days in a row? What trash. Gave up most of yesterday mornings gains by the afternoon and will give back the rest this morning.,0.8606
4028,A couple days at 48 and then dive to 45; advanced Modigliani technical analysis will show this pattern,-0.4266
4029,Trump had SBUX in the white house today I repeat Trump had SBUX in the white house!,-0.2866
4030,SBUX has special Christmas Blend and a Christmas Reserve coffees. DNKN has insipid coffee only drunk by Hindoo cab drivers and freeloading cops.,-0.0881
4031,funny how some shorty shorts still have hope for this stock to go down ..while SBUX is gonna be the next wholefoods to be aquired soon !,0.8179
4032,just to let u know its forming a cup I think it's not fully there yet but only half there this might be its lowest it will go for a long time!!!,0.7885
4033,"(SBUX) is a simple coffee shop that serves most of their product from frozen,and 6o% of (SBUX)coffee shop will not survive in the next 6 months Booyah.",0.7959
4034,headed to $20,-0.0046
4035,You know a stock is about to go up when all these shorts come out of nowhere talking smack lol!,0.7671
4036,sbux holding tooo nicely ....booosting power to sky rocket,0.9353
4037,SOLD. Out of Starbucks.,0.141
4038,There’s lines at all the SBUX around here even at 630 in the morning when I’m on my way to work.,-0.1758
4039,all the sbux i see have line ups around the block at the drive thruwhy dont they have take out walk away at the front door. order online wait in line. just like the drive thru but on foot,0.5262
4040,"Notice the 'gap down' (candlestick charting) back in mid-Feb. Though the gap or window has been filled/closed since, that gap now establishes 'resistance' to future upward moves. This latest #$%$ in Philly may solidify that resistance, as 'corporate' has now opened their doors to any number of non-paying squatters at the inconvenience of those who actually fill the coffers.",0.1252
4041,"To take advantage of these sales season, bought 2 $SBUX. I believe that this company have potencial to growth.",0.6585
4042,They have stopped buying back their stock - that's as good as issuing a sell rec!but of course they still want retail to buy. what a scam. buy all you can at these prices and good luck.,0.8898
4043,Nice chill morning for the shorts to go for a run,0.6362
4044,what's wrong with this pozz?,-0.4265
4045,my coffee at starbucks is less than 3 dollars,0.1297
4046,"Man ive been waiting for long for a pullback, i should of simply jumped in a long time ago... SBUX is a money printing machine with there over priced coffees",0.8503
4047,Keto,0.0
4048,"Bad and over priced coffee, save yourself $1200 go to McDonalds. Better and cheaper.",0.4995
4049,Why is everyone on this thread so angry it’s going up? Lol,0.1863
4050,"A question for the accountants here about leverage ratio (total debt/total assets). If I read their balance statements correctly, this company is primarily using debt financing...in fact for the year ending in 2018 their leverage is a whopping 95%. Can someone explain why that is not terrible particularly during a recession?",-0.7997
4051,"SBUX can rise to $100 per share in 12months, because it's sales can continue growth, only SBUX have strong business in Brooklyn New York, others business too weak, SBUX business remodel have been finished in December quarter 2017,it's business can continue growth in remodel time ( Amazon's effort) SO SBUX earnings can keeping continue growth after remodeled, don't sell your SBUX, strong buy it,",0.9403
4052,"Starbucks to buy into Aurora? I'm hearing a rumor of this! Think coffee and bud at the same shop. Relax, take a sip. Take a puff. All goooodddd.",0.9021
4053,My advice would be to drop SBUX and pick it up again a few weeks.1) Their earnings are most likely going to miss2) Fewer customers3) Closed stores4) Poor communicationCaffeine is a drug. You don't mess with people's drugs or you will get slapped.I am currently mad at Starbucks because they closed without telling me. I need this caffeine to keep me going at my job.I never invest in a company I myself am mad at as a customer. haha ;-),-0.3038
4054,Nice consolidation after it's move higher. Will go back to $100 range...,0.6797
4055,Mid 80's coming soon...,0.0389
4056,Is this the dip we have been waiting for lol. Get in before we hit $90,0.6088
4057,Question this stock seems to expensive at this price do you agree,0.4505
4058,time for a split for SBUX??????,0.4009
4059,Dunkin up double that of starshits.Dunkin the new american coffee.,0.5205
4060,Any explanation for the ceo selling 9m worth of shares??,0.5273
4061,"Stock is down 1%, did socialist Howard open his mouth again?",0.3974
4062,"I talked to my sister and we're going to have the family reunion at Starbucks this year. They have tables, A/C and the restrooms are close. They clean up after the party.",0.6894
4063,"With Panera rumored to be up for sale, I always thought that a merger with Starbucks would be a great fit since SBUX still hasn't gotten its food act together. I'm sure it would be a pricey transaction but does anyone see it as being financially feasible?",0.8302
4064,How muchis sbux dividen pay,-0.1033
4065,I've been boycotting Starsucks ever since Howie decided to alienate conservative customers. I'm never ever going back.,-0.1383
4066,Just watched a super interesting video on YouTube talking about how Starbucks is effectively a bank. Definitely worth a watch if you are an investor https://youtu.be/mr039xnco-8,0.9506
4067,Sorry made mistake. NY Socialist lady is 28 not 20,-0.0689
4068,This weekend stbux offered employees 30 day paid leave if they do not want to work during this crisis. They will not have enough people to man the ship come tomorrow,-0.0334
4069,Looks like earnings was seen as a vente cup of nothing.,0.6957
4070,POSTS CENSORED ON SBUX REFUSAL TO PSAY TAXES,-0.3637
4071,"in USA, free coffee didn't hurt sbux, so I don't think high technology machines coffee can hurt sbux, LK will be temporary",0.8194
4072,$SBUX has the possibility to drop into the $40's this quarter.,-0.3303
4073,"Shorts, it’s gonna HURT!",-0.6247
4074,Friday Bloody Friday for DNKN. Where R U Big Rimster? Hiding under the bed? HAHAHAHAHAHA,-0.6764
4075,Some one please tell me how is it possible that this market keeps holding up? Are investors totally clueless as to what’s really happening out there??,0.7781
4076,First day back to School.Coffee Business is busy as all get out!!!!,0.4932
4077,Philipit’s a broken company that’s become political with no further growth or price increases can you spend $8.00 for a coffee it already cost you $5.00 also they have competition in China their heaviest invested expansion they lost their CEO because he wants to be president like Trump the new CEO is a lame and clueless safest short on the market,0.4121
4078,Opening over 65 as it is in post market should setup for a run !,0.3332
4079,"Starbucks stock is up on ""news of massive protests and boycotts""",-0.0748
4080,The free stuff army is coming to Starbux.,0.7135
4081,"$SBUX canceled the deal with $SQ. They have no terminals and their payment system looks like in 1980 s lol Moreover, their baristas do not get instantaneous Tips at the point of sale.",0.6128
4082,"Next Stop . $95.00 , All Aboard , Maybe Monday , Or Tuesday , GLTA ,",0.3478
4083,But has that POS Starbucks employee been fired yet?https://www-m.cnn.com/2019/07/08/us/starbucks-meets-with-arizona-police/index.html?r=https%3A%2F%2Fwww.cnn.com%2F,-0.7508
4084,"Why the sharp jump up just after hours? If it jumped up during business hours , I could believe it was due to store openings news.But it is happening just after the close. This is something dishonest.",-0.0262
4085,I bet they start limiting your internet connection to 1 hr soon. Sad thing is I don't want there people migrating to other stores with better coffee.,0.0723
4086,"Happy MLK Day. All Black coffee 1/2 price,",0.3278
4087,pump and pump though customer is not there and guaranteed next 3 months customers will be less. But who cares just pump the stock price,0.8349
