,Recent headlines and conversations for LOW,Polarity
1959,wow will close $87 today!,0.582
1960,DAMN CEO CANT KEEP THE DAMN THING UP HE DUM,-0.5039
1961,Wake up People. Vaccine is here and people will be coming out of their homes next year more and more. As for the price coming down it is good for the long run and should be a good entry point for anyone interested to be a long holder of this blue chip stock. Not time to panic but to add more in my humble opinion.,0.926
1962,"LOW problems stem from basic corporate move enacted a few years ago.... Managers can pocket large bonus's based on labor reduction costs over the year+ bonus checks. Unfortunately that leads to fewer full time and more & more part time don't give a #$%$ employees. My wife has been there 11 years. Just last week, Corporate showed up for a ""surprise"" inspection. 3 departments were at lunch at the same time, leaving 3 to cover for 8....no permission from heads...they just left. They also heard an employee tell a customer ""sorry I can't help you, that's not my job"" walk off and leave. Customer left store. [employee fired on spot] Manager {after 24 yrs of service, no longer employed]....All this is corporate overreaction. The manger has always been on the floor hands on guy. This type of policy is ruining the Lowes brand. used to be go to electrical dept, someone with experience[retired electrician] waited on you , same for most dept's. Now just a bunch of wage collecting hooligans.Lower needs to get back to basics. They still lead in appliances and elect fixtures. It's just been going downhill since some corporate moron decided to steer the ship in a ""progressive"" direction.Builders and remodelers want quick dependable service and knowledgeable employees, if the don't find that...they will go elsewhere.",-0.8867
1963,"I confirm those of you that are saying almost sure thing for Lowes to outperform. My brother-in-law is manager of the Springfield, MO branch and he says their store alone is at all-time annual selling profits to date since 2006.",0.8999
1964,"The local Lowes has announced a 20% restocking fee for all returned special order merchandise. Is this true for all stores? If so, that is not in line with trying to attract the pros. Pros know that when purchasing material for a job, you get 10% more than your estimate to allow for waste. For material like flooring which is often ordered, it's a slap in the face.",0.9305
1965,wow! guess folks tired of this  tortoise.,0.4119
1966,"The upside potential for LOW just got a whole lot more interesting. Yo you should really check out aw-esomeSTOCKS, they seem on point with their stocks.",0.746
1967,"Wish I bought more this morning, damn",0.0467
1968,$1.41 compared to $1.35/share,-0.0046
1969,HD and LOW are to home improvement what Visa and MC are to credit. Own both and charge on > >....,0.8117
1970,How is this price so low? Based on avg FCF valuation alone they are currently undervalued. They have enough assets to clear all liabilities and then some. This is a great buy.,0.8201
1971,"I went to Lowes to buy a washer and dryer, could not get help so went to Home Depot. I went to Lowes for a real Christmas tree, they all looked dead.",0.331
1972,why is it dropping? any ideas? thoughts?,0.2111
1973,"Shouldn’t be where it’s at. Jumped due to closing a chain of stores they bought, their Lowes stores performance was absolutely weak. No one deserves a gain on this $hit stock.",0.2184
1974,Climbing up!,0.5876
1975,"There's just something nice about seeing a holding go above another $10 threshold. My unsubstantiated theory is that $90 stocks don't stay that way for long; they tend to make a quick move upwards to $100. I know it's a stupid theory, but so what. Best of luck LOW longs...BTW... I'm very glad I decided to hold all my shares after considering selling a portion of my position this past summer. I've owned my shares for 10 years + and just couldn't bring myself to part with them. I still love my other consumer related holdings as well, including AAPL, DIS, MA, SBUX, TGT, TSCO, V and yes AMZN. 2018 might be a bit more difficult and tough decisions to come....",0.9883
1976,"LOWES's Shelves were empty in Florida, all the generators sold...http://nypost.com/2017/09/09/man-gives-last-generator-at-lowes-to-stranger-ahead-of-irma/",0.2863
1977,GOT TO TAKE SOME PROFIT OFF TABLE,0.4952
1978,SELL SELL SELL! idiot who ran JCPenney into the ground will do the same at Lowe’s!!!,0.3212
1979,"All time high in LOW, it's got the mojo fo' mo'. Don't be dumb, you let your winners run...",0.6571
1980,Can we get a mid day pop to 103 to 105???,0.3003
1981,Cramer says Lowe’s still has a lot of room to run. It’s a buy even at this price,0.4954
1982,"Memorial Day Shoppers, where you at?",0.1101
1983,"Lowes drastically cutting paid scale. Real good workers will be leaving without notice, imo. Charlotte TV station video link. https://www.wsoctv.com/news/local/lowes-employee-fears-financial-future-after-change-compensation-structure/IYIZETN56FHIHKZ5VW3V6VYCLU/",0.564
1984,Lowes recovering fast. Why? Value company that is making money.,0.3062
1985,lowes are starting to close some stores no real cashiers anymore not good,0.2387
1986,yowza... LOW is leading the pack of my 52 companies IRA ports today... not too shabby! go LOW !,0.7105
1987,"It looks like CEO have no ability to manage multiple hundreds of stores , his only ability is to shut them down and claim that he is saving the Company. HD should be the ones shutting down stores. and they are not. If we have a booming economy as Wall Street has been telling us then why close stores when we are booming? This doesn't make sense or the truth is coming out that the economy is not what it is being said about it booming. Reality is coming and it would be too late when Trump and Wall Street set up this great nation for a recession or depression. This time it would be America alone and no nation would come to save the global economies. Trade wars ends up in death.",0.2387
1988,Good time to open a new position,0.5902
1989,"What a huge disappointment on what is happening to Lowes stock when parking lot is like the circus just arrived. Hard to figure out this market. Home building is on the rise, also.",0.7754
1990,Keybanc,0.0
1991,Sold all my shares from $79..,0.3613
1992,LOWES U THINK U CAN BRING THIS TO 121 I DONT THINK SO,0.6094
1993,"@ john sthere is no trade war with china any longer.. Trump stopped all that caca when covid arrived. things with china are as they were before covid. He will get back on their a$% if and when we get rid of covid. Which, covid, is causing some supply issues without a doubt.there is no 2nd wave of covid because the ""1st wave"" never ended, we merely slowed it by stay at home orders. 1st ""wave"", if thats what you wanna call, it is still going...lowes and HD may ""now"" be experiencing material/supply issues, but they were not when stay at home orders were first issued in March. By April is when people started getting bored at home and doin home repair projects.April and May are in this 2nd quarter.. so i beleive 2nd quarter will be very good. 3rd qtr......idk!!!i own an A/C and heat co in Houston area, been to Lowes and HD on the weekly... have not seen empty shelves or not been able to get what we need for our business.. Again, that may change soon, but it didnt affect 2nd qtr.as a business owner, i go back to my statement about the ""bonuses"" to lowes employees... Businesses dont give away bonuses / profit unless making GOOD PROFIT.",0.9933
1994,Stock is back to summer price now. I go in there 3 or 4 times a week due to my job. I actually go to 2 different ones. They are always busy. I don't see any difference or drop off. So not sure why it has pulled back so much.,0.6883
1995,this pos only pays Dividend (Yield)1.92 (1.77% ) ? Doesn't even cover the inflation lol,0.5628
1996,LOW is down 11.91% to 85.00,-0.5882
1997,Just rounded out a lot @ 94.45. This will be a long term yowza..,0.8071
1998,bottom is 74...if you chart it out 1 yr,0.1855
1999,"Ben, posting his thoughts daily, show that he hasn't been to a Lowe's store in years.Please post every day so the pain hurts more.What hurricane damage? What projects? There isn't anything on the shelves.",-0.8647
2000,"Stop running your stores like K-Mart, get rid of you buyers, put your contractors first. Put things on the shelves builders want not grandma !",0.4877
2001,"Dividend grower, yep, solid....",0.4075
2002,Any thoughts about a stock split?,0.3882
2003,"Looking at the up channel, we are much closer to the bottom of the channel than to the top. If history repeats itself like the last two ERs, we should pop to the top of the channel tomorrow open. That should be around $low $34, $34.50-ish.GLTA and hope there was no aapl pushouts in Q3. Aapl pushout, we will get an even wilder ride.",0.8665
2004,It's so hard to determine a bottom considering the virus is NOT going away and will have a second big wave starting in late summer or early fall and will be with us until a vaccine is hopefully developed. So it's really hard to believe we are close to a bottom at these prices.,0.4248
2005,Sold at 87.71. Enough of this woofer.,0.043
2006,"will fall to 80 , even if earnings were good",0.2263
2007,"yep, i'm thinkin 156/ 157 ginna be price til earnings. anyone think different?",0.4418
2008,"Advice to ManagementIt is absolutely ridiculous how much stuff is returned.Cutomers want something from topstock, you get a ladder & get it down, and 2hours later they return it. Anyone that works at a store,knows what a HUGE problem this is! Please have a 1% restock fee. Please address this problem. They use generators, shovels , tools, xmas trees, etc and return probably about 25% of everything! Don't let us become Hechingers Jr.",0.8713
2009,"BOYCOTTING AMAZON, yet? if not, you are hurting lowes.",-0.4949
2010,I added yesterday so it’s nice seeing it up $3. Does anyone think we can hit $200 by end of 2021?,0.5873
2011,"I’ve been remodeling my home with Lowe’s. The reason I’m writing is I have seen many posts on lack of help. I’ve always received help when needed. I’ve been in several departments such as kitchen, baths, flooring , lumber, plumbing, and paint. If I’ve waited it was in line as the help was serving others ahead of me. I see several cashiers, and usually 4 at the service desk. I see a well stocked with inventory, clean lanes and friendly staff willing to load my truck each time.",0.947
2012,Selling off after good reports seems to be the theme of today's illogical market,0.3461
2013,"I've been shopping at Osh (owned by Lowes) since I bought my house. We were going there because we used Benjamin Moore paint for our interior. We bought the last of it a few weeks ago (got a discount thru employee friend). During that time when Lowes would have other things we needed (liquid nails, caulk, door handles, etc) we would buy those too when they were in the store ad. Couple weeks ago I got an email from Osh that went something like, we heard you, we're going green and will no longer have store flyers in the store. I took that to mean IN THE STORE but it looks like there are no more store ads of things on sale (there is an online flyer but it's not a store weekly sales ad. Next week comes and same thing! So out of sight, out of mind for me. Not sure why they decided to not even have an online ad but sure enough seems what they decided.Today I got an email, something like these top things on sale now (three stupid things I have no interest in and the week is almost up. Who's bright idea was it to eliminated store ads? When JCP did away with coupons, down went the store. Wake up Osh (owned by Lowes). You are a smaller store. I pass two Home Depots to get to you, but no more without a store ad.",0.9889
2014,Where are the DE's today?,0.0582
2015,Lowe’s: “never stop improving”,-0.296
2016,"Home Depot is a better fit for Amazon than Lowe's. More locations, better educated employees. How ironic is it that Lowe's got the cursed Craftsman name now.",0.8871
2017,Long lines in Texas. Buying everything in sight.,0.4883
2018,HERE GOES 100K BUY ORDER,0.4436
2019,SELL SELL SELL!!! Idiot CEO who runs this company is from JCP. He ran them into the ground!!!,0.6708
2020,"So, If they do a buy back and the stock breaks 200 will they increase the Div?",0.4462
2021,NOW U WILL PA MORE,-0.0251
2022,Below $160. Just 3 weeks ago LOW was north of $180. So we have dropped $20. Was the stock overextended? Yes it was. However this is a quality that is now oversold? I think so. This stock just got too cheap imho.,0.8343
2023,"All this about Lowe's and recovery. Remember Lowes has dozens of stores in that area of Texas. Odds are some of those stores may be a total loss. Not to mention the repair costs and merchandise loss of those flooded. 100s of million in potential loss for Lowes all self insured.Remember also Lowes only has 30% of the Pro market, HD will get the majority of the business. Finally Lowes recent aquistion is (probably overvalued at the $512 million paid) is based in Houston. Almost 1/3 of it assets in south Texas. Another huge hit for Lowes.",-0.4733
2024,"wow.. very close to a 25% gain in 3 months with dividend. No mojo needed, the formula is simple: buy LOW low...",0.0043
2025,you should avoid any stock in which Vanguard/Blackrock are top shareholders!Instead to find FMR is top holder!,0.4572
2026,Just back from Lowes. NO crowds. No lines. Only one register open and still no line. Parking lot has few cars. Not what I had hoped to see.,-0.0262
2027,LOWES TAKING THIS UP TO 118.50 WATCH AND SEE,0.7199
2028,Thank you Lowes for everything you have done and will be doing!! Impressive logistical team delivery work!! Congratulations to Lowes. For Lowes management disaster relief team performed miracles with an excellent response. Immediately sent 500 trucks for Texas humanitarian needs. Great company and great investment.,0.9883
2029,"If I had extra money, I would totally invest in this. It's undervalued.",0.2606
2030,"According to the Lowes career website they are hiring up to 2000 IT professionals. This supposedly started quite a while back. I hope it does happen soon. They rolled out a new checkout system that is worse than the old one. It's much slower than the old system. The customer is presented 3 options for receiving their receipt on buttons on the payment pad, they buttons are hard to read and are not in the same position from one terminal to the next, and their inventory system if often out of sync with what they really have in stock.I have ordered a number of items from their website, and I have ordered from a competitors site when Lowes did not have what I need. Their competitor has it figured out: Lowes has not. For example, when I get a tracking email for a shipment, with Lowes I have to jump through a number of hoops to get to the shipping information. With their competitor, I just click on a link in the email. I hope someone at Lowes monitors this board and reads the comments. I spend over $50k at Lowes annually and it would be nice if they would bring their technology into the 21st century.",0.9823
2031,Death all around us. Coronavirus is here and no one knows for sure how this virus travels. it shut down counties. Why in the world stores are still open. Risking their employees life. it's the largest Gathering Adult playground place. People show up from everywhere. Still risking the public life. We should be home period. There is no emergency then this virus. to have more money is not the solution. life is priceless. companies to rethink and change your course asap.You want sell emergency product sell it through online store pick drive through.few associates to help the online orders.. Stop now before more people die. STAY HOME PERIOD.,0.788
2032,"if you haven't figured out this WILL go back up, stop trading!",-0.3996
2033,"After some comments that were said on CNBC about HD being cheap, I looked in to this further and it looks like both $HD and $LOW are both below their true value. hurricane just helps it gain attention to accelerate the price.",0.9557
2034,what's the bottom?,-0.2243
2035,Lowe next acquisition target in Canada after Rona could be CWX.TO. to solidify its competitive positive with Home depot in Canada. Rona strength is in contractor business. Make use of strong US dollar to acquire Canadian assets is the right move.,0.959
2036,Gap up on last earnings has filled over the last 2 days and now it will be up up up. Bought the $96 calls for earnings.,0.5714
2037,we all know our President is a show man and will give us something for Christmas. It will be a good twit for him. This market is all rigged for the big money to get in at low price.,0.3728
2038,Deep discount levels here. Loaded the boat last week. 180 and beyond is coming back. Shorts are sitting ducks to be squeezed like zits.,0.5499
2039,"Just a suggestion, if you don't like LOWs stock, don't buy it.",-0.1796
2040,hows one my favorite stocks doing... ?,0.6007
2041,"Next two weeks should be interesting, HD kicking off the earnings next week and LOW the week after. A mere miss will be a disaster for both of these two. Of course HD leading the way it could be double whammy for LOW. With all the price increases from the manufacturers due to the tarrifs yes revenue will be up but profit margins will be thin ice to miss. Shorts will win.",0.8963
2042,"this may go to $300 by end of the year, the way it's trading.",0.0784
2043,ILL COVER TILL THIS GOES INTO GREEN,-0.4409
2044,Store closing announcement didn't have a big effect on stock price. 50 stores out of 1800 all with close nearby locations. Sales will improve at those stores. Short term costs of closing stores greatly less than long term gains.,0.5965
2045,Watch how useless these analysts are.....,-0.2726
2046,WE DOING GOO WE ARE DOING GREAT,0.6408
2047,"I hope the love runs out soon, like before June 15th",0.8813
2048,"HD reported a good quarter, I expect a similar story for LOW tomorrow. However I do expect gross margins to take a hit due to rising lumber costs. However I see no reason why either company can’t pass these costs onto the customer. Lumber is in high demand so those who can afford it likely aren’t that price sensitive. Not to mention lumber costs will eventually decline back to normal levels over the long haul. HD is still up today despite this news, so I see no reason why LOW will be materially impacted either tomorrow.",0.466
2049,MY SHARES WAS AT 123 IT DROPPED TO 116 LOL,0.5949
2050,"The Lowe's near me almost always has only 1 register open and their self-checkout are ALWAYS broken. Lately, I'll drive the extra few miles to go to Home Depot. On most items, Home Depot is usually cheaper as well.",0.8592
2051,"As a millwork installer I argue with the sales people and managers all the time about selling caulk and insulation when they sell a door install. Back in the day when you kept a roll of insulation around, and caulk was inexpensive it wasn't a big deal for contractors to supply these materials. Now supplying them gets a little difficult since we are still working of pre 2000 labor prices and materials we supply have risen 300 to 600 %. My argument is why would a retail store not want to sell the materials to the customer for there job? They are a retail store . If I supply the materials well I'm looking to save as much as posible this means cheap caulk and fiberglass insulation. And I might buy it somewhere else cheaper than Lowes. Guess this explains there ever trailing stock price . Not an industry leader .",0.9213
2052,"Ok. bought a ton of puts yesterday and still holding, any thoughts how far up/down we go from here?My puts expire on Friday.",0.7814
2053,when do they pay their dividend,0.1408
2054,Can’t believe I missed $tgt and $low 15 points wow that would of been a great morning y’all lucky,0.8764
2055,ACBFF. TWMJF. Off topic but the hottest two I’ve touched in years!,0.7151
2056,THE DUMMIES KEEP BUYING THIS AND COVERING THEY STUPID,-0.1405
2057,WONT SEE 123 ANYMORE BABY DOWN U GO,-0.1834
2058,"Wow, somebody took a brick to this things head....it's going to 35 bucks at this rate, smh.",0.1387
2059,LOW is up 5.28% to 88.19,-0.2771
2060,Will be buying more today.,0.2693
2061,I think all excutives deserve a bonus and when the company goes down increase the exit bonus..cheers,0.6342
2062,LOWES to Home Depot is like AMD to Intel,0.547
2063,FROM OPEN PRICE BESTPRICE TO COVER,-0.001
2064,Since I purchased my several hundred shares at a discount as an employee from 2009 to 2014 I'm not feeling particularly upset.,0.317
2065,Lowes is about to take up the slack and be more in true parity with Home Depot which would put its stock at around 135. Lumber prices will rise again now that mortgage rates are falling and home buyers are coming back in droves. The American Dream is still a reality and Lowes will be a true winner.,0.8981
2066,"if you haven't seen it suggest you find WSJ article from Saturday on Shaw and Niblock meeting last week. Interesting quick read, found the part about how Shaw researched same store traffic versus Home Depot most informative. Confirms some of what I and some others have been saying for the last few months.",0.9303
2067,not sure why Chad keeps on bashing lowes. The entire market is down.,0.2155
2068,So everyone rushed to the home improvement centers to get that honeydo list done that has been languishing for the last dozen years or so. This created a couple of great quarters for these retailers. And then what? What happens when that punch list is complete? What happens when everyone has to go back to work?,0.9518
2069,Best short...,0.6369
2070,Did DSC get Niblock Bucks  or is he still a $9 cart boy? ,0.4303
2071,"Just more corporate greed! The Lowes' in Hickory, NC are just pitiful.(Home Depot not much better either) The Lowes Hwy 70 store the worst. We do lots of business through Viewmont store, and morale there is so bad, and weekly new hires/fires go on, you hardly recognize anyone any longer. The young people they keep hiring can't tell difference between phillips or strait screwdriver ! Only handful of older longer term employees on contractor end, but one 10+ year cashier I deal with (who came from const. background) says her pay is still 10.00/hour after 10 years service !",0.5053
2072,Has anybody heard about a stock split?,0.3696
2073,should I invest in low or HD? not sure why Low outperforms HD recently,0.2313
2074,Time for a change in management!! These guys are terrible and costing shareholders millions!,-0.5176
2075,Couldn’t stand watching price drop today on great earnings. Debated writing a put or buying a call but ended up buying more shares at 161 today. Buying shares and unlimited time is nearly a guaranteed return. I don’t understand how several of the stocks that I watch have all dropped on significantly on good earnings reports only to creep back up over the next 2 weeks. YMMY.,0.9742
2076,HERE IS BIG BLOCK SHORT COVER,-0.7214
2077,Lots of great news today! Also crossed two important moving averages on above average volume! It will continue moving higher.,0.9479
2078,"HMGnowEarnings will be bad, and they will be cleaning house and writing all the garbage off to set the new CEO to succeed. Also Lowe's( Home improvement industry) does no't face the adversity retail does. Housing market is trending up and couple more years to run. Retail is going through some structurual changes. Any bonehead should be able to stay profitable. But it will take some real talent to become beat of the induatey. Not sure if Ellison is the guy. If earnings are bad market risk is low going forward.",0.5231
2079,Why did LOW just jump 3.5% in like 5 minutes... what happened??,0.3627
2080,HD up 4% since earnings.....LOW is up 7% in the same time span.....a no brainer to short,-0.3184
2081,NOT COVERING TILL GOES TO 119,-0.1627
2082,OT Sam i posted a reply on the T board for you.,0.7097
2083,"Lower guidance , why is it up ?",-0.0416
2084,COVERING 200K SHARES HERE,0.2558
2085,Just got upgraded to buy from hold at Suntrust. Strong earnings acceleration. Already up premarket.,0.7663
2086,Lowe's is expected to report earnings on 11/21/2017 before market open. Let's hope it will look as good as Home Depot's earning report that was just released!,0.8719
2087,Note HD,-0.0033
2088,check out small stock profitable GRWG,0.6959
2089,PT11/08/19 Nomura Initiates Coverage On Buy 132.011/06/19 Credit Suisse Upgrades Outperform 129.011/05/19 Wells Fargo Maintains Outperform 130.0,0.8653
2090,ON ANY PULL BACK BUY LOWES LOWES LOWES THATS ALL I GOT TO SAY BUY LOWES,0.5652
2091,"Rev miss, dismal report. surprised this is up 3% premarket. Headfake. This will reverse back towards 100",-0.5998
2092,That Money Train!! earnings are going to be ,0.3575
2093,Huge lines and huge demand at Lowe's in Houston. All the Lowe's stores in the Houston are are now open but one!!! Ring those cash registers!!!!!!!!!!https://www.bizjournals.com/houston/news/2017/09/08/lowes-j-c-penney-to-hire-thousands-to-help-houston.html?ana=yahoo&yptr=yahoo,0.5929
2094,"Don't be surprised seeing drop down open of $89.00 or worse as Ellison image is fading after what he did to Shareholders over at JCP jumping ship after his Conf Call last JCP earnings, jumping ship without notice to go to Lowes and needs to be investigated...",-0.7429
2095,WE PUNISHED LOWES BAD GUYS LOL,-0.556
2096,I hope some store execs read this postWea at the local store in boca raton florida a few times this weekend. By the way i own a few thousand shares. Anyway was looking for some Electrical supplies and could not find anyone to help me. Took over 20 minutes and went back the next day and was worse???,0.9244
2097,$LOW Target Raised by KeyBanc Overweight USD 180 » USD 200,-0.73
2098,Buy up to $89,0.3041
2099,Toll brothers missed.. so will Low fallow?,-0.3671
2100,THEN I MAY SHORT MORE AGAIN,-0.4539
2101,Low is hanging in there like a champ. True market strength ,0.8341
2102,This stock has turned me into a long term investor. Oh well.,0.6974
2103,Lows going lower : ( Headed back to the $70s again. AMZN and HD are eating Lowe's lunch.,-0.3389
2104,If you have ever shoped at Lowes you can smell the MOLD in all there stores as you walk in. HD crushes them...,-0.3304
2105,How many times recently have we seen great earnings and the stock drops?should investors close their eyes?,0.771
2106,Low is bullflagging. Target 106-108 very near term.,-0.2308
2107,"OK, listen up everyone Goldman Sachs raised LOW to $187 from $165. This is serious!Very many upgrades lately to much higher prices than current trading levels. Market will not ignore it, eventually.",0.5302
2108,"sooooo, how high yall really think this goes? there has to be a ceiling...???thoughts ?",0.5431
2109,I'm not selling any til it gets to $300 in 2 years,0.0693
2110,How long can this go I chased a falling knife,0.0554
2111,LONGS IF U WANT TAKE PROFIT WIT TILL IT GETS TO 119 IF U WANT IM COVERING TO 119,0.8436
2112,Lowes needs to do a stock split (2 for 1) and a dividend increase. Its way past its normal stock split zone. Everybody else idea on this subject,0.8704
2113,LOOK AT THE 6 MONTHS CHARTS WE HAVE BROKE OUT SO NO STOP WE GOING UP NO RESISTENCE UPWARD WE GOING UP FOLKS SO DONT SELL BE A FOOLISH.,-0.5486
2114,Consider: Low is up >230% in 12.5 months since the low of the Covid crash- not too shabby.. %^),-0.5722
2115,"I was somewhat disappointed in today's price action. LOW was up only 34 cents, closing at $163.54, well off the high ($165.410). Hopefully tomorrow will be more impressive. Go LOW!",0.1708
2116,7 More Dividend Stocks Benefiting From the Tax Cuthttps://finance.yahoo.com/news/7-more-dividend-stocks-benefiting-162544667.html,0.2908
2117,Home depot is a better store but Lowe's has more growth and growth is what we care about,0.9385
2118,I wonder if 50 is a good price?,0.5193
2119,WE DID GOOD JOB I LOVE IT,0.8069
2120,"I use to work for these clowns, why in the eff I bought stock , for the dividend, is beyond me! What a freakin idiot!!1",0.626
2121,Been following this down.. will follow it down even to a recession.,-0.6108
2122,I go to the lowe's parking lot for their great wifi.,0.6192
2123,WONT GET UP THERE SO NO WORRIES GUYS NOT WORRIES,-0.8167
2124,"Omg, worse than airline or cruise stock. Is Lowe's going out?",0.462
2125,Bought more call on Hd weaknesses!,-0.3279
2126,"Bought a side trade for 8000 shares at low $59 and sold mid $61 while I have 10,000 shares of core shares at $low $29 cost. Got back in 6000 shares again at $$55.35. My son owns 1000 shares at low $57 and refuses to sell when it was over $63. Each time I do the side trading to keep my son great company, I make very decent profit. Micron stock eventually will become the next NVDA.",0.9568
2127,Just hit my buy order. Unbelievable. Done buying for now.,0.7667
2128,"OK, so why isn't this holding up to at lest precovid price of 120?",0.1428
2129,WE KILLING IT GUYS WE KILLING LOWE WE KILLING IT,-0.9232
2130,"Marvin is a smart guy... he has no chance. I've never seen a company with a worse reputation. People are walking off the job in my store in droves. We are 15 short and I leave in 3 weeks. They cannot keep delivery drivers, stock people or materials handlers. UPS and Fedex pay $3.50 more an hour. In Pro, our entire staff has quit to work for building contractors. About half of lour employees do NOTHING all day long but we cant fire them. Literally NO ONE applied for a new position last week.",0.6853
2131,So are we going down or up today? Dead cat bounce or not?,-0.6466
2132,COVERING ABOUT PUSH IT BACK UP SO U READY LETS DO IT,0.5686
2133,This was $157.37 earlier today. It’s a good buy here now under $155. This should be $160 plus soon! Good luck all!,0.9161
2134,We need more hurricanes.................,0.0276
2135,"Up 12% in two months since latest buy @85.. not too shabby, esp. after negative December. Up 33% from original buy, 1.5 years.. Plus dividends, reinvested of course. Also one partial sell/buy back. LOW is a keeper.. like an Estwing claw hammer that pays!",0.408
2136,LOW is up 8.66% to 89.32,-0.2771
2137,"Hold on, it will go back to $107+ tomorrow!",-0.0778
2138,"Directors at Microsoft (ticker: MSFT), Lowe’s (LOW), and Walmart (WMT), and an executive at Keurig Dr Pepper (KDP) have made million-dollar open-market purchases of stock. For all of them, it was their first stock purchases as company insiders on the open market.",0.7311
2139,"52 Week Range 1.01 - 24.90 , SO GLAD I LISTENED TO ADVICE ON HERE !!! who wants 10 grand anyway , i said $8.50 , make that $low 8`s and todays a daily double with 10% gone",0.8905
2140,Laying off but still hiring?,0.1203
2141,"bad earning, but good revenue and raise outlook. Stock price move up this week.",0.8381
2142,Lowe’s now gets to say what they need to say tomorrow with the inflation heads up from today.,0.3411
2143,Got quite a few of the June 15th $95 puts.,-0.0015
2144,SHOOT DOWN BABY GO DOWN BABY GO DOWN,-0.5113
2145,Be very careful my friends.Just a reminder.,0.1042
2146,Brutal report. Gonna be ugly when the market opens. Management sucks.,-0.8248
2147,THIS WAS TOO EASY! GO BABY GO!,0.6932
2148,watch lowes turn green again today. if anything stock will hit its 52 week high before the end of the year. I have been with lowes for over 15 years. We just need the sky to clear. Too many homes destroyed by natural disasters,0.7354
2149,he ran JCP in the ground...lol losers at the wheel,-0.5177
2150,100K SHARES BUY LONG HERE IT GOES,0.6719
2151,Lowe's Companies reached an all time high at 164.53,0.3228
2152,Did lowes debt just explode!!!,0.4352
2153,LOW's,0.0
2154,How can PE still be 34??? Back to where were a year ago.,0.4617
2155,How is Lowes delivering large items if the drivers are getting obamabuck$?,0.0092
2156,U ALLOW GET ABOVE WE DONE WE BE IN TROUBLE,0.174
2157,This will go up once I sell so buy in soon. I have to cut my losses and move on.,-0.1283
2158,"Mitchs say ""no future at lowes, they are giving everybody obamabucks"" and like there is a future working at home dumpo? ",0.7813
2159,$125 to $130 by the end of Q2,-0.0521
2160,No div increase this year?,0.0493
2161,"Lowe’s employee Curtiss Bird defrauded Iowans out of $110,250 and the Attorney General is only making him pay back $150 a month. That is a 63 year repayment plan, would never shop at Lowe’s again.",0.8301
2162,Bill Ackman has taken a stake worth about $1 billion in retailer Lowe’s Cos.,0.5068
2163,"very strange date today... the dow is up 200 point, but HD and LOW are down significantly.",-0.7241
2164,Told ya spanking coming ....,0.0683
2165,SOME ONE WAS DOING SOME COVERING THATS ALLLOL,0.5343
2166,SO BUY HOME DEPOT AND LET THS COME DOWN,0.3091
2167,"Bought a few shares at open, $87, to cover recently sold shares @102. Double digit dividend hike is coming for April. I still have a huge margin of error with my initial purchase. This is how one rolls in early retirement. Steadily increasing divies >inflation is a retirement paycheck that beats raises from work. Cap-app is just the icing on the cake. BTW, all LOW non-DE's should use some of the $1k bonus to fund more shares. Compounding over time is the way to early retirement.",0.914
2168,"This is too much of a bargain for people not to buy in, or buy more. I bet this small dip turns around, and we close in the green today! GLTA!",0.8433
2169,I love you Lowe's I am a veteran and love how you support veterans.,0.9152
2170,"Today is an excellent day to get in. This has been stagnant and oversold for too long. Once a CEO is announced this will pop. It is long due and a bargain on the retail drop today. One other thing is LOW stores are in better locations, insulating it from down turns. Yes HD has more stores and contractor loyalty. Lowe's has good margins and more affluent customers. HD high volume but higher cost. I own both for different reasons.",0.9315
2171,"During a rally, the President complained, rightly so, about low water dishwashers and showers. And how you can't wash your hair, and how you have to use the dishwasher 3 times, then wash the dishes by hand. before buying a low water appliance, you should also know low water washing machines require several washes, and even then, they leave a layer of lint. The lint is from the machine using friction between clothing to wash. Be careful buying a low water appliance.",0.0093
2172,@SF maybe 7 years old,0.1426
2173,FORGET ABOUT 121 IT WONT GET THERE,-0.3278
2174,"Another 5 up then start first short, their debt is huge",-0.3512
2175,Lowe's Companies is up 5.42% to 159.43,0.1818
2176,OUCH!,-0.5801
2177,"Thinking about buying stock in $NVCN , $CARA , $LOW , $TGT , $TIF ? http://crweworld.com/article/news-provided-by-pr-newswire/306053/thinking-about-buying-stock-in-cara-therapeutics-lowes-neovasc-inc-tiffany-amp-company-or-target",0.4662
2178,SHORTS BETTER COVER FAST NOT MUCH TIME LEFT U SHORTED AT 123 LIKE I DID U BETTER TAKE YOUR PROFIT BEFORE LOSE ALL,0.9265
2179,ORTHO RIP OFF - do not buy Ortho products at Lowe's. Normally I love Lowes but the canister of Ortho Fire Ant killer I just bought was half empty. This is absurd. I will not buy Ortho products from Lowes again.,-0.4134
2180,STOP COVERING STOP IT WILL COME DOWN,-0.6779
2181,Up 143% Thanks LOW,0.2025
2182,Added more today heading into earnings next week.,0.1854
2183,GO CRAMER U SAID U SAID SAMETHING ABOUT CMG CHIPOTLE IT WOULD GO TO 1000 AND IT DID LOWES U RIGHT IT IS A BUY IT WILL GO UP TO 150 AND HIGHER,0.8437
2184,Nice dividend for investors.,0.5216
2185,Get ready.,0.3702
2186,I am out and not any fan of LOW==stay away from slow moving garbage!,0.5901
