,Recent headlines and conversations for CI,Polarity
730,Such an undervalued stock,0.2585
731,"CI is the company up and coming after acquired ESPX. CI has big gun in ESPX which is the biggest PBM last year. When I compare CI to ANTM which has great management but small PBM, so CI has advantage over its competitor and eventually passes ANTM to the second place behind UNH. Ci has better value and low PE which makes it more impress to own the stock in longer term. It is the time for the health care sector to consolidate which I think CI will grow even bigger. The preys are all over such as CNC, WCG, UHS. I think CI will report good earnings numbers as usual. Plus the market makers expect that CI will surprise the market that is why the premium is so expensive, kind of risky. I still bet on CI to beat estimate of Aug 1.",0.9905
732,This is really set up to pop big time . Last ER the stock didn’t react with an upward move due to sporadic other news - this time will be different .Huge move Thursday + $10 IMO,0.9416
733,"Unless this goes back down, then that was a test of the $164 level for a 2nd time. Bounce on large volume=good, back down is hopefully not gonna happen.",0.1936
734,Not another nickel from me scvmbags...hope ur BK in 6 months.,0.0351
735,what happened today?,0.1116
736,Lets go into the close strong. !,0.4989
737,"I buy more call on Oct 31, 170 call because ANTM moves up and down like YO-YO but still up more than 7 points. CI is even better than ANTM in this case.",0.8776
738,No end to PATHETIC !!!!!,-0.8388
739,No end to pathetic !!! Total silence out of the leaders of this company.,-0.708
740,Go Cigna go !!,-0.1513
741,"bullish with a low volume day , is it break out here or not?",0.0689
742,Cigna is down 16.40% to 150.37,-0.2462
743,Cigna is down 9.19% to 189.80,-0.2462
744,why this thing trades so poorly compared to other insurers...,0.0084
745,CI is ridiculously cheap on many metrics. The entire sector has been down I think due to an expected Dem sweep. Get out and VOTE people. Keep America Great. We must also maintain Senate majority.,0.8262
746,"Another good day to buy CI on the dips — they acqusition will be accretive... and more importantly, this co will not be in the cross hairs of any trade war.",0.2969
747,"#$%$ stock just so maybe people would listen and you can stop losing money??. Buy some shares in stocks, your just gonna keep on losing your money losers lol",0.3374
748,"CI will beat the estimate by a mile. ESPX will carry CI making at least over $ 4 this quarter. The annual earnings is around $16-17 this year, make itself to be risk-off stock in this sector.",-0.2613
749,ESRX deal will likely go through and might not be the negative many investors think. CI earnings VERY strong and absence the deal the stock would be $210-225. CI expects ESRX to lead to faster EPS growth not slower. Market worried effort to lower drug costs will hurt ESRX long term. Stock is too cheap relative to other health insurers like AET. Stock should trend up toward 210 over the next few weeks.,0.8429
750,Still well below 20% of Credit Swiss target of $215.! Up up again.,0.6322
751,https://twitter.com/progresscareus/status/996353846489296896?s=21$RAD $PMC $AET $UNH $HUM $CI,0.0
752,Corona virus eating into health care costs,0.7556
753,"Sounds like the strong arm Feds...their case is weak so they resort to this....Trump looking better every day.....rather have a loose cannon with liberty than Hillary, the psychopath communist.....",0.8411
754,"Got 1,300 shares in this now.",0.3043
755,talk about garbage,0.1047
756,It’s a day late but this time I’m NOT a dollar short !!! PTL !!!,0.7005
757,I was getting really sick of the market always taking my money so I went out and found a service that gives me one solid stock pick every week. So far they have been awesome. Just go to https://winningstockalertsonline.blogspot.in/ to join. .,0.8765
758,Was there ER today !?,0.6446
759,"CI has lower PE than AET, Faster growth, lower P/B, etc. No reason it shouldn't sell at parity at worst, which would be $225.",-0.485
760,"Cigna is an evil company, hated by both its employees (check Glassdoor) and customers (check US Today, most hated companies in America). Think about for a second",-0.9104
761,Always pathetic !!!!!!!!,-0.6822
762,"It is no brainer stock at this moment. PE is under 10, top line will be 60-80% jump from last year and bottom line is over 30% higher this quarter. I keep buying still at this price.",0.7693
763,Who the heck is selling? What more should this company do?,0.2598
764,"Well, today is a start.",0.3721
765,Touched $180..... now headed back to $160. No end to pathetic!!,-0.7463
766,Why is this falling when it had a great financial quarter? New business segments growing over 20% and crazily undervalued and away from the their lowest price targets. Doesn't make sense to sell... The upside here is huge.,0.6851
767,Two days straight now - can’t cross $265 - even briefly,0.2183
768,Not worried about this one. 158 average. Will buy more if she dips to $145. I am in the hole but she will climb out. Flawless financials. And there is zero chance Elizabeth warren will be our prez. Zero point zero. #kaga,0.9288
769,esrx a dog with fleas tell your board to rescind,0.2232
770,This market mover started a position today! 10 shares!,0.8332
771,Bought some today near the low just before close. Hoping for a pop tomorrow,0.5502
772,Cigna is one of the 10 most hated companies in America. Think it won’t have impact on its revenue and income ? Go ahead and Invest in it.,-0.667
773,NO idea why Cigna is so extraordinary weak today,-0.2501
774,a bit disappointing but could be a lot worse given market is flat... still hoping for a value rotation...,0.2375
775,CI is down 4.91% to 143.62,-0.2462
776,wow f,0.5859
777,150 K shares at the open moves this $200 stock +7 points—-say what?,0.4213
778,Short Squeeze in play check this out... https://news.squeezereport.com/short-squeeze/cigna-corporation-nyse-ci-short-squeeze/,0.0053
779,Finds a new cliff to jump off of every day !!!,0.4607
780,In the state of the Union address tonight I’m sure he will talk about rebates and drug prices and make it sound terrible for pbms but you have to remember express scripts is no longer around it is CIGNA and they will be eligible for rebates. Just like the rebates and discounts that they get from hospitals. insurance companies will now be able to get those from drug companies as well.,0.8916
781,Sell off here is not making any sense. Is this just algos?,0.0653
782,7 fold earning,-0.0099
783,CI is up 8.77% to 141.46,0.1818
784,Don’t touch this till it’s below $160,-0.357
785,CI is up 11.95% to 179.69,0.1818
786,Are there any roadshows planned to make convincing case for this merger or we are in for a perpetual #$%$ stock performance until it is rejected or proven by actual performance?,0.5356
787,CI is the cheapest stock in health care sector at this moment. PE at this moment approximate around 10 for this year and will be around 7 next year.,0.843
788,Broke below its trading range . Bodes poorly for the stock and the market .,-0.5709
789,I hope so !!!!!!,0.6209
790,Sold all my positions a month ago around $160 and moved into HUM with a nice profit already. I advise you all to do the same,0.5628
791,So trade war news hold after Friday close. What goes up Monday morning?,-0.4228
792,CI is down -4.94% to 164.28,-0.2462
793,Doing research on new stocks is getting so hard. That’s why I joined up with this free service that sends one solid stock pick every single week. So far the picks have been great. Just go to the*stock-dork to learn more. .,0.9486
794,I think Cigna buys Humana with that cash.,0.0114
795,Nice volume,0.5324
796,$211 by end of the coming week IMO,0.2576
797,CI is up 5.73% to 192.00,0.1818
798,Like you said Bill. Could be up or down $5 tomorrow,0.3507
799,Any CI bulls out there? We report shortly as whisper numbers for the quarter are looking for an EPS of 3.40 and $11.03 billion in revenue. CEO was bullish on his Cigna’s dealings so far in getting the express scripts deal so far due to close in late 2018 as looking for a top and bottom line beat today shortly. Cigna stock was hammered and now sits near 52 week lows despite earnings growth from a year ago and acquisition growth to occur in 2019. Cigna also raises outlook for FY 2018 last quarter as I expect solid numbers I believe due in less that’s one hour. Go Cigna!!,0.9698
800,$ANTM $CI $CYH NEW ARTICLE : Health-care stocks rise as Trump talks new price disclosure rules for hospitals and insurers dashboard.stck.pro/news.php... Get all the latest $ANTM related news here : https://dashboard.stck.pro/news.php?ticker=ANTM,0.7175
801,Hopeless!,-0.5093
802,CI is up 9.93% to 208.04,0.1818
803,"Got another example yesterday of corruption in our government, when the Wall Street Journal reported that Virginia Gov. Terry McAuliffe’s political action committee donated nearly $500,000 to the election campaign of Dr. Jill McCabe--the wife of an FBI official who helped oversee the investigation into Hillary Clinton’s use of a private email server while secretary of state, Hillary lies to the FBI on her servers, she deletes 33,000 emails after she receives a subpoena, a State department senior offical tries to bribe the FBI to declassify some of Hillary's emails, her IT staff takes the 5th amendment rather than tesitfy to Congress on erasing the servers, the pay for play Clinton Foundation, the rigged Deomcratic primaries, and now the FBI has reopened the email investigation. It just goes on and on with the corruption in this election. Sadly today, being politically correct ""trumps"" corruption, fraud and lying with many, especially for those under 40.Here's another example of the hypocrisy of the Press, the Neoliberals and the Democrats. Bubba Clinton stating in 1996 that Americans are rightfully disturbed by the illegal number of Aliens. Why hasn't the Press called this out?FYI, the reason Hillary wants open borders is that aliens typically vote Democratic.https://www.youtube.com/watch?v=N5PK-SK0h9o",-0.9375
804,"With this new administration, I am sure Cigna is going to continue to expand their ACA presence, like they recently did in NC.Look for more announcements soon!",-0.6111
805,"When Cramer and GS say it's going much higher, I buy.",0.4123
806,"If we don't bounce here, then we have broken down and no end in sight....very strange. I see $175 or $180, but BOT'S see????",-0.6344
807,This is a good company and it will be time to buy soon. I am still waiting for mid 170's to get back in.Good luck,0.79
808,Well—-shut my mouth.!!,0.1848
809,Tempted to buy in here but nervous about the Amazon partnership. Companies that go into business with them tend to go out of business. Opinions?,0.7673
810,In case you are interested in short squeezes https://news.squeezereport.com/short-squeeze/cigna-corporation-nyse-ci-short-squeeze/,0.0281
811,Wow this stock is on absolute fire while al other HMO suck. Which means either the others participate or this stock goes back down,0.5837
812,Look at this pos down even when unh is up and down is up 300Junk,-0.1313
813,Debate last night should remove some of the anxiety on this stock.,0.2859
814,will this stock ever see a gap up,0.3131
815,I love my company,0.6762
816,"ETF/Index ownership | PositiveETF activity is positive. Over the last month, ETFs holding CI are favorable, with net inflows of $8.49 billion. Additionally, the rate of inflows is increasing.",0.8983
817,Obama Care should go self insured or create one entity to compete with insurance companies nationally.,0.8013
818,"Momentum wise Cigna is currently weak despite hitting a new 52 week high Thursday .That being said , management has instituted a solid $4.00 dividend and committed to buying back stock & reducing debt to match its peer group .Further , they have the earnings , cash flow and recent $6B cash divesture funds to do exactly that . If there was ever a stock primed to run .... this one is . Political risk and market risk not withstanding .",0.9349
819,I guess now $167 is resistance?,0.1238
820,Well Healthcare went belly up with everything else today to be sure .,0.798
821,"I assume WS is pricing in a DEM victory in November? Hide the women and children, gonna get ugly! $HUM $CI $CVS",-0.4343
822,"lol, and they are selling down ESRX....I am buying ESRX hand over fist and also call options.",0.8286
823,"Oct 31, 6:00am. CI will light up July 4th, FIREWORK. JUST HOLD YOUR BREATHE, tomorrow, CI will move higher another 3-5 points when ANTM reports the earnings. I expect to see CI at 185-195 by end of the month.",0.762
824,$200 easily for sure,0.5775
825,Where are the earnings?,0.0623
826,Reminder . This stock has been up over $6.00 a share the first two days of the week not surprising to see some folks take a bit off the table as we approach earnings .,0.7228
827,"I don't get it. A company making REAL money year after year ($20/sh) and people can't dump it fast enough. Meanwhile, make-believe stocks of companies that earn comparatively a pittance in the ""tech"" sector go up 10-15-20% and more day after day. Frustrating...",0.2269
828,https://finance.yahoo.com/news/health-insurer-cigna-posts-rise-104558144.html,0.0
829,Cigna the most undervalued Health Care stock going into earnings IMO . The late July ER should be worth 20 points up from here at a minimum,0.8864
830,Trump may be re-elected because the economy is doing so well - but investors don't care!,-0.498
831,C’mon boys let’s see some positive revisions for 5/7 earnings,0.6568
832,No one is going to the dentist = no one is using their dental insurance = greater profits,0.4779
833,Bernie and his haters really got into this ! When  burger needs medical I hope CI denies his claim,0.2766
834,Hope everyone had a good Christmas ! The biggest reason that I believe that Cigna is just starting it’s real move is because of forward earnings . If the Company earns $22 a share in 2020 and holds onto its current P/E ratio it would suggest a stock price well in excess of $300 all other things being equal . Political risk is really the only unknown quantity here and that is arguably a lot smaller than it’s been made out to be .,0.9232
835,"Stock is broken now, time to bail out.",-0.383
836,That was one heck of a sell off by close!,0.2753
837,And .... I’m in .,-0.015
838,"I bet you that some news hit the wire this morning, that is the reason why CI pops up. We probably know after the market close. Only thing I know, CI has forward PE under 10, EPG under 1, and revenue growth over 100% this year. CI is undervalue, no question. CI only needs to beat earnings by5 cents, CI will shoot up at least 10 points by Thursday.",0.8264
839,CIGNA is embaressing. Sold my positions. A company that's supposed to care for the people is being divisive: cigna-company-owner-sparks-fury-over-racist-training-not-hiring-white-men-brown-bag-lunch-david-c,0.5596
840,"is this thing dead until the next earnings report? Well, i'm ok as long as it stays above 200.",0.6769
841,"LOL so far 6 trips below $164, short are keep attacking.",-0.3945
842,ouch! Hope we don't drop all the way back to $146,0.2307
843,How many of you Cramer sheep got lead to slaughter @ $176? Now as usual he will find a way to spin it where he doesn't look so bad.,-0.478
844,"so much disappointment, why it is still down, after such a great earnings.",0.1528
845,Hoping this goes to 240 before June 19.,0.4532
846,"Yes, it’s personal but if it happened to me, a guy who goes by the book it indicates something on Cigna - Cigna is fxxxing it’s customers and fxxxing it’s employees. It’s called “Evil” and the outcome is clear just like Modesto and Comcast- it will fall and fall strong.",0.9112
847,CI is up 8.11% to 169.54,0.1818
848,I thinks the shorts felt its time to covers before close. The three down days is about to end. Actually today movement isn't that given with overall markets.,0.102
849,Cigna forecasts slow revenue growth for 2019.That is not the headlines you want to see and expect the stock to go up soon. I am not here to bash. I will let you know when I get back in. Last time it was at $172.03,0.6906
850,Cashed out today at the very top . I’d love to claim it was skill but it was more divine providence - some might call it dumb luck - extremely happy non the less .,0.9496
851,Sam: how come only you and I know this? The sp should be 240,0.2837
852,Who upgrade CI today? There is no reason that CI is up over one point in less than 5 minutes. Any company wants CI so badd.,0.3467
853,https://www.beckershospitalreview.com/payer-issues/leapfrog-group-employers-rank-cigna-highest-unitedhealthcare-lowest-on-drive-for-value.html,0.0
854,Yippee!,0.0
855,"If Ci does not pop up to 177-180, I expect the market will come down again today..HUM popped up over 18 points yesterday. Let's see how the market makers will line up the buyer's price. I guess the volume will be over 3 million shares today.",0.6442
856,"CI has new high every day, but it's PE is still around 11, that means CI is still undervalued among its peers. When HUM reports earnings tomorrow, beat the estimates, it should take the whole sector go higher. CI should in the 190s by Dec.",0.8552
857,I cannot see a reason why this company is bleeding value regularly. Nonsense! We should be at 200+,-0.149
858,"Thank God the merger included CASH!!! WTH is with this company? This continued push for medicare for all is only going to create a wider divide if some knut tries to implement it. Those of us who can afford it are going to get our own, one way or another.",0.8095
859,just about time to swallow pride and losses,0.1221
860,Well so much for my $10-$11 move . Very bad call .,-0.1381
861,"Great news for ReWalk for a major insurance agency like $CI to make changes to their policy regarding exoskeleton devices and those in need. Volume is great off the open, now let's see a push to .50 https://stockwatchers.finance.blog/2019/02/13/3-healthcare-stocks-setting-the-pace-on-wednesday/",0.8804
862,y the rise tdy tho.,-0.1902
863,Things have reversed . Cigna & healthcare are now massive buying opps once again .,0.6583
864,What a PATHETIC dog !!!!!!!!!!!!!,-0.7408
865,"20% down in a month, something is wrong here... sad",-0.7818
866,Seems like someone is buying them up with high vol. CI has been hitting the wall of 169 too many times. It will shoot above on Monday if not today. IMO.,0.8924
867,CI should be the best candidate to break out this time around. ESPX will help CI break all the top and bottom line. Earnings for the whole year will be over $ 15. I think it is cheap and safe in the uncertain situation.,0.738
868,"With earnings on 7/31, this should be flying. IMO earnings will be spectacular and we should touch 210",0.5581
869,Why CI is up so much? Merger is almost dead. It can't be a good thing. Why up after the news?,-0.6478
870,A lot of Cigna employees will get the shaft in the form of PINK slips if management continues to fight the court for approval with Anthem. Management don't give a damn. They just want their cash payout. A lot of Cigna employees should be worried as your jobs are about to be disappeared.,0.7319
871,Anyone -Why did this go down $7.28 today ???,-0.2309
872,"If we can maintain 220+going into earnings, we’re golden.",0.4355
873,"This is one of the very few stocks in my portfolio that truly scares me. Bidencare is unfortunately right around the corner, and the sp should be going up, not down",-0.0731
874,My comment on the ER - solid results - management is being very conservative with the estimates on 2021 EPS with their statement about the same . This is poised to hit $300-$320 this year .,0.895
875,This is a great time to jump in Cigna. I did.,0.7202
876,"I expect Warren B to start scooping up some shares of this loser. If the price targets are anywhere accurate, there is about a $30 upside coming. May not be for several months, but it will come. WB would make a few billion off purchases down in this area at support (using Dana support post). Shares may not start rising until next week after options expiration. I see at the most $5 by Friday, but would not be surprised to see it stay at $164.xx to close out Friday's puts under $165. Otherwise, it will be near $169 by Friday. Hopefully, it is not $159. Need Dana's $164 support to hold.",0.9807
877,Where is the benefit to the shareholders,0.4296
878,$169 is a steal. Avg analyst is saying $210. At $175 there is still 20% upside remaining. Buy on dips and buy all the way up to at least $175. Cramer said buy buy when it was around $175 also(even though he is not always correct) but this time we do have a good buy. It will spring back up fast when shorts start covering today.,0.9448
879,who wants a stock with a .02% dividend yield this is just stupid,0.0279
880,bought in at 176 . Is there still downside ?,-0.1571
881,"Medicare for all is liberals socialist idea that will never happen, keep buying those brutally beaten stocks. You will be rewarded with hefty gains next year. I am still buying UNH, CI, AMGN, WBA, CVS and others. There is no way you can lose money on healthcare. Those drops are gifts for us.",0.4183
882,The market looks very weak. Cashing out of everything today,-0.3077
883,Today looked like profit taking however after seeing the daily volume pick up I’m not so sure that we may have hit an intermediate high Monday at $205.30 .,0.9049
