,Recent headlines and conversations for GRUB,Polarity
2431,Up up all the way,0.3152
2432,I voted for Trump...I guess GRUB doesn't want my money,0.0468
2433,$GRUB $UBER Strong sell!!!,0.6651
2434,Grubs getting plugged,0.0
2435,still short this garbage,-0.5089
2436,are people are really that stupid they grow top line by 30% everybody new competition is coming every business eventually as competition..they need to get a few things better but thats is just too crazy,0.3278
2437,looks cheap butI'll skip this time good luck,0.8207
2438,congrats to all longs,0.5109
2439,Gonna be a great GREEN DAY,0.7857
2440,I’d like to double position right now but not liquid. A few things need to happen quickly and I might be able to early next week. Only if stays low.,0.7119
2441,Great Exit opportunity.... Don't let it pass you buy. Grub hub will be under 100 by EOY.,0.7275
2442,Short ratio 9.4 is it a good idea to enter now ?,-0.1647
2443,"YAHOO HAS THIS STOCK MARKED AS FAIR VALUE WITH A P.E. OF 925.35 !!!!!! WHAT!!!!!!!!!! A GOOD PE RATIO IS ABOUT 10-20 , NOT 935. SO BASICALLY IF YOU DIVIDE THE STOCK BY 92.5 YOU GET .43 CENTS , SO NO $35 IS NOT A FAIR VALUE, THEY SETTING THIS UP FOR A LONG SHORT.",0.9917
2444,Try and find a low for a new buy,0.0779
2445,Grubhub just take the deal or you will go bankrupt. I m tiered of waiting and your greedy.,-0.6257
2446,Oh and let's find that dude that said $58. ha.,0.5236
2447,"Barron’s just posted the letter to investors. I don’t think it’s strictly the earnings or guidance doing this, but the letter sounded ominous. I commend Maloney for being honest with investors, but I don’t think he’s giving the company enough credit for being profitable in the face of competition, while still growing. Unless there’s a different tone tomorrow, this low will probably stick. Also, not sure why they released the night before they were supposed to? Some type of strategy here? And I do think at these valuation levels, an Amazon or similar company could pick them right up. They need some financial backing like the other guys.",0.9886
2448,Take a short,-0.4806
2449,Like Grub and IQ rocket stocks,0.6157
2450,I'm getting reamed!!!,0.0
2451,"Grub is really advertising and growing fast. Ask any restaurant owner they will tell you their success.People are only going with GRUB. They are aggressively pushing it by giving promotions. They give 5000 dollars to new restaurant owners.Doordash l, Uber are struggling and Grub is getting them more business as per some owners.I can only say buy in this weakness. The price will be in history.Gl",0.6153
2452,CNBC NEWS: These clowns make 15 cents per order; so where's to money for profits; let alone TO PAY THE DEFICIT needed to cover costs.,0.2186
2453,GRUB is down 9.93% to 34.11,-0.2462
2454,"Not only should this guy not be part of this company, but he should be sued by a class action of stockholders. Sounds like a immature 16 yr old pouting and protesting in the streets because their candidates didn't win. Unbelievable. If I was a class action attorney this could be very rewarding.",0.7924
2455,They will not let this opportunity go without making it work (i.e. paying for it). Eliminate competetion and fits right in with UBER business model. i'm guessing premium paid at $80 a share.,0.6089
2456,$40 tomorrow lol,0.4232
2457,Postmate is a good to buy to take more market share in CA area IMO. Never stop investment !,0.7584
2458,props to anyone one that bought puts,0.2001
2459,I believe GRUB hits $100. and WTRH hits $10.https://www.fool.com/investing/2020/10/20/grubhub-stock-soar-higher-before-just-eat-merger/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,0.0785
2460,Fake news!!!,-0.5513
2461,GOOD SPOT HERE TO SHORT GRUB. GET RICH IN A WEEK. !!!!!!!!!,0.4967
2462,"DoorDash is taking away market share from GRUB. In two weeks, GRUB will get cut in half on the opening.",-0.013
2463,is it too late to buy??,-0.1692
2464,Takeover price is pretty close to 50% of all-time high. Sorry for long time holders.,0.9063
2465,Waiting to get in. Think we hit the 52 week low?,-0.2475
2466,GrubHub reached a 52 Week high at 74.17,0.3561
2467,ANY NEWS?,0.133
2468,"This is a great long term hold company.Approx. $375M Cash on hand.$80M+ Free cash flow per year and growing.No debt.Growing sales and profit YOY, despite competition.People always going to eat.Stock an easy double in 5 years or less.",0.9702
2469,Thank you CEO lol puts saved sold! ;),0.887
2470,Now negotiating the minor details. Price gap has narrowed from UBER (1.90-1.925) and GRUB (2.15). I suspect they have settled on 2.0. Break-up fee only needs negotiated for the amount. Expect a deal either tonight or over the weekend. Upside calls flying off the shelves. Unusual activity highlighted on CNBC.,0.7536
2471,Is there a petition to the Funds who are holding this discriminatory CEO's stock? If so send a link so it can be signed,0.6845
2472,"$60 is like the finger in the damn. Once it cracks, all he’ll breaks loose and Any recent Longs will get buried.",-0.4407
2473,Analysts at Cowens Company probably don’t realize that they stumbled on to Uber’s Accounting Fraud without even knowing it. They figured a few months ago that Uber Eats loses $3.36 on every delivery & the last Q3 Uber Eats was losing $4.12. That’s one of places Uber took Revenue from to Lie about Rideshare revenue. Uber has been filtering some revenue from their other business into Rideshare. Total Accounting Fraud. Uber has fooled so many. Most people think their making profit. They run their company like Scientology only now their public & regulators are all over Uber...,-0.5885
2474,"Reason WTRH is a steal here for a very limited time till others realize how it all works. Some people don't understand college students, medical offices,any office type, factory. Those wanting delivery of places that don't deliver. Drivers drive for lyft and uber at same time.(you might have seen both sticker decals on same 4 door or suv.) They have to accept each delivery. That is why those who deliver door dash, also deliver for uber eats, grub hub, or even post mates,(some of them). Some use two platforms, others 4 or more. When waitr app gets just a little more known to the masses (almost there) by online ad blitz and the right promo running by waitr, you won't be able to stop this stock.MM won't be able to hold it down. You know why? Zero loyalty. Whoever pays the best and keeps the perks the most simple at the time usually a month at a time is who they switch to and drive for. I have seen the proof, plus it just takes one big chain, like say chipotle to say we only use waitr ,or this month we are giving waiter a"" trial run"". Postmates all over internet but they never delivered me anything. The waitr app is clean and simple than the others which will cary it far. It is far cleaner app than both uber and door dash and hanging right there with Grubhub. All cities are different habits and circumstances. (Some have weallthier customers, but it is harder or longer to get around a city.Which is why some promos make something worth it, (when it hardly was before, worth the effort) Download waitr app for delivery or driving and you'll see quality and know these guys are sticking around. We are lucky people get impatient and stock went to 20 cents, but it's not like many at all bought there in that range for instance. This is trending because it is here to stay. Waitr has 10,000 employees, it is about finding that sweet spot for the right amount of profit without pissing off the customers or restaurants. Mom and pop restaurants of chinese, mexican, italian like door dash, waitr but not grubhub and uber eats. But in close proximities, they do well like nyc. Spread out urban and or some rural, midwest, country, they excel at. Many things look like a big mess, until the public learns them or catches on. So many eyes are on wtrh. So many have put it in there watchlist and are just waiting till they see it start to move again and they ill jump on board. Panic buying for fear of being left out is not too far off inmo.",0.9957
2475,I think that $49.50 pop was the HOD. We should be trending down and making lower lows for the rest of the day.,-0.1272
2476,This company leaves a bad taste in your mouth. No Grubhub! Yuck!,-0.7603
2477,"Well done here. tick tock, limbo time.",0.0528
2478,GRUB reached a new All Time High at 100.84,0.3954
2479,too late to buy?,-0.0869
2480,I started using uber eats instead of Grub coz they give me points and they charge less delivery fees + tips.,0.7
2481,TANNK GOD STAY DOWN STAY DOWN STAY DOWN THANK GOD STAY BELOW 61 OMG SCARED ME,-0.2878
2482,"Idiot Terminator the GRUB Bagholder @ $146 ! It is now $80 ! It was $140, $120, $110, $100 $90. $80 Do you GRUB Bagholders really not think this trend will keep going? $70,$60,$50 etc ! What do you do now Idiot Terminator ? $AMD",-0.5547
2483,Long Term Support at $42. Not sure it will hold. This can go to low 30s in few days!,0.7163
2484,"CNN got cold treatment by Trump. no playing around....., this company under the demo-rat which is underpaying his drivers is going down",0.1297
2485,Should be 27 within 30 days. Easy money!,0.5502
2486,"Reality will hit you soon, you may be mislead that GRUB will dominate and eventually make big money. It is illusion, period.",-0.3168
2487,"Will not be using GrubHub ever again after his comments on the election. Never a good idea to alienate 50% of the public due to politics. Guess they didnt teach the CEO that. If enough people come out in protest of him injecting politics into the work place, he will realize that his actions have consequences.",0.6819
2488,Grubhub partners with potbelly How will this effect the share price guys,0.4228
2489,They are going to Shake-Off the weak hands. Stay LONG and be STRONG. 70's can come as early as AH today.,0.862
2490,"Wow, lost big ..",0.4506
2491,"Wow, an Amazon deal would amaze. It could be made free, or very cheap for prime members, thus bringing in enough new prime members to pay for all. Amazon could handle any costs or issues from adverse regulatory decision on driver classification. It would enhance Whole Foods, too. Bezos could find the 6+ billion under the cushions on his yacht.",0.9634
2492,"Yesterday it was AMC takeover, today is GRUB. What’s next? Too much manipulation in my opinion.",0.5213
2493,67 to 82 long will be happy,0.7428
2494,"Covered my Pure Earnings GRUB Short Sell at $67.60 for another outstanding one day profit. Shorted yesterday at $70.58. Beautiful gain of almost $3/share, and I had well over 1000 shares. That is how you make fast money in the stock market. Some traders think this system works just as well going Long. Pure Earnings Long plays. No. It does NOT. To score 75-80% wins and double-quadruple your money every year, you MUST do this system to the Short side. Anyway, I immediately pumped all my $$ into another Pure Earnings Short play. My newest Bloated Baby is COLM. Short a lot of shares at $113.17. Stock continues to go up into the close right now, but I feel VERY happy and confident in this Pure Earnings Short play. COLM is due to report earnings at 4:05 PM ET and I think the ER will be quite DECENT. But at the same time I think the stock will still sell off tomorrow in a significant way, because it is just HUGELY, GROSSLY, over-valued. Understand the psychology of the smartest trade and WHY I chose COLM to Short: If the ER is BAD this stock is poised to go down 5-15% tomorrow. If the ER is GOOD COLM is still poised to go down 3-6% tomorrow. If the ER is GREAT COLM is still poised to trade tomorrow between 2% down and 5% up. So, I am ""risking"" a 5% maximum loss, in exchange for a 75-80% chance of a winning trade, and the possibility of a 15% gain. This is how I succeed big as a trader. Good Luck Folks! :-)",0.9982
2495,1y Target Est 52.10,0.4538
2496,Nobody wants GRUB is waste of resources! $20 by end of year,-0.5021
2497,This is going to 70 by EOD,-0.1613
2498,And what does Chanos have to say? Is he even in business anymore? He was also short TSLA and said he adds to his short when TSLA goes up. He said that when TSLA was around $500 in April,-0.4166
2499,"While everyone here is taking their shots at when and at what price or ratio the Neverending Deal(TM) will close, GRUB insiders keep dumping their stock:Adam DeWitt (President-CFO-Treasurer) exercised 2000 options at $37.21 and sold them at (ta-da!) $60.00 on Friday June 05 2020.He's been doing this even at lower prices all May. Isn't that strange that he would keep selling stock that's supposed to ""go to the moon"" after UBER buys GRUB at huge premium to current price? Hmmmmm.",0.7
2500,GRUB needs to go private and the get an IPO again,0.3201
2501,30% of float was short prior to this 40% drop today. How many new shorts added? Or are they just churning shares promoting retail selling?,0.2315
2502,"GRUB asking 2.15 UBER shares per share; based on current UBER price, that wold be $72.24 GRUB.",0.6451
2503,It will touch $85 tomorrow#$%$$$$$$$$$$$$$$$$$$$$$$$$$$$,-0.238
2504,Haha. run shorts,0.6303
2505,This was an easy short today. More to follow tomorrow.,0.0287
2506,GRUB is down -5.84% to 71.01,-0.2462
2507,Also if you didn't cover you might want to go back and learn TA... LMAO,0.8449
2508,Oh FYI I saw multiple grub hub ads while watching Recorded American Greed episodes. That was on CNBC channel late in evening. The $20 million being spent!!,-0.2376
2509,"The Dunkin deal should be huge for GrubHub. Everyone wants donuts at their offices for meetings, etc.... This news will be a game changer.",0.7125
2510,Are you telling me left wing millionaires aren't propping this dog up right now?? Just lost 50% of it's client base,0.3979
2511,AMZN buying SCRUB HUB... i don't think so. AMZN could build the software needed in about 3 weeks.,0.3355
2512,This clown CEO dumb enough to insult 60 million+ clients = short@neverGrubhub,-0.6258
2513,#makeshortinggrubhubgreatagain!,0.0
2514,AEMD - Time to load up! Massive Gains coming!,0.7235
2515,I am seeing $54 anyone tell me what the price is LOL,0.5999
2516,GRUB is down 6.63% to 64.80,-0.2462
2517,"COMING SOON GUYS, ITS BEEN A LONG TIME COMING",0.5494
2518,"So, I buy 5 $1 tacos on the value menu because I am poor millennial and am also going to pay $5 for delivery? This will never work.",0.5151
2519,High fliers getting taken out,0.3676
2520,"""Grubhub said it will keep alive the Eat24 brand, which it said appeals to a younger demographic."" LOL ya Grubhub is tired of all the old grannies ordering food online...",0.5297
2521,wall street pumping this stock like crazy. Don't think this company is that special that deserves to trade at a market premium.,0.6362
2522,Buy all you can here. Every dollar this goes up means an extra 1.30 that Amazon will have to pay when they buy them out.,0.6211
2523,Deal is coming Thursday night at 4:30 pm official announcement.,0.4111
2524,"According to Faber, the two companies have been in discussions about a deal for about a year, but have so far failed to agree on a price.",0.1311
2525,"Ppl called this drop, well played longs",0.4258
2526,What analyst(firm) has the $110 price target? I wonder if they will raise or cut as company is guiding for zero growth going forward with shrinking margins.,0.4626
2527,GRUB is down 6.07% to 45.77,-0.2462
2528,I hear 75,0.1441
2529,I wrote and told them I will never use their service again. I used it 5 times in the past and liked it. I realized there are other options now. Their CEO isn't smart at all by what he wrote about politics.,0.7061
2530,Glad I sold yesterday.,0.4758
2531,I was short 4000 but this is much worse than expected.,-0.6721
2532,Does anyone think AMZN might buy GRUB?,0.2197
2533,testing the major resistance at 59.02 right now. Here come the 60's.,-0.1748
2534,"GRUB performing well despite the market. Remember, Friday, broke, but didn't lose above $40. Monday, closed above $40,. Yesterday, held the close above $40. If it closes above $40 today, the technical reversal and beginning of a new uptrend is confirmed.",-0.5299
2535,A trade on my TV 31.59. Did your TV show the same?,0.4249
2536,They are talking like this stock might go over 100$ per share... they deal should be done by this week coming up.,0.8363
2537,This goes right along with the current lifestyle. 80 soon,0.0291
2538,Going under $30 today - Sell short,-0.4248
2539,this will be 0 soon,-0.0587
2540,Support your local businesses and order direct from the restaurant!,0.8496
2541,Look into a Canadian company PKG,0.0233
2542,come on uber 80 grub takeout with no brake up deal,0.2604
2543,GRUB is down 16.33% to $91.72,-0.2462
2544,"Why are you longs upset? If you loved it above 50 yesterday, you should love it even more at 34.Me? I have no positions in this, just an observer. Frankly, I wouldn't touch it even at 2. But you should, after all, you loved it above 50, right?",0.9463
2545,Why is this going down?,-0.1821
2546,"Surprised such a day like this!! I drive GH on the side, I know how busy we are, but McDonald is a big deal...stock should go at least 5%, may be Monday",0.6945
2547,Shot off another purchase at $34.70,0.4021
2548,"If times get tough this thing will sink like an anchor. But again 10,000 boomers a day are turning 65. Maybe we are 30 years from a recession",0.1939
2549,This will go up like fitbit,0.4544
2550,"So only liberal Clinton supporters are allowed to have opinions in this company? If the CEO thinks employees that are Trump supporters are now going to go around the office using racial epitaphs or purposely offend women, etc. just goes to show how ignorant this man is. So he can create a hostile work environment for Trump supporters, but he himself has no tolerance for anyone else's views.",0.7772
2551,What do you guys think of earnings and is it too late to get in?,0.0256
2552,This is a $10 stock at best.,0.7194
2553,"I would say my son is pretty lazy We / he / ordered Domino pizza, two for one special ? or what ever! with delivery the bill was $ 10.00 more. My lazy son offered to pick it up, noting the charge was too steep for 8 blocks distance! ??? wow! === THE DELIVERY FEES HAVE LIMITS.",0.9735
2554,My # 1 Stock Pick of 2019. Going to 100 shortly.,0.4333
2555,dead sentenced pronounced on this company.beware!,-0.6702
2556,EASY $10 drop Coming by EOD tomorrow if not sooner! Sad but VERY TRUE,0.7374
2557,"Shorted 1k here at 36, GLTA! ",0.5714
2558,"DON'T SELL!... wait 8 months, when GRUB hits $11.00 a share and THEN sell!... because investing in an overly-competitive, nickel-and-dime business is SO smart! There are SO many filthy rich Mexican delivery boys in the country! LOL; anyone who invested in this company DESERVES to go broke.",0.9345
2559,"""Competition among the last food-delivery companies standing will remain intense.""Book Value: 16.08 EPS (TTM): -0.64 Profit Margin: -4.36%, P/E Ratio: N/A, And expecting GRUB to be able to maintain? Moody's says. An uncertain regulatory environment and customers' ease of switching from one provider to another also contribute to the sector's dynamic business conditionsRestaurants Bankruptcies are coming.",0.7861
2560,This stock is only worth $5 or less time to cash out you will kick yourself if you dont i personaly am longing this will make a nice chunk,0.7526
2561,"Tilman Fertitta: Restaurants are not making profits and wants rent forgiveness.Restaurants must reduce payments for food delivery. Once Uber & Postmates News is digested, Grub will open much lower tomorrow.",0.5987
2562,Huge call volume on the April 9 $39/$40/$41s expiring this week. Is something going on here?,0.5904
2563,easy short 93,-0.066
2564,"It is a YO_YO for GRUB. ALL I KNOW GRUB WILL lose it out to DOOR DASH. GRUB CAME FROM 100+. JIM CHANOS said it be O. I will see if GRUB can move up to 40 or not. If not, I think it will test 30.",-0.1654
2565,Sec won’t do squat but I think market sees straight through this and will dole out some punishment. Buy puts! Stack them to the ceiling!,-0.3913
2566,lawsuits are coming....................CEO suicide of his company. Deploreables will never buy from this turd again.,-0.7887
2567,hostile takeover in the making.,-0.2316
2568,This actually could return back to $35. Look at this insane spiral down chart. Looks ridiculous,-0.7552
2569,Shorts pushing real hard on a low volume day trying to get a close below the 52.30 support level. It won't work. Technical analysis still says the 60's are far more likely than the 40's.,0.4546
2570,"Looks like folks are being smart and taking profits.... Don't be the person that says, DARN should have sold at 47, 46, 45, 44... Anyone want to be the last one holding the bag? honestly, is GRUB really worth a PE of 70?",0.9429
2571,"Revenue and profit going to smash all projections orders are through the roof, they can't hire enough drivers to satisfy demand",0.4585
2572,this was almost $100 stock in the past 52 weeks,0.2137
2573,By forecasting little to no growth they are obviously setting a very low baseline which they know they can beat. They’re playing a game here; setting the tables for a win. I highly doubt they’ll be flat YOY during peak season. I don’t think they expected the market to take it so poorly though.,0.8058
2574,I'm out. I will be back $1 cheaper,0.2679
2575,GrubHub is up 12.94% to 52.85,0.1818
2576,Going up every day with 1/4 of the average volume,0.4713
2577,"Seems we have really run up quite a bit into earnings already. If it can maintain a value in the 50s, Ill be surprised. Looking for 45 to 48 over the next week post earnings.",0.5871
2578,Jim Cramer said this might not be the last bid...,0.1691
2579,GRUB is down 6.06% to 60.89,-0.2462
2580,Yeah!,0.3595
2581,GRUB just dropped to a new 52-week low. So glad I sold much earlier at a small loss.,-0.1454
2582,RobinHood Grubhub longs...,0.0
2583,yup 75.15 a share,0.4963
2584,wheres benjo price target 145 lmao,0.6029
2585,What do you guys plan on doing if a takeover is agreed upon? Take the Uber shares or cash out? I'm personally not sure if I really want to own a taxi company during the post-COVID era...,0.9157
2586,The Gorilla Trades stock service today wrote a very positive article/opinion about GRUB and it's future prospects. Projected a stock price of $75. I'm not involved but will get involved after a pull back.Good Luck!,0.8895
2587,grub in a long term downtrend because of its bigmouth liberal idiot ceo,-0.4822
2588,"100 buck stock not down to 37, run or short more.",0.0079
2589,Actual rally or just a Dead Cat Bounce with a few bargain hunters jumping in?? I dunno. But I'm willing to risk it and staying Short.,-0.787
2590,On its decent from $44 to $20,0.2595
2591,will never purchase from this company. will take great joy in watching maloney's business crash and burn. go to hell you fascist liberal progressive douche bag!,-0.5717
2592,Grubhub is just another scam. Zero soon!,-0.5205
2593,GRUB is down 6.11% to 53.00,-0.2462
2594,"Keep buying, morons.",0.0674
2595,"There's no reason for this stock to be where it's at... it is fully valued, as if a deal has already been made. There's is ZERO upside from here. If you bought this stock hoping to capitalize on the buyout, you should sell now because it isn't going any higher even IF a deal is made. Uber offered when it's stock price was at 30/share... valuing Grubhub at 60/share.",0.9529
2596,"The only pure-play food delivery service that also happens to be profitable. Amazon taking out the checkbook soon, no question. They want to own this space, and this is the only way to do it.",0.8407
2597,I knew the hype wasnt going to last with no confirmation. lots of profit taking before the bell!!,-0.7165
2598,"no way, Earnings miss BIG TIME!!!",0.3303
2599,now it's green lol,0.4696
2600,Fosl keep eye on it,0.6582
2601,"Maloney is a disgraceful, incompetent CEO.",-0.5027
2602,DEADCAT BOUNCE. LOSERS/EMPTY BAG HOLDERS BUYING,0.2178
2603,The only way this stock goes up is if I go short .,-0.0501
2604,"When is this idiot getting fired???? Is that your business strategy, alienate half the country and then try to sell them a service??? If so, job well done! If Donald Trump does not have the temperament to be President then Mr. Maloney, you don't have the temperament to get out of the 3rd grade!I mean who in the hell does this, torpedoes his own company? If this guy is not replaced before Monday then the shareholder suits should begin shortly thereafter. It is clear this Maloney guy does not even understand the concepts of capitalism so how in the hell can he be entrusted to be in charge of any for profit company. This guy is one of the biggest idiots I have ever seen in the business world, #moronCEO",0.6383
2605,GRUB is down 8.39% to 37.36,-0.2462
2606,"For the record.......Its not how many cars you make, Its how many cars you sell. This is important.The ENTIRE automotive sector is in complete collapse, and Tesla just happens to be in the automotive sector.Berlin is on hold, model S is real tired, model X is a warranty nightmare, model 3/Y not sure if the 3 will give up sales to the 3, no semi, no roadster, no 400000 orders for the Y, no robotaxi, no fsd (yet people paid for it), $11.6B debt......Tesla in 17 years has NEVER had an annual profit, and that streak is very safe.$spy$tvix$sqqq$xom$lyv$grub$uber$vac",-0.6591
2607,I think longer term GRUB will eventually merge with Uber Eatz...There will be some type of deal that goes down between the two in the next few years assuming they both pull similar weight in regards to revenue generation...maybe I'm crazy,-0.3805
2608,"Amazon each share earns only less than $3. Grub earns less than $0.3 per share, that is more than what Amazon makes! Amazon should make $9 a share if at this earnings ratio. Buy more at low!",0.8974
2609,Hope it saty here ill add more tomm,0.3053
2610,looks like Nasdaq and GRUB will enjoy the RED today..... sorry folks.,0.3363
2611,Bagholders will sell at $10 on Monday,-0.0201
2612,Down 10% after down 6% that’s big big,-0.3082
2613,got in at 66.67 lol,0.3859
2614,GRUB is up 10.04% to 38.13,0.1818
2615,Starting to think it’ll be 3 days only. Those trying to do this are gonna get roasted.,0.2819
2616,"Libertards commonly do this to conservative businesses who speak and stand up to their conservative ideas. If you're not for them then you must be a racist,anti LGBT, climate change denier and on and on. Now they get a taste of their own medicine and see how they feel when the wind blows against them. lol",0.8475
2617,Grub will see GRPN price soon <$1,-0.0073
2618,Why is this dropping like a rock rn,0.7346
2619,Guys...im not short or long but this is one ugly chart. The competition is everywhere now...like a virus. They keep spending to fend them off but its futile. Like a fish out of water trying to get air.Im sorry but I have to initiate with a sell. GLTA,0.8324
2620,P/E 770 TO 1.,-0.3865
2621,I’ll buy when it dips below 12,-0.0347
2622,out at the open,0.0548
2623,Great opportunity to sell,0.7995
2624,Wanted to keep my long position open... had to hit the reverse button and go short.,0.189
2625,MAJOR WARNING THIS COMPANY WILL CONTINUETO BURN  YOUR MONEYIT HAS ZERO SUSTAINABILITY ZERO,-0.3574
2626,"Interesting. So if Uber is losing to this rival, then this deal must be even higher than 72 bucks. Where is it? How much? Why is GRUB going down?",0.3013
2627,"The price of $75.15 is based on the ""undisturbed"" June 9 closing price of Just Eat (LON: JET). That price was £87.74($111.89).Today price is £76.26($97.24)Taking that you get 0.671 ADRs for each GRUB share, today price should be at $65.25.",0.6329
2628,Sheet...I bought 1k shares @ 81! duh...,0.3595
2629,I never had any intention of buying this stock but the uber eats driver just ate my order and quit her job. I'm buying out of spite.,0.4322
2630,im new so please help me understand,0.7507
2631,when is amazon going to buy Grub?,0.3289
2632,Michael I hope u lose all ur buys soon,0.1705
2633,"EPS up 60%/ Rev up 52%, both beating est; guidance more than est. Only down so hard in this nasty overall market.When market calms down, GRUB will be running up like a rabbit!",0.7886
2634,Selled it all premarket,-0.0148
2635,"I know GRUB is down a lot today but it looks to me like she wants lower. Close to the LOD right now and there is no serious buying interest. Everyone seems to recognize that the company has huge problems going forward that make it impossible to justify as a serious, long-term investment, while at the same time daytraders to the Long side are just taking very small profits and getting out real fast. This suggests to me as a happy Short there is very limited upside risk from the $44-$45 level while at same time a better chance it could break down even further later today, to the low 40's. Staying with my Short and remaining greedy. I will be Covering by 3:40 ET and moving on to my next Pure Earnings Short Sells. Because my cash assets are growing nicely I think I will split the baby this time. Gonna put 50% of my cash capital to a Sell Short of TRIP and the other 50% to a Sell Short of TTD. Completely different profiles here. TRIP is a failed company in huge trouble because of the virus. TDD is a successful company doing well partially as a result of the virus. TDD is just FAR too overvalued and toppy at $300+ a share and I think they will NOT meet their consensus estimates. Excellent risk/reward ratios on both of these plays so I will probably do them both. A little less risky doing 2 instead of 1 but also less profit potential because the odds of getting BOTH to be 10+% winners is less than the odds of 1 of them collapsing that much.",0.9895
2636,"primitive CEO hates American workers and our president, underpays drivers and stiffs customersnever use this company",-0.3546
2637,monday,-0.0228
2638,This garbage has no volume ... pure manipulation waiting ER that will drive another 40% drop.GRUB is going bankruptcy. My best friend is an employee there and he told me. They are desperate.,0.7893
2639,#$%$!,0.0
2640,Halted again @58.44,-0.2212
2641,Grubhub will ended up bankrupt if it thinks it has options,-0.4709
2642,Offer for 28.75 ends 1.30 ET-LEMON LOLLY POP GOOD FOREVER,0.6905
2643,much better day hope we can keep it up,0.8141
2644,I'm going to retire on this stock...,0.0272
2645,missed the boat on this one. never thought it had the legs for this sort of run.,0.2361
2646,How long until we see the mid-$40's?,0.4348
2647,"GRUB Is Vulnerable Operationally with the delivery of its products to end users, with its management and their inept CEO, and the corporate climate of racism and intimidation against its own employees.How does GRUB survive with this type of operating climate?",-0.4664
2648,buy buy buy!,0.4316
2649,Grub report tonight or tomorrow? Thanks,0.5288
2650,GrubHub is up 5.13% to 63.75,0.1818
2651,"The biggest issue is that GRUB aka Eat24 didn't build out their business model well when other competitors started poking their territory. when Uber launched ubereats, GRUB should have partnered with a company like postmate or lyft to stay competitive.GRUB will be traded like Fitbit - heading all the way down.",0.6396
2652,Jim Chanos (kynikos Associates Founder) said this stock is the best SHORT that he has. To me they look like thieves who are stealing from the resturants to make their profits. They expect the resturants to give up 20%.,0.3574
2653,Tomorrow is gonna be big for GRUB,0.1344
2654,"Grubhub has been hit with a lawsuit after allegedly adding more than 150,000 establishments to their platform without informing the ownersA lawsuit filed in Chicago claims that Grubhub added ""non-partnered restaurants"" to its platform to please shareholders and boost revenue to beat out competitors like Uber Eats and DoorDash.",0.6096
2655,The market is dumping $GRUB for $APRNI'm holding both,0.0943
2656,*** ALL ALERT ***Heading my previous target $50 IN NO TIME!!!Target is $75 XMAS 2016.Boat is leaving....GET ON THE BOAT!!!HA HA HA HA HA HA HA HA HA HA HA,0.9869
2657,When revs are up and orders are up but earnings are down that's just not a good look. Especially if you are a one trick pony in a crowded space.,0.5354
2658,Volume is picking up!!!,0.5016
2659,Which moron buying this garbage with P/E 55 at this bear market,-0.6902
2660,I’m confused why 25% shorts. Any idea why. Revenue and earnings growth is strong and solid financials. Great service personally use it often and see a lot more opportunity for growth with only a $9B market cap,0.9368
2661,"Mr chino , short seller b pretty happy ...",0.6153
2662,"Down with the Grub""",-0.2123
2663,"What Grub Hub is clearly saying is, HELP!!! HELP!!! We make no money and cant find any clean cut folks to deliver food. We hate this business, so some sucker buy us.....PLEASENo cash needed, just shares of whatever you got.If Uber gets this.....there toast.",-0.647
2664,Sorry I need to focus on Pinterest PINS. Earnings tomorrow,0.1292
2665,I never listen to analysts... stock manipulators,0.3322
2666,"This is a luxury good. As the economy starts to slow down, people will simply not use the service. They will look for cheaper alternatives like driving themselves to get take out. I do not think this company or any other food delivery services will do well in the next few years.",0.8284
2667,YES DEAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.5951
2668,Huge trades coming through. Wow what’s going on??,0.7728
2669,what the hell happened,-0.6736
2670,Nice scam story on CNBC saying grub hub could be worth $75 per share in a merger. Talk about trying to manipulate.,0.6604
2671,Okta were used to be same but will be up trend next few days!,0.6284
2672,"As Jeff Bezos said for 12 years regarding Amazon,""concentrate on the revenue growth, not the earnings"". Those last 3 weeks in march was the story for GRUB. I never used them before then. But now they are a go to. Fast, reliable, and clean. 20% charge? so what. It's what I tip in the restaurant anyway. So, obviously those who dislike the 20% are not tippers, just low-life cheapskates. GRUB is here to stay and I bet Bezos would love to own them.",0.9403
2673,GRUB is down -6.03% to 135.31,-0.2462
2674,"not crashing down like shorts said this morning.... maybe there is something brewing. this thing can go up fast with another ""fake"" deal",0.7083
2675,ITS NOT GOING HIGHER SHORT IT,-0.2811
2676,great opportunity to buy on the dips.,0.815
2677,How can they not post a profit during this time?It won't get better than this for GRUB.,0.2672
2678,WHAT HAPPEN TO YOU OVERNIGHT?,-0.0112
2679,"WOW ! RARE DOUBLE DOWNGRADESTO SELL RATINGS !Shares of food delivery company GrubHub tanked more than 43% after disappointing earnings and dismal guidance forced Wall Street to abandon the already struggling stock.GrubHub received five downgrades, including double-downgrades from both Bank of America Merrill Lynch and Oppenheimer, where the firms flipped from recommended buying the stock, to selling.",0.7421
