,Recent headlines and conversations for CMCSA,Polarity
1797,"Joe, still with you..",0.6306
1798,Just read in ny that layoffs coming at nbc just days after thirty rock bombedHow is that possible?Oh yeah most people living outside of NYC live in the real worldnot some madeup liberal fantasyland,0.6965
1799,"If it weren't for cautious market sentiment and China trade war (which has nothing to do with this company but still still be affected nonetheless), this stock would be at 45 already!",0.4274
1800,Hammer Fiber (HMMR) looking to take some of Comcast market share of cable business in Baltimore....interestinghttp://m.marketwired.com/press-release/hammer-fiber-set-launch-wireless-internet-phone-television-services-baltimore-otcqb-hmmr-2235808.htm,-0.0253
1801,Heartbreak. That didn't last too long.,-0.7281
1802,Major bear market... expect all P/Es to get crushed. It'll pull $CMCSA down to $20 and that assumes its E holds.,-0.699
1803,Hey bias NBC liberal Fake News another night of 15 minutes of Trump bashing. Shame on your bias Fake News. Another source of Democrat evidence to support their bogus claims of collusion between Trump and Russia is falling apart.https://theduran.com/russiagates-trump-dossier-ex-spy-admits-contents-unverified/,-0.8175
1804,MIke I hope bill passes tomorrow to bring market up tomorrow.,0.6329
1805,Savanah Guthrie is an embarrassment to every shareholder. She is the most disrespectful person I have ever seen on TV. She just has to go.,0.402
1806,what does any of that have to do with the stock price of Comcast??,0.4359
1807,"Shameful defense of Ackman’s stage act on CNBC. Had respect for Sorren - now only contempt. Even Becky adjusting - probably under pressure. CNBC, Comcast and Ackman should be investigated. Appears as if he was intentionally given a soapbox to a particular end - now trying to be explained away.",-0.3851
1808,"Wednesday or Thursday have been pretty strong days for this ticker. Expect of course Friday the 13th, but still can’t figure that one out. Hopefully trend continues this week. Good Luck out there.",0.978
1809,Greed is not always a good recipe for success,0.6878
1810,Since governors stopped packing n homes full of infectious patients. Deaths are way down,-0.032
1811,Joe enjoy your Franks & Beans.. tonight..,0.7903
1812,"Well, we are less than $1 from new all-time highs. Maybe Trian gets us there and onto $50. If the parks and studios begin to reopen at a greater rate, do you see CMCSA into the mid-$50s by 3Q 2021?",0.8989
1813,"Analysts have speculated that Burbank, California-based Disney could agree to a deal with Comcast that might involve swapping portions of Hulu and Sky and potentially renegotiate distribution rights over Disney and Fox content with the British broadcaster",0.1219
1814,"So Bloomberg runs a story telling us how bad Iraq is for pumping more oil than they should. Iraq, who has had their country destroyed by us, invaded by Iran, taken over by isis, in great debt, and in crisis. And Bloomberg makes them out to be evil for trying to bring something back to their country.",-0.7695
1815,Ouch! EMBARRASSING DROP OFF FOR POOR NBC - LESTER HOLT THEY NOW JOIN CNN IN A 20% DROP FOR MAY WHILE FOX POWERS WITH THE TRUTH AND HOLDS MOST LISTENERS AND VIEWERS.http://www.foxnews.com/entertainment/2018/06/05/embarrassment-for-nbcs-lester-holt-as-struggling-nightly-news-sinks-in-ratings.html,0.1144
1816,"This morning, weather channel Steph Abrams, an indirect employee of liberal comcast, talked about the crew returning from a 100 day mission from the International Space Station. She said how it was the first crew to go up since the virus, and that nothing changed the entire time they were up there. No Steph. Big changes. They have therapies to stop the deaths. Hopefully Cuomo and Wolf stopped sending infected people to nursing homes. Steph, the virus is still here. But its like the flu now. It is different. Totally. Maybe you were on the station, and not following things on earth. or maybe you are marching to the agenda. under socialism steph, how many weather forecasters will there be ? And how low do you think their pay will be ? Don't you like freedom Steph ?",0.9214
1817,Mike we are getting to that $40 number.,0.2839
1818,Enjoy the ride..What Ride...Cmcsa has been in the $40 range sense last April..Stock sucks..,0.305
1819,the country has big problems Comcast is the least of your concerns.,-0.3763
1820,COMCAST needs Sprint,0.3422
1821,Don't be a dip.....buy on it. Perfect time to buy.,0.6393
1822,"Last night, Hillary told the world that Obama did a great job saving the economy. But she didn't bother to tell us that it was the likes of Chuck Schumer and other far left congressmen, who threatened banks with regulation and lawsuits if they didn't lend to people without jobs.Schumer and his far left must share most of that blame.",0.7725
1823, NBC / MSNBC Fake news not a word that Obama and democrats approved ATF and bump stock sales back in 2010. Free pass for Obama and democrats again.,0.6989
1824,next year estimate eps $3.24 wowwww pe of 10 on premium iconic co,0.2079
1825,"Another blow for concast, they lose the olympics and the ad revenues https://www.zerohedge.com/markets/ioc-member-says-2020-tokyo-olympics-will-be-postponed-likely-2021",-0.1642
1826,MSNBC/NBC/CNN/ABC/CBS- all fake news networks you have to be brain-dead or have a low IQ to believe anything they say.https://m.youtube.com/watch?v=v-8EPmM8Ijk&itct=CAoQpDAYCiITCJXH8anTjNUCFc7jqgodFAQKOjIHcmVsYXRlZEjx_tTaqZPTknM%3D,-0.4173
1827,We might be giving some back today. Let's see what happens.,0.5871
1828,"I'm trying to watch the Eagles. Not sure why. Seems like their players don't even know the rules.Anyway, there is an amber alert from Shippensburg. A white-latino mother and father are involved.It runs every 3 minutes. It blocks the entire screen. I keep hearing a vague description which could pertain to 10 million people. It runs over and over. I'm 100 miles away. Amber alerts should be a text window running across the bottom of the screen. Have the background red. Have it about 15% the height of the screen. Don't block out the entire screen, over and over and over.But don't stop the broadcast over and over and over.",0.6208
1829,$3 competition?,-0.0518
1830,"Mike Missanelli. wow. Watch the video. The sports channel for comcast, is talking about a woman walking her dog, for crying out loud. Is dog walking a sport now ? The woman host says she wasn't being attacked. Yet how does she know ? The woman walked towards the man first. So. She doesnt know what the guy said to her. If he was swinging his fists at the dog, or kicking at it. The little princess in the radio booth didn't see what happened. And the other host says its a crime to call 911 with a false report. Its also a crime to shoot people, thrown bottles at people, burn buildings and loot. So why isn't he calling for all those bad protesters to be jailed. The worst of this is, apparently we are all being charged 8 dollars a month in the sports fee, to talk about dog walking.",0.5242
1831,just squeeze it. baby !,0.5045
1832,Growth fund dumping CMCSA. it has to go down lower before value fund will pick it up..,0.0604
1833,Comcast has been screwing people forever with their high fees! I won’t shed any tears if their stock goes down!!!!￼,0.319
1834,New 52 week high today. I would have loved to see it close in the green today. This stock is so undervalued. Should be $55+,0.8387
1835,"Comcast is a garbage company. They raised my rates about 30% every 9 -12months. 4 years ago I was paying $100 a month, last month it was $202 for the same service. I cancelled them and never felt better. $2400 a year for internet and cable, forget about it. I just upped my Verizon phone plan and will stream now.",0.5501
1836,"Check out internet costs around the world. Notice that US costs are among the highest in the world. I hope when Warren and Sanders take over, they not only break up the banks, and hi tech, but that they also go after the monopolies like Comcast.Its a fact that Comcast wants tons of cheap labor crossing the border to work their phone centers. When these low cost workers vote, they will vote left. The same people comcast is using for cheap labor, will be the same people voting for politicians who want to break up money making companies. It will be awesome.",0.9516
1837,Wowowowow red hot valuations. CMCSA will only dip further as the numbers reveal it will need to overpay to outbid DIS. Buying at $28,0.2525
1838,"As much as I can't stand Matt Lauer, and the lying liberals on NBC, subsidiary of Comcast, I think they should have suspended him pending an investigation. Innocent until proven guilty. When he is convicted, or when he makes settlement payments, then and only then should they have canned him. By the way, Penn State is still paying for email privileges for Graham Spanier. And he is still probably accruing pension benefits.",0.4371
1839,Hey Mike I think we can handle this big loss today.,0.5169
1840,"wgal tv in the susquehanna valley tells you, over and over and over, that they are on your side.they show peaceful protests, never showing a burning car, building, or statue, and tell us they will guide us through the change. change is good. but not change to socialism. You can see the seething anger in Stelson, yet she doesnt realize under socialism, you have to say only what is approved by the state. She and her station hate conservatives, but when they get into power, she will socialists even more. her station probably has an agreement with them, to operate after the takeover, but that agreement, with most all others, will be thrown under the bus. utopia is for those in power. emptyness, sadness, hopelessness are the only emotions that will be felt. your kids will be taken from your home when they are 3, you won't be able to go to the mosque, or church. you'll have nothing , but the government. but they dont care about people. and wgal tv isn't telling you that. how in the world can they be on our side ?",0.9884
1841,Come on Comcast 6mbs for 36.99 promo??? while you tout a 15mbs 34.99 promo.Doesn't jive man.Time Warner lives on.,0.3343
1842,Sure taken the long way up..,0.629
1843,"I do not feel sorry about comcast loosing value, they increase my bill every month,",0.6352
1844,Every time I contact a representative of COMCAST about my TV I am LIED to. This company does not know how to tell you the truth. After 20 years with this despicable company I am leaving. I am going with a friendly competitor. Everyone I know (including service techs) hate this company. I don't know how this stock stays up. I WILL NEVER USE THE SERVICES OF THIS LYING COMPANY AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.3615
1845,true for the whole financial system built on phony money and huge debt,0.4143
1846,Comcast’s US domestic long haul network is leased from Lumen Technologies(LUMN) and expires fast in 2024.Schada! They are SOL for any extensions or reasonable pricing understanding broadband demand in the evolving internet today.,0.8273
1847,Wow! CNN fake news gets caught lying again. http://www.townhallmail.com/ucpbhjdgbbpshgbgsghwdszffcsffgcdmmwjkhphyqgcmgn_ufhqpncwypfshngchcwpyy.html?a=&b=02%2F03%2F2019&c=e1b642d82c9b7a40d859e3e2f6063c2e&d=27593076,-0.1113
1848,HIGHER TAXES DEFUND THE POLICE BAIL OUT LOOTERS OPEN BOARDERS PRO ABORTION NO GOD IN SCHOOLS WHAT A PLATFORM THE DEMS RUN ON! A DISGRACE!!!,-0.5007
1849,How long will CNBS allow Larry Kudlow that blowhard to talk on CNBC. Whats next pictures of him blowing Trump?,0.7909
1850,"OK, looking good again.",0.7144
1851,"Noah Oppenheimer needs to go. How does this ""Executive"" also have time to be a screenwriter. Either Oppenheimer goes, or Brian Roberts must resign. BOD...do your job!",0.2436
1852,"No Joy to Work with says other staff. MSNBC's Joy Reid threatened colleague with violence, was homophobic during her radio days, ex-bosses says. Now she’s trying to lie her way out of it just like liberals do. http://www.foxnews.com/entertainment/2018/06/07/msnbcs-joy-reid-threatened-colleague-mocked-gays-during-her-radio-days-ex-bosses-say.html",0.2286
1853,There needs to be a culture and ethics change at Comcast. I have switched from CNBC & NBC to Bloomberg and FOX. At least I can watch 3 good journalist that were at CNBC and have switch to FOX. It will take a long time to get me back as a viewer while Comcast goes through their culture and ethics changes. More and more people that I talk to have also switched to FOX. I am very surprise that the CEO has not come out in front of this scandal.,0.9175
1854,"I wonder why Dave, Berry, and Mr. Magoos posts all seem similar? It doesn't take a rocket scientist to figure it out, whoever you are. Why so many aliases? No one pays attention to you at home?",0.5135
1855,Mike going to go out on a limb and say we close above $40 have safe flight back to Florida.,0.8734
1856,"Apparently all liberal progressives, like Pelosi (M-13 people are good people), Obama (""do not arrest Iranian drug dealers"") , and Roberts (liberal progressive who will not say they are wrong) march in unison. No conviction. No morals. No values. Jyst undermine the country whenever you can.",0.1383
1857,with the return of the premier league sky will see a boost without people being able to watch in the stadium the ratings will sky rock,0.9397
1858,Fox and Disney are not going to allow Comcast buy sky.,0.7046
1859,"Comcast shouldnt miss out on getting the simpsons, family guy, The X Men franchise, Dead pool franchise. This movies have made $400 million plus domestically.",0.7882
1860,I believe ComCast is about to rise with NFL season starting new shows on NBC. alot of these getting turned around with corporate.,0.4676
1861,CMCSA reached a new 52 Week Low at 30.86,-0.0585
1862,LOL! At CNN the liberal Fake News networks. Ratings in the toilet too.Remember CNN - Donna Brazil giving dishonest Hillary debate questions in advance.https://m.youtube.com/watch?v=GsPawjyl4wE,-0.1315
1863,$CMCSA $ROKU We should see some fireworks soon https://www.cweb.com/nbcs-peacock-service-added-to-netflix-streaming-stock-surges/,0.1921
1864,Dogmatic self-promoter Cramer gets schooled by Pelosi. As an aside it was noted that the Republican hierarchy are still whining about food stamp usage even in the middle of this significant recession.,-0.6474
1865,"Fauci said earlier intervention would have saved lives. We all know that now. Thanks to China, and the WHO lying to us, we started weeks later than we could have. Here is an online petition calling for the resignation of GHEBREYESUS, the WHO leader who played politics when the virus started, and is now playing politics again. Sign it. Lets get rid of the person who has helped kill thousands of innocent Americans, and others all over the world. https://www.change.org/p/united-nations-call-for-the-resignation-of-tedros-adhanom-ghebreyesus-who-director-general?recruiter=1043481144&utm_source=share_petition&utm_medium=twitter&utm_campaign=psf_combo_share_abi&recruited_by_id=18e33070-51ee-11ea-ba92-a9c2dee67bb1",0.9034
1866,Comcast will soon get 5billion from hulu watch it go up then,0.3048
1867,Cut me Mick.,-0.2732
1868,Still red..,0.0428
1869,Mike the sky is blue good day brother,0.7974
1870,Well I added more today at the close,0.2583
1871,CMCSA could be a good candidate for WMT to complete with Prime. They haven't finalized a deal with Amazon or Roku.. so WMT over to you..,0.4449
1872,I just jumped off.. enjoy your day :) Oh look it is going up already.,0.8227
1873,"After watching part of the first half of the Eagles against the Bengals, I saw something that really made me angry. No, it wasn't the offsides, or false starts, or roughing the passer penalties the eagles make in every game they play. It wasn't Wentz telegraphing every throw he makes, no it was a commercial. The Zales commercial where 2 women walk down the ailse in wedding bliss. Football is supposed to be entertaining. Not a god dam commercial about being inclusive, and promoting non traditional values. I think in horror when some little 5 year old girl is asking their mom or dad why there isn't a man in that marriage. That garbage should be on TV only after the little kids have gone to bed, or the NFL should be required a TV14 warning for its viewers. And I also wonder what muslim viewers think when they have to watch those 2 infidels march down the ailse. .",0.7063
1874,Comcast execs donate pay to help employees:https://deadline.com/2020/04/comcast-ceo-donates-salary-to-charity-employee-fund-500-million-1202897525/,0.408
1875,cheap stock with excellent management - track record speaks for itself,0.8331
1876,"Now that the div payment is out the way Im okay to buy.with no more commissions, I break my positions into smaller chunks and try to keep the daily loss below the dividend yield.Peacock is free with their internet only service too. I cant wait, I really like the CBS lite app too and will be on the Flex box default",0.0739
1877,"I don't understand why Comcast, a supposedly liberal, progressive company, led by Brian Roberts, continues to broadcast Becker. Becker stars Ted Danson, who showed up at Whoppie Goldberg roast, with Blackface, and used the N word over the microphone over a dozen times.Perhaps Comcast isn't liberal after all. Perhaps all they want is cheap labor flooding across the border. Perhaps all of Dansons behavior is perfectly all right with the Comcast Board of Directors, the majority of which is white men, like Ed Breen",0.9193
1878,"I have owned Comcast for too long now. It has been one of my worst performing stocks. It owns NBC News, also one of the worst performing news outlets, famous for fake news. It is time to dump this loser now.",-0.8512
1879,"TAKING A KNEEI listened carefully to the comments by the Black football players as to why they are taking a knee. The first is that they are more likely to be stopped by police than white people. Blacks commit a disproportion amount of crimes. So if a crime is committed by a Black, police will be looking for a Black that fits the description. If a crime is committed in a Black neighborhood, which logically translates to few Whites living there, the police will be looking for a Black that fits the description. Based on FBI statistics for 2016 there were 9,374 murders & non-negligent manslaughter arrests in the US. Of these, African American arrests accounted for 4,935 or 53% of the total. African Americans are 12.3% of the population, but account for 53% of the arrests for murders. Or, there were 76,267 Robberies. Of these African Americans arrests accounted for 41,562 or 54% of the total. That's disparity.This police brutality is exaggerated way out of proportion. The exaggeration seems orchestrated. Racism is used almost in every sentence and every discussion these days.The next comment I hear from the football players taking a knee is disparity in school opportunities. I cannot comprehend that comment! We have been busing kids across towns since the sixties to distribute them into all neighborhoods. That destroyed the trend of people purchasing homes near a school for their children. Even Black mothers have complained about that. After 50 years of affirmative action schools have set up quotas for Blacks disproportionate to Whites. They have lowered entrance qualifications for Blacks. Some Blacks chastise others for trying to do well in school. Blacks are given preferential treatment before Asians and people with a higher aptitude score are being bypassed. There are Black only schools. Still the Blacks are disproportionately more likely to drop out or not go on to college.Next it’s job opportunities. Again, 50 years of affirmative action gave us set asides, quotas, preferences, lowering standards, and many more special treatment for Blacks. With disproportionate amount of dropouts in schools, Blacks have a harder time meeting job and skill requirements. I think some Blacks get jobs they aren’t qualified for. The Media and Liberals make the Blacks look like they are 50% of the population. They are 13% of the population. Depicted another way, if there are eight people in a group we should only expect to see one Black. Yet the media, the press, and liberals create a 50% image in commercials, movies, TV shows, committees, etc. If there are more than two people or actors in an entity there must be a Black. That’s disparity!Music awards. RAP has been added to the music awards program. In all recorded time any vocal can be played as an instrumental. With RAP, taking out the words leaves just an incessant repetitive drum beat. Then there's the pornographic words, degradation of women, and crotch grabbing. That's not music, that's garbage and music disparity! Fifty years of affirmative action and the Black demographics have hardly changed. Most of the single mother families, fatherless children, families with children from different men, a disproportionate amount of crimes, a disproportionate amount of druggies, disproportionate amount of prison population, and multiple generations that have never worked are all Black demographic disparities. Our welfare system, controlled by Democrats, perpetuates these demographics. This current wave of unrest amongst Blacks started with the totally false “Hands up don’t shoot” movement followed by the “Black lives matter” movement and their chant “What do we want? DEAD COPS! When do we want it? NOW!” This increase of tension sure seems orchestrated and is setting back years of Black accomplishments and their movement.I fear people will become desensitized to the real problems with this incessant rant of racism. This problem will never end until the Black demographics change and they have leaders that really want to improve Black and White relations and improve the Black demographics.",-0.9297
1880,Buy on weakness.......jmho,0.1596
1881,"MSNBC is running a story about how the President is calling a virus that originated in Wuhan China, the Wuhan virus. Apparently China called Comcast, and comcast management bends over and asks if they've bent over far enough. Comcast/MSNBC is standing side by side with their master, China. Even though in a world court, China can easily be convicted of human rights abuse by keeping their virus outbreak a secret and allowing the rest of the world to get infected. How will MSNBC and comcast help us get hurt, sick or killed in the future ?",0.9199
1882,Added more shares today at $44.60,0.3565
1883,fake news on both sides last 30 years record debt & deficits with no end in sight -,-0.8074
1884,"Well, here we go again..RED..",0.2569
1885,Nelson Peltz needs to break up this company to unlock value for shareholders. Charter has outperformed compared to Comcast for years now.,0.5921
1886,"The left, with their hidden agenda, is in an uproar, that Hillary had to answer a serious questionfor the first time in her life.And of course she used the ""I had a concussion, and I don't remember much"" excuse.Yet she helped negotiate dozens of deals when she was see of state. Apparently extorting moneyfrom the rich, and from middle east countries didn't use much of hillarys damaged memory.",0.7503
1887,"Underdog for a long time. Just raised 10 percent dividend. Remember one year ago when many anylysts, gurus who were bad mouthing Comcast? All are hiding today.",0.3036
1888,THAT JERK CRAMER SHOULD BE FIRED FOR BASHING FOOD STOCKS! HE TOLD A CALLER YESTERDAY NOT TO BUY K!! AND MISSED A 6% MOVE TODAY!! MDLZ ANOTHER BIG SPIKE!! AVOID FOOD AND BUY APPLE HE SAID! A MORON!! PETER LYNCH LIKED SLOW OR NO GROW COMPANIES!! FIRE HIM AND REPLACE WITH TIM SEYMOUR! MUCH BETTER LOOKING AND SMARTER!! AND OWNS UP TO A MISTAKE!! CRMER IS A BALD BUFFOON!!,0.9292
1889,We're going higher tomorrow fellas. Strap in!,0.303
1890,Comcast is a media company. So I heard,0.2384
1891,Did you ever think a US President would be more concerned about what clothes Nordstroms carries than what Russia does?,0.0903
1892,"Joe, haven't seen you on line..Hope all is well..",0.5292
1893,So i should definitely utilize the 15% discount for the employee stock purchase program? Hmm you guys think i should do 5% of my income or 10%?,0.7691
1894,Fake News NBC/ MSNBC I bet you will not cover this real story on your bias liberal Fake news network-  Vegas shooting victim stands for the president of the United States out of-respect. Something you lack at your bias liberal Fake News network. https://100percentfedup.com/watch-victim-las-vegas-killer-gets-visit-melania-president-trump-hospitalwhat-said-melania-told-not-stand-injured-leg-going-viral/,-0.733
1895,Time to buy !!!,0.3522
1896,Stock offers a dividend? Are ppl satisfied?,0.6977
1897,"PSU now only listens to one side. if you are conservative, you have no voice.Isn't that Facism ? Does Comcast give money to PSU ? Roberts claims he is for diversity, yet there is none at Penn State. Right now, many could simply care less if they ever play football again. How can you root for a college, when their students are being taught to not only not listen to others, but to hate them. No conservative views tolerated in the USA. Can you imagine that ? And we pay state taxes to fund facism ?Do they have any time between brainwashing sessions to teach people how to think ? if you goosestep, you arent thinking. FACT.",0.8331
1898,I love it when liberal fake newscasters like morning Joe and Mika along with gay Rachel Maddow make a fool of themselves. https://m.youtube.com/watch?v=4NicKO9nLKI,0.7145
1899,Tillman on fire,-0.3169
1900,nothing good happens below the 50 day moving average - technical fact,0.7354
1901,"Head and shoulders bottom should be complete any minute..... I would guess the breakout would coincide with whatever they announce on SKY deal or lack there of... Quick trip to $38 looks about right, if the pattern works.",0.8528
1902,"It will be interesting to see how the patent infringement suit by Wherever TV (TVTV) pans out against Comcast. The guide used by Comcast looks very similar to the one patented by TVTV, The interactive guides are an important part of the Comcast/Infinity experience and they're probably going to have to settle with TVTV,",0.8117
1903,Upgrade inbound,0.1485
1904,"In Jan of 2019, CNBC and several other haters of our country, put out a story about no cola for 2020.No doubt done purposely, to make millions of SS recipients worrisome, after just getting the cola news for 2019.That's what liberals do. Instill fear, and hatred, and whatever they can for the new world order.Now we see there is a nice cola of 1.6%. Maybe next time, instead of trying to make people unhappy and fearful, so called news companies will wait until the chance of something happening is realistic. https://www.cnbc.com/2019/01/17/early-data-suggests-no-social-security-cost-of-living-adjustment-for-2020.html",-0.8768
1905,Looks like may be going green..,0.4054
1906,Is this stock afraid to hit 40 or something?!,0.456
1907,New! Visual eye control of tv for those that can’t use a remote! How cool,0.8197
1908,Here is the report on comcast donating to the family that owned slaves until the 1850's.https://readsludge.com/2020/01/29/msnbcs-owners-shower-biden-with-campaign-cash/,0.1664
1909,Advertiser ProFlowers is the company paying for adds on the Comcast homepage that does not work.I hope that Comcast will reimburse them for the money they flushed down the toilet.,0.0168
1910,"Just wanted to give folks here a heads up that the global warming ""Hiatus"" has returned according to NCEP satellite data which shows global average temperatures fell 0.5C degrees from March to April. We are back to roughly 0.3C degrees above the 1981-2010 satellite average with the influence of the Super El Nino warming fading away. While media went wild over the temporary warming of the Super El Nino, I doubt that they will be as anxious to inform readers that post El Nino cooling has occurred and the global temp is back in ""Hiatus"" territory where it has been for 20 years.",0.9326
1911,Hillary Clinton wants BOTH her perv husband Bubba and A. Weiner to live in the WH.so she can watch!,0.3782
1912,added more at $35.60 today!,0.1456
1913,"Disney: Playing The Game To Win https://seekingalpha.com/article/4184796?source=ansh $DIS, $CMCSA, $FOX, $FOXA",0.6857
1914,Why don’t they sell NBC. The news is taking down the entire company. They mislead in the mists of a crisis for what? Democrats to take control. They aren’t for diversity. The newsroom is filled with 95 plus percent democrat donors. This is activism. I find it hard to stay with Comcast.,-0.1772
1915,Can 10G significantly compete with the potentials of 5G technology?,0.1184
1916,"Alpt pf bad reviews of this company, but yet it is still in a upward trend. Yes it is ping ponging but still a stable growth chart. Think ill ride this way a bit. #myopinion",0.9413
1917,Looking to buy,0.1287
1918,Hillary Clinton is not healthy enough or strong enough to be president of the United States thank God she lost.https://m.youtube.com/watch?v=n_8AO5MDBEwo,0.9269
1919,"The experts said only 700,000 people showed up for the Eagles parade. This should be an eye opener for Comcast and their shareholders. Had it not been for Malcom Jenkins, and Michael Barkann, the douche who brought politics in during their parade, Philly would have had 7 million people show up. Barkann also told us kneeling is for social injustice. No Barfkann, the Anthem is about the sacrifices made by people defending our freedom. THE FLAG IS STILL THEIR YOU IGNORANT DOCUHE. No system is perfect. If I were a Comcast shareholder, or if I was an executive for Lincoln Financial, I'd be telling Lurie and Comcast that their agenda is killing their business. Comcast is a sports channel, not msnbc or cnn.",0.361
1920,I added more shares today.,0.3621
1921,The new 'woke' CNBC is a joke,0.6062
1922,add more ...,0.2191
1923,"Not only am I NOT watching the NFL, but when there is an eagles game on, I take a knee, and turn the TV off.other than federal and state tax subsidies, the nfl will not profit off me, because of Jenkins.",0.8786
1924,Hey Mike what is that saying the Lord giveth and and then he taketh away Oh well. Tomorrow another day.,0.6473
1925,cable stocks are defensive in a shaky market and Comcast is a cheap stock in a expensive market,0.1188
1926,.@AmericanCable Association call for an investigation of the Comcast-NBC merger gets boost after @realDonaldTrump tweets in apparent support of the idea. Read more: https://t.co/J8EXAnFBel #assnchat https://t.co/eGuy32MZEw,0.3298
1927,We are headed toward another lost decade following Japan from 30 years ago- record debt and spending with o% rates both parties guilty.,-0.304
1928,jeez this boy is really taking a beating today what's the deal?,0.0524
1929,Great Day!!!!!!,0.7405
1930,I bought more shares as gift,0.6418
1931,"Comcast is the parent company of NBC Universal? The Hunt, A movie that depicts the killing of ""deplorables"" is the product of the largest cable TV supplier? Reckless!!",-0.7375
1932,sell this is the new GE stock. Millennials hate comcast,-0.3189
1933,wish they would lower their ridiculous cable prices with the price they charge the stock should be 100plus,0.2292
1934,anonymous you buffoon. fat Trump is falling and he can't get up.,-0.0117
1935,I’m ready for some football! What time do the New Jersey Generals play???,0.8439
1936,"In 2016, Hillary sent 1.8 billion in foundation money to a bank in Qatar. It is widely assumed Russia tried to help Hillary win the election to hide their money laundering scheme. Why republicans in congress, the justice dept, and the fbi are still in on this, is beyond me.",0.7708
1937,"I've heard that among the dozen or so more Koch owned industries, that many of them had filed for, and gotten exemptions to having their employees covered by Obamacare. The Koch Brothers, part of the globalist elites who thrived under the past US oppression to most businesses, and a leader in wanting to keep the status quo.",0.3657
1938,"comcast, once again your email system isn't working. Log in problems, getting the intray, sending messages.hey comcast advertisers, you should get them to work on their email. cause I remember the comcast email advertisers that advertise when their system isn't working. and its not a good memory, when its a bad experience.",-0.2912
1939,"Insanity: Of Course, The Liberal Media Lost Their Minds And Blamed Trump (And His Supporters) For Bomb Scares when Democrats like Maxine Waters, Eric Holder, Cory Booker, Hillary Clinton are calling for harassing of Republicans in Public.",-0.9325
1940,"Fake News never covered this story below. DOW head higher today as Trump stock market rally continues. Here is bonus information for you:)*Written by Dr. Jack Wheeler:*The O-man, Barack Hussein Obama, is an eloquently tailored empty suit. Noresume, no accomplishments, no experience, no original ideas, nounderstanding of how the economy works, no understanding of how the worldworks, no balls, nothing but abstract, empty rhetoric devoid of realsubstance.He has no real identity. He is half-white, which he rejects. The rest ofhim is mostly Arab, which he hides but is disclosed by his non-AfricanArabic surname and his Arabic first and middle names as a way to triplyproclaim his Arabic parentage to people in Kenya. Only a small part of himis African Black from his Luo grandmother, which he pretends he isexclusively.What he isn't, not a genetic drop of, is 'African-American,' the descendantof enslaved Africans brought to America chained in slave ships. He hasn't asingle ancestor who was a slave. Instead, his Arab ancestors were slaveowners. Slave-trading was the main Arab business in East Africa forcenturies until the British ended it.Let that sink in: Obama is not the descendant of slaves, he is thedescendant of slave owners. Thus he makes the perfect Liberal Messiah.It's something Hillary doesn't understand - how some complete neophyte cameout of the blue and stole the Dem nomination from her. Obamamania is beyondpolitics and reason. It is a true religious cult, whose adherents rejectChristianity yet still believe in Original Sin, transferring it from theevil of being human to the evil of being white.Thus Obama has become the white liberals' Christ, offering absolution fromthe Sin of Being White. There is no reason or logic behind it, no faults orflaws of his can diminish it, no arguments Hillary could make of any kindcan be effective against it. The absurdity of Hypocrisy Clothed In HumanFlesh being their Savior is all the more cause for liberals to worship him: Credo quia absurdum, I believe it because it is absurd.*Thank heavens that the voting majority of Americans remain Christian andare in no desperate need of a phony savior.*He is ridiculous and should not be taken seriously by any thinkingAmerican.And yet he got elected, not once but twice. Thanks to those that did notthink it was important to vote for freedom and those that were willing togive up their freedoms for entitlements.*Remember you don't have to be on a southern plantation to be a slave, **if you are dependent on government entitlements you just have a differentslave owner.**PASS THIS ON TO EVERY THINKING AMERICAN YOU KNOW!*",-0.1834
1941,"0.7% subscribers down, stock down 7.0%Thanks for this buying opportunity",0.4801
1942,"We do not watch fake news, years now!",-0.2016
1943,go comcast grow,0.0472
1944,"NextAdvisor, a credit card information company, is currently buying ads on our comcast log in screens. If you love your country, send an email to nextadvisor, advising them you do not approve of them funding comcasts far left agenda. You tell them that not oly are you not using nextadvisor, but you are telling everyone you know not to use them. and one day, comcast will serve and work for all of us, instead of ripping off investors by making half their users mad.",0.7615
1945,that was the most action this thing has seen in a while.,0.1949
1946,CMCSA is up 4.91% to 35.06,0.1818
1947,Only dog in my portfolio.,0.2703
1948," NBC News is such a bias bunch of Liberal baloney you have become a total joke. As for your MSNBC news it is 80% Fake News when I fact check it. Your two news departments have become  clown shows. I tried watching again a few times this past week and what a pile of liberal BS. Now I am done watching you and will get my news from Fox News, OAN and 700 Club who present both sides without your NBC/ MSNBC bias liberal spin. Remember excellence is never an accident .",0.9139
