,Recent headlines and conversations for PG,Polarity
1990,"Look at 5 yr and 1 yr charts. PG is very extended and is due for a big pull back. The intraday charts show a head and shoulders pattern as well. I don't think anyone with a brain would enter long right now, even if this level is justified, the historical probability of it going down is just too high and the opportunity cost high as well, considering all the other candidates to put your money in while PG falls hard and loads up for another run.",0.9586
1991,Considering buying 4/17 115 calls,0.2731
1992,"Pg- already peaked, consumers are going for cheaper brands since our employment rate is so high. Buying at the peak right now would be foolish",0.4639
1993,Overbought,0.0046
1994,96 after earnings.,0.0227
1995,Fire that pig Pelz!!!,-0.6526
1996,"My investment strategy involves purchasing these call options for both stocks; in fact, I personally own over 56,000 call option contracts, most of which are LEAPS, as of today. As I sell these call options for large profits, I will use the proceeds to buy both of the stocks long and add them to my portfolio.",0.9382
1997,After a strong quartet PG is down for the third day in a row. I guess people selling safe stocks like PG and moving to more cyclical names. I am still surprised that people are dumping PG the day before it goes ex dividend approximately $4.50 from the recent highs since the EPS report. Hard to believe people are so short sides but I guess KMB forecast not helping but below $119? I would not be selling PG after 3 days down the day before it goes ex dividend. It seems odd to me.,0.6098
1998,I want to but I’m at 117 anyone think it’s gonna hit those prices Friday??,0.4046
1999,im kicking my for not selling this pig a couple months ago and buying amazon .i couldbhave almostbdoubled my money! !!,0.5869
2000,82 next couple days,-0.0513
2001,Carter Worth on CNBC is an IDIOT!!!! The clueless bunch is pitiful. Remember Carter Worth on CNBC!!!!! He was negative on PG. His charts and graphs are hilarious!!!!!,-0.6123
2002,"All other XLP stocks rolling over....this one will be last....but it WILL happen....you saw the top today....get out while you can. Check out PEP, KO, COST. WMT. MDLZ....all popped to new highs and have ROLLED OVER....only PG up, but it will crater by end of day!!!!!",0.3839
2003,Looks like people have been squeezing their tubes of Crest more than the shorties are getting squeezed today.,0.4681
2004,"Retailer ""I'll need better terms in order to sell these razor blades""PG ""....""",0.6957
2005,Ex. Div. 4-22,0.1368
2006,Procter & Gamble $PG Retreats As Investors Appetite For Risk Increases... http://bit.ly/PGRetreats,-0.2298
2007,Riding this stock to new highs next week!,0.3775
2008,A little early to say... but it looks as though the results were factored in and this could still be a green day,0.3996
2009,"I bought this stock at first 45 years ago through the employee stock plan. I have added to it over the years. Has it performed as well as possible? No. But Peltz and his ilk are greedy and ruin companies. I have watched this clown. Kraft/Heinz, Mondelez, SYSCO (food service). All languishing. Yesterday he got a Trian crony on at GE- soon to be another wreck.",-0.8231
2010,Today is an anniversary all retail investors should celebrate.Anyone?,0.0496
2011,"Hot off Twitter......Pineville LA $PG now hiring HYDROGEN Forklift Drivers.......Full speed ahead!!!! Damn the Torpedoes !!!!!Announce CHINA and those $1.94 worth $6??? $8 ??????I'm Upping my 2020 to $20 on China """"""""On Road Applications """"""""",0.7053
2012,"When PG starts buying PG, you will know PG will out performs MMM, GE and shiat like that...",0.635
2013,How are people voting their shares? Talked with a friend who's voting against everyone but Peltz. How about say on pay?,0.455
2014,PG got GE'd!!!!!,0.0
2015,"Argus lowered rating from Buy to Hold but has 2019 eps forecast at $4.50Excerpt from Argus 4/20 report:ARGUS RATING: HOLD• Downgrading to HOLD on weaker outlook• Although P&G spun off its Beauty business in October 2016 and has pruned its product line over thelast several years, organic growth has not improved to the extent we had expected.• In addition, the company continues to lose market share amid fierce competition, and marginimprovement has slowed.• We are lowering our FY18 EPS estimate from $4.30 to $4.24 and our FY19 estimate from $4.64 to$4.50.• Based on the company's current challenges, we believe that PG shares are fully valued at 17.7-timesour FY18 EPS estimate, above the average multiple of 16.6 for peer Consumer Staples companies.INVESTMENT THESIS We are lowering our rating on Procter & Gamble Co. (NYSE: PG) from BUY toHOLD. Although the company spun off its Beauty business to Coty in October 2016 andhas pruned its product line over the last several years, organic growth has not improved tothe extent we had expected. In addition, the company continues to lose market share amidfierce competition, and margin improvement has slowed. Based on the company's currentchallenges, we believe that PG shares are fairly valued at 17.7-times our FY18 EPSestimate. If organic growth accelerates to the extent we previously projected, we wouldconsider returning the stock to our BUY list. Our long-term rating is also HOLD, based on our expectations for relatively slowrevenue, margin, and operating income growth over the next several years.",0.9967
2016,Overpriced,0.0
2017,nothing wrong with some PG in your portfolio :)$106,-0.1845
2018,Calm port in the storm,0.6806
2019,"The local Kroger store in Cincinnati can't keep up with bounty paper towels and Charmin TP, wonder if folks in other parts of the country are experiencing the same things? I understand the Mehopany plant that makes these is running 3 shifts 7 days a week already.",-0.0934
2020,If you have access to Nielsen read P&G's annual reports where Grooming is called out separately you can pretty easy calculate the the US is probably 25-35% of the Global business. If you think an ad in one country is driving $8B in devaluation I feel really bad for your portfolio manager who has to deal with your dumb theories of investing.,0.8462
2021,"Love to see an upgrade, if they wanna keep letting me buy these discounted price then fine by me.",0.8502
2022,can you say split for pg,0.2672
2023,https://www.politico.com/news/2020/08/04/jerry-falwell-photo-backlash-391348,0.0
2024,"Gasoline prices soaring, many stores are closing, Chevy in Lordstown closed...not good folks.",-0.0816
2025,125 coming??,0.1452
2026,already down nearly 20% and i lost about $10 which is a bit annoying but i would buy some again to collect div shares,0.1735
2027,China withdrawing US Treasury notes..check it out.,0.5426
2028,"Remember, NO PAIN NO GAIN.I'm down about 6%, starting buying more aggressively lately. I'm adding and holding.PG will prevail.",-0.8892
2029,Much love to mngt. A good plan that's born fruit.,0.8425
2030,This is a suckers play no reason for this to be down on good earnings will shoot over 110 in a couple of weeks,-0.627
2031,Costs are going through the roof and sales were down in January....not a good combination....,0.2404
2032,"Obama built a GREAT ECONOMY in 8 years, Boy Wonder destroyed it in 3. At least PG is flying high...You guys win again.",0.6674
2033,"For those worrying about recent drops, rest assured these are only temporary.. Hedge funds love PG long term.",0.9281
2034,need to see 78 today!!,0.217
2035,"Flat revenue, declining profit -- PG is a overpriced. See you at $90 by Christmas.",0.4542
2036,#$%$ PG,0.0
2037,P&G will run past all time high and break $100 for the first time,0.1891
2038,"This is rotting underneath, it's only a matter of time.",0.0907
2039,"BUY when 10 year hits 3.00%.....probably around $80-$82, IMO.",0.4227
2040,This will be a big earnings report. Fear of a second coronavirus wave has people still buying antibacterial products.,-0.3281
2041,I short this HOG!!!,-0.6051
2042,What´s up? Anybody knows?,0.2747
2043,• Wells Fargo increased the target price to $136 from $135. • Jefferies has a target price of $128—up from $123. • Evercore ISI increased it to $140 from $130. • J.P. Morgan raised it to $139 from $136. • RBC increased the target price to $111 from $105. • Credit Suisse raised it to $125 from $117. • Macquarie increased it to $138 from $132. • UBS increased its target price to $126 from $122. • Stifel raised the target price to $119 from $117. • Morgan Stanley increased it to $134 from 130. • Citigroup raised it to $138 from $136.,0.9685
2044,Goldman upgrades is like getting a downgrade.,0.1191
2045,GETIT DOWN ET IT GO HGHER GO DOWN GO DOWN,-0.6141
2046,does trade tariffs effect this stock,0.3702
2047,Ramping up to explode to 110.,0.7199
2048,Procter & Gamble reached an all time high at 145.08,0.3714
2049,MACD line want to cross down...sign of weakness.....near double top for all-time highs and run from $70 -$94.IT IS EXHAUSTED AND GOING LOWER people....how hard is that to figure out? I bough 10 of the Dec. 14 $94 PUTS yesterday for $1.81........time to FALL!!!!!!!!!,0.6729
2050,"Thought I would have a nice fling with PG, opening a position after the February correction.I’M FILING FOR A DIVORCE.",0.6598
2051,"bots bought today. and if you're human and long, sell this out.",0.7166
2052,"This stock was at a new high of 128+ just last week, sure coming back down now.",0.6528
2053,PG will earn near $4.50 in 2019. An 18x (low) P/E gets you to $81 and they'll increase their dividends next year. They'll adjust as they've always done and will come back. This is a solid value stock . They need a better quarter when reporting in July and investors will come back,0.8744
2054,"Total mismanagement, Taylor and his cronies need to go while there is anything left.",0.1667
2055,When is the dividend payable? Thanks,0.6199
2056,"Happy Pride Month!Gillette's hometown will be celebrating, among other ways, with its parade today. So much has changed over the past 50 years. Who would have thunk a 180 plus year old company would be so forward thinking? P.S. ""Price check!""",0.9466
2057,"I get a kick listening to Jim Cramer tonight . Am i crazy or a while back wasn't he telling everyone to get out of this stock and buy a Industrial . If I opined on 100 stocks I could hit a few like Domino's , Costco etc but were little fish and usually only hold a few stocks and yes we should pick them and live with them but the Church of whats working now seems to be to often heard off that show . It can really taint your perception of your own good research . I wonder if Jim should go back and look at his tapes and then put the PG on his forehead for a day for telling people last year to sell PG . If it was best of breed then was it really at nosebleed levels like he alluded then ? Hey nobodies perfect but you forgot to own your sell for the same reasons denounced in this show . Ps keep on keeping on . I think Lou R . moved at a slower pace but gave safer advice for the masses though I have to admit overall if you held to some of his picks ..some even later denounced like RGR you did well. Domino's has been on fire . Best of luck to everyone . Can't loose long term here . Investors end up being able to afford the better quality products P & G makes instead of worthless X brands that don't work so they don't save you money . Again good luck everyone . Go to your local library and read .",0.9978
2058,It is so nice seeing PG go up.,0.5518
2059,Sitting back and enjoying the USA's great economy. Thanks President Trump,0.8679
2060,"What happened to all the historical data? Just when we need it, after google finance disappears, now yahoo data is gone too?",0.1018
2061,Snowcat is so dead...,0.0
2062,#PG Volume coming in. Bullish technical indication at stoxline. On watch for clear above 79.64.,0.8127
2063,Beware ALDIS is opening Thousands of Stores in the US this year and they will be selling primarily EUROPEAN brands like UNILEVER not PG !they are poised to become 3rd largest grocer in US behind Walmart and KROGEROverpriced PG will see revenues and earnings affected as the prices are so MUCH cheaper at aldis .49 cents chicken per lb milk 1 gal is 1.49 Watermelons large seedless for 3.50 Once customers move from Walmart to ALdis they are unlikely to come back !Aldis is coming and they are all about PRIVATE Label stuffMore importantly the shift of customers from Walmart to ALDI is sure to have a very detrimental effect on MMM sales to Walmart which is their largest customer I believe..This is huge you will see I already went to their stores and they blow away Walmart prices !https://finance.yahoo.com/video/why-walmart-nervous-aldi-3-144546564.html,0.9644
2064,The enormous engine that could. $100 is so close ....,0.371
2065,"Anyone have any ideas on who or what fund is keeping this out of the 140,s keeps trying but continually drops in the 139+ range. Next quarterly earnings should be great again. Best of luck to longs.",0.9597
2066,Does PG still have a share repurchase program in place?How much are they spending on eCommerce?,0.6885
2067,"Revlon, Inc. (REV)19.56-5.69 (-22.55%)As of 9:54AM EDT. Market openhmmmmmmmmmmmmmmmm.",-0.2335
2068,Procter & Gamble is down 5.15% to 115.39,-0.1915
2069,Yahoo price premarket is wrong! At 9:06 104.40-104.50,-0.3849
2070,Hope the markets fall heavily today.,0.2982
2071,"Classic washout,, why would anyone in there right mind sell. Your getting a 3+ percent dividend for parked money and thats not going away.",0.6178
2072,110 after earnings.,0.0227
2073,Those Gillette ads really move this baby,0.4164
2074,"Up $10 in the last month, a nice little run. It's always interesting to me to see how the market responds to an earnings report. Sometimes it seems like a significant beat doesn't get the love you expect. I think the forward guidance is the single most important factor for the price a couple of days post earnings.",0.8949
2075,Proxy time...Vote your shares!,0.3539
2076,Jon Moeller gave a very encouraging presentation at the Deutsche Bank consumer conference today. 8 of 10 categories are doing terrific.,0.8706
2077,people need to stop posting about a split. This sort of post displays a total lack of understanding about the markets and equities. it is a form of childish prattle. so just stop it !!,-0.6136
2078,Remember Carter Worth on CNBC who put PG down!!!!,0.7265
2079,Time to get a non PC CEO. Too bad we have to wait 5 years for Taylor to go. Can't the BOD buy him out?,-0.6867
2080,"BOYCOTT AMAZON. They are coming out with brands to compete against PG's. If you order anything from Amazon, you are contributing to the enemy. It is your choice.",0.2307
2081,Added another position @ 134.70 on Friday. Everything below 135 is no-brainer - long-term hold ...,0.1652
2082,"A year from now folks are going to wish they had bought in at these prices, you would think the world was ending by these price drops.Another virus and another grossly oversold reaction, IMO.Best of luck.",0.8501
2083,big dip coming today. Wish there was a run to safety but think it's cash coming out of the market and this stock will suffer as well.,0.6352
2084,All the stocks but Tesla and that's a complete joke but people are killing it.,-0.6801
2085,"I just shorted their stock. If you don't like their ad, vote with a short. Could be 5 shares, could be 500. But let them know that this fake social justice campaign is just that. Fake, short-sighted, and total destruction of their Gillette brand.",-0.6504
2086,Liberals in Pennsylvania crying like babies as the blue wall comes crashing down. https://m.youtube.com/watch?v=QGFJatgYBug,-0.4713
2087,"@wayne I get your point with the share reduction. The point I'm trying to make is consumer staples like PG, being a mature company, and in a saturated market have extremely small growth YoY. It is resilient to economic cycles and investors tend to ""fly to safety"" in more defensive equities like PG and bonds. thats why the stock is up so much over the past few months. due to the growth rate of the company a PE of 25+ is not warranted in any other situation but one where volatility is as high as it has been. If you look at the stock historically it forms a very consistent pattern. when the market volatility is high the stock skyrockets, then once the volatility dies down the stock tanks ( it goes too far both ways every time) look at the history, this correction, the correction earlier this year around January, and the correction in 2016. As always I could be COMPLETLEY wrong, but in this situation, I don't see any other reason that justifies the PE premium. If you know something to the contrary I'd like to hear your side.",0.8652
2088,Well I will be buying more today.,0.491
2089,Trump is guilty !! Indict !!,-0.7199
2090,I asked my financial adviser to sell all PG shares. I will never own or buy anything produced by them.,0.5634
2091,Any reason why PG is down $4 this morning?,-0.1609
2092,"There is a simple and cost effective solution to get P&G away from Google, Apple, Facebook and Microsoft constraints and build stronger relationships with their consumers globally. P&G could save billions a year and have control of their consumer marketing and ses channels.",0.9336
2093,"Stayed pretty strong today at 91.36+0.07 (+0.08%), considering:- S&P 500; 2,806.83, -7.06(-0.25%)- Nasdaq; 7,530.88, -39.87(-0.53%)- Russell 2000; 1,578.21, -3.95(-0.25%)We shouldn't hear one word about ""dog of the DOW today...",0.6744
2094,$20 from 140.. be patient.. PG,0.0667
2095,PG is the new PiG of the DOW.,-0.2194
2096,What a racist/sexist ad against white men.,-0.1424
2097,"I WILL NEVER BUY GILLETTE AGAIN !! SIGNED,TOXIC MALE",0.5352
2098,$70 by next month,0.0478
2099,this stock sucks every day down,-0.3601
2100,Wells Fargo increased its target price to $135 from $125.,0.5357
2101,Carter Worth on CNBC is incompiant!!!!!,0.6849
2102,"pg reasonable price should $175 per share,because it's earnings can keeps continue growth ,",0.6299
2103,pe 70?,0.0593
2104,"Huge companies like PG move up, but slowly. Like turning an aircraft carrier around. PG, along with MMM and JNJ, have some of the most recognizable brands in existence, which dominate shelf space. Patience, however, is the byword.",0.9251
2105,not that you should really own a company that sells environmental poison anyway,-0.1389
2106,I am long on PG. how much does PG have exposure to China?,0.6227
2107,"lost me as a customer, stupid move pg, overpriced razors so just as well",-0.4819
2108,"If Joe Biden was a corporation, he'd be P & G; Old, stodgy, clueless, pathetic bureaucrat who thinks he's Napoleon.",-0.0165
2109,When will the stock split this is the highest that it has ever been? I hope it splits soon.,0.733
2110,What is going on after hours? Up as high as $1.52.,0.4532
2111,I learned to sharpen my Schick triple blade on You-Tube and they last one year. I tried to sharpen Gillette but they rust in the shower and don't last a month.,0.2072
2112,"I really believe in this stock, but I've been invested for 4 months and I'm down almost 2%.. definitely not what I was expecting from this stock this year. Hopefully there's a change in the trend for the next couple of quarters or I'm out. At my age, neutral isn't good enough",0.8234
2113,this will come down to 100 by end of this week,-0.2536
2114,Makes no sense.,-0.3673
2115,"Crush identity politics, boycott all PG products! It's fun and useful!",0.6092
2116,Would like to see PE ratio come down a little...,0.3511
2117,buy now before this Skyrockets to 150 by end of May,0.2177
2118,"steven. If you read analysis and understand valuations etc. you too would conclude PG is likely stuck around $120 for awhile. the stock was trading in the 80s a year or so ago. We must be realistic with expectations. bluntly, the stock on a valuation basis should be in the 105 range at this point. count your good fortune at 120.",0.7954
2119,Too expensive now. What do you think the low will be later this week or next week?,0.0135
2120,"Wow, The Clorox company CLX is dropping like crazy $45 from its high. We are very lucky with PG. Go Go PG.",0.8567
2121,"Nelson bought about 37 million P&G shares in 2016-17, around $84 per share. He has been selling lately. Also the management team are also selling P&G after it went over $130 per share. Thus, many investors are so hesitating to step in to buy when these key people are unloading in a big way. I still recalled P&G stayed in a trading range $55-70 for many years. Now a new range $95 - 145.",0.8219
2122,Give this company some razor burn!,0.3189
2123,OMG!!! How do you get rid of this yahoo fin site & back to the functional one!!!???,-0.5183
2124,"While close to meaningless, I just voted my proxy; can't complain, if you don't vote!",-0.3173
2125,"Very good earnings on top and bottom line, forecasts growth in a difficult market. Strong and steady, why would you sell at 104? Be my guest, you can right now, not me, there is more upside than down side for PG",0.9262
2126,will never buy again.,0.1037
2127,What’s the percentage of revenue generated by Gillette at P&G ? Profit?,0.5073
2128,86 by Sept,-0.3746
2129,"Soooooo GLAD I sold this puppy for a very small loss yesterday. Usually you get at least a double gap DOWN after missing earnings or revenues. Those double tops on the chart almost NEVER lie!! What hurts even more is that the DOW, S&P and IWM are up AGAIN today!! What's also SAD is this stock has done pretty much nothing for a few years now, so you would have thought it was DUE for a nice rally. Oh well, will continue to accumulate my GOLD stocks: BA, HON, MSFT, PII, HD, etc. on any weakness!!",0.9422
2130,"Wow. if you all take that commerical as sexist, racist facists, or anything besides a wake up call then you are lost and part of the problem.",-0.0384
2131,Time to buy!!!,0.3522
2132,Men will not forget. Hello Harrys.,-0.2544
2133,Budget deficit running 41.8% above last year -AP,0.0179
2134,If you support kidnapper Tump on any network..I will not buy your products,0.5647
2135,"I apologize for my own plug, but you can find some interesting information and insight on PG for free on www.loudnumber.com. We are a data analytics and visualization company providing Mr Market price analysis, DCF fair prices, financial statement visualization, and 13F research and tracking. And it is free for Dow30+ stocks.",0.9776
2136,"PG can suck my white privilege, and wall street wife's can toss my salad. Move up you dirty filthy no good gutter trash....",-0.1124
2137,"I have a few stocks tagged in my Seeking Alpha account, including PG.I received an email from S.A. ""PG: Colgate may be looking to sell"" As always, the advertisement withing the email is for Harry's and its $2 blade--always gives me a laugh.PG is mentioned as a possible suitor of PG; I don't buy that, but I could see CL getting scooped up.Glad I'm long CL and not just PG.(nice day to be long tower stocks as well)",0.9353
2138,My comments keep disappearing?,-0.1011
2139,"While a particular poster stated ""new price target of $117"", it appears it doesn't want to ""maintain its credibility"" and respond to my queries of the source of said ""$117"". (of course, targets are just that)Back to reality...The highest target I'm seeing is 107.00, from a few analysts.Stifel chimed in today REITERATING Hold 95.00 target.PG remains:12 Buys17 Holds (sell?)1 Sell12M av target: 97.84",0.7089
2140,Great profits while it lasted,0.8277
2141,Put Peltz on the board.,0.2005
2142,"Was Nelso Peltz right when he said"" R&D at P&G is simply a hobby"" After spending billions and billions year after year, where are the new innovative products the company needs to grow ? The company is spending over 300 million on expanding the Mason research center and will certainly spend millions if not billions more and have no new brand or category to show for it. Someone need to hold R&D accountable for all this money being spent. Well past time to clean house ! The company can't prosper by buying up existing brands, increasing the price and be successful, Gillette is a shining example.",0.9569
2143,"Well its a day after PG earnings and what do you know PG down again, in fact of all 30 stocks in the dow PG ranks..........wait for it in LAST PLACE 19% down even GE is only 16% down for the year and and we all know what happen there. If a major company is as bad as PG guess what they FIRED all the top people, Of course we have BOD that is as bad as the current clowns you know Taylor,Moller, and many others that should be gone to but they still figure they can get more money from PG BEFORE THEY HAVE TO GO. PG WAS A GREAT COMPANY FOR SO LONG,TILL McDonald,Lafley, and the 2 clowns now, not to mention all the crooks on wall st, and now it is so BAD there really is no way out just another year only 4 months into the year to hear another sad story.",0.9087
2144,what's going on. why did pg drop 7 dollars after hours,-0.2655
2145,PG is better than bitCoin.. hedge against inflation..,0.2078
2146,ONE OF THE BEST ALL AROUND COMPANIES YOU CAN OWN WHAT IS TO BASH ABOUT THIS COMPANY YOU SHORTS?,0.8231
2147,Did anyone get their quarterly news yet??,0.1653
2148,Bearish it will go RED today...,-0.8288
2149,I just need 84.74 by 21st September so I can get out of a damned mutual fund!,0.3586
2150,im selling at 115,0.1423
2151,"Winchester VA, Clear Brook VA, and Martinsburgh WVA $PG $AMZN $WMT Seems Winchester could be a HUB",0.7734
2152,No stock split the did not list that on the papers for their next proxy meeting maybe next year when it hits $150 that would make more sense,0.5299
2153,Whatcha thinkin Wooglin?,0.0
2154,I have two Call options with a strike price of 137 expiring￼ August 28. What y’all think ? ￼￼,0.1547
2155,"PG discourages innovation in its managers. Its the PG way or the highway. This worked in the 1970's but lately, not so much. We need Nelson to shake them up.",0.2336
2156,HAHAHHAHAA,0.0
2157,"A pretty chart and they want to bid it up into year end, to make the books look better. PEG ratio 3 and PE 25. What a bargain. Look out below January 1st.",0.8444
2158,"Chart comparisons simply don't lie. Doing a simple comparison to P&G and the Dow and or S&P shows in dramatic fashion P&G,s problems is simply lack of leadership. Wether you do YTD, 1 year, 5 year or 10 year the glaring problem is failed leadership.There is no way this company gets turned around without a break-up and an outside CEO coming in. Analysts and any reasonable share holder can see Taylor and Moller have made no headway in turning things around, they simply continue to line their own pockets with bonuses and failed promises.",0.0327
2159,"If you are a man but feel like a female then buy gillette razor blades like a sissy. I am a man who will lie, cheat and steal to make sure that Gillette goes down the #$%$. Do not feel that you have the right to tell me to be femanized like the CEO of Gillette is because he is a sissy and I am a MALE. I will forever try to tell lies about the safety of the razor blades and how they have bacteria on most tested. I will do my best to destroy Gillette, a brand that I used to admire until a few days ago.",0.9036
2160,Dropping again today!,0.1822
2161,"Gotta hand it to this company though, they insult their client base AND pass on price hikes.",0.673
2162,"I buy for the yield . 3,5 % and low risknot many times you can buy this quality that cheapI just keep it for years,,,,,,and only sell when it would accelerate to 100",0.6016
2163,"According to Zacks, investors should note PG's current valuation metrics, including its Forward P/E ratio of 21.87. Its industry sports an average Forward P/E of 21.98, so we one might conclude that PG is trading at a discount comparatively.We can also see that PG currently has a PEG ratio of 3.16. The PEG ratio is similar to the widely-used P/E ratio, but this metric also takes the company's expected earnings growth rate into account. The Soap and Cleaning Materials was holding an average PEG ratio of 3.38 at yesterday's closing price.",0.5676
2164,Why is this tanking again!!!?,-0.6117
2165,110!! Stop be delusional,-0.5979
2166,PVHO could be ready to run again. They have a partnership with riteaid and are in a ton of riteaid stores already. Plus they were recently endorsed by intel (yes that intel). Check out PVHO today.,0.9364
2167,PG could sell the Gillette albatross for $8 billion. Dirty diapers is their forte.,-0.4028
2168,"If the quarterly report that is coming on the 20th. was great news wouldn't the company announce prior to the shareholder meeting on the 10th.? With the US dollar down over 6% this year compared to foreign exchanges, and P&G claiming it was foreign exchange killing earnings, seems like sales should be much higher .",0.4561
2169,Back down,-0.1883
2170,Every time Proctor and gamble gets anywhere close to a 70 RSI (67 right now) it takes a sizable haircut.,0.2828
2171,PG reached an all time high at 119.94,0.3228
2172,"So, if you were going to split AND buy back shares, which would you do first?",0.7301
2173,boycott time!!!,-0.4762
2174,Pleltz.....loser like Trump,0.3508
2175,My dad worked for this company he was 1 of 3 that didn’t have an ivory league college degree he was in sales. He has this 40000 shares and loved this stock. Retired at 52 we great company to work for they take care of there employees.,0.961
2176,Wells Fargo initiated overweight with a price target of $160.,-0.082
2177,Nice pop. I accumlated 4000 stock between 71 and 74 price . 2000 will get sold at 72 price from my cover call. I make good money there and average price if include all profit from trade and option below 72.25. Might buy again if go lower or consider selling 71 and 72 puts. This price will not remain much longer. I will trade to print profit and might invest profit (Already reserve 50 stock from profit that I am not selling ever),0.9721
2178,"The overall market is falling and in a downward trend. PG will very shortly get caught up in this downward spiral. I sold my holdings today on the uptick. This is a great company but there is no sense holding anything if the entire market is headed down. Cash is king! Do not be greedy, sell now and buy back after the market craters. Good luck to you all.",0.8839
2179,"Down 3.89 in the last two days does not make any sense , going green",-0.273
2180,does anyone see the potential for a stock split here? thank you,0.6791
2181,P&G grooming young kids to be victims with their new da campaign has me boycotting anything they sell.Up yours you morons........,0.2897
2182,HAHAHAHHAAH TOLD UUYS IT WONT SELL SELL SSHORT ITS NOT GOING TO 119 SHORT YES BABY OWN,0.5732
2183,Feels like we're going to test a new high.,0.5091
2184,#$%$ is going on? Why this stock is dropping everyday by 0.5% ??? Can't even hold 0% I thought it was suppose to be at least not volatile,0.366
2185,All insiders should be buying massive shares if they believe their own hype.,0.1363
2186,"SNOA (MC $23 M) (Cash $13 M) Shares Out: 4.3 M / 17 FDA approved products some of them are in early launch phase plus additional Product launches expected within 6 months / Profitable in 2018 = 1000%+ UPSIDE POTENTIAL..GLTASonoma Pharma (Nasdaq: SNOA)Market Cap: 22.1 MillionCash: $12.6 MillionPrice: $5.15Shares Out : 4.3 MillionPresentationhttp://ir.sonomapharma.com/common/download/download.cfm?companyid=ocls&fileid=945547&filekey=F57B6874-6CD1-4205-A160-8E08BBB7A928&filename=SonomaPharma_Investor_presentation_13June2017.pdfFact Sheethttp://files.shareholder.com/downloads/OCLS/4977255852x0x231236/39d834a3-8462-40ee-8650-e0945b6facd5/Sonoma_Fact_Sheet.pdfDriving to commercial EBITDAS breakeven, without dilutionGrow current product portfolio with all sales people•Alevicyn HydroGel, Dermal Spray & Spray Gel for atopic dermatitis & dermal procedures •Celacyn for scar treatment•Mondoxyne for severe acne –launched late 2015•Ceramax for skin repair in atopic dermatitis–launched in April 2016•SebuDerm for seborrhea dermatitis –launched in November 2016Launch 3 New Products –our product pipeline –one every other quarter•Launching Loyon–Fall 2017•Ceramax in foam and gel forms –Q4 2017 & Q1 2018Launch and Grow New and Current Products: During fiscal year 2017, we launched four new dermatology products, including SebuDerm, Ceramax, Lasercyn Gel and Lasercyn Dermal Spray, bringing us to a total of eight dermatology products for the treatment of atopic and seborrheic dermatitis, scar management, surgical procedures, severe acne and “state of the art” skin repair technology. We also obtained three new FDA clearances, now totaling 16 overall. Our strong intellectual property portfolio consists of 63 issued patents and 33 patent applications pending.We plan to launch our new FDA approved product Loyon (a skin descaler currently marketed in Europe) in the upcoming months and have a strong product pipeline of several product line improvements, including a line extension of Ceramax. All in all, we believe this could possibly be our best product line of new FDA approved dermatology and skincare products yet, and we believe our innovation plan will help lead us to profitability.",0.998
2187,This stock parked itself here and does not want to move. hedge managers are getting bored watching the paint dry. There are other stocks that pay a nice dividend and don’t cost nearly as much. https://finance.yahoo.com/news/hedge-funds-started-cashing-procter-170857594.html,0.5054
2188,"PG is reaching oversold territory (RSI at 31) ... added a position last week, added 100 shares today and have the ammunition to add more should it go lower.I see PG as a long-time hold",0.751
2189,"Split,,,,I Need a Split-",0.1469
2190,"PG is being Amazoned today. If you are not BOYCOTTING AMAZON, you are giving the enemy money to develop their own brands and take away from PG's sales. BOYCOTT AMAZON. Amazon gets a pass on earnings but if PG missed by 77%, it would be down to about zero. Amazon doesn't pay its share of income tax but PG pays a bunch. DON'T HELP THE ENEMY WHICH IS AMAZON.",0.0804
2191,buy the dips below $127,-0.0963
2192,"Split or no, I'm in for the long haul. Loving the dividends allowing for travel on their money.",0.8547
2193,PE over 27 is getting a little rich for a consumer staple. Love the company but looking for a pullback.,0.8057
2194,110 not a problem by May,-0.3097
2195,I'm just a lowly bystander who bought PG back just before it split in the late 90's.. All I know is that for people who are in stocks for the long haul and not the wanna be overnight millionaires this is the kind of stock to buy and hold. I wish more companies ran the way this one does..,0.8955
2196,I love this company but they release more pump news than some small cap stocks,0.3601
2197,PG is down 5.01% to 112.32,-0.2462
2198,"Crooked corrupt Trump should be in prison, anyone else would be.",-0.6121
2199,Target and WalMart report stellar earnings.I think both are stocked with lots of PG merch,0.5736
2200,Can someone please explain this Coty transaction to me? I am trying to understand it a little better. Is it a good thing? Bad thing? What's the advantages of disadvantages of exchanging PG shares for other shares?Thanks,0.8931
2201,pg will turn around at the next earnings. Everyone is going to wait and see,0.0465
2202,Deadwood leaving and stock moving up. Still too many “presidents” with such dismal performance - must be aspirational role in that once you get it don’t need to do anything.,0.532
