,Recent headlines and conversations for PEP,Polarity
1105,Check out FIZZ looks like LaCroix may be in trouble. Bubly taking over!,0.2272
1106,"400 million to appease the thugs..I,m getting out tomorrow",0.4449
1107,"To keep pandering to special interest groups, Pearl Milling Company, the rebranding will say MRS Pearl milling company. Companies should stay OUT of politics.",0.8328
1108,Why did they buy such a wierd brand like rockstar... brand identity is so tooly.. who does it appeal to jersey shore college student probably??,0.856
1109,This is why I think this is all rigged. WHY is there so much selling pressure after this news?,-0.2138
1110,why dropping?,0.0413
1111,why the 4 dollar drop,-0.3299
1112,I just tried CBD oil for the first time at 2/3 the recommended dose with extremely low level of THC and it altered my mood and made me feel very mellow. My feeling is CBD is going to be extremely popular in beverages and edibles. PEP would be smart to make their move. My preference for them would be ACB.,0.845
1113,"I n a positive market over $100.00 dollars, why is PEP down over $1.50??",0.3083
1114,"sold all my shares 2 weeks ago.. returned some unopened products, many other options.. NFL can go out of business along with Pepsi if they don't stop promoting the NFL flag protestors..",0.8515
1115,What’s going on? Why are we going backwards? Is it trade war jitters or what?,-0.478
1116,"The next big snack food is NGTF,the sleep friendly ice cream.",0.7694
1117,"BOYCOTT THE LEFTIST TWIT APPEASERS AT PEP!! Sell their stock, boycott ALL of their products, write to their cowardly sappeaser leftist ""executives,"" and TANK THEM OUT OF EXISTENCE FOR KOWTOWING TO THE MARXIST BLM ""ORGANIZATION"", DONATING $400 MILLION TO BUY OFF THE WOKE MOB!! OPPOSE THE WOKE MOB AND BOYCOTT THE TWITS AT PEP OUT OF EXISTENCE!",-0.9459
1118,"What is going on with this company, down 7 pts. since November 8th. The boycott may have significant impact on earnings. CEO has proven herself unfit to run this company after her petulant remarks.",-0.0161
1119,Buy now before the big guys drive up the prices,0.5643
1120,HOT DAMN,-0.3299
1121,Anyone know why Pepsi took such a hit today ?,0.2177
1122,I am waiting for a 3 for one split and I think it is long over due as it has been since the early 90's since the last one when the price was around $75.00,0.751
1123,Come On SPLIT.!!!!!! it's been like forever ago since the last split. (3 for 1 would be nice!),0.6837
1124,"A few months dated, but news to me.Keep innovating!https://www.cnn.com/2019/04/23/business/pepsico-water-station/index.html",0.2755
1125,PE 24 is very pricey for 2% growth !The snack business seems to be topped out with less people buying them as they see what it does to their health.The soda business is in real decline for similar reasons.I think PEP as well as KO will drift lower from heredo you disagree ?,0.6754
1126,"The Pepsi side of the house is a dog, but the Frito Lay side of the house is having superbowl level sales EVERY SINGLE DAY, and the panic buying is boosting Quaker.",0.3394
1127,"Kraft buy split company keeps frito, sells pep to dsd direct store delivery to ambev.",0.7802
1128,with the pandemic growing people should be buying food and beverages during the crisis until the coronavirus ends.,-0.2441
1129,"Publix is having a sale on Bubly, buy 2 get 1 free. I went to 2 of their stores today to buy some and both were out of stock. I got a rain check at the 2nd publix I went to. The woman at the service desk said she has been writing rain checks for Bubly all day today and yesterdayand most of the checks were for more then 3 12 packs. She estimated she wrote over 50 Bubly rain checks in the last 2 days.",0.9024
1130,We got some smart people selling on good news lol,0.8568
1131,Dumped 984 shares yesterday. Thx CEO!,0.4998
1132,Long Time holder (like 20+ years) And I would luv to see this SPLIT.!! It has been soooo long since the last one.,0.8059
1133,A big sector rotation is coming for sure.... Bitcoin gme AMC a whole bunch of small time tech stocks and all new IPO inflating the market right now once people exit money will flow into companies like pepsi,0.8908
1134,Just found out the restaurant he's at only sells Pepsi products.,0.3758
1135,"Every bottle of syrup sold will have a seal on the label saying ""BLM approved syrup for blacks"". A picture of Erkel with a quote"" DID I do that""!",0.7281
1136,"Indra never stated that Trump supporters should take their business elsewhere. She said in an interview on November 10, 2016 that there were employees that were worried about the outcome of the election.",0.386
1137,Has Pepsi ever tried putting LSD into any of its beverages or snacks?,0.0607
1138,Put some weed in your pepsi,0.1129
1139,"If I boycotted everybody who offended me it would be a very long list. A CEO's opinion is just that, their opinion and hardly represents the company for whom they work. She's not Pepsi, but simply an employee.",0.3541
1140,Pepsi Peltz Aurora . Stock price will Soar,0.5032
1141,"Cheetos are in the news:""TAUNTON, Mass. (AP) — A Massachusetts man who authorities say attempted to use Cheetos to accelerate a fire at his ex-girlfriend’s home while she was inside has been convicted of malicious destruction of property....Police say they located Williams in the area with two lighters in his pocket and an empty bag of Cheetos. Investigators determined Williams tried to use Cheetos to accelerate the fire.""No worries; he got 2.5 years.",-0.7137
1142,Just got back from Walmart and the Pepsi products had the NFL logo on their package..I bought Coke instead,0.769
1143,Has anyone tried bubbly? I bought a case of Orange. Being a PEP shareholder I wanted to see what it was about. It was just plain nasty. What was PEP thinking buying that #$%$?,0.1348
1144,"So true, so true!""inherent contradictions""""increasing the pay of the CEO while layoffs happen across the U.S"" ""cherry pick who will get the $1000 bonus""All the checkmarks of a company whose pompos dogma reflects their true nature. This company claims inclusion and equallity for all employees but their actions are clear and their underlying message is understood. They can talk from both sides of their mouths however they have lost the trust of many employees and it will come back to bite them.",0.896
1145,will pepsi ever split its stock,0.2949
1146,What is happening to impulse buy,-0.0123
1147,"40,000 given polio by means of the polio vaccine.The Cutter Incident""In April 1955 more than 200 000 children in five Western and mid-Western USA states received a polio vaccine in which the process of inactivating the live virus proved to be defective. Within days there were reports of paralysis and within a month the first mass vaccination programme against polio had to be abandoned. Subsequent investigations revealed that the vaccine, manufactured by the California-based family firm of Cutter Laboratories, had caused 40 000 cases of polio, leaving 200 children with varying degrees of paralysis and killing 10.""",0.7195
1148,Will buy under $132,-0.0158
1149,"PEP buying Bare Snacks Inc. I've had some of their chips, they are pretty good, and good for you. PEP continuing to add to the healthy brands.",0.9403
1150,"Is it too late to get into this one now? I haven't doen my DD on this one yet, i know they have some very solid brands, pepsi, lays, doritos, tropicana and many more. Probably slow growth good dividends growth? Will do some dd before getting in, don't think it'll sky rocket.",0.8636
1151,Real smart CEO - badmouthing a candidate supported by HALF OF THE ENTIRE COUNTRY!!! Idiot...,0.8528
1152,"Is PEP making a large contribution to black lives matter per Fox news? If so, how much is the contribution?",0.162
1153,I need to make a deal with a cannabis company. sodas on the decline cannabis is on the in incline,-0.0336
1154,PEP reached a new 52 Week Low at 102.98,-0.0585
1155,“PepsiCo controls a greater share of the U.S. non carbonated beverage market (above40%) than peers Coca Cola (33%) and Dr. Pepper (4%) which should enable it to offset the persistent decline of carbonated soft drinks”Morningstar,0.6526
1156,how high before PEP splits,0.2605
1157,what is a good entry point?,0.4908
1158,I just have THIS insight on PEP. Recreational marijuana is being legalized in state after state and we sell Cheetos!,0.735
1159,Anyone else think PepsiCo will announce a stock split tomorrow to coincide with Primary competitor's CEO transition and same's Annual Shareholder meeting in Atlanta? PepsiCo has historically split at lower share prices than $114,0.7422
1160,PEP reached a 52 Week low at 114.21,-0.1464
1161,No way.....Terrible deal.,-0.198
1162,Black Rock----should have sold PEP when the FIRST Disrespect happened ---they are SLOW and flat footed------SPIN----SPIN ---the flag HATERS will DESTROY the company---no COMPANY can WIN a WAR with America --,-0.9327
1163,"PEP v KO - which is better, in your opinion, for long term investment and why?",0.7966
1164,Why the big drop on an up day with the market???,0.2638
1165,SELL IT B4 ER. MAJOR MARKET REVERSAL COMING.,0.3003
1166,Tasty!:https://www.nutritionaction.com/daily/what-not-to-eat/why-cheetos-are-everywhere-now/,0.0
1167,"Maybe if our CEO wasn't focused on making politically charged commercials with one of the K kids, she might have had more time to see the German private equity firm #$%$ Panera Bread from under her nose!!!!!",0.6651
1168,"Some think it is automatic for a stock to increase in value simply due to a split.I provided FACTUAL examples to debunk this theory.For those in the dark, check out the long term charts of INTC, PFE and HAIN and please note that these stocks have NOT fared particularly well, since their last forward split.Yes! Oftentimes a stock will continue to appreciate post a split and some will erroneously then make an association between the two. Since some stocks have fallen off a cliff post split, with INTC being the poster child, it is obvious to all but those affected with Confirmation Bias, that there's something else that impacts a company's share price compared to its number of outstanding shares: FUNDAMENTALS.If splits have a magical power that makes shares increase, why doesn't every publicly traded company continuously split their shares?",0.9898
1169,"As a PepsiCo employee, I own KO instead. but I would love to buy in at $100.",0.8449
1170,"Thank You Pepsi for giving us Tricon, now Yums, what a good investment that was.",0.8658
1171,MoreWhat investors feel about $PEP #earnings :http://alph.st/pbd76dfe #PepsiCo #trading #PEPearnings $KO #stock,0.042
1172,What is going on after hours? Up $22.54. Is this something or just a technical issue?,0.4858
1173,This is going to move to NASDAQ no?,-0.2129
1174,PEP better move fast. BCCI is already starting to sell their CBD infused coffee on Amazon nationwide. They are advertising at this weekend Daytona 500. When will we have infused beverages and edibles?,0.815
1175,PEP is down 5.83% to 110.50,-0.2462
1176,PepsiCo is up 4.91% to 142.24,0.1818
1177,Expecting another solid quarter for PEP. Both their soft drink and snack businesses are firing on all cylinders and reopening will dramatically spike their soft drink sales due to restaurants reopening. KO will likewise benefit from it. And both KO and PEP provide me with a nice income stream to wait for those capital gains to come into play.,0.8774
1178,"Some PEP in the step, and a step in the PEP today!",-0.1984
1179,PepsiCo earnings preview https://www.google.com/amp/s/news.alphastreet.com/earnings-preview-pepsico-needs-to-seal-the-leak-in-beverage-segment/amp/,0.1196
1180,This should have been at 145 already pre market. It’s growing very slowly.,0.2836
1181,Everyone seems to be pocketing their 12% today.,0.1491
1182,"An important consideration for longs. Those out of the gate with CBD the most quickly have the best chance of making it. $KO, $PEP, $MNST ALL will jump into the game quickly once all the national legal hurdles/questions have been answered. Most small CBD infused companies will die unless they can set themselves apart or have a good ""head-start"". $KGKG is a leader with CBD & building up their distribution before the big boys jump into the fray. How is $KGKG going to set itself apart from the big boys?",0.8689
1183,Perfect time to invest,0.6024
1184,The Cards where Played and Trump won the card game. Yes indeed.Obama played the race card.Hillary played the woman card.America played the Trump card.,0.9484
1185,bought more 4 days ago,0.0104
1186,"For how long will the US Government continue to PUMP the US Stock Prices artificially? Everyone knows that the US Market is in the MEGA BUBBLE; it is even more overvalued than Tulip Mania Bubble! The US Stocks are INSANELY OVERVALUED and OVERBOUGHT! The Valuations are impossible to justify!For how long can the US Government run this fraudulent Stock BUBBLE, while Corporate revenues are tanking, Corporate and National Debt is Astronomical, the Valuations are beyond insanity, Political polarization is at max, there are ongoing and upcoming wars, the real resources are limited, Economy is Collapsing, Competition is intense, the Stock Dilutions are at record highs, everything is getting worse, China, Russia, and many other countries are set to ditch the US Dollar as an international reserve currency. Now there are 100,000s of companies worldwide competing for $1 revenue! The US Companies that barely generate revenue of $1-2 million are trading at $50-60 Billion Market values, while in Asia, the same companies with better fundamentals, 100 times more revenues, are trading at 99% less market value! The US Company valuations DO NOT MAKE Sense at all! Why would one invest in US Stock Tulip Mania while he/she can buy the 1000 times better company share for a 99% cheaper price? The US Stock Market is a MAJOR PONZI SCHEME designed to patch fraudulent pension systems in the US temporarily! There is NO PROPER Revenue Collection by the IRS since 2016. Taxes are extremely Low, and Nobody is paying custom duties! People want more free money without working, more free checks, more capital gains, more stock hypes every day! This fraudulent ""no need to work"" policy of the US Government will END TERRIBLY very soon! Inflation is skyrocketing, but the Government is lying about inflation! $AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9045
1187,"summer, reopening",-0.0309
1188,"Think I'll add a couple/few here... div hike coming next Q, yield >3%. PEP DGR is superb for a giant co.- 5yr. avg. annual DGR=8%!And one of the rock-solid div champions. It is still a tad overvalued historically now..but it will grow into it. works for me..",0.9298
1189,"looking at earnings over the years, what happened in 2019?",-0.0523
1190,Pepsi should buy jones soda. Jsda has privite r@d company . Flavorman. Working on 2 CBddnfused drinks...flavorman is in Ky. The hemp state...,0.3663
1191,Wow those shares @110$ were such a great buy. The div will go on and on flowing in shareholders pocket ! Sleep well at night stock ;),0.959
1192,Looking to add in that $128 range!,0.2068
1193,"I'm going to India and start pushing sugary chutney slurpees to as many as possible. In India you can rape a child and get away with it if you are of the ""right"" class or caste. Indra, go back to your cesspool of a country.",0.0861
1194,Fair value in the throes of full blown 08 style panic? Anyone know ?,0.5372
1195,Take a look at CANOPY GROWTH,0.4726
1196,"Plenty of upside in Altria, Tyson Foods, FIZZ, and Centene if you want to just sell your deadweight Pepsi stock",0.5893
1197,Buy PEP its going to new highs in 2021,0.2038
1198,"Boycott all Pepsi products. We don't need a CEO starting a war with and bad mouthing the president elect. I looked at the list of products and all I buy are Quaker Oats, and so my family is now switching to Bob's Red Mill forever until I hear a heartfelt apology.",-0.287
1199,interesting coke and pepsi have traded allmost identical many years so u can buy one or the other but maybe pep the edge in div growth,0.7881
1200,"Amazed at Pepsi's STRONG, POWERFUL, GROWTH!",0.9367
1201,The new slogan is really bad. Going down 5 bucks easy.,-0.3139
1202,Back to around March 11th 2020 prices.,-0.074
1203,Due for a rally.. Labor Day weekend festivities!!,0.5385
1204,"Sodastream purchase seems odd to many and initially to me as well... any chance of Pepsi partnering or acquiring a marijuana company... weed infused beverages and edibles is booming and I don’t see a big company like Pepsi missing the bandwagon ... there is no doubt that many of the smaller weed companies are making some amazing pitches to these big beverage corporations... coke, bud or Pepsi can’t sit back while constellation and molson get involved.... I’d like to think overpriced sodastream has a purpose",0.9437
1205,why is this up so much afterhours?,0.2532
1206,Is Pepsi circling Aph?,0.0
1207,and what's Taco Bell doing?,-0.1291
1208,Just bought a Pepsi. Should help the stock soar this afternoon,0.8002
1209,Hey Pepsi I need 4 trucks filled with 32 oz Pepsi,0.2378
1210,Looks like some pole had to cover their shorts,0.3806
1211,"watch ""that sugar film"" on amazon prime video. pepsico (and many other corp garbage food companies) should be sued and dismantled. what a horrid business model feeding our people (children) addictive garbage. shame on you investors.",-0.6011
1212,what are the negative impacts of devaluing Yuan and how does it effect PEP?,-0.6264
1213,Both Pep n Ko are strong stocks!!! Rising Quickly!! in it to win. it!!!,0.9148
1214,"Giving up Pepsi products isn't a difficult challenge, so I'll push my protests to any restaurant that serves Pepsi products. If they serve Pepsi, I will not eat at their restaurant until they change to Coke. ...both are unhealthy, but at least one isn't run by an America hating racist.",-0.889
1215,Sold Pepsi after owning for years. don't need a CEO running her mouth on Recent Election of President!,-0.3606
1216,"I work in the warehouse, it’s like July 4th weekend. But true restaurant business and arenas will be down. The last crisis in 2009-2010 I lost my job of 22 years, I’ve been with Pepsi now 10 years. And what they announced today to take care of their employees during this time makes me very proud to be a part of Pepsi. I am fortunate to be financially ok, so I will be beefing up my 401 stock purchase.",0.9506
1217,Pepsi continues to be the dog of the market,-0.0054
1218,If BOD do not act against the CEO You will see profits drop immensely. You do not put your own person political beliefs ahead of what is best for the company..,0.8986
1219,Political correctness is a condition that occurs in the complete absence of basic Common Sense.,-0.5436
1220,Share price drop is long term good for company. At current price $15 billion dollar buyback is worth 20% more than when it was announced.,0.8665
1221,My next sell point is at $134.80,0.0437
1222,what a joke. epic rejection at 139.,-0.2994
1223,"Held in 2008, and holding again. You can not make me sell.",0.5618
1224,Pepsi is my largest holding and I am disappointed at the cowardly cave to the cancel culture. Aunt Jemima was an icon and it was an idiotic move to cancel her.,-0.8445
1225,Collect dividend pass and go and go directly to boardwalk,-0.0146
1226,"PepsiCo products are enjoyed by consumers more than one billion times a day in more than 200 countries and territories around the world. PepsiCo generated more than $67 billion in net revenue in 2019, driven by a complementary food and beverage portfolio that includes Frito-Lay, Gatorade, Pepsi-Cola, Quaker and Tropicana. PepsiCo's product portfolio includes a wide range of enjoyable foods and beverages, including 23 brands that generate more than $1 billion each in estimated annual retail sales",0.8906
1227,Did this drop because of the dividend tomorrow ? Market is so manipulated.,-0.5084
1228,Disney should buy it.,0.1753
1229,Hope they don’t get arrogant and do a Coke,0.2158
1230,To heavy of lift for one company,0.1504
1231,Scott....it's time to spin-out of PEP period.,0.052
1232,$PEP Upgraded by Barclays Equal Weight » Overweight USD 151,-0.6486
1233,The stock market wasn’t designed to day trade. It was meant to give people a way to invest in companies. All you “stock market is a scam” folks are idiots.,0.2905
1234,This stock has been a total non performer . I don’t know why I still hold it.,0.6039
1235,"better buys in the consumer staples than this overvalued no growth financial engineered stock... FIZZ, TSN, GIS, MO, PM, your future self will thank me.",0.7868
1236,Found some interesting information regarding shorts for $PEP https://marketwirenews.com/short-information/NASDAQ/PEP,0.6183
1237,Backing up the truck,0.5041
1238,"The more the market goes up, the more drop u see. This is ridiculous.",-0.4659
1239,Pep got hammered This week again reaching a low below $131. Feels like a buy but in this market who knows.,0.2039
1240,"FIZZ (national beverage corp) sales were way down around 50% YTD wondering if its mostly because bubbly? Much less the healthier livestyles thats trending. Good thing for Pepsi's snacks, makes the company way safer.",0.8189
1241,Pepsi owns Naked Juice . Sales are going up.,0.3503
1242,Sounds like she is very in touch with her 'Non-White' employees. She also knows the feelings of all her LGBT employee's. I can see her noticing the transgendered...but how does she know who is LGB?,0.728
1243,Money moving to the bonds. Listen to the CEO TODAY. no confidence in the future. This is the high water mark ... materials are getting expensive too,0.8228
1244,See u at 77,-0.0086
1245,Kona Gold is comming to a store near you soon if its not there yet. FACT,0.5102
1246,By the time a fella reports all the SPAM there isn't much left!Thinking of adding more since Indra is gone.Pepsi's liquid portfolio but especially salty snacks. Almost a back handed MJ play!Nice dividend. To me it's add to JNJ or PEP and I think PEP is the clear choice.,0.8459
1247,Accumulating more shares great opportunities thx shorts and degen gamblers for your service . Collect dividend and pass and go,0.8935
1248,PEP and TAP should merge,-0.1879
1249,tanked,0.0
1250,Pepsi is getting a bit too political and they are aligning themselves with the wrong side. Aunt jemima sales would rise 400% if they stuck to their guns and didn’t pander to stupid snowflake liberals,-0.8142
1251,Is that the only stock that goes down today? It’s sickening.,-0.4483
1252,PEP is up 4.91% to 142.24,0.1818
1253,This can’t be a reaction to Covid resurgence. Must be fears of taxation and increased minimum wage and inflation,-0.3401
1254,Man resistance seems to $140..just can't seem to break through..hopefully i have jinxed myself and it will break through before i finish typing. Cheers with a soda,0.7346
1255,Leeebronn JAMES,0.0
1256,$MSFT $NVDA $MA $PEP ,0.0
1257,"PEP needs to split their stock. They have not split in 22 years and they need to do a 2 for 1 or even a 3 for 1. I know the PPS means nothing but there are millions of investors who just can't spend $100 plus on a stock. A 50 share block is $5,000 and that's out of reach for millions of small investors. At $30 - $50/share those small investors can buy a 50 to 100 share block. Those sales add up, quickly.",0.8381
1258,"Got a great report from http://kannaearthsciencetech.com/?symbol=PEP about $PEP. I did have to subscribe but it was worth the time. Thank you guys for the tip! ""rht"" Making money trading stocks.",0.8438
1259,"Longs just got a raise. Dividend is up!! Great dividend growth stock. Buy, hold and keep adding more.",0.9341
1260,"What happened to @Charles rant, it was here a minute ago and now it is gone or I just can't see it.",-0.2783
1261,Very foolish people running this outfit!,-0.1379
1262,"Yowza, there's some pep in the step today...",-0.0607
1263,Bought this stock for $15.06 in 1994.... long and strong!!!,0.8373
1264,"Come over to Altria MO stock. PEP is a great company, but overpriced in the consumer staple category. you will thank me in five years.",0.8358
1265,"Why ,Pepsi, why? Don't give the NFL money. Invest it on YouTube or just give employees and shareholders the money instead",0.1525
1266,This is example of all mutual fund holders in retirement and college funds pushing the sell ticket on there fund holdings . This is most liquid and value to sell and have cash . The drivers are reporting to be sick. Who will deliver the chips and Pepsi. ??? Thank you,0.7328
1267,A little confused..,0.0
1268,shoulda bot Monster Beverage imo not soda stream,0.7221
1269,What a garbage letter by Kirk Tanner to employees today. Stick to soda Kirky.,0.4492
1270,"MTN DEW, MTN DEW AMP GAME FUEL And DORITOS Join Activision To Celebrate Call of Duty: Modern Warfare $PEP,ATVIhttps://seekingalpha.com/pr/17627478",0.811
1271,"Pepsico showing great stability on a bad week for the market, hoping for some steady growth once the restaurant side of the business can flourish post lockdowns.",0.9109
1272,American taxpayers paid for 80% of this Sodastream deal.... Israel soaks American taxpayers once again...,0.1509
1273,Is kola nut good for you??,0.5412
1274,It sure would be nice to see this spit two for one or even three for one like several stocks are doing and get some smaller investors in this great stock.,0.9453
1275,"love pepsi stock for a long time ,it is opportunity today price down 138 x1000 shares pepsi come out the ideaESG by paper can at the end of the year?",0.9202
1276,If you think the stock is overvalued then don't own it.Truth is it's undervalued. But then most people use a value system that has been outdated since May 2000 .,0.2642
1277,Pepsi's coloring causes cancer. They admitted too... garbage.,-0.6397
1278,Pete Najarian likes them....run for the hills.,0.4173
1279,Soda tax? I mean has it really come to this? Is Philadelphia so hard up they have to charge a special tax on soda pop? Ridiculous!,0.3596
1280,Does anyone have a theory as to why management discontinued buybacks for 2021?,-0.0997
1281,Walmarts new CAP system is going to eliminate a lot of overhead for Pepsi in the near future and if successful expect other major grocery chains to follow suit.,0.5428
1282,With a Dow up over $200.00 dollars it is had to figure out why Pep is down over $2.00 per share,0.5268
1283,"I bought a block when it sold off today. Pep earnings were good, this seemed to sell off on anticipation of ko bad earnings. I feel pep should get back up to 145 by end of summer. Plus you’ve got that sweet dividend.",0.778
1284,"they have just canceled the brand identity. so, where do you think sales are going? Up? down down down idiots. They will sell off this brand in a few years as they have officially killed it off.",-0.7666
1285,"too expensive at this stage of the economic recovery. if you want to own a staple company buy Altria, dirt cheap and triple the yield. you're welcome",0.7165
1286,"Black Rock--Vanguard are fools ---should have sold -the first DUMP on the flag --slow to sell , will cost you MONEY--Civil war in sports is NO place to be ---Wht own a hate stock ??",-0.9468
1287,"No GROWTH-----PRICE turns on a DIME -----This is History , little man takes on BILLION DOLLAR corp and WINS----- Miss earnings by 1 CENTS , stock goes down $1.00----Q2 sales down -stock goes down $5-$6 dollars",-0.5904
1288,"Yesterday I posted a link to a story that was fairly front and center on the Y.F. home page; perhaps others read it.The powers that be @ Y.F. found my post offensive, but clearly that's not the case with the countless spam posts.Bottom line: Gatorade sales and energy drink sales in general have been declining as more and more consumers opt for either tap (oh the horror!) and bottled water. Clearly I don't follow PEP that closely, since I was under the impression that energy drinks were selling well; alas it's not just the carbonated sugary stuff (or fake sugar carbonated drinks)...",0.8921
1289,PEP is up 4.92% to 118.65,0.1818
1290,stupid question but will Chicago also tax diet sodas? how will the differentiate?,-0.6748
1291,Any reason for the sharp decline today ?,-0.3588
1292,"Its time to liquidate some PEPSI stocks and buy back after. IF !!! really pepsi invest on MJ sector, sp will slide as acquirer.",-0.3162
1293,You guy's here the latest rumor?? I heard they are RE-releasing a Pepsi Crystal 2021,0.4546
1294,selling off now. Expect $109 first and then go to new highs later in the year.,0.1129
1295,"PepsiCo's stock rallies after profit and revenue beats, plan to return $7.5 billion to shareholdershttps://www.marketwatch.com/story/pepsicos-stock-rallies-after-profit-and-revenue-beats-plan-to-return-75-billion-to-shareholders-2020-07-13?siteid=yhoof2&yptr=yahoo",0.6412
1296,"Dont be a DEER in head lights----READ the NEWs--NFL--------Hates AMERICA ---AMERICA hits back at NFL ------------SPONSORS -MCD---PEP--- if you like NFL-BLM - buy MCD-and PEP,",0.6054
1297,Dw guys keep selling lol - make me more rich,0.7837
1298,who is playing on earning,0.2519
1299,Sadly this is a laggard stock. You know it. Just look at the performance of the rest of the market in comparison to this stock,0.6711
1300,Why oh why did my ON TOPIC non offensive post not stick???,0.6518
1301,im at school and freaking hungry will someone bring me food,0.5203
1302,"Altria is a better consumer staple company. sugar kills as many people as cigarettes, and trades at triple the price of cigarette companies. no love",0.6769
1303,"today sold out at 140.14 , pepsi is great company a lot of snack try to figure it out what wall street thinking",0.8563
1304,Pearl Milling Company? Seriously? Should have just put it in a plain white box with a circle symbolizing a pancake.,-0.2027
1305,PEP added to Nasdaq 100 not long ago,0.4847
1306,Who is this so called Lebron James character ?,0.0713
1307,Starting to climb back to 140,0.3437
1308,puration is inexpensive if they're trying to get into the CBD and/or THC drinks. This would go good next to Gatorade,0.536
1309,"I think a less charged way to state this whole pancake controversy is that a very recognizable brand has become so nondescript that I would literally not notice it in the store. I think people feel that we're living in an era where if one person says, ""this offends me"" companies wring their hands and scramble to placate the few. The net result is we're creating a bland world. (As bland as that new packaging) Imagine if an art museum pulled every piece of art that someone said offended them.",0.337
1310,"Dividends in a couple weeks, should drive the shorts out cuz they have to pay dividends if they don’t cover",0.4236
1311,"BOYCOTT AMAZON for the health of the country. They will come up with their own brands-- chips, drinks, etc. For the health of the country, BOYCOTT AMAZON.",0.6961
1312,Look at $PEP holy.,-0.0746
1313,"Disrespectful puke Kaepernick now wants to take advantage of our legal system, to once again, benefit himself.I agree with him. Its not fair. How can it be fair when he makes 10 million a year, and stadium employees make 10 an hour ?Ok Colin, I'm with you. Lets fix the system. First, YOU take a big pay cut. Then we can decide the next step.I haven't watched a pro football game in 4 weeks. And I wont, until every one is standing, and honoring those who served.",0.9402
1314,"hello its hard to admit it, but im white, can i buy pepsi cola",0.5544
1315,Your out of Coca-Cola? Will Pepsi be alright?,0.3799
1316,PEP should buy LaCroix.,0.1905
1317,Did i just heave faber correctly? pepsi has no interest in getting into cannabis AT all?!!! BYE BYE if that is true!https://www.businessinsider.com/pepsi-shoots-down-cannabis-deal-rumors-2018-10https://realmoney.thestreet.com/articles/10/02/2018/pepsis-cautious-stance-cannabis-may-miss-opportunity,-0.7527
1318,Short covering rally or something more? Will find out next week.,-0.415
1319,Good earnings but stock go to hell,-0.6152
1320,Glad I waited I’m adding more at this low low price point,-0.0027
1321,"Soda Stream is such a bad idea. You make your own soda for more money and more effort then the current process. With Keurig, people were already brewing their own coffee, so this fulfilled a need to simplify that. My guess is that they will market it as greener since there will be no disposable containers. They need to realize though although millennials are addicted to the warm fuzzy feeling of pretending they are saving the world, they are very very lazy. Find a way to pipe Pepsi in to houses like we do with water, that will be a winner.",0.8584
1322,We need an incremental buy back in the worst possible way. At $131.60 with the market up 300..... I thought the stock was cheap below $134 but it just keeps going down. What is going to change the trajectory? Down $18 since the top. Great dividend and balance sheet. When are we starting buy backs in force?,0.512
1323,I'm very happy PEP is down right now. My divi reinvest will get me more shares.,0.7832
1324,oof.....The trashing of good companies in the market continues,0.3783
1325,"This stock should start to move with more openings with vaccine, many venue to support product increase and demand. Pep is a u.s.a. play with its snack and other 1 Billon Dollar products which North American supports the most",0.967
1326,"Agree with Jack M... never to late to get in with Pep! This may not make you rich but the dividends are great, plus PEP is a rock solid co.with a lot of great products backing it up!",0.983
1327,How is amazon higher than us percentage wise today after our earnings. Volume hopefully will help it rise later,0.9047
1328,I also said $150 two days ago.,0.1089
1329,At this price the stock looks quite cheap. The yield is approaching 4 percent. Much lower and it could takeover entice takeover bids.,0.7817
1330,Guess its selling off to reflect the ex dividend.,0.347
1331,It’s about go be a great afternoon here,0.6861
1332,jet911c: what happened your post that I replied to with a question?I must have hit a nerve...it's only money!P.S. I took Psych 101 in college.,0.2554
1333,There is NO WAY this is not going higher!!,-0.4454
1334,"......""We, Americans, want to see the DEMISE of the Current US Administration and FED! These CRIMINALS must get jailed and EXECUTED!"" Dennis",-0.9245
1335,go on over to WM..we were supposed to do great!..down almost $4....stock market is a smoke n mirrors magic show,-0.136
1336,"If Coke tastes better than Pepsi, how come Pepsi is a better stock?",0.8273
1337,Ex-dividend date today,0.5178
1338,PEP going to $150,-0.0046
1339,"its going down because they added substantial debt in q4, still added under 130, thanks",0.0605
