,Recent headlines and conversations for WMT,Polarity
3238,"“This is outrageous,” Kamala Harris said, addressing a crowd of several hundred protesters outside the facility, Bloomberg reported. “This is clearly a crime against humanity that is being committed by the United States government and we have to stop it.” 6/22/18I wonder how she feels after Joe and her allowed it to get 5 times worse?",0.3261
3239,"8-Year-Old Boy and 5 Young Teens Shot in Chicago Over 11 HoursPublished May 14, 2021",0.4487
3240,"SHEP.HERE......................... Think of the devastation felt by the Dr.'s son who lost both his parents and his two young children to a DN. YOU may like that race, but I could sure live without them.",0.5931
3241,How can there be such a staggering amount of money being proposed to be spent ($3T) when we don't have a dime available from current tax resources to pay for it?,-0.1802
3242,"ITS TRUE , I DO OWN 45 CHAMPIONSHIP RINGS.",0.8999
3243,"John, the PEOPLE are 13% of the population but 90% of the crime.",-0.5982
3244,watching paint dry here,-0.2378
3245,$AMZN up $53 this morningnice,0.2078
3246,"If Fox had been around in 1968, they would have denounced seat belts in cars:""they're coming to take your car!"", ""socialism""!""",0.3478
3247,Did you guys see where unionized Kroger is closing more stores instead of paying hazard pay? Why did they pay forced dues for the union to do nothing?,-0.7712
3248,OMG. People who make over a million $$ a year willsee a capital gains tax rate return to what it was before 2017!?so much crying below.,-0.6143
3249,Check out this article from USA TODAY:President Trump: Don't 'see any reason why' Russia would have meddled in 2016 U.S. electionhttps://usat.ly/2ur0YeA,0.5782
3250,"Retail sales were down, but here’s what Walmart reported February 18th:The big-box retailer’s e-commerce sales in the U.S. grew by 69% and its same-store sales in the U.S. grew by 8.6%.Always winners and losers.",-0.5001
3251,"Donald claims AZ audit uncovered widespread math. Explaining how math was used, he said, ""If you take one number and add another number to it, you get a totally different number. It's unfair and quite frankly a disgrace....",0.4191
3252,"Reports: China probed weaponising coronaviruses in 2015.Chinese military scientists allegedly investigated weaponising coronaviruses five years before the COVID-19 pandemic occurred.What a coincidence that they probed deploying the bioweapon a few years before it actually came out of china.The “bombshell"" documents obtained by the US State Department reportedly show the Chinese People's Liberation Army (PLA) commanders making the sinister plans to deploy the coronavirus bioweapon.Chinese scientists described SARS coronaviruses — of which COVID is one example — as presenting a “new era of bioweapons weapons"".The PLA papers referenced seem to fantasise that a new bioweapon attack could cause the ""enemy's medical system to collapse"".",-0.7309
3253,Has anyone here had their utility bills lowered now that we have all this cheap wind and solar energy?,0.7421
3254,He you ever read a post from a democrat on this board where they seemed happy with their lives?,0.8206
3255,We all know what happened.,0.0786
3256,Dave; what is the PE for Amazon? What's the dividend?$3100 per share and pays $0,0.6796
3257,SHEP. HERE................... wmt looks to be heading towards green.,-0.0071
3258,People are saying we could see 7 or 8% GDP! Don’t be left behind!,-0.5348
3259,"Inflation. Multitrillion-dollar spending proposals. The Federal Reserve's rate strategy. The economic recovery in general.There wasn't a lack of topics to discuss when Insider spoke with Paul Krugman, a Nobel laureate and the author of ""Arguing With Zombies: Economics, Politics, and the Fight for a Better Future."" Krugman is among the world's most prominent economists",0.5903
3260,"WALLY, time to pick up the pace or Im going to sell you and buy a bunch more of my 100 bagger in SHMP. GOLD MINE!",0.7647
3261,"He is right. But we still ain't gettin no vax!!!“Everywhere we look, the coronavirus is devastating our communities,” said Derrick Johnson, president and CEO of the NAACP.",-0.7534
3262,Bought WMT shares at 97$. I can hold for 1 month. Is there any growth expected in this stock ?,0.7521
3263,biden taking credit for the economy and stocks -- big mistake-- the coming crash and he will eat it,0.1299
3264,"SOCCER PLAYER MESSI , CONTRACT $ 674,000,000 , PER GAME 3,700,000 .",0.3044
3265,Even Joe’s own VP knows what he is.,0.4036
3266,maybe $FB can ask $TWTR how their DJT ban is going........ straight to zero it seems LOL,0.4113
3267,"If the stepped up basis goes away, which do you get rid of first--- highly appreciated stocks that you think your kids will hold onto because their cost basis will be the same as yours, or do you give away some that you don't have great gains in but that pay good dividends? I have many that will be good lifetime holds--- lockheed Martin, Northrump Gruman, Gen dynamics and then the utilties will be good holds because the electric cars will drive that business.",0.9311
3268,"MLB pulling the all star game out of Georgia is a good start but from what I'm hearing, there's going to be a whole lot more events dropped in Georgia and even some companies leaving the state due to their anti-democracy voting laws they've enacted. Its going to cost the state a bundle and it needs to continue until it hurts so bad they have to fold their losing hand.",-0.5387
3269,"Some are saying the bull run is over, but if you are collecting dividends, you are still in the money. Just own the best of America and you will live well.",0.9202
3270,"$200.00 Today! One can hope, right?",0.6487
3271,"""a big XL pipeline transporting oil from Canada to the South would come in handy right about now""says cultist dannyboy. nit wit thing to claim.....Colonial delivers GASOLINE from the refineries in Tx.to the south and east. So unrefined shale oil going TO Tx refineries.... does not get gasoline to the south & east",-0.8991
3272,"Miami obstetrician Dr. Gregory Michael suffered from a hemorrhagic stroke after receiving Pfizer/BioNtech's COVID vaccine. He died two weeks later. hey fritz, doesnt sound like your source adds up. this is from jan 15th!!!!!",0.8778
3273,astute investors are nothing more then kool aid drinkers -- they are going to get crushed by the smart traders- first stop on the down elevator 129 brief pause there then the plunge to sub 100-- you can;t stop it but you can make money off it-- see ya down there,-0.5939
3274,"Tonight,2 analysts upgraded — Baird & Cowen — $140 pt",-0.039
3275,Amazon getting 80% of online ad revenue and at the same time increasing their lead in online sales. WMT is getting buried deeper by the day. They will never be able to compete with AMZN. Its a slow march to the grave.,-0.151
3276,"58% of African Americans said that they would not get the vaccine. At the same time, the COVID-19 pandemic has disproportionately harmed Black, Indigenous and other people of color in comparison to white members of American society. With Black Americans being hospitalized at rates 2.9 times higher than white Americans and dying from COVID-19 at rates 1.9 times higher, you might assume that Black people would be lining up at breakneck speed to receive the vaccine as soon as it’s available to them.",0.926
3277,"The core inflation rate does not include food or energy costs. Which in my opinion is about as dumb as it gets with regards to economic metrics. These are generally non-discretionary expenses, and many family budgets are sensitive to changes in either.This is not especially good news for Walmart - increases in grocery costs can improve revenues, but margins on groceries are thin, and spending more on groceries leaves fewer dollars to spend on higher-margin goods. I don't have enough data to know what the overall impact might be, but it does not change my long term opinion of Walmart, which is bullish. It just tempers my expectations in the short and mid terms.",0.8564
3278,Joe getting his walking lessons yet?,0.5758
3279,"A good use of taxpayer money. Just remember, phone calls aren't free.https://www.dailykos.com/stories/2018/8/20/1789633/-Scott-Pruitt-seems-to-have-made-one-5-minute-call-from-his-43-000-phone-booth",0.5686
3280,The New York Times: COVID on the Border: Migrants Aren't Tested on Arrival in U.S.,-0.0756
3281,Are you starting to understand why WMT stock is going down now? Its quite simple. They had a big increase in online sales but they LOSE money on their online sales and on top of that the spending is slowing sharply as people have stocked up on everything and running out of money. You can have all the online sales in the world but if you are losing money on those sales its a slow march to the graveyard.,-0.5382
3282,Joe inherited a market at its all time high.,0.6962
3283,I am not buying a share while CEO sells 65 mil for now. I would think he knows what is going on more than I do at this point. I will buy in when he buys. :-),0.9166
3284,"SHEP. HERE......................... Do the math. If WMT gets 10% of the retail dollar, think how much they will get with the recent stimulus. You have Easter,Mother's Day, Graduation and Father's day all within two months. And women want new clothes. Women always want new clothes.",0.5862
3285,The WMT stock I have bought since the last earnings is profitable and I have gotten a dividend. So how has Penynostodc done in that length of time. I didn't have to worry. Plus I will be getting another dividend in less than a month.,0.8988
3286,uncle joey says no gas shortage -- so stations are closed can't take advantage of the gouging opportunity because they are too good hearted to make additional money off you--ok joey got it--thanks,0.1377
3287,"At the time, Walgreens declined to provide a reason for the store closures but indicated “the safety of our team members and customers is our top concern.” One store in the San Francisco area reportedly lost $1,000 a day to theft",0.7356
3288,It is always nice to have Friday be an up day.,0.6502
3289,Another Green Dow Day! It’s becoming the Norm,0.1841
3290,"Tread on meand use a lethal choke hold,even though Floyd was cuffed, prone and having a medical emergency. New Tea Party motto.",-0.0992
3291,if any company repurchase stock price going to go down or up?,0.6619
3292,"For anyone who is concerned about WMT being down today RELAX. Usually when a company announces buying something, the stock goes down. Check out history.",0.7144
3293,I wonder who this fuel shortage is going to hurt the most? The same people who will never recover from shutting down the economy?,-0.825
3294,The bitcoin bubble is now bursting.The bubble in stock prices will soon follow.,-0.0302
3295,So he tried to run them over.,0.2168
3296,"The market will correct at some point, but it will present a buying opportunity. People like buying quality clothes on sale but it seems they get scared when stocks go on sale. But history shows stocks will head up after a big sell off. Peny tries to scare everyone out of the market, but if you aren't in the market, you will not make money. Build cash and wait for a sale.",0.9559
3297,Does one really need gifs to articulate themselves on a stock board? Seriously!!,0.433
3298,"While in France, Xi cemented a new phase of economic cooperation with Europe, signing an almost $34 billion deal with Airbus for 300 airplanes. China has historically been one of U.S.-based Boeing’s best customers, accounting for almost 20 percent of the company’s sales as of 2017. But given Boeing’s recent disasters and the contentious U.S.-China relationship, Xi has deftly shifted the trajectory of China’s aviation sector, simultaneously shoring up economic ties with the EU and dealing a blow to Washington. How China Is Outmaneuvering Trump on Trade President Xi Jinping's visit to Europe has been a triumphant tour, resulting in major bilateral deals.",-0.312
3299,"It took Walmart awhile to wake up and attack Amazon head on, and they've been adding a lot more items to their eCommerce platform which is paying off. Meanwhile, Amazon continues to lease more jets, buy more trucks, and hire thousands of contract drivers for last mile deliveries. Walmart also has extensive network of warehouses and lots of trucks for moving truckload shipments between third party transportation carrier facilities, Walmart DC's, and Walmart stores. However, Walmart doesn't have the aircraft or last mile to consumer capability. Perhaps Walmart should consider purchasing FedEx which is currently trading at a significant discount to UPS? FedEx acquisition would enable Walmart to leapfrog ahead of Amazon, but would pose risks to some of FedEx's existing business. What say you?",0.9462
3300,"U.S. CPI climbed 0.8% in April, vs 0.2% expected266K jobs vs 1M expected",-0.3986
3301,"SELL ALL US Stocks in this TULIP MANIA BUBBLE! US Stock Market is a “GET QUICK RICH” Scheme!Nasdaq Composite Current average P/E=80Nasdaq Composite Current average P/E=20What is the reason for these ABSURD COMPANY Valuations in the US Stock Market?The US Stocks are in the MEGA BUBBLE, in a TULIP MANIA BUBBLE!Nasdaq Composite, the Ponzi Scheme index, is up 200% since 2016? Why? What is the reason for this insane OVERVALUATION?The Economy is COLLAPSING, the Situation today is way worse than 2016, Corporate Revenues are tanking, Corporate and National Debt levels are at Record highs, Trade war, Coronavirus Pandemic and Politics have damaged the Economy significantly. US inflation is at a record high today and the unemployment rate is skyrocketing. Masonic organizations have created this Corona Hoax to PUMP the US Stock BUBBLE, to poison the population with harmful vaccines!!!Furthermore, the World countries are refusing to use the US Dollar as an international reserve currency due to unlimited, ruthless, and uncontrolled money printing! Despite so much terrible news US Stocks and subsequently, the Market Values of Garbage companies are hitting new records every single day!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEVhttps://www.cnbc.com/2020/09/18/barclays-says-market-valuations-at-dotcom-bubble-levels-downgrades-large-tech-stocks.html",-0.985
3302,"I’m not gonna lie, imma miss ol’ Chucky Trill. RIPATLANTA (AP) — A shooting on Interstate 85 in suburban Atlanta has claimed the life of a rising Texas rap artist, one of three interstate shootings in the metro area in two days, authorities said Saturday.Rapper Corey Detiege, who performed under the stage name Chucky Trill, died at an area hospital after Friday's predawn shooting, police in suburban Gwinnett County said.Police Cpl. Collin Flynn, a department spokesman, said someone pulled up beside Detiege's car and opened fire around 3 a.m. Friday, WSB TV reported. Ditiege, 33, was from Sugar Land, Texas.",-0.617
3303,"man, red state infrastructure is the worst, just how they roll. Deregulation made huge moneyfor electric utes deals..(KKR deal on Texas genco unbelievable) but reliability went out the door as Texans saw this winter, and now see with the pipeline infrastructure in their states run by the Kochs, KKR ,Royal Dutch Shell and some Korean fund....Koch wants to end OSHA, the EPA, DOE Social Security... and they suredidn't make a big investment in cyber security did they?",0.9582
3304,Tesla 3 Sales are Surging in those areas effected by the Pipeline Shutdown,0.5499
3305,"This market is good for WMT, though it STILL is closer ti 100 than 200",0.7392
3306,"Yes fritz, everyone in the world knows the USA has always been a socialist society and not a capitalist one. Exactly why we don't have any income inequality.",0.7823
3307,TARGET EARNINGS WILL BE THROUGH THE ROOF TOMORROW.,-0.0511
3308,"WMT shareholder here, but feeling more confident about my AMZN shares investment.",0.9114
3309,"Tardville, USA53 million Americans between the ages of 18 to 64—accounting for 44% of all workers—qualify as ‘low-wage.’ Their median hourly wages are $10.22, and median annual earnings are about $18,000.",-0.0112
3310,Yahoo Finance front page:These companies are jacking up prices because of exploding inflation,0.1533
3311,"The postal service handles more than 15,000,000,000 pieces of holiday mail every year but Trump is saying that it can't handle 150,000,000 votes",0.0048
3312,"The greenhouse industry is hot and fresh produce keeps increasing in demand. I’ve been adding to my $GRF position, Greenrise Foods and $APPH. They own almost 100 acres of greenhouses in Leamington. They bought all of Mastronardi Produce (Sunset Brand) greenhouses as well as another 30 acres last month. They have Major distribution channels like $WMT & $KR . Their peers are trading around $30 while this stock is still at ground level. Time to load up!",0.9141
3313,intuitions scrambling to get out dividend cut looming - sub 100 on the way --GET OUT,-0.1587
3314,There is something very wrong when any country pays a massive number of its citizens much more not to go to work than if they went back to work.Demonstrating how poorly run our country has become under the socialists.,0.2265
3315,"Hanging on to WMT stock long term, but not buying now. It’s trading below key technical benchmarks, and been lagging the S&P 500.",0.1748
3316,"MY NEXT CHAMPIONSHIP RING WILL PROBABLY BE SAN JOSE SABRE CATS PLAYERS, APPRAISAL @ 25,000. HAVE 2002, 2004. RINGS.",0.6038
3317,One thing that will always bring down highly inflated stock prices is the FED talking about higher inflation and preparing the market for the upcoming tightening cycle.,0.1044
3318,NOT underperforming the market today.,0.0238
3319,Dernell Nelson thought he got away with it!,0.1989
3320,"You don't need to speak English to work at Walmart. All you have to do is point, or say not in stock. Many immigrants coming across border now will be employed at Walmart. Two dollar an hour without benefits is better than Walmart employees wanting 15 dollar an hour with benefits.",0.9418
3321,"VP harris is supposed to be working on the border crisis. She went to California for Easter weekend but couldn’t find time to go to the border. Harris was in Chicago talking about the ChiCom virus vaccine distribution the other day. She did have time to stop for a bagel at a local business. The press Secretary was not too happy about a question about the bagel stop. Meanwhile at the border, the Border Patrol caught a couple of MS13 members and two terrorists. I guess the ChiCom virus trip should have been about the illegals coming across the border with the virus. Impeach Xiden and harris.",0.9571
3322,"Unbelievable, Liz Cheney being punished simply for living in reality.",0.2932
3323,Finally getting some WMT love,0.7119
3324,"The highest the Nasdaq got during the Obama administration was 5,100.Glad Joe inherited a 13,530 Nasdaq on 1/20/21I wonder how higher taxes on companies will do to the market?",0.6961
3325,"record high markets lately. all thanks to FOREVER ACQUITTED, DJT.",0.7892
3326,"Wow, that Penystok is no Muddy Waters. Quite the opposite,every time he spews this much hate on WMT it always up on the day. We will see and I'm a long way from my floor, let the house money ride!",0.7696
3327,CNN is reporting that some people may never recover from the pandemic!,0.6016
3328,"Everyone I know either works at Walmart, shops there, or both.",0.4925
3329,"The only stock that is up because our government gave all of our money to people that buy at Walmart, lol.",0.7806
3330,Solid quarter. I told people during the last quarter selloff not to sell their shares but I got thumbs downed like there was no tomorrow. WMT bears are in over their heads. This store will make it regardless of AMZN. I expect the price to continue trending higher over time. It has made a full recovery from the last quarter and I expect the current quarter to be a catalyst for the stock to hit $150.,0.9078
3331,"In the green now,hopefully a good day",0.4618
3332,Jury better do the right thing otherwise all hells gonna break lose Walmart will have to shutter up for weeks,0.8027
3333,"Anthony idolizes Gaetz, Marjorie TG and DJT.... Enough said!!!! ",0.5217
3334,WMT was packed again today. It was after school hours. The bank drive thru had about 4 cars in the teller lines. I always do the ATM and only one car there. I think lots of people get paid on Fridays.,0.7979
3335,2nd repost. I guess someone doesn’t like the truth.During an online press meeting with Pelosi and others.“I’m happy to take questions if that’s what I’m supposed to do…” Biden said off script.Biden’s White House handlers quickly intervened and cut the feed.Joe Biden still has not held one press conference and no mention of the State of the Union Address and the media acts like this is normal.’I guess they told Joe they had technical difficulties.,0.9488
3336,"More than half of the store workers at Costco make in excess of $25 per hour while the top corporate executives make a lot less than other large retail corporate executives make. Instead of paying huge salaries to those at corporate, they shift that money to the store workers and it sure shows in the shopping experience. A large percentage of Costco store workers have been there for many years and little wonder why. That can only lead to a much happier and hard working work force that helps the company in so many ways.",0.9232
3337,Walmart needs to announce a massive share buyback!,0.7754
3338,HOME DEPOT STOCK IS @ A 40 YEAR HIGH @ $ 342.,0.7891
3339,WMT closed at $145.51 the day Joe took office.,0.6195
3340,"If you haven't tried a tenderloin from Sam's, it is a treat. I cooked one for company Monday and everyone raved about it. They are pretty pricey, but well worth it!!!!! The meat is so tender. For the next birthday dinner I will do it again.",0.916
3341,"SHEP. HERE............................ I guess WMT isn't going sub 100 AGAIN today. If you have a portfolio, you are making money today.",0.7099
3342,To not only allow but to encourage our country to be invaded by massive numbers of illegal foreign criminals is nothing less than an act of treason against our country and the American people.,-0.4566
3343,"""I'm a BIG RED Republican"" Joe",0.2673
3344,Remember it was the GOP that violently attempted to stop US Democracy and supported the lies about the so called steal,-0.8921
3345,"6% of the country is unemployed, so why did Joey send everyone a check funded by taxpayers?Same reason we have a CRISIS at the southern border",-0.6444
3346,"Hate to leave, but the boat is calling.",-0.2783
3347,The Build Back Better Infrastructure Plan will be unveiled this Wednesday in Pittsburgh. US Steel has run up nicely but still has room.,0.7774
3348,Made money but sold too soon. Small position compared to my AMZN. Even added to that one lately. AMZN has been a great stock for me. Congrats to those holding WMT.,0.9738
3349,just took a small position (100 shs) yesterday thinking a great defensive company for next few years or more. Nice bonus they will develop a loyalty program. Im long,0.965
3350,“I NEED the government to take care of me” John/fritz,0.2545
3351,I just love this board.,0.7416
3352,"More lawsuits to follow.A national election integrity watchdog announced Thursday it was filing a formal complaint with the Wisconsin Elections Commission on behalf of five Green Bay residents.The complainants allege city officials allowed “private activist groups to control significant aspects of the 2020 election, including ballot ‘curing’ and vote counting.” “Hundreds of millions of dollars purchased local election offices in 2020 to benefit one political candidate, paying salaries of election officials and literally dictating the manner in which the election should be managed,” Phill Kline, director of The Amistad Project said in a press release. “Evidence in Green Bay proves this shadow government ran the election and now it is time those involved come clean.”The Chicago-based Center for Tech and Civic Life handed out more than $8 million in “election safety and security” grants to Wisconsin’s five largest and most heavily Democratic cities—Milwaukee, Madison, Green Bay, Kenosha and Racine. The center received $350 million from Facebook CEO Mark Zuckerberg and his wife to “help” local elections offices administer “safe and secure elections.”",0.9796
3353,Stock price flat today but at least we’re holding our own against AMZN.,0.4739
3354,$5600 for a family of four! Can you hear those registers ringing?,0.4636
3355,"CAN'T LOSE ON WALMART STOCK , I HAVE SHARES AS LOW #$%$ 18 BEFORE SPLITS",0.7095
3356,Obama already did a trillion dollar infrastructure stimulus,-0.0151
3357,How much longer are the GOP going to use the federal workers as leverage in their shutdown to get something that they have no budget or plans for?,-0.6565
3358,Republicans need to stop obsessing over Mr&Mrs Potato head and ‘The Cat in the Hat’ and start Negotiating an Infrastructure Bill.,-0.5859
3359,Since 2017 WISH has been the world's most downloaded global e-commerce shopping app beating even $AMZN and $WMT. That's not bad for a $14 company like WISH,0.717
3360,The students across the country are eager to return to the classrooms but the lowlife teachers are still refusing to return until they can extort more benefits from the school systems like free childcare.,0.8171
3361,The congressional agenda come January.https://www.dailykos.com/stories/2018/8/27/1791276/-This-Republican-list-of-the-corruption-they-ve-been-ignoring-under-Trump-is-their-November-nightmare,0.1519
3362,Every person with no mask or covid shot puts alll of the people in the Wmt store at risk.,-0.434
3363,Check out this article from USA TODAY:Trump blames Obama for Russian hacking of Democratic email serverhttps://usat.ly/2uBDOlk,0.3065
3364,Starting in 2022 you will have to have an Amazon Prime account to get Thursday night football.,0.5069
3365,Jen Psaki defends policy of housing migrants in hotel rooms when the National Guard was forced by tHe dems to sleep in parking garages!!!!,-0.55
3366,WMT doesn't exactly treat their employees well either My AMZN stock has done nothing for make me money for decades,0.2905
3367,"""Things that are paid by a company with their profits are not costs"" John aka fritz 4/29/21",0.3642
3368,their fake 'audit' is just a prop to keep their big lie going. It will never be completed.,-0.7766
3369,"""The suspect was identified as Ahmad Al Aliwi Alissa, 21, of Arvada, Colo.""A liberal hero guns down Americans.",0.1325
3370,Price target now 160 to 180.,0.0286
3371,"so how does shortening the polling place hours from the current 7 to 7to 9 to 5....... prevent election fraud... how does that give ""integrity"" to voting? or banning giving water?""Voting shall be conducted during normal business hours beginning at 9:00 A.M. and ending at 5:00 P.M. "" that is line 1441 S. B. 202 The House Special Committee on Election Integrity.....",0.6423
3372,"Why is it some people trust Joe enough to send them free stuff, but not enough to get vaccinated?",0.7975
3373,I work there. We should bounce back up by tomorrow. We all get pay by Thursday and the majority of the coworkers invest right back to Walmart.,0.6327
3374,"“Im not donating MY salary, I’m donating YOURS!” Joe",0.7194
3375,"I DON'T CARE WHAT PEOPLE THINK, I DO KNOW MY SPORTS.",-0.316
3376,The stock is acting likes the stores,0.5311
3377,"This eight 1/2 year old bull market is getting tired and it does need the tax cuts to continue. However I think that kind of artificial intervention is a short term band aid. In reality we need to address the huge debt, that is the long term fix our economy really needs. I see China as the big bubble that could drag many economies and have a lower debt will soften the blow. I am thinking of closing out early this year with my 5th straight 30%+ annual return and enjoy this wonderful Northern CA weather and my family.",0.1042
3378,Happy thanksgiving !,0.6991
3379,"Well if Penynostoc hasn't covered, he got a chance this morning. Of course he will still have losses but he can still cover before he has to pay the dividend since he has two days to cover.",-0.272
3380,Sounds to me like a bad case of incarceritis. Locked up 8 previous times and just committed a feIony.,0.415
3381,"Check out this article from USA TODAY:Police: Man with rifle, bulletproof vest arrested at Springfield, Missouri, Walmart storehttps://www.usatoday.com/story/news/nation/2019/08/08/walmart-store-armed-man-arrested-springfield-store-police-say/1961573001/",0.6038
3382,Walmart has begun to close stores. The official line is that they are using $s to improve web site and compete with Amazon.,0.7541
3383,"- Hawley thinks freedom is the freedom to conform to what he & his fav religious authorities think-- Thomas Paine, or Ben Franklin or Thomas Jefferson would have told Josh to go fly a kite,for such anti liberty & democracy hooey.",0.9416
3384,I guess the shorts are NOT DOING WELL TODAY.,0.762
3385,Another leg up and 144.50 could be here faster than you think,0.21
3386,Tim Scott proved Dems are so despicably condescendingly racist cultists. He gave a compassionate intelligent inspiring speech and liberal elitists exploded. He’s been showered with dem/liberal racial slurs to silence him. THE DEMS ARE NOT YOUR FRIENDS. THEY WANT ONE THING: POWER. Unity = totalitarian dictatorship to dems; diversity of opinion is the ultimate sin for the left.,0.9191
3387,"in Arkansas, most poor people are white, and shep says of them thatthey don't ""work hard & live on mail box money"" and they have a ""bad reputation""which is certainly not true as likely they work in low wage jobs, & are often elderly, children and disabled.",-0.2629
3388,Musk promised you could buy a Tesla with Bitcoin,0.7727
3389,Who would have ever imagined we'd ever have a country full of disgruntled woke people trying to tell us which words we can still use and which words we can't use anymore.,0.6858
3390,"AMAZON STOCK OVER $ 3,300 , PAID $ 1,551 X 50 .",0.4155
3391,"Some clowns here were doubting my earlier post about insiders buying, but this is straight from Benziga:""And a director at Walmart Inc (NYSE:WMT) added more than 7,700 shares to his stake early in the week. At share prices ranging from $129.54 to $129.72, that cost that director more than $1 million. With competition in the grocery space intensifying, the stock closed the week at $134.12, which represents a quick gain of up to 3.5% for that director.""So quit your gambling and lies or end up crushed.",0.9691
3392,"fritz has a trouble with math. MT UE rate was 3.5 at its lowest in the last 5 years (thanks to DJT) but had to go back 3 years for some reason to find a stat to match his bias and agenda. time to get off the couch fritz, get back to work. im sure joe has a shovel ready job for you",0.9437
3393,“We’ll let the press in once there’s nothing bad to see” JB,-0.1459
3394,Azure 50% revenue growth since last quarter. WMT and MSFT are going to eat away at Amazon over time and my biggest holdings.,0.6017
3395,"My experience with Walmart Premium has been excellent so far. Just got same day affordable gym equipment, power tools, groceries in bulk delivered for free! My only issue is I try to buy large quantities and they usually run out of stock—which is a good sign. Only reason I haven’t cancelled Amazon Prime yet is i like Prime Video and purchased a lot of movies on it. Super bullish on $WMT",0.9864
3396,"Happy Earth Day! I remember when it started back in the early 70’s. Many thought that people would actually care about the Planet. Turns out mostly people only cared about money. Now, it’s dire. We must reverse our carbon emissions quickly or our grandchildren will witness the END. Let’s get serious about saving our Planet!",0.8621
3397,"Trump claims he has made a decision, without naming names, on who will replace McGahn as white house council. I think I have some inside information. I received a call this morning and without saying it outright, My Cousin Vinny left me with the impression on that call that he has found a new job in the white house.",0.8081
3398,"Joe says there is no emergency at our southern border, them sends in FEMA to help out. You know, FEMA, the Federal EMERGENCY Management Agency.",0.1708
3399,Ain't no one in my neighborhood gettin no vax!,0.6136
3400,"Any facts that ""joe"" or ""john"" or fritz or whoever he is logged in as, are refuted by me, and others, with FACTS.When those facts are posted, the insults follow. Not facts to counter any points we may have. Just insults",-0.5525
3401,Zero republicans voted for the COVID-19 bill. I suggest all republicans reject the $1400 check. Send it back or burn it.,-0.3819
3402,Joe creates 350k jobsDJT doubled UEGo Joe,0.8655
3403,"Where is Penynostoc . He should be telling us the ""parking lot indicator doesn't lie""",0.2604
3404,"Doree, what do you think about unionized Kroger closing all those stores in California rather than pay Covid pay?",-0.1413
3405,"looks like the pipeline is having more issues?? first joe shuts down the DAPL, now this pipeline is under mulitple cyber attacks. joe is aggressively against fossil fuels. wonder whats going on here.",0.9126
3406,The closest blue city just announced new poIice recruits are going through a 10 week program instead of the normal 6 months because of retirements and they can’t find enough people who want the job. I wonder how that will work out? LOL,0.8135
3407,Zest awarded 115M. Lotta noise for a non event.,0.4793
3408,"Most dangerous cities in america: Detroit, St Louis, Baltimore, Milwaukee......... what is the common denominator?????",-0.408
3409,"Scientific American magazine now to use the term ""climate emergency"" instead of ""climate change."" justified by ""The adverse effects of climate change are much more severe than expected and now threaten both the biosphere and humanity.."" Scientifically illiterate people say bad climate change can't happen or who cares or hoax or whatever.",-0.578
3410,"THOSE POINTS LOOKING REAL GOOD RIGHT NOW,",0.5011
3411,Is this a good entry point ?,0.4836
3412,Losing ground but one thing that is speeding up is the pace of the death march to the graveyard. https://www.axios.com/walmart-is-losing-more-ground-to-amazon-536f1eb2-5ce1-4947-9293-ee84288409c9.html,-0.7412
3413,The Trickle Down theory only worked for the rich. It’s time to try the Trickle Up theory. Give the lower and middle classes more wealth and they will buy more of what the rich have to sell.,0.8615
3414,Economic recovery post covid may take some time. Fortunately DJT won’t be around to mess it up like he did with handling of the pandemic.,0.375
3415,"Will the prosecution be able to prove BEYOND a reasonable doubt that FIoyd didn’t die from his MULTIPLE heart conditions, the Covid-19 he had or the meth and fentanyl in his system?",-0.68
3416,"science is fake news say cult.evolution is a hoax, climate change a scam,nicotine is not addictive, smoking tobacco is ""mildness plus no unpleasant after-taste”, not a cause of cancer",-0.7709
3417,So Wmt struggles to maintain a half point gain on earnings beat but AAL is up comfortably 3% with little to no business ????? Please get Real,0.8508
3418,https://www.washingtonpost.com/politics/from-mueller-to-stormy-to-emoluments-trumps-business-is-under-siege/2018/03/30/1d128526-337b-11e8-8abc-22a366b72f2d_story.htmlOnly a matter of time.,0.0383
3419,"just bought some JNJ air freshners, i wonder if the FDA has put a pause on those as well?",0.7589
3420,WILL GONZAGA GO UNDEATED AND WIN THE NCAA CHAMPIONSHIP?,0.7497
