,Recent headlines and conversations for HD,Polarity
4142,They blamed unfavorable weather as reason for many store misses? LOL Where? Lying #$%$....fact is people don't have money...living paycheck to paycheck and government subsidies,-0.7066
4143,HD has great gains in just the last 5 days I'm happy,0.8814
4144,"Bernie Marcus just had to share his right wing political views with the world. It's not all about money, Bernie. It's about competence, it's about restoring respect, it's about reading the daily security analysis - it's about doing the job of being President and not just figuring out how to protect the 1%. Trump wakes up every morning and tries to figure out ""what can I do to benefit Trump?"" Anyone voting for this miscreant should be thoroughly ashamed of themselves.",0.9417
4145,HD beats earnings again lowes misses earnings again.its so simple whos doing better,0.3737
4146,"Europe was up, let’s not be beaten.",-0.2469
4147,Anyone adding on this over reaction to x-div day?,-0.0924
4148,RDUNCE I AM FEELING SORRY FOR YOU TODAY BOY!! U PICK THE RIGHT DEPRESSED STOCKS AT THE RIGHT PRICES THAN CHICKEN OUT!!!! VERY SAD.,-0.4459
4149,Another day goes by.Another fifty million illegals go out in their rusty vans. Pick up carpet and laminate at The Home Depot labor shop.To install Chinese Made junk.In the houses of Trumpers. People too old and too lazy to do anything. Blue hairs.And everyone screams Merika Merika Merika.Yeah. It's true. And some Bushbot threatens me with fifty tons of nothingness.,0.6251
4150,Visa is tanking !you are on deck !,-0.5371
4151,Did HD do a 3-2 for stock split. This thing was trading near 210 not long ago. I didn't see my extra shares yet.,0.8054
4152,Better hold $320,0.4374
4153,"Why so bearish? Idk, maybe I’m wrong I’m bullish at these levels. I think it’s a steal truthfully. Oh well carry on",-0.6722
4154,"There is no comparison between Home Depot and Loews. Home Depot dominates with outstanding service and selections. Look at the parking lots when you drive by... Packed at Home Depot. Just had a blow out quarter, and the experts are bashing the future of this stock and our economy. What gives?",0.9139
4155,That guy should he actually have rich clients be minding their business assets instead of texting all day like a teenager with a new cell phone,0.893
4156,Wth is going on,-0.5096
4157,Just bought HD right here.,0.0503
4158,Amazing how a 1.5% pull back when the market dips draws out all the MORON TROLLS... Are there that many who are #$%$ they didn't buy in when this all started?,0.3573
4159,How can housing be down with all the hurricane damage. Manipulation to get stock lower,-0.7175
4160,"I guess if you already own share you want them to blow $1.17B a year on dividends and $8B on share buybacks. At the same time it seems STUPID to me not to pay off the long term debt and short term debt and to make some appropriate investments. I'm impressed to see internet sales up 24% to a total of 6% of sales. Earnings is 3.6% if you multiply $1.69 x 4 and divide by the $187 or so price of the stock to annualize the earnings, not much to brag about, but not bad, but doesn't justify the massive PE. They are trying hard to PUSH the price up, it seems. Pay off the debt, sock away $10B, get ready for the recession, get ready to deal with inflation. The short term thinking isn't very impressive. I think they need a new CEO. It goes back to the 3.6% annualized earnings, not so hot. Something in the numbers seems weird. 3.6% earnings when you annualize it, but same store sales up 7.5%. Please tell me that's not inflation's real number. They did come out with some numbers recently for the month that if you take the month and multiply by 12 is around 6%. Of course, they said the numbers go up and down, but what if it's real?seriously, $$1.69 x 4 / $187 = .036, that is 3.6% return, which is a PE of 27.7revenue is up 6.86%, why is earnings only 3.6%?I think a company has to pay off their debt (like a country should) and let the share price do what it does, let it dive. Don't try to appease the day traders. Just let the stock price do what it does. If it tanks and the debt is being paid off, great, it becomes a much better deal.",0.9812
4161,"Hardware distributor MSC Direct is tanking huge !MSC Industrial Direct Co., Inc. (MSM) 74.24-12.80 (-14.70%)The companys MRO products comprise cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies..",0.9361
4162,"Just bought 69 shares at 191.00. Time to take advantage people. This is a 250.00 stock, and they just raised their div,,,.",0.7433
4163,Does HD get a lot of merchandise from China?,0.3257
4164,The 5-day charts show HD and LOW steadily moving up as we get closer to PAYDAY. May 16. $160.00 per share is guaranteed for this summer. Maybe more if good news about Tax Reform. Could be big jump in the markets for all stocks.,0.9007
4165,"HD , institutional and Hedge funds already know what it’s going to do that’s why they have prob selling big blocks and get back in before earnings",0.342
4166,THE ST LOVES HD KEEPS THEIR LITTLE OLD LADY CLIENTS THEIR BREAD AND BUTTER VERY HAPPY!! AND BBBY THEY SHUN LIKE THE PLAGUE.,0.9174
4167,will it hit $195?,-0.0978
4168,"HD has been a real miracle for early investors, what’s next?",0.584
4169,Hmmmm....what's next?,-0.0083
4170,This will bounce back next week. Delayed Tariffs and Investor conference. Let’s the shorts get exhausted this week.,0.1232
4171,6% below all time high with a recent $1.36 dividend payment. Not to shabby at all!!!!,0.6416
4172,"I'm up 5% in eight days, with a div locked down and on the way! Not too shabby... HD is a keeper!",0.2076
4173,"LOW and HD are bulletproof. Lockdown or reopening both these names will thrive. As long as the housing market remains robust these names along with SHW will be able to grow in fertile soil. It is a losing strategy to bet against either one of these names for the long haul. I own both and will buy every big dip. Those who can't see the forest because of the ugliness of some of the trees will remain no richer than they were when they first got involved. If you don't like money, short these 3 names.",0.6531
4174,"Due to low tax refund, some spring projects put on hold.",0.1123
4175,Popping back up to 235ish by Thursday,0.2486
4176,HD was doing well until the housing number hit the wires! Then dropped like a lead balloon! The feds just don't get it!,0.5047
4177,CEO just killed this company by being offensive to it's customers! Look no further theme what happened to PAPA JOHNS!,-0.8736
4178,Great earnings!!!How high will we go from here specially with today’s big bounce!!!,0.8296
4179,https://moneymaven.io/seanhyman/technical-analysis/will-be-interesting-to-see-if-home-depot-double-tops-here-if-so-not-a-good-sign-tycAQ0CTzU-XUU3b_JyaPg/,0.0
4180,LOL black friday is most lucrative for HD and has been in years,0.6736
4181,I see 261 support and entry point. I am buyer there,0.3548
4182,Been watching HD for awhile and decided to buy in today.,0.1386
4183,Libbey is tanking HUGE !Mammoth Glass Maker Libbey is tanking > 23% !!!HD on DECK !Building Supplie sals fell 1.5% in March according to retail sales report !,-0.5043
4184,Getting clocked!,0.0
4185,"HOE MOE DEPOT longs, this is just the beginning of a long, slow slide downward. You have been fleecing Americans for too long now and it's payback time. All the illegal installers, all the fake veteran discounts, all the doing and screwing and substandard junk is about to come back to haunt you. No more bottom of the barrel Hampton Bay junk, no more screwing over local installers, no more predatory credit card rates, no more lying about free installations of this and that. You are a huge horde of liars and miscreants.",-0.975
4186,I added more at the lows in March knowing the strength of this company happy closing in green,0.6174
4187,"Over sold,, weak hands bailing out,,, New hands will latch on, and gain the new increase in price, and the great div. I am not worried, been up and down with HD over many year. Still a great company.",0.8822
4188,"R you are a pain in the behind. I wish you would find another site to harass people. I will bet you the longs with HD will come out on top. I have owned every single stock I purchased with HD since 1989. HD is a stock you can retire on. People pay no attention to R. He simply is a guy with nothing to do but harass folks, stay long. !!",0.1969
4189,"lets see HD was 233+ now 212,, thats a big drop with big players who paid the 233 number, so they have no clue what they buy like everyone else, The shorts are the ones who know reality ,,",0.5718
4190,Go home depot. I have been long since last earnings report. Knew it would bounce back. Upgrade by Wells Fargo to $265. Earnings report Feb 25th.,0.8755
4191,Any future stock splits?,0.2777
4192,split?,0.1474
4193,Certainly was a nice little head fake after 1:00 PM. They covered a few shorts and then pulled the bids in the market. Selling picking up some steam with the Dow down 275 points.,0.3886
4194,"Just goes to show how fast AI programs and just a little possible collusion amongst top money managers can reallocate fund. There is no fore warning of such things nowadays. It also show what will happen during the next black swan event, only on a larger scale. Also it shows how fast hedge fund AI programs are able to cover their short positions with just a 1/2 oz of well positioned fear calculated into the algorithms they are running, I'm commenting on the last 2 minute run up at the eod of Fri. That was cute. Fri triple witching option players live for that....",0.5287
4195,Keep buying as the stock plummets. But you must be somewhat long. Be patient and you will be rewarded.,0.9264
4196,Home depot keeps rising as consumer confidence falls....Wonder who is right ?Did you see Largest Car rental company HERTZ today (HTZ)Did you see this ?Seems to confirm earlier warnings from Dennys Cheesecake Factory Bojangles and so many others as well as huge slowdown in car sales from all 3 US car makers...http://www.gallup.com/poll/210047/economic-confidence-index-2017-low.aspx?g_source=ECONOMY&g_medium=topic&g_campaign=tiles,0.9126
4197,Can you imagine what the hurricane numbers are going to look like?,0.5328
4198,I'm just as surprised as the rest of you. Why is hd tanking.i asked my guy today and he said it was profit taking.He also said when we get stimulus monies hd will rise again That's all I got.,0.9102
4199,Did HD flash crash to $191? Or is that just another yahoo finance glitch?,0.1819
4200,YOU WONT BE ABLE BUY HD AT $290 IN MORNING WATCH AND SEE PREMARKET BE MUCH HIGHER,-0.0518
4201,How will rebuilding homes in Texas impact the price of HD? A lot of home repairs in the next year,0.0318
4202,"Just in, Democrats to announce Iowa results by September 3rd..",0.3375
4203,Lowes up 4 bucks HD broker pounding the sell to cover dividend hd supply and bonus still a #$%$,0.668
4204,This is a great stock. Just keeps chugging along. Slowly but surely. Wish I had more.,0.8824
4205,"PROFESSIONAL CLERKS THAT KNOW MORE THAN I DO AND HELPOUT IMMENSELY. THEY SHOW YOU WHERE THINGS ARE LOCATED AND HELP ME FIND THE ITEMS I AM LOOKING FOR. MONDAY APRIL 02, 2018 I DEALT WITH A VERY ORIFESSIONAL CLERK NAMED DIANE. SHE WAS VERY PROFESIONAL AND WENT WAY BEYOND THE CALL OF DUTY TO HELP GET WHAT I NEEDED. I AM NOW A HOME DEPOT CUSTOMER AND VIIT DAILY ALMOST. BOB BOFFO",0.9764
4206,They just hired one of Home Depot’s previous top guys. There is only so much dough in the space and now Lowe’s is being perceived to get a bigger piece of it. Right now don’t fight the FED. The whole sector is tied to what they’re about to do.,0.3938
4207,you almost 16 dollars this week alone with projecting blow out earnings glad I am long and continue to reinvest div,0.7956
4208,They’ll make that employee $1 billion back in the stock trades,0.1619
4209,dividend date is TOMORROW!,0.3731
4210,NO FED CUT = SELL,-0.6028
4211,Buying opportunity!!!,0.698
4212,added more at 260. long this great company that's on sale. Messes with my low cost basis of $151 but was looking to add shares. I think this is it! If down again tomorrow I will buy more of this core holding for long term.,0.9486
4213,"Devastating news for overpriced Home Depot AH !“Whirlpool shares down 3% after earnings miss, worse-than-expected outlook“",-0.1621
4214,recession would be good buy opportunity.,0.5626
4215,Its ok to shop at home depot. Lowes but NOT JC penny and MOM AN POP SHOPS. Discovery coming to a theater near u ? Please tell us how this Junk science proves anything . Wearing a mask u breathing in C02 u exhale .Ridiculous FRAUD,0.7053
4216,start shorting @204.45 - every #$%$ stock is a junk now,-0.1243
4217,Just (12) business days till great earnings and 2 for 1 stock split. Target $160.00 near. Great stock with great earnings.,0.958
4218,"One major fact to always remember , It is always better to pay taxes than to not have anything left so you don't have to pay taxes. Big gains always go away in a recession. . Over priced is over priced. Wall Street is downgrading construction they did CAT and DE today and HD's turn is coming maybe tomorrow or next week. It is time to get your 401k's out of the market and you don't have to pay taxes on the gains until you start withdrawing the money. If it's a tax gain it is always better to pay taxes than not have any gain late just because you did not want to pay taxes. The fact is people in the last 3 weeks have started hoarding money and if the DEM wits really want TRUMP to lose all the have to do is stop spending. FACT.",0.9198
4219,Would like to add. The problem is lately hd stock just does not go down.,0.4436
4220,"Every human on this earth NEEDS Food, Water and Shelter. HD sells candy at the registers, water (LOL) and almost everything and anything shelter related. Shareholder and dividend re-investor since 89'. I'll just keep buying more shares 4 times a year like clockwork. Talk about a passive investment that I can go too anytime to see how its doing! Not at all concerned about the SHORT term with this stock.",0.8827
4221,HD is going to tank. Lowe's shifted before HD away from. China. watch how this plays out...,0.3562
4222,"Charles, if you bought 300 shares then this morning you are already down 3k. Can you afford to lose thousands of dollars in such a short period of time. ? When they reported last time it was good earnings but some of the analysts said on SA that this Q might not be so good.",0.907
4223,SHORT HD SHORT IT SHORT IT,-0.8556
4224,"The left. The party of Universal Love. Don't ask what their end goal with that means. It will make you sick.For now, lets say universal love is all people loving all other people equally. Yet for some reason, that doesn't apply to President Trump.So you see, as usual, those on the left say one thing, but don't mean it.If you are on the left, and you really mean Universal Love, you would say to the president ""Peace and Joy be with you.""During the debates, he should ask the other candidate ""do you believe in universal love. ""And ask, ""if you believe in universal love, why do you hate me, and millions of conservative US citizens ?""""why do you call us deplorable ?"" ""why can't you accept us, as we have accepted you ?""Force the other candidate to answer that question.",0.9942
4225,Maybe Lowes will hire Bob Nardelli.,0.475
4226,"LOL,LOL,LOL poor suckers LOL,LOL Told you it was coming and HD is going back under $100 LOL,LOL,LOL",-0.6984
4227,Book Value $3.06 how do I get some lol,0.7009
4228,Existing home sales fall big !Lowes tanking !,-0.4837
4229,"lawn mower, snow blower engine and generator maker Briggs and stratton tanking ah !this follows Massive MMM warning.. Will you be snookered out of your fabulous gains ?",0.8302
4230,Woo? Hoo!! HD hit's $186.96 in PREMARKET trading today! Wow!,0.8409
4231,What a stupid selloff yesterday!!!,-0.6401
4232,Looks like a short squeeze,-0.0355
4233,we are going to have a blow out as tomorrow what an outstanding day of gains,0.8408
4234,what the heck happen?,0.0034
4235,"Bought 15 215 6/21 calls, avg .95. This gonna bounce",0.401
4236,**ALERT**An EARLY WARNING for OVERPRICED home depot from 3M !3M Company (MMM) 197.625-12.375 <<<<<<<<<<3M longs were smug and got smoked today !A HUGE number of items from 3M are sold at Home depot !From Masking Tape to Roofing Materials from Sandpaper to Particle masksFrom Electrical connectors to wall hangers...WIll you be snookered out of your gains ?,0.9195
4237,what time does HD report earning tomorrow?,0.2046
4238,If I do have a problem they fix it and sometimes compensate me. Just a great company.,0.5413
4239,This will go down to 245. It will be a buy then.,-0.283
4240,Don’t understand the selloff but decided to add more at 176. Didn’t they beat by 25 cents on an adj basis last quarter? The subsequent selling on fear going forward was grossly overdone and undeserved,-0.4091
4241,so we start back stronger than ever,0.5296
4242,"#$%$, why r we down 3%?",-0.177
4243,You people see that bounce off 172? We have bought. 6 ppl. 400 shares in at 172.90,0.4722
4244,Market Realists are a low grade analysts company and are paid a nice commission to try and I say try to manipulate stocks for buyers.,0.1161
4245,Split coming soon,0.1998
4246,just getting pulled with market,0.1358
4247,"Come to your senses. This thing is over in a month. SPRING is virtually here and, the SUN is warming things up to HOT.",0.6631
4248,Went to hd on sunday but line was to long.but I own about 1000 shares so I'm not complaining.,0.502
4249,Wth has held HD down today,-0.6201
4250,Looks like Home Depot isn't wasting any time with OnLine connections: Google also announced that Home Depot has partnered with their Google Assistant and Google Express services! THE HITS DON'T STOP COMING IN!,0.889
4251,selling is over !!!!!!!!! time to step on the gas and add more !!!!!,0.3604
4252,Mammoth Appliance Maker Whirlpool misses and warns !This can't be good news for Home Depot can it ?https://finance.yahoo.com/news/whirlpool-whr-down-q1-earnings-104410438.html,-0.3925
4253,what's happening? we're plunmeting??,0.0
4254,"These money managers thinks this is a cheap way to play $HD:https://www.twst.com/news/spencer-stewart-sam-stewart-award-winning-portfolio-management-experience-tell-ok-sell/""Yes, a la Home Depot in the U.S., a la HomePro (BKK:HMPRO) in Thailand. They are the largest pure-play building materials retailer with 26 outlets serving a population of 260 million. The rest of the market is totally unorganized. The core underlying theme is that many emerging markets have been subsistence income countries, and they are just switching into some level of discretionary spending. And you probably heard from many people about this tipping point, but the point is, they’ve got 26 stores. They are the largest in Indonesia — versus 2,000 Home Depots or 100 HomePros in Thailand.""",0.8501
4255,"PE 26.47, this is a strong buy right now",0.7119
4256,Just loaded up another 270 shares @ $184.75.,0.4667
4257,"Is today an indication of nexts weeks earnings report, I think so!",0.3856
4258,It is a great buy with not much competition. I love to go to HD . Remodeling projects help an has reasonable P/E. Somebody dropped a bomb to buy back at a lower price. I bought some more to existing position.,0.8619
4259,Watching the news this morning massive rebuilding will be needed across Florida and Ga supplies needed from HD,0.5726
4260,Once again HD beats expectations for the millionth time in the last decade and it goes down on this news. #eyeroll,0.135
4261,Split for a XMAS present?,0.8156
4262,how is this stock going up still even though trade war must have huge effect on this business,0.2561
4263,HD is doing great. I am long HD and you should do it also. Spring time is here and that means it is HD X'mas!,0.8936
4264,"what a huge disappointment this position has been I believe in it but to what end, I have a huge position in it too..",0.642
4265,IBIO is going to pass $3.6 today now $1.3!!!,0.3253
4266,nice come back today. cant wait for my divvy check!,0.4587
4267,NAIL is part of HD DHI LEN NVR,-0.2246
4268,HD reached a 52 Week low at 161.43,-0.1464
4269,BAML reaffirms buy and raises price target.,0.1637
4270,"Congress is incapable of doing what is necessary to help this unprecedented issue, which makes them worse than any virus or war. If they cannot get it together and stop the nonsense, after this 15 days we MUST just open back up the economy, isolate the most vulnerable, hand out the hydrooxychloroquine and let this run its course. The destruction of the economy will be far worse than the virus.",-0.873
4271,China will not be told what to do from Trump!,0.3933
4272,After they cause a selloff their consensus is getting better,0.4272
4273,300 tomorrow!!!,0.2228
4274,"Thanks for pushing HD down low enough for for me to turn my small day trading investment strategy into a sizeable profit yet again. I love this stock.Anyone that thought this was going to continue to tank is delusional. Good earnings=good stocks, but sometimes investors can get swayed into dumping shares on a whim.",0.6657
4275,Resistance at 239. Closing above this will be a very bullish signal. Enjoy the ride or buy more on any pullbacks,0.7651
4276,still up almost 50 dollars ytd no worries will spike after earnings be long stay strong,0.644
4277,"I am the greatest just look a BBBY screaming higher and HD is still under $235.49 LOL Make sure to sell the rips in HD and NEVER EVER buy the dips in HD or you will get stuck holding this way over priced stock LOL, LOL Citi's Analyst needs to be locked up pumping HD all the time know Citi's rich clients would be selling.",0.9785
4278,Congratulations to those who bought the dip this morning,0.7521
4279,"MAKING MONEY IN THE MARKET, THE WAY I LIKE IT.",0.1988
4280,"@Bill....I had Sears service to my home yesterday and asked if he thought that Sears would be going out of business with AMZN, now selling Kenmore products ? He gave me some food for thought....He told me that the repair division was the only $$ making branch, however....get this......He said that Sears has started a 50/50% franchise program with private operators.",0.872
4281,"Just unloaded my investment in HD!! I was waiting for a breakout and I got it!! What a whipsaw, CRAZY, ride since the post earnings, insanity, lows!! Good Luck if you still own this puppy!! I'll be buying in again if it retreats off of its SUPER Overbought conditions!!!",0.9539
4282,only back to june 2020 levels,0.1595
4283,This stock is being straight up supported by money from a weird source. That means you will be left holding the bag. This thing is absolutely ridiculous!,0.7179
4284,R= TOTAL FOOL!! PUMPED M AT 16+ AND BBBY AT 11+ HE SELLS THE BLUE CHIPS AND PUMPS THE LOSERS!!,-0.8799
4285,what are the numbers?,0.0181
4286,"Over 5 years now, what is Home Depot’s policy on their recommended contractors carry guns n their trucks or cars to people’s home?",0.539
4287,"Howard: There are a lot of short term investors . One event doesn't measure a companies value. I've had Home Depot for over 20 years, wish I had more shares. Lowes performance has a long way to trudge. Floor sales personnel are difficult to find.",0.8022
4288,R R.I.P. HD RISE AND BBBY FALLING WILL B THE DEATH OF YOU BOY!! I WARNED U NOT TO BASH HD!!!...LOL,-0.7448
4289,"Chart looks terrible................death cross and if support breaks here, you are looking $30 lower, IMO.",0.2913
4290,Well HD did what they could to destroy the share price unrestrained spending. Pay off billions in debt no morons cant do that,-0.7812
4291,"I have to guess the analyst forgot about all the damaged housesin Florida , Georgia,North/South Carolina",0.3058
4292,350 soon,0.0011
4293,Hom-oDepot is going down hard,-0.3326
4294,HD is solid as well as LOW. Making money hand over fist this summer.,0.5558
4295,"This should be going up towards $400 around earnings, Spring is here and with this morning high housing starts - it should continue upwards with a few retracements. Don't be surprised on a split announcement next month.",0.8543
4296,Added 60 shares today at $247 and holding until fri..$275+ sounds nice :). GL all,0.8744
4297,"HD is doing the right thing, staying out of politics. I like their stance.",0.4937
4298,"The only bad news was manufactured by analysts. Growth, share buy backs and divy raise. Flat growth for 2019 but I got time. Picked up more at 183",0.7387
4299,Easy $231 close,0.3855
4300,SHORTING NOW,0.0264
4301,Home building materials will surge as existing home sales increase. Buy HD and LOW and hold both till earnings. July CALL options are very active and a good investment in a down market. Both held up well today. HD is not a tractor supply comparison. Looking good Ray!,0.9706
4302,bloodshed tomorrow and it HD will be the culprit,-0.0628
4303,"They make improvements to your home, a piece of cake for you.",0.6606
4304,"Analyst Actions: Raymond James Raises Home Depot's Price Target to $250 From $245, Keeps Outperform RatingBY MT Newswires— 8:58 AM ET 05/20/2020",0.612
4305,"this guy is the worst. vraiphil, that's enough already. don't buy flooring from home Depot. got it, move along already you dope.",-0.2094
4306,Nice consolidation this week holding steady before we move into higher 200’s.,0.9082
4307,"@invest do you post anything positive anywhere Mr Shorty .. your entire reaction list is negative.. you hate AAPL, HD,GOOG, MSFt. LOW, T, etc...",0.2376
4308,Formed a nice tri-point on the weekly chart. Price will climb up from here.,0.7488
4309,Can we say stock split 2 for 1,0.3884
4310,"Here's how it works, longs. Home Depot spends trillions a year on image. Meanwhile, they farm out their installation work to labor shops. In the Denver area, HOM solutions does the dirty work. All illegals, all the time. At the same time, the company is embarrassingly pro-Trump and the administration talks about deporting anyone who can make a burrito, and yet the abuse goes on and on and on and on and on and on and on and on and on and on and on. I would post the HD horror stories in the Denver area, but it would far exceed YHOO's ability to handle the message.",0.3505
4311,might dividend be impacted???,0.3174
4312,Supply chain! Going down at least another 20%,-0.2683
4313,Home Depot reached a 52 Week low at 180.15,0.1264
4314,Is there something wrong with Yahoo finance ￼or is it possible that Lowes is up seven bucks? And how is this even possible if it is￼ True.￼,0.0482
4315,great gains going into earnings hold long and strong,0.9204
4316,"Multiple analysts upped their price targets - $295 to $330.So, why isn't HD moving? Inquiring minds want to....I own 1,000 at a cost basis of $43.10.",-0.0438
4317,"These great companies should not be so susceptible to the whims, perspective and fake news",0.1715
4318,R can't be trusted period. he roams from board to board telling people 2 sell top stocks!! and buy bbby which is down 84% over the last 5yrs a real buffoon. Now today he is selling his HD stock. Funny he never once said he was long the stock which I find hard to believe!!!,0.9127
4319,HD should be up from now!!!,0.4943
4320,I’m think DONT worry ab div??,-0.4072
4321,any good buy from hd is Chinese make and no good and I m a homeowner for last 35 yrs,0.6774
4322,WHAT HD $238.50 ?,0.2177
4323,Glad I sold 300 shares of my Home Depot to add to my Apple. What a dead stock Home Depot is right now. Why missed the boat with Apple. What a run.￼￼￼￼,0.7763
4324,"I don’t think earning will be goodIt is already priced in , not good earning announcement will drop this like rock to $200 area",0.7688
4325,Net earnings eps: reported was $3.18 increase by 25.7% from previous quarter last year Sales: $33.5bn compared to previous period in 2019HD investor relations page,0.4932
4326,$HD uses $PLUG #Hydrogen FuelCell Forklifts,0.0
4327,"ed out..don't see many doing major renov..maybe a bit more upside here, but no way it sees 250 other than by market manipulation..i would not hold any stock overnight.,this is most expensive market in history and when this falls,it falls hard.....",0.4031
4328,SELL to the idiots chasing.,0.2899
4329,with all these storms home depot is a necessity...… shoot had to buy a dang generator this week I would've rather spent that $3500 on this firesell of a stock,0.4022
4330, ALERT. CNBC just announced where the profit loss came from Anyone see the report?MASSIVE THEFT RINGS on attack,0.5502
4331,"HD $310 tomorrow possible........ships flowing again so worries about inventory should subside. Spring fever on the horizon......lets keep it going.Cancel Culture leave HD alone, and all CEO's like Delta stop bowing to this pressure, otherwise it will never stop. GA voting law is not your concerns, flying safely is.",-0.5335
4332,It will tank,-0.4425
4333,"I ALSO QUIT QUIT SHOPPING A HD. THEY STOPPED GIVING VETERANS DISCOUNTS ONLY TO SERVICE CONNECTED DISABILITIES. I SPENT NINE YEARS I THE ARMY AND THOUGH I WAS NOT INJURED LUCKILY I STILL SERVED WITH GREAT PRIDE. HD PERSONNEL MAKE ALL CUSTOMERS FEEL NO APPRECIATED. I HAVE REMODELED A HOME INSIDE AND OUT HERE IN WINTER HAVEN SPENT 25,000 DOLLARS AND GOT MY DISCOUNT AT LOWES. HD IS A HAS BEEN COMPANY. STORE HERE IS LIKE WALKING THROUGH A MAZE WITH DIFFICULTY WALKING AND SHOPPING WITHOUT DODGING IN AND OUT DUE TO AISLE BEING BLOCKED AND THERE PRICES ARE VERY HIGH. HAVEN'T BEEN IN HD FOR SEVERAL YEARS AND WILL NOT STEP FOOT IN THERE STORES. BB",0.9833
4334,Wells Fargo just lowered their target by $20. Way to go HD!,0.2291
4335,$302.95 Home Depot can we say split. All time high.,0.5937
4336,Nice 180!!!!!!!!!!!!,0.6083
4337,"I love it when, ""contractors,"" talk about buying products from The Home Oh Depot. It means you are picking up a few copper elbows or ten feet of Romex or twenty feet of MDF baseboard for that next huge job. OMG, I can't imagine putting my name on that junk in a real world environment. Why don't you have an account with a real supplier. Home Depot is the catch basin for the cheapest, nastiest Chinese junk available on the open market. Are you turned on by the concrete floors and the ""professional associates,"" wearing aprons? Here's a hint. Follow these aprons to the local liquor store and watch what they pour into their food holes every night after work. Then, tell me about all the valuable advice they give you on, ""the floor.""",0.9598
4338,Where are all the doom and gloom guys who swore this would hit 140 and lower after the Amazon / Kenmore scare then again a week later when the Lowes ER pulled HD back down again?,-0.7639
4339,"After some comments that were said on CNBC about HD being cheap, I looked in to this further and it looks like both $HD and $LOW are both below their true value. hurricane just helps it gain attention to accelerate the price.",0.9557
4340,LOOKS LIKE MARK HAS BAILED ! LOL,0.6649
4341,188 + at close going into earnings / still a 13 million share short that will cover into earnings if they are smart .. 3 days daily volume to cover,0.2992
4342,Buying opportunity may present itself on IBM's drag on the Dow if this occurs. I think it will be short lived.,0.3775
4343,Housing numbers thru the Roof..I'm in Home Depo constantly no other place like it..,0.6777
4344,nice gains today,0.6709
4345,"I don't know about all of you, but I have to believe people are still doing an awful lot of repair work to their homes, rebuilding and/or replacing due to the summer fires that raged up and down the West Coast. Home Depot will benefit from that for at least another 6 months. And do you think all the insurance companies have settled all the claims and written all the checks? I sure don't think so. Not yet. Fierce market over reaction by the algos--investors need not worry--the fundamentals are fine and not broken. Stay long and strong.",0.9082
4346,"Are you ready for a great FALL in the stock market. Because the recession has already started , People have just stopped spending. All the signs are very clear now. Get ready for a GREAT FALL in the FALL. Get to cash before the crash. All signs are now pointing to a massive slow down. VERY bad when people stop spending and are hoarding cash.",-0.6749
4347,Why is HD losing ground pre-market despite fabulous earnings?? What’s happening?,0.5843
4348,"Lowe's Companies, Inc. (LOW) 71.00 -4.80 (-6.33%)",0.0361
4349,Breaking now. 1.5B in Insider Sales last quarter just reported.,-0.047
4350,This is my baby this year,0.3257
4351,Wow I guess it was priced for perfection. Great earnings and raised and still down after being up almost $5 pre-market. I don't get it.,0.9244
4352,what is likelihood that the dividend will be reduced or maybe increased?,0.4054
4353,"Home Depot uses illegals. Billions of them. Every day. Without shame. Without remorse. Without any fear of reprisal.Home Depot longs pretend to be oblivious to this indiscretion and berate people like me who help reveal the problem.If you are a Home Depot long, please do not ever equate The Home Depot with a pro-American poise. This company knowingly and wittingly uses illegals and pretends to know nothing about it. This is not pro-America.",0.901
4354,"Sale will not last long, HD will continue to print money",0.3806
4355,Another downgrade today. They may be taking it under $170. Unbelievable!,0.2587
4356,rsi is a great indicator for the this. chances are we are bottomed at 180,0.8158
4357,Bought this at 40 bucks many years ago and kept it through the years.. Thank God....Go hd...,0.3803
4358,Orders for Apliances fall unexpectely !this can't be good news for overpriced HD can it after lowes miss ?http://www.kitco.com/news/2017-05-26/U-S-Orders-Of-Durable-Goods-Fall-By-0-7-During-April.html,-0.6717
4359,Turd,-0.4174
4360,This piece of garbage stock will never hit 200!,0.1564
4361,"With the addition of Stephanie Z. to the Board of Directors Home Depot will have a direct LINK to the hotel and motel industry. Stephanie brings expertise to the HD in brand management, sales, marketing, revenue management, digital, distribution, consumer insights and innovation, as well as worldwide information technology. She'll make a great fit for THE HOME DEPOT!!",0.978
4362,Some comments from Powell on Capital Hill now hitting market,-0.1996
4363,This is going thru the roof when shorts have to start covering!!!,0.496
4364,P.S i was hoping H D would split .,0.553
4365,Warren Buffett holding period for core holdings ko axp is forever. Peter Lynch said you run with your winners and not buy the weeds! bottom line is the Home Depot is a FOREVER holding.,0.9205
4366,Cramer said Home Depot and Lowe’s are fine but HD will probably go down on earnings,0.0425
4367,surprise or demise ??,0.1094
4368,"LOL 2 more trying to get their rich clients out before the crash < HURRY BUY, BUY, BUY so my rich clients can SELL, SELL, SELL",0.9578
4369,"This should not be going down. Oh well! HD, BABA, AMZN, AMD r safe heavens",0.7603
4370,Dividend raise of 32%! WOW. compounding at 72 is a double.,0.8536
4371,HD is doing something right. Long on HD.,0.5095
