,Recent headlines and conversations for ADBE,Polarity
1660,The stock has outrun the pre-pandemic level of 390's. Is this dropping because of the vaccine news? Does ADBE has an inverse relationship with vaccine arrival?Trying to figure out if this is going to further crash? Any thought?,0.9388
1661,"Im not so sure folks realize the problems from working from home. The employee's expenses such as phone, internet connection, all the needed hardware, office supplies, desk, ergonomic chair etc. Then there is liability, AKA workers comp. So I trip over the cord to my computer while working from home and I break my arm, or my kid cuts his head open while in my office.......the liability is the companies. Then there's that good ole employee fraud, could be workers comp, or moonlighting, or ????? $appl $crm $adbe $csco $intc $tvix",-0.5415
1662,"With 12 or more analysts covering this stock, and an average price of 424I think it's safe to assume that any big selling we are seeing below 420 is largely coming from daytraders and frightened weak hands",0.1259
1663,"everyone BUY BUY BUY analyst ratings up,earnings up, positive earnings outlook for Q4, what's not to like?Basically trading at a discount here. Some analysis actually described it in 'oversold territory'",0.9123
1664,After IBM's dopey purchase of RHT i cant help but wonder if someone will make a play for ADBE. If IBM can pay 70$ premium for RHT im sure ADBE will get much more.,0.7502
1665,ADBE is down 4.91% to 270.70,-0.2462
1666,What happened ......going down straight,0.0168
1667,Tomorrow will be a nightmare. You shall see. Sentiment is collapsing,-0.559
1668,"anything cause the downturn, over sale?",-0.0794
1669,"these SOB's cost me a bunch of money last month, because of some moron from the company misspoke, went down sept 20 or around there from 165 to 155 overnight, i had 165 calls oct, sold 10 contracts to cut losses, the dumb #$%$ apologized for his error, he must be a liberal dip wad",-0.8752
1670,hmm may be tommorow . should be out by now . The call is at tommorow 8 though,0.1951
1671,Give me one reason not to own this great company. I think whoever is selling this at this price should be fired.,0.5582
1672,Where ever this swoon goes that's when you buy look at the analysts rating look at the revenue and earnings picture. This has $300 by year end all over it. See if you can get in at $240,0.1202
1673,"Can Adobe Magento do what Shopify can? If not, then why? No one seem to know Magento, Adobe must be extremely stupidnot naming it Adobe ""Shop!"". The first time I heard Shopify, I know what it is right away, ""shop online"". The first time I heard ""Magento"" I thought it was just a color app. Nothing more. A name with no common sense, It is doomed to fail getting any notice! even if Adobe spends 20 millions or more advertising it , it will fail to catch on. Look like Adobe will be eaten alive by Shopify.",-0.6251
1674,"ADBE 'll be hardly hold or it 'll be down in pre-trading or during opening hours tomorrow, due to highly short volume (25% short) as of today and tomorrow as well, plus profit takings since it's at peak value now:https://marketwirenews.com/short-information/NASDAQ/ADBE/adobe-inc-five-day-short-information.html",0.8498
1675,ADbe has no value==tafget $150,-0.296
1676,HERE IS PROOF that ADBE was manipulated at 4PM IT DROPPED down to $153 at 4;05PM -then went RIGHT -Back UP to $175? If that is not manipulation -WHAT IS?PROOF=http://www.nasdaq.com/symbol/adbe/after-hours-chart,-0.6536
1677,These conversations are olllllllllld.,0.0095
1678,down day again oh well,0.1044
1679,What is the lower guidance? Where?! Purely manipulation by WS,-0.588
1680,"Good time to buy, will be 145 by next week",0.5166
1681,Is this for real or are we talking about year 2000 when the ballon popped?,0.3453
1682,Cramer has mentioned Adobe along with Salesforce several times already on show tonight as two stocks that will be climbing this week. He's not wrong.,0.0168
1683,ADBE=trash! stay away from this lagard software stocks: MSFT is leader!,0.438
1684,Love these profit margins. Will be adding this like a 401K every month.,0.86
1685,$ADBE A split coming soon? Any thoughts?,0.3078
1686,Here comes a big bounce for ADBE!!! GO ADBE GO!!!,-0.5022
1687,"After hours is often irrational. Would never do something without having all the information, Conference Call is essential here.",0.4385
1688,2 for 1 split on the cloud horizon?,0.05
1689,this stock man....,0.2115
1690,"Cramer even said earlier today that the stock would drop BIG on earnings, why any long did not sell and if they believe in the shock, buy it back cheaper- muppets!",0.7749
1691,Great company fundamentals.,0.6498
1692,bought the dip December this stock is making me bundle ,0.3166
1693,Its a steal at this price. Going all in afterhours! Saved enough dry powder to load up here. No worries at all.,-0.3721
1694,Wake me up when we are back over $500 please,0.6183
1695,"relax guys, the market is little lower thats why it is down, it will recover and hopefully close green! This is a great stock to hold in your portfolio!",0.8671
1696,Beats top and bottomEPS $2.27Revenue $3.09B,0.2253
1697,"I am subscribed to the Adobe Creative Cloud. How do I pay for it ? Well, just by owning the stock and sometimes selling a few shares. It basically feels like I am earning money having the subscription. I guess I am happy.",0.9208
1698,"This rubbish goes nowhere with a slight southern accent.The bankrupt HFs are liquidating good assets, ADBE is gonna accelerate it's journey to the south",-0.7605
1699,"long term, great stock and company. short term market pressure to retest 440-460 range.",0.4562
1700,"Who sold? I want their names on my desk immediately, if not sooner!",0.363
1701,"$AMD $NVDA $SQ $SHOP $AMZN $AAPL $MU $FB $BABA $TWTR $TSLA $NFLX $ROKU $NKE $PFE $PYPL $CAT $IBM $MMM $INTC $TXN $PYPL $CSCO $TWLO $CRM $ADBE are MASSIVE BUBBLES! Buyers are buying at PEAKED PRICES! They think these Stocks will continue to trade as PYRAMID SCHEMES! But 10 years of FREE MONEY GIVE AWAY will END TERRIBLY! US Stock prices have been pumped since 2008 FOR NO REASON! People forgot what happened to PEAK buyers in 2000 and in 2008! They will pay hard for their ignorance!!!! Lehman Brothers has unmasked the US Equity BUBBLE in 2008, this time $GE may trigger the DEEP RECESSION! Either way current US Equity BUBBLE is the ""MOTHER OF ALL BUBBLES"", Valuations are impossible to justify and it will BURST SOON! Remember US Stock Market is called ""Tulip Mania BUBBLE"" For a reason!!!",-0.9875
1702,Adbe- beware buying into earnings when it peaked already,0.3366
1703,ADBE==garbage!,0.0
1704,Should see some $600 price targets!,0.308
1705,or maybe not selling.,0.1489
1706,"I'd proceed with caution. OVERBOUGHT,large GAP UP from previous close, Top Band on the 20 day 294 bottom 273 MOVING AV 283.65. on the 20 day. This could get very ugly very fast when profit taking/shorting starts",0.7742
1707,"negative morons posting on these boards have no idea how capitalism works. Gov't does not pump stocks, free market reaction to news drives buying and selling, the mystery of what makes a stock move up or down is the very freedom we fight for....stop complaining and invest, no better place to get returns, research solid companies and buy in for the long term",0.7868
1708,"Adobe is going to have some competition in terms of design tools with Affinity Serif, in the near future.",0.225
1709,"@mel bear market its down less then 2% thats an average swing nothing to loose sleep over, and i hope it does go down along with the market as a whoe. id love to load up on shares during a down trend. and not thos just this stock, im in for 10-15 years fown the road. I'm investing for retirement not worrying about Pennies on a daily basis I already make a six figure salary. People called me crazy when i bought bitcoin in 2015, i bought netflix at 300 before the 7 to one split, made a modest 300% return in 18 off canadian marijuana stocks. im not investing this money for tomorrow. i look at whats going to be big in do qell in years to come a could care less about a lousy 2% after earnings. so say what you want but when i cssh put bitcoin last year i made more then ull see in ur lifetime",0.9491
1710,I am so happy with my ADBE shares!,0.7595
1711,"Stock should be $500 before Sleepy Joe Biden,wake up from his sleep!",0.8431
1712,Nice work longs,0.4275
1713,Let's see 300s. Let see this 2-digits IQ beatch with stupid polish name complaining :),0.0055
1714,I am really glad that I found (http://sharelabs.xyz) - they just sent an alrt that is up like 77% in a week. Good stuff!,0.8931
1715,Where is earnings release?,0.1828
1716,I just bought some more before close. good luck longs.,0.7619
1717,Next stop could be 190,-0.2998
1718,the option traders Market makers want to keep it low . Watch out next 2 weeks for a breakout,0.7682
1719,SHORTING 10K SHARES,0.296
1720,Isn't this just a couple pennies off from the highest close?,0.1847
1721,Strong end of day move!,0.5982
1722,Let’s go 500s again,0.0302
1723,Want alerts on momentum stocks before the run happens? I have the solution…Google “loinstockalerts” and thank me later.,0.6044
1724,Analyst Targets:Bernstein: raised to 424Griffin: raised to 427JP Morgan: raised to 430Credit Suisse: raised to 425Baird: raised to 460BMO Capital: raised to 440Cowan: raised to 400Goldman Sucks: raised to 350Jeffries: raised to 470BofA: raised to 440Wells Fargone: raised to 375Morgan Stanely: raised to 450Average Price 424.25(currently at 400.00) (you do the math!!),-0.5215
1725,"ADBE a $500 dollar stock in 12 months! EARNIGS are AMAZING! 30% growth in subs! INSANE GROWTH! If ADOBE contimues to hit 30% on Subscription Revenue, that creates another 576 million a quarter in Revenue that recurring and another 520 million in cash flow that goes to building an unstoppable monster! Thanks to those idiotic tax cuts almost all the money drops to the bottom line ADBE should fly past 10 dollars in earnings in 12 months! The businesses that Adobe have invested in have a high probability of exceeding the 29.6% growth rate achieved this quarter! These guys running ADOBE are GENIUS!",0.9486
1726,if its a beat earning...why down? i'm lost,-0.3114
1727,Sell!!!!,0.0
1728,this is a short at 270. u wanna sell before earrning. this stock too expensive,-0.2214
1729,"This is what TruthFinder posted yesterday. It JUST happened. How many here fell for the headfake?""F you happened to miss the awesome rally in ADBE recently - don't regret it too much. If history repeats itself, the hedge fund machinators will very likely force a sharp downward headfake after earnings are released tomorrow, in order to scoop up as many shares as possible prior to a massive rally bringing the stock up somewhere near 450 and higher in the following 5 trading days.""",0.8523
1730,500s coming,0.0537
1731,Almost time to buy. Once it hits 255-257 range look for the rebound back up,0.558
1732,My 252.21 trade is looking very good. Lucky for once.,0.756
1733,Adobe to come with new stream of revenues from crypto currency market .,0.2176
1734,"6% return over the last 6 months. Incredible, time to retire.",0.0676
1735,ADBE is up 4.91% to $252.36,0.1818
1736,Warned?,-0.2732
1737,Any news,0.133
1738,"What a great company, I remember buying Adobe at $10 a share in 2002, a marketcap at the time of 5 billion, today Adobe just paid 5 billion in cash for Marketo. I never could have imagined in 2002 what opportunities and new business Adobe would be competing in 2018. Marketo and Magento are two companies I would have invested in if they went public, but by owning Adobe stock. did not need to. Own shares of HUBS and Shopify that compete with Marketo and Magento, just love what Adobe is doing with cash flow in investing into these HUGE addressable markets, digital marketing and ecommerce cloud platforms. Adobe has a vision of the future a plan to get there. Congrats on your new Acquisitions",0.9885
1739,Up pre-market is a great sign for a great Friday! God bless all.,0.9463
1740,Just joined the call. Have they covered financials and guidance already?,0.2777
1741,let’s see what will happen tomorrow!,-0.1289
1742,avg volume 3 million sharesvolume 4.4 million shares,0.7177
1743,"... I was concerned about adbe unable to hold 465 support but it did. Maxpain is 480, so look for close around 480 tomorrow- more like between 477.5 and 480",0.2651
1744,350 coming pull up a chart,0.4441
1745,They missed!!!!!,0.3255
1746,ADBE has no enhancements; not really innovative. They need to step up for the stock to move higher. What a boring organization,0.5939
1747,glad I bought on Joe Terranova's sell reported on CNBC last week. This guy is a terrific contrary indicator!,0.9032
1748,Sell it for a while.,0.2558
1749,Absolutely CRAZY selling after hours. You need to appreciate a company by not selling. This stock should do well.,0.4798
1750,Double topOn chart,0.4263
1751,really glad I added to my position at 250 on Friday. anyone think we'll be seeing 260 by end of week?,0.6675
1752,shorting the minute the market opens tomorrow,-0.1461
1753,insider selling tons of share.. especially the CEO!!,0.4168
1754,Patience. You're holding a 200 stock,0.5912
1755,just a complete non event earnings,0.123
1756,Muted Ganlin. Sick of having to read his garbage posts on the ADBE board. He’s said the same thing about other companies that are gold. It takes garbage knowledge to say companies like ADBE are garbage. He probably lives in mommy and daddy’s basement with his teddy bear as his only friend in the world. Sad.,0.6546
1757,"Glorius days are over FOR adbe . In the past there was Photoshop and Cloud , Now they have rivals on the new Market like shopify etc . I sold evthyng yday",0.7143
1758,"Wondering if it’s a good time to short. Great company, good run up, but it has to take a breather sometime...",0.778
1759,"Upgrade! Morgan Stanley, $450 Overweight! Nice",0.5274
1760,Buy this before it goes pass $500 again....you're welcome.,0.587
1761,sell this loser stock n buy AAPL,-0.1946
1762,"Hold short, we will see $300 sometime this week",-0.4878
1763,Adobe will be back up and over $500 in November!,0.0865
1764,"Here it is, now's your chance to get a piece of this great company's stock.",0.7907
1765,"225 is still on the table for today. The initial reaction was right here, and you are given a free lifeline to get out at a better price. Only a 2 to 3% market gain can help.",0.9302
1766,Thoughts?,0.0
1767,$141.69 in AH :),0.6765
1768,another rotten call by Cramer...,-0.401
1769,"A big thank you to Joe Terranova who announced he was selling Adobe recently on CNBC. That was a green light to buy more shares, which I did immediately.",0.9281
1770,Don't be too worried: Congress just passed Trumps budget extension INCLUDING funding for his freaking wall!,-0.3875
1771,"For how long will the US Government continue to PUMP the US Stock Prices artificially? Everyone knows that the US Market is in the MEGA BUBBLE; it is even more overvalued than Tulip Mania Bubble! The US Stocks are INSANELY OVERVALUED and OVERBOUGHT! The Valuations are impossible to justify!For how long can the US Government run this fraudulent Stock BUBBLE, while Corporate revenues are tanking, Corporate and National Debt is Astronomical, the Valuations are beyond insanity, Political polarization is at max, there are ongoing and upcoming wars, the real resources are limited, Economy is Collapsing, Competition is intense, the Stock Dilutions are at record highs, everything is getting worse, China, Russia, and many other countries are set to ditch the US Dollar as an international reserve currency. Now there are 100,000s of companies worldwide competing for $1 revenue! The US Companies that barely generate revenue of $1-2 million are trading at $50-60 Billion Market values, while in Asia, the same companies with better fundamentals, 100 times more revenues, are trading at 99% less market value! The US Company valuations DO NOT MAKE Sense at all! Why would one invest in US Stock Tulip Mania while he/she can buy the 1000 times better company share for a 99% cheaper price? The US Stock Market is a MAJOR PONZI SCHEME designed to patch fraudulent pension systems in the US temporarily! There is NO PROPER Revenue Collection by the IRS since 2016. Taxes are extremely Low, and Nobody is paying custom duties! People want more free money without working, more free checks, more capital gains, more stock hypes every day! This fraudulent ""no need to work"" policy of the US Government will END TERRIBLY very soon! Inflation is skyrocketing, but the Government is lying about inflation! $AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9045
1772,Adobe: Timely Buying Opportunity https://seekingalpha.com/article/4292496?source=ansh $ADBE,0.531
1773,DO NOT BUY ANYTHING IN THIS BUBBLE! US STOCK PRICES ARE INSANELY OVERVALUED and OVERBOUGHT! Stock prices HAVE PEAKED! REMEMBER 2000 & 2008! See what happened to the PEAK buyers! $AMD $NVDA $SQ $SHOP $NFLX $ROKU $CRM $ADBE $MSFT $AAPL $AMZN $CAT $IBM $MMM $TXN $ADBE $TWTR $FB $BABA $INTC $TSLA $ATVI,0.765
1774,Earnings on December 9 will be excellent. We will be heading back over $500.,0.5274
1775,Good opportunity to start a position on a great software company,0.8985
1776,I think tomorrow adbe will go up $20,0.1291
1777,i'me afraid i missed a good opp to get back in this when it had fallen back to the 440's; bummer;,-0.1261
1778,People looking for a quick buck buy in just before earnings expecting a jump. The jump doesn't come to the level they expect so they sell off. Stock then resumes its growth pattern and goes up from there. I'm an adbe long. I own their products. I use their products everyday. I believe in their products and love them. Photography. Pdfs. Creative cloud. In the photo world they have brand recognition. You say put on a band aid when you get hurt. You say Photoshop that when you need something done with photos.,0.9793
1779,ADBE is the last great tech stock left standing. The chart looks like it is about to roll over. Lower lows and lower highs.,0.2014
1780,sell any strength!Target $250==ADBE==ORCL!,0.2408
1781,You never know ~ but i have been doing this for 22 years. I would say the chances of a rally here are over 90%. good luck ADBE longs.,0.8634
1782,"Now, it's getting interesting. A couple more % points down, and I am going to add to my ADBE position",0.55
1783,Adobe is down 14.91% to 285.48,-0.2744
1784,ADBE: Strong monthly job report. Market will up 500 pts in the endBUY the pull back may see 255 close,0.6426
1785,what the #$%$ this stock is nutsss,0.2282
1786,"As far as stocks that might actually benefit during a coronavirus pandemic environment, excepting the medically related, the stay at home / work from home flavor of stocks as far as my research goes are THE best candidates for long term benefit as people and corporations around the world who become aware of working collaboratively over the cloud will ultimately acclimate to the new virtual reality and adopt these platforms long term. My #1 candidate as witnessed here, is ADBE, followed closely by ZM and of course TDOC. Best wishes to all!",0.977
1787,who wants to make a bet stock will be down tomorrow at the close?,-0.1257
1788,"Wait... wait... wait... till $235, then start buying as much as you can. Even borrow a little money, if possible. You are going to get a +90% return on your money in a year... count on it. You're welcome and Happy Fathers Day!",0.8605
1789,Earnings could take us to $520 per share.,0.4621
1790,"I'm still digesting this report... Starting with Q4 of last year Adobe's earnings significantly improved to the tune of $1 Billion per quarter. You can see this in the small chart on the Yahoo Summary tab.Adobe continues to grow revenue, but the change in earnings is big change. Somehow Adobe has reduced costs significantly, and this savings extended from Q4 of 2020 to Q1 of 2021. Will this continue?Given the positive guidance for 2021, it looks as though it might. At least, it seems credible that their forward guidance is at least accurate.I'd be interested in learning what they did to reduce costs $1 Billion per quarter and if this will be sustained. If this is because they furlowed employees due to Covid, then we might presume that these costs will return for the rest of the year as they bring people back on board. Since they are still growing revenue, I imagine that earnings and revenue for 2021 will still be better than 2020, but we might see a downtrend in earnings after Q1 as these costs return. Just trying to manage my expectations.",0.9866
1791,ADBE shorts are going to get crushed after earnings. Shorting this stock in general is beyond stupid.,-0.4945
1792,why the sudden hike up to 103 plus? Is it flying high on the Cloud theme just like MSFT yesterday? Gabe,0.767
1793,What a dud,-0.219
1794,"Guess this company is too ""boring"" right now like Microsoft When fundamentals start to matter again, EV stocks, e-commerce stocks, fintech stocks, clean energy stocks will correct, and money will flow back in stocks like Adobe and Microsoft",0.8506
1795,ADBE still getting hammered again today. Big traders are taking money off the table to go after others in spite of the great quarter and strong projections. This is a hold or a buy though given eventually it will get the recognition it deserves in its stock price.,0.81
1796,ADBE is down 7.45% to 311.68,-0.2462
1797,Need to think about mental capability of us if we are buying Doordash airbnb at 150+ and not buying profitable strong companies like ADBE .,0.9173
1798,Is ADBE's earnings today after market or tomorrow? Yahoo Finance says today but Google Search says tomorrow??,0.5007
1799,Bright days ahead for this stock. Adobe truly is the leader in this sector and they will gain their momentum back. I have a friend who is very reliable and they will produce record earnings this qtr.,0.9474
1800,"Sell before earnings, ADBE has run up as it always does, and it will tank. Buy tomorrow at $250",0.3316
1801,Just shorted 300 shares at $337.75....... will short 300 more if it goes to $400...... this is wayyyy overbought!!,-0.23
1802,This is so secure tonight to beat - it’s simple gains 2.30 tomorrow,0.6594
1803,Today's target 407.00Friday's target 450.00(my numbers),-0.1483
1804,i should have sold before,0.0986
1805,1.73 beat by 2%,0.2179
1806,Go up 20% tomorrow?,0.1874
1807,In at 252.21 day trade only.,0.1306
1808,Whenever someone asks me what Trump's heritage is I answer - PIG!https://www.huffingtonpost.com/entry/donald-trump-rape-case_us_581a31a5e4b0c43e6c1d9834,0.2447
1809,As more people return to the office upon economic reopening ADBE should resume its upward trend. Very bullish on this name for the long haul. I feel that long term ADBE will leave the 400s and 500s in the dust. There is no bear case on this name. This company has a solid moat and will start to be rotated back into soon. I feel compared to where it will trade in a few years that this stock is at a discount.,0.9489
1810,I guess ADBE didn't get the call that the whole market is correcting again - it's got too much earnings stuffed in its ears.,-0.0194
1811,Look at ADBE rally!!! GO ADBE GO!!!,-0.6475
1812,$520 tomorrow?,0.0024
1813,"I think a lot of tech companies need to prepare for the possibility that talent may not want to come here if Trump is reelected. His relentless attacks on immigrants to satisfy his base is changing the way the US is perceived - I think there's a good chance that talented people from foreign countries will not see the US as a welcoming destination. I hope ADBE and MSFT and GOOG, etc. start working on expanding or setting up shop in places where the talent wants to be. Western Europe and Asia could be big beneficiaries.",0.9869
1814,why is ADBE crashing after hours?,-0.0187
1815,its going to be 477 by July 2019.,0.0439
1816,Retest of lows In march coming,-0.2831
1817,"Near recent resistance, uptick on low volume, easy short! See you guys at the bottom, cheers!",0.5477
1818,GO GO GO ADOBE!!! UP!,0.4152
1819,Price drops to $170.23 after market. Someone is selling a huge piece of this stock,0.5574
1820,Let’s go rebound,0.249
1821,Is this a good price to buy in?,0.5654
1822,no wonder tech stocks has been flying lol. because tariff imposed..,0.1595
1823,"Most software stocks up nicely today: why ADBE drops? MDB/OKTA/TDOC,..all up!ADBE really laggard caused by moronic index fund managers!",-0.248
1824,employees are gonna sell their shares from the ESPP - this will affect the price,0.4401
1825,Why is yahoo Finance so bad with dates? Posting the wrong days for earnings reports and dividend payments is very common on here.,-0.5041
1826,For those of you who have been in ADBE for several earnings; does this usually pop afterwards? I see minor dips on the last two; is the way it usually goes?Thanks!,0.492
1827,"Comparatively, downturn risks to ADBE share price today, is de minmus. Return potential high. AH traders can yuq a donkey.",0.6121
1828,fly baby,0.3944
1829,They overpaid. It was sold in august 2017 for 1.79B. Marketo is expected to only generate 400m revenue in 2018. 12.5 times revenue is insane.,-0.5247
1830,ADBE will rock into their quarterly earnings next Thursday!!! GO ADBE GO!!!,0.4456
1831,What is a pandenic? Is it an Adbe Stock pumping Festival of light,0.6906
1832,Bought at 451 waiting for the next tech bull run!,0.242
1833,"but nobody will be selling shares at $260, or even $310, bcz it will open above that tomorrow, ratface. earnings beats, call in a half hour, why don't you listen in?",0.5708
1834,"Great, lets go back into 500+. Got myself in at 476 but got a bit scared wit the premarket crash. Now Im bullish again and I'll hold!",-0.3314
1835,Why cnbc never talk about adbe?!,0.4743
1836,#$%$ this misleading website,-0.2168
1837,Conference call wil make the diference.,0.4926
1838,Broke 180Let push ADBE to 190 today,-0.3963
1839,$ADBE$ADHD,0.0
1840,Imagine that. Has earning and decent outlook. This market sell off was unjustified. Period.,0.0232
1841,so called everybody analysts.... keep on sending hurray articles for company example adbe kmx only after the whole action was done. then slack someone out of unknown world comes and says it's 25% downward.. if value is all that matters then I thin all companies will go 50% down or more.. who declares them analysts.,0.8905
1842,http://alph.st/bf74f376 ADBE dropped 4% after it reported third quarter earnings on September 19. What is expected out of Adobe's fourth quarter earnings on December 14th?,0.0482
1843,"295 is the top band, should they run it up there I will drop 100k on shorting this without blinking. Funny how media is twisting Powells words saying ""Rally on possible rate cuts"" Powell said clear as day NO CUTS in 2019 and won't look at them again until 2020...",0.4986
1844,Is going below 200,-0.2106
1845,Accounting manipulation.,-0.5492
1846,no risk****,-0.296
1847,Soft market? Is that why we’re at all time highs?,0.1082
1848,Photoshop CC is easily cracked by replacing one file. Everyone I know doesn't pay for it. Of course I pay for my subscription however as I'm super honest and they need the money.,0.9565
1849,Mr Harley saysHe loves this stockAdobe is a great serviceBit of a run upI’ll buy PPS $280 January 2020,0.8851
1850,This is beyond my apprehension with such ER this only clicks 12 points in AH / PM . I just hope that it will gain some intraday.,0.9242
1851,They keep bidding up the junk stocks and this one gets hit. I added today. This will double in 2022.-23! Love getting quality on sale.,0.9066
1852,looks like quarter profit taking is keeping this down.,0.5598
1853,ADBE is laggard without compelling moat!Stay away from it at any strength!,0.6923
1854,nice,0.4215
1855,Down 1%? EARNINGS OUT NEXT WEEK(what did you think? they're just going to give you free money without a little sweat?)Covid19 has ensured that this stock will break out to all time highs over and over again during the next quarter. Mark this post!,0.7718
1856,"You need to google Sensei their AI platform and read everything that came out this year that's the real news, and its the thing most people would overlook but its what is going to push Adobe to the next level.",0.5666
1857,Shorts get burned. Where’d the bashers go?,-0.1766
1858,Cramer’s favorite stock you shouldn’t bet against him,0.4927
1859,Net profit up from $268 million to 1.68 BILLION from 2014-2017. No way im selling this bad boy. Still undervauled IMO,0.4262
1860,Clearly wants to go to $500 in the near to intermediate term.,0.3816
1861,Easy 10% down tomorrow.,0.2366
1862,ADBE crashed Friday for the expensive buyout of Marketo and as suspected was amplified buy options end date for September so now we go up from here on a rebound,0.5312
1863,Buy ADOBE b4 Sep.4,-0.0859
1864,company changes name from ADOBE to ADUMBO to match bagholders in this garbage,-0.1189
1865,Given ADBE’s moat I would say even at these levels the company is still undervalued. Patience is key The returns are well worth the wait.,0.6013
1866,"Awww but I thought this company reinvents the world every day? The P/E should be at least 10,000",-0.1549
1867,What goes up come down,0.0008
1868,ADBE 350 in 2 weeks.,-0.0397
1869,What the F?? YOu have a great rebound day yesterday and then you give it all back today? No excuses for this,0.7964
1870,"so much hype, this market will crash so hard if earnings aren't great :(",-0.8236
1871,ADOBE!! MY SAVIOR IN THESE DANK DAYS!!,-0.3098
1872,200 sma boogie woogie I assume.,-0.064
1873,"Here is something to consider...no rate cuts considered until 2020 FACT no matter how much CNN and others try to twist what Powell said...you must ask? Why twist truths other than to drive prices higher before dumping? Note, today the volume was FOUR TIMES that of the 10 day average. Do you really think you're going to see that heavy of volume to keep this up? Profit taking and shorting will drive this back down fast and hard. Don't be a sucker retailer caught chasing.",0.9306
1874,big short www.canarydeath.com,-0.4022
1875,"Is not a bubble... base on market conditions. But, with no shorts covering the stock...and a minor beat.. and no guidance rise...THERE WILL BE BLODD",-0.5403
1876,Start a small position at the Bell,0.2484
1877,"Adobe's Sensei, is turning Adobe engineers into real life Wizards. https://vernonchan.com/adobe-max-2018-sneaks-session/ It is beginning to feel like Sensi might be the most valuable AI platform in the world. Adobe powered by Sensei has transformed Adobe into a Magical Kingdom of content creation.",0.8381
1878,Abort mission,0.0016
1879,Any quick drop in ADBE recovers very quickly with in 2-3 days... This could happen again next week. Possible 155 by mid to late next week...,-0.452
1880,"IF you happened to miss the awesome rally in ADBE recently - don't regret it too much. If history repeats itself, the hedge fund machinators will very likely force a sharp downward headfake after earnings are released tomorrow, in order to scoop up as many shares as possible prior to a massive rally bringing the stock up somewhere near 450 and higher in the following 5 trading days.",0.8334
1881,really wish I'd bought more 2 weeks ago,0.4099
1882,Watch out for Benjo quoting 160-170. I thought you shorty trolls went out in the 90s.,0.5366
1883,"There are so many ""I know best how to run Adobe"" comments. That makes me laugh! ",0.8833
1884,"Adobe's CEO on CNBC in a few minutes. Don't know if it will move the stock, but it might.",0.4321
1885,made a small gamble on down after hours,-0.1694
1886,Adobe $610 in 18 months on way to $1200,-0.0587
1887,upgrades???,0.0
1888,Any announcement of a stock split....,0.2936
1889,"This stuff is not even real, bunch of shorters and scammers on here don't believe anything you read here!",0.2501
1890,"To the moon, mad money profits on calls",0.0529
1891,i swear these Mother fker arent even listening to the conference and just selling.,0.4762
1892,350 tomorrow hopefully,0.4037
1893,Wow crazy movement!!,0.5234
1894,"295 strike calls. Gonna have to cash them in tomorrow, no way I am risking holding into weekend. Too much crazy in the world. Indian just dispatched warships to the Gulf.",-0.6132
1895,Quality stock and company. I believe we break out to the upside soon. Been going sideways since September.,0.5736
1896,Boom.,0.25
1897,"Love the stock, but they usually tank at earnings",0.217
1898,160 soon.,0.0011
1899,Base Tards opt traders forked me. Shares sold at 176.50. I will get you back somehow. Just wait.,0.7022
1900,Crash,-0.4019
1901,thank,0.3612
1902,It's a bargain now! :),0.6363
1903,Will drop 10% tomorrow.,-0.3471
1904,NICE job Adobe - KEEP IT up $375 this week,0.8125
1905,"Money, pouring down to bottom líne now! Alert! Buy this sell off! Adobe's earnings EXPLODING HIGHER!!!",0.6605
1906,"Gonna be green next week, upward trend towards 500 range, also Colorado pension just ditched shares in square etc and bought a ton of adobe.",0.8978
1907,There is no news that adbe will do their earnings tomorrow! So I guess it will be done today,0.1346
1908,"Tried to add at 248. Dang, missed it.",-0.0878
1909,"Shorts working hard here to cover their losses tomorrow, good luck guys but no use",-0.1668
1910,"i would’ve assumed that our pullback was due to a small number of shares trading hands, but we’re still reaching average volume pretty often ",0.9092
1911,this is a solid stock,0.348
1912,ADBE repurchased shares because their managements are greedy and want to sell their shares at high price. Pls. be aware.,0.559
1913,ADBE WILL ROCK AFTER RELEASING THEIR EARNINGS (AFTER HOURS TODAY)!!! GO ADBE GO!!!,0.6541
1914,"MM are driving up prices to shoet there was no rate cut,this will crash,but first they want to milk this run",0.5022
1915,split?,0.1474
1916,Anyone else see another tech-wreck coming. Tech stocks are way overpriced. This will end badly.,-0.4738
1917,All aboard!!!!!!!!,-0.3068
1918,Goldman Sachs warns of peak growth and falling stock prices next 3 to 6 months today.,0.305
