,Recent headlines and conversations for KHC,Polarity
3563,Just bought low again just in time for ex-dividend again soon,0.4576
3564,"They would fix the stock price if they just said ""Hey we are making positive changes in management"" Stock would shoot up 10%",0.8328
3565,buffet said khc did 25 billion in revenue while kirkland in costco did 39 billion,0.1948
3566,The last five days seem to indicate the bottom was passed.,-0.357
3567,"Shouldn't the wright off of 15,6 Bil $ be good for the tax benefits ?",0.751
3568,restate earnings..looks like this accounting issue is getting to the finsih line .I bet it turns out to be small number % wise,0.5224
3569,why are there so many financial critics after the fall of a stock?....what a joke!,-0.2425
3570,Book Value Per Share (mrq) 53.64.Are sellers going nuts? short ratio is very low too.. do they have asbestos in their products too or am I missing something here?,-0.5971
3571,when is ex div date?,0.1721
3572,What happened? Did the Chinese impose tariffs on Ketchup?This is supposed to be defensive stock.,-0.1573
3573,Newsflash: Warren and Charlie are #$%$! They may just buy this gem just to show who?s BOSS!,0.8012
3574,they forgot to mention they still make money and have 25 billion in revenue..minor details,0.173
3575,"The short selling is accelerating, and the volume is now x3.5 of the normal trading day volume. That's a huge sign of danger. By Friday, when the bottom falls of this stock look out for $18. Nothing can stop that.",-0.0657
3576,seasoned investors well know that earnings release at this point is a red herring. long khc and continue to place buys at strategy levels. realize you had better be long on free cash.,0.9283
3577,Upgrade this am!,0.2411
3578,"BREAKING NEWS ! DOWNGRADE On Buffet Comments :Kraft Heinz Cut to Market Perform From Outperform by Bernstein7:00 am ET February 25, 2019 (Dow Jones) PrintRatings actions from Benzinga: https://www.benzinga.com/stock/KHC/ratings(END) Dow Jones NewswiresFebruary 25, 2019 07:00 ET (12:00 GMT)",-0.4688
3579,Hoping we see 33 or 34$ this morning,0.4644
3580,Well who bets this drops below 36?,0.1267
3581,"CRON ......IS IN AN INDUSTRY THAT THE POLITICIANS WILL NOT LET DIE. GOVERNMENTS NEED THE TAX DOLLARS. I AM NO FAN OF POT, BUT YOU CANT FIGHT CITY HALL. CRON AND CGC ARE THE WINNERS AS THEY HAVE ALTRIA AND CONSTELLATION MONEY BEHIND THEM......NOT TO MENTION LOBBYIST AND DISTRIBUTION CHANNELS. I FAVOR CRON .....BUT IT COULD TAKE TIME. 30 BUCKS BY 2021 YEAR END!!!!!",0.9783
3582,"Don't worry guys, Stacey Abrams is running for President.She likes ketchup and Cheese Dogs.",0.7104
3583,Looks cheap. Buy,0.4495
3584,Earning audits are done $55 soon!,-0.0839
3585,Why would people buy today when you can get shares 40 cents less tomorrow or less.,0.6162
3586,All time lows now with a healthy dividend. I am buying and accumulating crazy not to for div alone,0.1801
3587,Wonder how management is sleeping these days?,0.1732
3588,$30 BILLION IN DEBT IS EQUAL TO ENTIRE MARKET CAP.. STOCK IS WAY OVER-PRICED!,-0.7992
3589,Folks don’t believe fake news . Khc is s great stock !,0.5672
3590,Negative growth company with 16 P/E is not reasonable. I won't buy this stock unless the P/E become less than 10.,-0.5398
3591,$29+ a share! Thanks JP Morgan! https://seekingalpha.com/news/3555014-jpmorgan-bullish-on-kraft-heinz,0.8008
3592,cant wait for the bad advertisement to stop. once this stock stops making headlines it will rise again,-0.7209
3593,"RSI under 13, extremely oversold....will not stay at these levels for long",0.7537
3594,Who wants to hold this stock over the weekend? The only good position for this stock now is SHORT.,0.471
3595,I bought some Kool~Aid today. Warren Buffetts favorite drink but it did not cost me 4 billion dollars. Monday CNBC stay tuned.,0.7222
3596,"Kraft went from 48 to 34 in 1 day. I guess people don't need food anymore?I just took a position at 34. Buffets holding, saying in the long run it;s a great stock.",0.9332
3597,i'm in house of pain. avg 36 sh. did read today KHC may go private. not concerned. am buying it down again after hours. ymmv.,-0.3662
3598,where these weird people with doomsday coming from?who is paying them to write page long assay on message boards?I only read 3 to 5 lines messages and mute the long ones.,0.6159
3599,Why did this stock lose so much of its value? I bought it several years ago and it’s worth less than half. It has been my worst performing stock. I haven’t sold because I feel it will improve. Just wishful thinking? Or should I sell and cut my losses?,0.2518
3600,lookin strong,0.5408
3601,$0.40/ex-div next week. I'm in.,-0.0084
3602,"It is me, I am the reason this stock is not back to $48.00. I bought KHC and like many stocks before the bottom falls out. You people should pay me to sell, then you will start making money. In fact the whole market should pay me to NEVER buy any stock again.",0.7851
3603,When everybody is negative that's the time to buy. Buy low sell high people.,-0.1448
3604,still enjoy KHC and M. making the fall of my tech stocks feel a lot better.,0.5031
3605,Credit Suisse slashes its price target for KH from $77 to $55.Ouch.Due to lack of product innovation and brand support.Be careful not to fall for a bull trap if KH rises into earnings May 2.That would be a sure sign of a post earnings collapse.,0.3422
3606,hire the pepsi people they dont seem to have any problems selling frito lay,0.2053
3607,"Guess the point is that Khc operating cash flow has been around the double of the paid dividend for at least the last 4 quarters. This tends to show that the present 4,5% dividend is safe, hence the solid increase in the stock price. Not a fantastic company, but still a strong cash machine",0.9229
3608,"BOYS...HERES ALL YOU NEED TO KNOW. BUFFETT, THE WORLDS GREATEST ALLTIME INVESTOR IS PLAYIN CHESS, AND EVERYONE ELSE IS PLAYIN CHECKERS. BOYS...WE ARE ON THE RIGHT TEAM WITH BUFFETT LEADING THE WAY !!!!",0.9489
3609,"Quit pumping and trying to sucker unknowing investors into buying KHC. Most have no clue that there will be MASSIVE tax loss selling going into the end of the year and that anyone that has losses will be taking them. Why because if the DEM wits happen to win in 2020 you are going to need all the tax losses you can get piled up . FACT. All part of tax planning for the future. You will see people selling and taking gains all next year, because the tax rates will be lower than if the DEM wits win. It is always better to pay taxes at a much lower tax rate than to watch all the paper gains go up in smoke and pile up the losses if you have any to take so you don't pay taxes the whole time the DEM wits are in.",-0.7625
3610,Pay out ratio is 191.27% How can they lower debt while paying lot in dividends?? Is dividends at risk??,-0.7309
3611,"Awesome! A 25 bucks stock that loses 9.10 per year. And KHC wasn't even trying!Warren, i have to give it to you: When you FUP, it's always big.",0.8081
3612,I predict it will be $45 by the end of the year. These low commodity prices have to be helping their bottom line,-0.3278
3613,Too much confidence in a company not running on all 4 wheels. No wonder they needed a new ceo.,0.6012
3614,"The way I see it is there is no way BYND (Beyond Meat) is worth 1/3rd if Kraft/Heinz. Even with KHC's issues, this stock is way undervalued for anyone long. They have 200 products, many iconic brands. They def need to innovate...and investin talent ...and stop the budget cuts - and they know that now.",0.5961
3615,Billionaire Democrat Warren Buffett lost millions today on Kraft/Heinz but I don’t think he will lose any sleep tonight.,0.1625
3616,I thought quarter report was coming out today. New to this game but im in on KHC,0.513
3617,Finally getting earnings pre market tomorrow. Analysts are expecting 0.61.,0.3402
3618,About time to replace this leadership ( lack of leadership ) team.!!!!!,0.4572
3619,broke thru 31.90. Wow.,0.3505
3620,CNBC rally on Monday will be short lived as usual. The stock will be lower on Tuesday.,-0.3431
3621,"Here Come The LAWSUITS...........BREAKING NEWS 9:29 AMHagens Berman Alerts Kraft Heinz (NASDAQ: KHC) Investors to $15.4 Billion Asset Writedowns, SEC Investigation, Securities Fraud Class Action and April 25, 2019 Lead Plaintiff Deadline9:29 am ET March 1, 2019 (Globe Newswire) PrintHagens Berman Sobol Shapiro LLP alerts investors in Kraft Heinz Company (NASDAQ: KHC) to the April 25, 2019 Lead Plaintiff deadline in the securities class action pending in the United States District Court for the Northern District of Illinois. If you purchased or otherwise acquired Kraft Heinz securities between May 4, 2017 and February 21, 2019 (the ""class period"") and suffered losses contact Hagens Berman Sobol Shapiro LLP. For more information visit:https://www.hbsslaw.com/cases/KHCor contact Reed Kathrein, who is leading the firm's investigation, by calling 510-725-3000 or emailingKHC@hbsslaw.com.According to the complaint, during the class period Defendants misled investors about Kraft's internal controls over financial reporting and its carrying values of goodwill and certain intangible assets.On February 21, 2019, Defendants announced Kraft's carrying values of certain goodwill and intangible assets were well below their carrying amounts. More specifically Kraft recorded impairment charges of $15.4 billion to lower the carrying amount of (a) goodwill, primarily in the U.S. Refrigerated and Canada Retail reporting units, and (b) intangible assets, primarily the Kraft and Oscar Mayer trademarks.In addition, Defendants announced Kraft received a subpoena in October 2018 from the SEC associated with ""an investigation into the Company's procurement area, more specifically the Company's accounting policies, procedures, and internal controls related to its procurement function, including, but not limited to, agreements, side agreements, and changes or modifications to its agreements with its vendors.""This news drove the price of Kraft shares down $13.23, or down about 27.5%, to close at $34.95 on February 22, 2019.""We're focused on investors' losses, the extent to which Defendants' statements about impairment analysis and asset values may have misled investors, and possibly improper use of side agreements,"" said Hagens Berman partner Reed Kathrein.Whistleblowers: Persons with non-public information regarding Kraft Heinz should consider their options to help in the investigation or take advantage of the SEC Whistleblower program. Under the new program, whistleblowers who provide original information may receive rewards totaling up to 30 percent of any successful recovery made by the SEC. For more information, call Reed Kathrein at 510-725-3000 or email KHC@hbsslaw.com.About Hagens BermanHagens Berman is a national investor-rights law firm headquartered in Seattle, Washington with 78 attorneys in 9 offices across the country. The firm represents investors, whistleblowers, workers and consumers in complex litigation. More about the firm and its successes can be found at www.hbsslaw.com. For the latest news visit our newsroom or follow us on Twitter at @classactionlaw.",0.9962
3622,Great buy for dividend yield alone. This at lowest price in awhile. All in,0.4081
3623,"Warren Buffett will not be selling KHC at these low levels, especially when there average is around $58.50. I think this is a good time to buy when everyone is panicking. It’s good to know Buffect is holding lots of shares.",0.8766
3624,Credit to @bettingbruiserTomorrow I have confirmed that $MDLZ via $ACB is going to announce Mr Lance Friedman from $KHC to the BOD of $ACB. However their is no investment associated with the appointment. Peltz & Co. are not putting any money up by all accounts #PotStocks,0.8843
3625,I am of the opinion they should suspend dividends until the debt is reduced significantly. Then watch the market reevaluate the share price upward. Future earnings over and above retained earning should be used to buy back shares.,0.7486
3626,$36 by weeks end! ,-0.0989
3627,Way oversold buyout setup,0.2853
3628,KHC is up 4.93% to 25.99,0.1818
3629,It's still a solid company! Need management change moving forward. today its only a paper loss for buffet. $0.4/share is still a good dividend!,0.8528
3630,ttm pe is very high,0.2445
3631,can anybody explain why Kraft stock should go down as result of the vaccine? people are not going to eat in post COVID era?,0.7682
3632,Bought in 32 24.,-0.0397
3633,Saw KHC bounce off that .08ish support and rally back up yesterday. See how it goes.,0.604
3634,"In regards to the suspension of dividend rumor, does it really matter whether the profits are paid out rather than retained to reduce debt and grow the business? Won't the scale of the marketplace eventually re-evaluate the business based on the intrinsic value growth?",0.7932
3635,i wouldnt worry about anything. the chief growth officer is hard at work as we speak!!!,-0.4526
3636,"The analysts tell us to stay away from Kraft Heinz here in the $30-range will call a strong buy when it comes back in the $50-range. Wall Street and its games. No thanks, I will just use my brain and buy now.",0.81
3637,"Found this while cleaning up folders today.Buffett Builds Heinz Stake to 52.5% With Penny-a-Share Warrantby Selina Y WangJune 18, 2015 — 7:04 AM CDTBerkshire Hathaway Inc. increased its stake in H.J. Heinz to about 52.5 percent as billionaire Warren Buffett exercised a warrant in the ketchup maker ahead of its planned merger with Kraft Foods Group Inc.Buffett was able to add a 5.4 percent stake in Heinz for 1 cent a share under terms of the 2013 deal when Berkshire and 3G Capital took the food company private. He purchased 46.2 million shares for about $462,000, Pittsburgh-based Heinz said in a regulatory filing Thursday.Berkshire previously controlled about half the common stock, and also has preferred stake of $8 billion that pays an annual dividend of $720 million. While Buffett is on the board of Heinz, the company is managed by Jorge Paulo Lemann’s 3G, which has been slashing jobs. Omaha, Nebraska-based Berkshire and 3G have agreed to combine with Kraft, where Lemann’s company has said it plans more cost cuts.“Efficiency is required over time in capitalism,” Buffett, 84, said at Berkshire’s annual meeting in May. “I really tip my hat to what the 3G people have done”",0.9912
3638,"The new CEO is going to want shares to appreciate to between $45 and $55 here's why,And Patricio will receive a performance-based stock award that will entitle him to receive between 200,000 and 600,000 shares of Kraft Heinz common stock, depending on the company’s stock price appreciating to between $45 and $55 per share during the first three years of his employment. If he receives these additional performance share units, he will be required to hold them for an additional 3-year period.",0.9775
3639,great set up for seasonally strong period,0.8707
3640,Huge algorithm block buying after hours. We’re ready for launch ,0.5791
3641,Sold out my position. Supposedly Buffet said he has no plans to take KHC private and might unload shares of accounting problems persist.,-0.0815
3642,Oh shes a fighter!,0.2191
3643,"Glad I sold yesterday, will rebuy tomorrow Love the dividend!!!",0.8658
3644,About to hit 38,0.0291
3645,I bought my first 700 shares.,0.3162
3646,Ok KHC Management. If ever there was a time to buy back shares this is it !!! Borrow the money if you must !!!!,0.7804
3647,CONGRATS TO ALL THAT BOUGHT TODAY @33.15LOL,0.559
3648,When Wall Street and manipulator FAKE news reporting rag Barron's push KHC lower make sure to take advantage of it to work you cost lower. Get some cheap deep in the money call so you can take Wall Street shares later right before the next dividend is paid. Never let a good stock manipulation go to waist. Always work at lowering your cost.,0.7902
3649,"if they cut dividend and paid off debt. this would recover,,IMO",-0.3331
3650,"Alrighty, recovery all ready beginning Maxwell house possible sell off & then Buffet speak on Monday. Hang on to your hats, this was oversold on Friday probably due to stop loss triggers, this stock is going back up. GLTA",0.797
3651,"Just doubled my long position, EPS great, dividend great, PE great...and set to break that 34-35 wall ...with a chart pattern suggesting a quick correction to 48.",0.9316
3652,Just think we are guaranteed to lose .40 at the open on th. Ex-dividend day.,0.2649
3653,Buffet donated $3.6 billion to charity ---he could have bought 10% of KHC---if stock that dropped from $90s to $30 does not qualify as charity case I don't know what does,0.6096
3654,31 or 32 would be a 20% move. Whatever wrong with this stock will be fixed. Don't they make ketchup and macaroni and cheese?,-0.1827
3655,Last time I looked KHC was a food stock.,0.148
3656,Hellloooooo $28!,0.0
3657,"KHC pulling on their $4 bill revolving line of credit from banks. If a company whose products are flying off the shelves thinks they need to tap into that, because they don't trust the banks that doesn't bode well for the USA.",0.0997
3658,Cheap tasty nutritious food with long shelf life back in vogue.,0.7887
3659,GOLDMAN SACHS WILL BE WRONG ON THIS ONCE AGAIN.,-0.3913
3660,RSI is at 15 wow,0.8053
3661,KHC thinking of spinning off Maxwell Coffee Business Worth near 3 billion $,0.4117
3662,"KHC still trends basement. so, be mindful here. earnings beat caught many flat footed. mindful that zacks and barrons did hedge their sell post recently. that was a clue for me and i posted that. but, an earnings beat, regardless is NOT taken lightly. KHC is back in spotlight again.",0.7875
3663,So is everyone expecting an ER tomorrow as its the last day to report and then another on Thursday for the qtr that just ended? Is it even possible they release one after close tomorrow and the next before open thursday? 2 reports while the market is closed is something I have never seen before.,0.8349
3664,Asian Markets upsome more than 3% in just the first few hours. Positive outlook. U.S Markets will go upBuy Buy Buy,0.7243
3665,Have not received dividend. Isn't today payment day?,-0.0558
3666,Good luck longsWe shall hear tomorrow,0.7522
3667,Someone bought another 10000 KHC October 2018 62.50 calls today!,0.2976
3668,"This stock could easily drift down to $25, just like GE keep going lower and lower before finding a bottom. with so much bad news, a bottom usually is not formed for awhile.",-0.1819
3669,"Are you ready for KHC to go higher , if not you better get ready, Why because KHC is trading way lower then it should be and it will be going higher",0.8537
3670,"Using PAC money trying to control representatives votes - political activism in connection to Kerry's wife no thanks I'm out of here!! Disinvest 2,000 shares ... there's plenty of America First companies where I can invest my money ...",0.7367
3671,This company is red like tomato ketchup,0.2079
3672,"it needed to fall a little, the chart indicators were all thru the roof, added calls.",0.0334
3673,This is going to 30 . Book it Dano!,0.1103
3674,25+ by EOD,-0.1787
3675,"Get a grip here people. At a conservative PE of 15, this is still a $50+ stock, that still pays more than a 4.5% dividend, even afer the cut. I doubled down @ $34.55, thank you sellers, you're OVER reacting.",0.4881
3676,KHC Up 2% in early trading 35.65,0.2423
3677,"Too many poor quality products in their portfolio: 1) Velvetta 2) Maxwell House 3) Kraft American singles 4) Cool Whip 5) Easy Whip 6) Shake N Bake, 7) Oscar Meyer Mystery Dogs. My family or anyone that cares about their body is not eating this If you eat this on a daily basis I can guarantee you are grossly over weight. They are losing the last few generations to companies like Kashi, Food for Life, Annie's, Amy's, Cascading Farms, Saffron Road, Barbara's Bakery and the list goes on and on.",0.7782
3678,"remember, no stock is a safe stock. diversify your bonds @#$@# https://youtu.be/zhUnEg0he4A?t=48",0.517
3679,Are they buying shares back ? I sure hope they start,0.8482
3680,it breaks 27.40 its down to $25 then there is zero support. so lovely.,0.6833
3681,"I blogged last Friday morning pre-market opening to SELL this loser right at the open and that would be the highest price in the near future. I was RIGHT ON on that prognostication. I still wouldn't touch this even a couple of points lower. I would probably NEVER buy it. This is a 'geezer' stock. The younger set is just not buying these products but, instead, going to more healthy foods. It is so obvious. Warren Buffett said he is not selling shares (for now) but I know he would love to exit this if and when there is any share appreciation. This stock is a LOSER now along with many packaged food stocks. Their era is gone!",0.9796
3682,nice push back.,0.4339
3683,When I said Kraft for ever I meant it.,0.0822
3684,another unit.sold and.pay down debt 3b..nice,-0.5036
3685,Well.. no growth but pays a nice dividend. Better than a bond anyway.,0.8736
3686,one of my only plays in the green on a down day. they should fetch over $3B in international cheese cuts. i’m betting on $45 by 2nd qtr 2021 with fine drip; miguel patricio cuts the cheese........,0.4618
3687,Nice move but can it hold?,0.3367
3688,argument early a.m. indicated khc hitch hiked clx beat and noted clx organic sales and households. take the help regardless from where it appears may be the theme. earnings bar unmoved for following quarters inc februrary 13. our ppc made for celebration yesterday. had to forego while sitting in ice shack in wi. no luck with fish.,0.6359
3689,perhaps most who were going to sell are now out..this could surprise in good way if they are done with write offs,0.7443
3690,Great company never going anywhere folks . America is open for business!,0.6154
3691,I think that if Buffett were younger he might buy the company. but he is pushing 90.,0.5184
3692,Whatever Berkshire Hathaway does on the next few day will determine which direction this stock is going to go. No one knows what Buffett has in mind!,0.3998
3693,"Book value over $42. Enough said.....Buy with both hands and margin as well. this goes back into the 30s within the month and 40s by year end. the bad news, actually terrible news us all out setting up a quick displayed improvement with more to follow.",0.7347
3694,"""Kraft is to investment grade as Velveeta is to cheese...The ingredients dictate what something is, and Kraft Heinz is JUNK.""Christian Hoffman, Portfolio Manager at Thornburg Investment Management.Hilarious!",0.6736
3695,"The dividend has already been cut recently. With a dividend yield now at 5% and business failing, one could 'assume' that the dividend will be cut again going forward.",-0.2565
3696,Kraft Heinz is probably better as a private company in this environment.,0.4905
3697,Doesn’t warren buffet own a boat load of shares? If khc keeps falling at the rate it is when will he bail,0.5696
3698,Let's see what happens Monday.,0.0092
3699,FOR THE LAST TIME ; Robert Kraft HAS NO CONNECTION with this company - use google or Wikipedia - NO CONNECTION WITH THIS COMPANY -------------------,-0.3661
3700,"They've done well for the past year, but I'll be happier when I break even on my May2017 entry point. It was my ""sensible"" investment, made the same day I took a long position in Shopify. I've spent the past four years grinding my teeth, reminding myself of the merits of being Sensible. I averaged down once in Dec2019 $33, but I wonder whether I will ever add any more...",0.9632
3701,I bought 241 shares at 22.80 is that good ?,0.6223
3702,Pb bellow 1! Growing sales. Hold and forget.,-0.4883
3703,Up 2% after hours. Something big is brewing ,0.2739
3704,It's all about what will be said in the conference call now and guidance going forward.,0.5455
3705,this is dream to see 48 by end of the year. (close gap),0.2242
3706,Stable consumer staples will shine with its risk adjusted return is higher than many other sectors.,0.5676
3707,BUY BUY BUY FOLKS. 55 DOLLARS SOON,0.7578
3708,"It’s an error AH, people :) Look at Nasdaq.",0.4255
3709,I see $60s in three to five years possible,-0.0825
3710,"Is the mad sell off over yet ? Market always overreacts in short term , don't forget that . After the storm sunny days are coming ,lol",-0.386
3711,This is the day to buy if you want the dividend,0.4303
3712,Buy it..you'll be glad you did...,0.5917
3713,"@StockTrader 2 days ago ""Goodnight guys, tomorrow is the big reversal day, it will pop at least $3.50 - $5.00""",0.0145
3714,Wondering with KHC at this price.if Mr.B is sharpening his pencil or licking his chops for a takeover............,0.0652
3715,I just bought a big bottle of ketchup..this should help,0.5872
3716,"Sold 10 puts w/ expiry 2/21 at 30 for 1.00 each and 10 puts at 29 w/ 2/21 expiry for 0.90. If sales decline is arrested in next earnings, stock should be fine.",-0.2903
3717,ceo better deliver or its allll over.,0.2882
3718,"WOW !!! Buffet DOWN 5 BILLION THIS YEAR ALONE ON KHC !Warren Buffet’s Berkshire Hathaway has lost more than $5 billion this year on its investment in Kraft Heinz as the packaged food company’s stock has continued to tumble.Shares of Kraft Heinz hit a record low on Thursday, falling more than 13%, after the company announced an additional writedown of $1.22 billion and missed revenue expectations.",0.4942
3719,"Analysts has upgraded, free cash flow increasing, debt has come down, insiders are buying. KHC can replace the outstanding bonds with lower yields. KHC seems to have improving the financial strength.",0.8752
3720,I lost a lot but it's part of being in the game!,-0.1669
3721,"Interesting results from KHC with a sizeable Covid boost.They are going to have to work hard on getting their costs down going forward though, because a 3.3% rise in sales was at the expense of an 8.9% increase in cost of products sold and a 4% increase in selling and admin costs. Looks like the Mexican boys haven't been as aggressive on cost cutting as they have been labelled by the press.If we get $32 on the euphoria, I'll be well chuffed.",0.9104
3722,If this ever breaks 37$ area look out,-0.1723
3723,Keep selling! Loving these discounted prices...,0.6981
3724,Let's keep this upward momentum going!,0.4852
3725,"from twitter. 3G Capital blowing out of Kraft Heinz $KHC tonite in a spot 18M shares. Well, they trying to get rid of 3G. First CEO, after CFO, and now Capital. But thats ok, Should be bought that dip.",0.8936
3726,this company’s management just can’t cut the mustard,-0.0176
3727,Bond upgrade..doesn’t hurt,-0.6238
3728,A dividend cut is a HUGE run for the exits signal. The accounting investigation may not be huge but a dividend cut says things are much worse than disclosed. Even GE did not cut the dividend for 1.5 years after problems started. This is going to be big - it’s a short sellers gift,-0.8898
3729,"If they slash the dividend and they will, this will drop to 20'sSoon...",-0.4302
3730,"BOYS...REGARDING BUFFET, REMEMBER KHC IS A PIMPLE ON HIS REAR END. ITS NOT LIKE WARREN IS THE CEO. HOWEVER...YOU CAN BET AT THIS POINT HES MUCH MORE INVOLVED THAN HE WAS A YEAR AGO. I LOOK AT BUFFETS STAKE AS A POSITIVE, AS THERE IS NO WAY BUFFET SELLS NOW. HES DETERMINED TO RECOUP HIS VALUE AND WILL BE VERY VERY INVOLVED !!!!",0.9868
3731,Still an icon and great company. So the sell for 11 times earnings versus17. Buy and hold,0.7475
3732,I hope longs have a happy ending just like Mr Kraft.,0.8671
3733,I’m getting really tempted to buy this,0.1509
3734,"If I was Warren I would give KHC a very low interest loan to KHC to buy stock back and retire the share , Would be one of the smartest moves to make for both KHC and Warren Buffett at this price",0.9423
3735,Anything Deutsche bank says is worthless garbage regardless of what stock. They should look at their own business entity which is a total mess ... top to bottom.,0.1393
3736,"Its really hard to not buy this. Warren Buffet, 52 Week low, still a billion dollar company...",0.0673
3737,"Kraft Heinz (NASDAQ: KHC) reported Q4 EPS of $0.72, $0.04 better than the analyst estimate of $0.68. Revenue for the quarter came in at $6.54 billion versus the consensus estimate of $6.6 billion.",0.5234
3738,Is Berkshire purchasing more shares... They were holding 25% and now I see they hold 26.71% of Kraft... Can anyone let me know if I am wrong please?,0.4655
3739,Bought AH 51.20,0.4042
3740,Last minute to receive 40 cents dividend.,0.0316
3741,If KHC ever sells what consumers want healthy & organic and buy HAIN foods they could increase sales 10x,0.7353
3742,"ixic is still 3000 point Up from its low. KHC will probably rise from 31.50 today, but there's a strong headwind. wholesale side is going to struggle and no one knows for how much longer. ""virus"" thing continues to play out. after election, and if all goes well, ""virus,"" and such will go away. ppc might, rumor, offer div 2021. another brazil company that moves needle in right direction. you can buy cheap today.",0.971
3743,One point this was a non cash write down of business assets not a cash loss of 15 billion. So you can blame Buffet for this by taking his eye off the ball. This is still a good company that will have to dig it's way out of this mess. That is why the massive selling some investors don't care for management f ups. So I am sure more selling is coming but still a good company long term.,0.8966
3744,"Jim Cramer, just bashed Kraft-Heinz... Why, I just don't understand... What everybody has against Ketchup? Nice divident, solid value stock.",0.744
3745,We got Oprah!,0.103
3746,"spartacus: one of our neighbors in seattle, has a woodwork shop. he uses slickdeals to alert him of the rockler and kreg deals. he grabbed a bunch over holiday. you said you enjoy wood work. anyway...have a good year.",0.941
3747,"You can see Kraft foods in super market are moving quickly, the sales must have increase 3 to 4 times. This is one stock benefit from the transient fear",0.88
3748,Headed to 10$ a share,0.2919
3749,"The problem is not promotions. The problem is far deeper. The company has been destroyed by chemists. Almost all Kraft products have been degraded beyond saving. Kraft Dinner, now called KD, doesn't use real cheese anymore (its whey, chemicals and colorant) and tastes so gross that even kids won't eat it. The Kraft dressings are water, high fructose corn syrup and some fake spices. In fact, whenever you read any Kraft ingredient label, it is clear that they have removed the whole notion of FOOD from the product. Its now a chemical soup of unpronounceable stuff. When you destroy the brands in cost cutting, there just isn't a business worth saving. Because EVERY product in their line has been so ruined, this one cannot be repaired.",-0.9268
3750,"Well I work at a super market I see how much product sells I think about all the wal-marts, meijers,Kroger’s, Safeway’s and all the other stores that sell kraft products the experts are wrong they won’t be bankrupt in a year or so u can believe that",0.2093
3751,Who is shorting this now? Why not overrated overhyped ones like shop cmg etc?,0.8383
3752,Kraft is #6 in the Buffett holdings,0.2889
3753,I see insiders buying,0.2714
3754,Kraft Heinz Chart Breakout Alert: 42% Upside Target once it closes higher than 33.65,0.8926
3755,Congratulations to all buy below $32.,0.5404
3756,Hot dog sales causes price increase!,0.5354
3757,Probably pick up tomorrow as well. Only concern with it this low is Buffet and 3G buy the rest of the shares for 20 billion ($35/share) which is peanuts for them. So I might pick up some today near the close.,0.9263
3758,Earning 9 a share and only paying out 2.5 in divy. Plenty of room to increase divy. Cheap stock,0.9376
3759,Buffet has enough cash to do a complete take out. Eliminating the dividend he could make a great return.,0.7574
3760,"So they have 30bill in debt. They produce a billion in free cash. They cut div, adding another bill in free cash. Let's say they can pay 3 billion a year towards debt. Plus cost cutting if effective, maybe 4 or 5 bill to debt. Raise div and keep paying debt. That would work for me for at least 3 years.",0.5025
3761,Morgan Stanley... states potential 3G involvement in KHC... this will really move the stock !!,0.4122
3762,Blood in the streets at $22. Getting ready to load the boat!,0.4859
3763,I can't share Buffett commitment to this stock. The div cannot be sustained at this level. Not unless there is a big increase in revs and therefore: earnings. I sold out yesterday. it was only 1000 shares but still: I held this for 2 weeks and walked off with $700.Not much but a profit is a profit. Good luck to you all,0.9695
3764,Well if they were doing everything right we would be at 50 so everyday a opportunity to win or lose .Warren would say don’t let your emotions make your decisions stay focused.!,0.8364
3765,"They pushed it down with 2 mil shares in 5 minutes ,may be big shorts covering ...",0.6136
3766,congrats who bought around 25...next 3 month will be in range from 29.50 to 33.50. next ER 42$ and higher.,0.7804
3767,"cramer spins on a dime. tiny dancer. KHC is trending now after earnings and will simmer leading up to holidays as cons stapes usually do. nyc and other leading financial centrals are gearing up for black fri and holiday vacations. don't expect much in drops nor more than 35 to close out 2019. college bowl games start in a month. bagel bites at the ready. oh yeah, 1040 forms.",0.959
3768,Maybe WB is buying today!,0.5005
3769,"Green after hours, things are looking up folk!",0.3036
3770,i will have to eat mac & cheese w ketchup for next several months to make up for my losses lol,0.4359
3771,eventually it will settle around $28 and if next quarter is better jump easily over $30.,0.7472
3772,"Guys, you have to think long term ehre. This stock has nowhere to go but UP. Think about the long term and the next two quarters. KHC will increase as things go along. The book value is incredible, and so is the earnings. People are only thinking in the short term because of the GDB being down 33%. THE STOCK MARKET DOES NOT FOLLOW THE ECONOMY. Kraft will be at $50.00 by the end of the year by my estimation.",0.7489
3773,My advisor suggested I buy some shares in this company a while back. Glad I ignored him. I'll hop in at 20,0.7604
3774,Dividend Record Date,0.273
3775,Paying dividends is useless for the company right now . For 2 Bill's payout a year the company could buy back all the floating shares ( 298 mil ) within 5 years or pay off 1/3 of its debt .,0.5494
3776,"9/16/2019 Jorge P Lemann Director Buy 3,496,503 $28.60 $99,999,985.80Why would Jorge buy this much stock 1.5 months before earnings release if he thought it would lose? It has only been above his cost for 6 days during this time. Don't you think he must know something about the last quarter earnings to risk this amount?",0.8267
3777,They better beat earnings and revenue.,0.6497
3778,Finally they canned that kid! I'm surprised they didn't fire him last year! Who ever recommended him should be out the door as well.,0.8321
3779,Easy buy,0.53
3780,"With another 4 months of political lockdown, consumer staples are flying off the shelves... the trend here is your friend.",0.6408
3781,Buy with the confidence that Berkshire Hathaway is seriously into this company. This is a gift. Grab it with both hands.,0.801
