,Recent headlines and conversations for PCG,Polarity
3907,"This may just be some int term shorts who dont like the action, covering.. its not textbook pre bk mkt 4 sure",0.8432
3908,"PG&E Stock Is Going to Zero, Hedge Fund Says, managed by George Schultze, founder of distressed investor Schultze Asset Management, which has about $200 million under management, says he has already profited from shorting the shares of the utility that filed for Chapter 11 bankruptcy protection recently That would make sense: PG&E’s shares are down 40% this year, and have dropped nearly 70% since the wildfires began. And shareholders get paid back last in bankruptcy, behind bondholders, lawyers, and in this case, wildfire victims. But PG&E’s stock surged after the filing, based on what Schultze says is a misguided bet on a bailout. (The shares down 4% on Thursday.)“99.75% of the time, shareholders get nothing when a company goes bankrupt,” Schultze tells Barron’s at the Context Summits Miami conference. “But there’s false hope that won’t be the case this time. A key part of that speculation is you have to assume the California legislature and California Public Utility Commission will bail you out. And here there is such aversion to that kind of deal.”The destruction wrought by the recent Camp Fire is too great, and too political -- 86 people died, thousands of acres scorched, thousands of structures destroyed. “So, politically it’s much more challenging than most cases to grant any recovery at all to shareholders,” he says. Of the stock, “our thesis is that it’ll go to zero,” he says.A spokeswoman for PG&E said the company does not comment on market rumor or speculation. Schultze says his rationale is supported by some moments at a recent hearing before the CPUC, where members from the Democratic Socialists of America suggested the government take over the utility, which will by no means, benefit shareholders. California’s “inverse condemnation” rulemeans the state can hold investor-owned utilities liable for fires that their equipment helped to start, even if the company wasn’t negligent. This is mitigated in part by a state law passed last year that makes it easier for utilities to pass wildfire costs to rate payers, and in some cases allows utilities to issue bonds to cover the costs. That means there is a chance that rate payers, and shareholders, will end up paying for liabilities connected to last year’s Camp Fire.And Judge William Alsup, presiding over the criminal conviction against PG&E from a pipeline explosion in 2010, highlighted that the company had paid out $4.5 billion in dividends to shareholders over the preceding five years. That money could have been used to cut down trees, which could have helped to limit or prevent fires, the judge said. And that is the exact kind of corporate structure that concerns those who have invested in what will ultimately turn a big fat Zero.",0.9672
3909,I wouldn't be surprised if PCG did a 2 for 1 when share price rises back to the 40.00 range. As a long-time holder I have seen this happen after a bankruptcy. Crossing my fingers!!!,-0.2399
3910,i expect to close 18+ today,-0.0276
3911,This is weak news. $12-13 next week.,-0.3124
3912,Shorts are getting creamed. Wish I would have stayed in,0.4802
3913,Solid day in a down market glad it held 11.,0.3848
3914,"Does Newsom have the authority to say , If you don't do what I say the State will take you over ? Where do the courts fit in , can the Judge tell Newson to back off ?",0.5747
3915,Congratulations to all the longs ... also my long time friends Bruce and Frankie -- we have been throug the war together loll,0.7777
3916,"Went from 8.20 to 3.90 in 3 trading sessions, its oversold I say.",0.1889
3917,The action in pge is odd lately. Are hedges dumping big shares or what?,-0.0568
3918,"Here is something from Bloomberg News.Yahoo will not let me post the link.PG&E renewed its liability insurance coverage for wildfire events in July 2020 for $867.5 million, the company said in its filing Friday. The company expects much of the charge to be covered by insurance.PG&E said it does not have access to all of the evidence obtained by Cal Fire.",0.5938
3919,"PCG has told you ALL YOU NEED TO KNOW:-Execs jumped ship-Put a LAWYER IN CHARGE (1 purpose: get us to BK please, and FAST!)-Read their 8Ks (stop speculating until you read them, not cliff notes, READ EM, PCG wrote them)-Already didn’t expect to pay Tubbs Fire damages-Admitted that they chose the cheapest most ineffective way for fire prevention and ignored their own research about the dangers (again, read THEIR 8Ks)...THESE ARE THINGS THE COMPANY HAS SAID, NOT BECAUSE THEY NEED RATINGS FOR THEIR ARTICLES...THEY KNOW BETTER THAN ANYONE ABOUT WHAT’S GOING ON..MAYBE, JUST MAYBE, ....listening to them would be the thing to do #BKwrecksStocks#EveryTime",0.9601
3920,"Exiting bankruptcy on April 12, 2004 did NOT cause the share price to pop:April 12, 2004 $29.43 PCG exits bankruptcyApril 13, 2004: $28.45April 20, 2004: $28.12April 30, 2004: $27.52May 10, 2004: $26.23May 21, 2004: $26.62July 1, 2004: $27.80August 8, 2004: $27.68",0.413
3921,Fire the new overpaid CEO,-0.3109
3922,See you PUMPERS next Tuesday. LOLThanks for those shares you sold me short at $8.29,-0.0005
3923,"More recent calamities have had to do with mega wildfires in which PG&E’s electrical equipment has been the prime suspect. With the utility still on federal probation for six felonies related to the San Bruno explosion, Cal Fire has linked PG&E to 17 major wildfires in 2017.Investigators said the utility broke a law in a dozen of those cases. Meanwhile, PG&E’s response to a couple of those 2017 fires has gotten the utility into trouble in federal court.A U.S. District Court judge in San Francisco ordered PG&E to come to court next week to answer charges that the company violated the terms of its probation by failing to notify its probation officer that it had settled with Butte County over its role in three 2017 fires there, including one in which the county was criminally investigating PG&E for failing to trim trees near power lines. Those charges were later dropped.The Tubbs Fire in Napa and Sonoma counties, which killed 22 people and destroyed more than 5,600 structures, was traced by Cal Fire to privately owned electrical equipment. That verdict, in theory, should have tempered some animosity, but it didn’t.“It’s not the end of the story,” said Noreen Evans, a former state legislator now with Watts Guerra LLP representing more than 4,000 wildfire victims.Evans said she believes PG&E is still liable for the Tubbs Fire because private investigators and witnesses have come to different conclusions than Cal Fire, and she cited a 2015 audit by the California Public Utilities Commission that found PG&E was behind in vegetation and equipment management in the region where the Tubbs Fire started.“PG&E seems to be an outlier as far as public safety is concerned,” Evans said. “It seems to have a culture that doesn’t prioritize public safety and it should. That needs to change.”",-0.7917
3924,Hopefully this touches $20 a stock by the end of February. I am quite hopeful looking at the up trend.,0.8628
3925,20 by sept. jmo,0.1166
3926,"Anyone who sell their shares for under $17 per share is taking a lost. If their purposed plan is 9 Billion to buy 529 million shares. Each share average prices would be around $17 per share. And they’ll have to adjust the bill as the stock value gets higher. I think this screws short over more than long. Since it means at the minimum they think PG&E are worth $17 per share n not single digit like they’ve hope. If all else fails, I’m happy to sit on my share and watch how it plays out",0.9829
3927,15 after earning. All in,-0.1293
3928,"PCG February 27, 2019 - 7:45 AM EST Lawsuit for Investors in PG&E (PCG) Senior Notes Announced by the Shareholders FoundationSAN DIEGO, CA / ACCESSWIRE / February 27, 2019 / The Shareholders Foundation, Inc. announces that a lawsuit was filed for investors that acquired certain PG&E senior notes in or traceable to the Company's Notes Offerings.The lawsuit was filed for investors who purchased PG&E senior notes in the following notes offerings:March 2016 public offering of senior notes,December 2016 public offering of senior notes,March 2017 public offering of senior notes,and/orApril 2018 public offering of senior notes.Investors, who purchased any of the above listed PG&E senior notes, have certain options and should contact the Shareholders Foundation at mail@shareholdersfoundation.com or call +1(858) 779 - 1554.In October 2017, a series of devastating fires, which became known as the Northern California Fires, ravaged at least 245,000 acres of land and killed 44 people. At the time, the fires were the most destructive in California history. Then, little more than a year later, the tragedy of the Northern California Fires would be surpassed by an even more destructive and deadly blaze, the Camp Fire, which ignited in November 2018 in Butte County, California. This catastrophic event claimed the lives of at least 86 people. The Camp Fire was reportedly the world's costliest natural disaster in 2018. Following those events, the company facing an estimated $30 billion in potential liability has filed Chapter 11 bankruptcy.On February 22, 2019, a lawsuit was filed over alleged securities laws violations in connection with the above stated note offerings. More specifically, the plaintiff claims that PG&E raised billions of dollars from investors through the sale of senior notes, that PG&E's conduct has subsequently been revealed to contradict the representations made to investors in the offering documents for the above stated notes offerings, and that as a result of the tragic events, the prices of PG&E bonds have plummeted, adding hundreds of millions of dollars' in investor losses to the devastation wrought by the Company's conduct.Those who purchased any of the above listed PG&E Corporation (NYSE: PCG) senior notes, have certain options and should contact the Shareholders Foundation, Inc.CONTACT:Shareholders Foundation, Inc.Michael Daniels+1 (858) 779-1554mail@shareholdersfoundation.com3111 Camino Del Rio NorthSuite 423San Diego, CA 92108The Shareholders Foundation, Inc. is a professional portfolio legal monitoring and a settlement claim filing service, which does research related to shareholder issues and informs investors of securities class actions, settlements, judgments, and other legal related news to the stock/financial market. The Shareholders Foundation, Inc. is not a law firm. Any referenced cases, investigations, and/or settlements are not filed/initiated/reached and/or are not related to Shareholders Foundation. The information is only provided as a public service. It is not intended as legal advice and should not be relied upon.SOURCE: Shareholders Foundation, Inc. (February 27, 2019 - 7:45 AM EST)",-0.9211
3929,"If PG&E go bankrupt, who's going to serve the gas & electrics in California? Is this only utility company in the area? Then, it's likely the State bails out this company again, no?",-0.714
3930,Green on a green day.Green on a red day.Get used to it shorts!,-0.1026
3931,"Yesterday there was a major battle between the Bulls and the Bears at 9.15-9.20 range, the Bears won. Today it is going to be fought again. If the Bulls win today then we go to 9.40. Good Luck Longs.",0.8816
3932,"95% Extreme Bullish[Positioning] Extreme Oversold, odds definitely favor long trades.[Positioning] Excessive Down trend (1 month), not sustainable, occurs only 5% of the time, expect trend to turn sideways or higher.[Positioning] Intermediate trend bullish, Unsustainable downtrend, may turn sideways.[Positioning] at support[Timing] Strong bullish 3 day candlestick pattern with Extreme 3 day accumulation.[Timing] Extreme bullish 1 day moneyflow[Timing] breakout watch above 24.42, no resistance in area just above.",0.9387
3933,When do we think a dividend may be reinstated. 2022 possible?,0.2682
3934,Someone bought 900k shares at 8.99 a pop after hours? WTH,-0.3463
3935,"soooooooooooo, If the fire victims paid $14.00 for stock. And the share price hasn't been over $14.00 since march. The victims were charged a premium for stock. Not the deal we were sold by our own lawyers. Amazing, even by today's standards.",0.5634
3936,"Does anyone know what remains to officially emerge from bankruptcy? And who officially declares that, Montali?",-0.1434
3937,"Let’s implement it’: Erin Brockovich voices approval for PG&E reorganization planPOSTED 5:39 PM, DECEMBER 13, 2019, BY NEXSTAR DIGITAL CONTENT, UPDATED AT 05:27PM, DECEMBER 13, 2019",0.4446
3938,1 more week and I'll be tipping Benjamin's for a 1$ ice cream cone.,0.3759
3939,Always runs out of steam later in the day.,0.2462
3940,"Click to see full image. This is statistics I put together as a function of time. Not only did the fire NOT spread big last night, containment went from 15% to 30%, AND the wind last night was the last of the major windstorms. Structures destroyed went from 189 to 206 overnight. The number of firefighters went from 4K (announced last night) to 5K this morning. Boys and girls, congratulations for anyone who had the ballz to buy the past few days. Hopefully my posts have been helpful in making you $$$$. $10 soon.https://photos.app.goo.gl/WTGBiDn3ecck7GZX9",0.9429
3941,The volume comes when the judge says. Number 6 sounds good to me.,0.6594
3942,Pitre says the PG&E legal drama has “reopened all the wounds” for fire victims and to “finally give these folks some kind of confidence that there is light at the end of the tunnel” will be a “red letter day” for them,0.5813
3943,"This will go one of three ways:1) PG&E found not liable for fire- stock soars back up2) PG&E partially liable for fire and damages, agrees to fee- stock raises a bit to correct itself3) PG&E liable for fire and damages, strikes a deal and establishes long term payout plan that will push most costs to consumers- stock still raises because we're still alive.I believe the market is assuming that we're going bankrupt, which is not going to be the case.",-0.4768
3944,Shareholders need to submit letter to judge requesting formation of an equity committee to ensure that equity holders have a seat at the negotiating table. I have been on two equity committees already folks. I don't have a stake here yet but contemplating on taking a position.,0.6861
3945,be at 10 sooner than I thought,0.2086
3946,$13 today? Could.,0.0765
3947,"Alberta Investment Management Co., initiated a position in PG&E stock in the third quarter, buying 606,000 shares that were valued at $6.1 million at Sept 30.",0.8815
3948,"Question today is what would be the market offering price of new equity to raise $5.75B on the top of $3.25B PIPE funding. The PIPE funding was negotiated at the maximum of $10.50 a share. Market offering needs to be above 8.8x of projected PE for 2021 to satisfy ammended and court approved backstop agreement. New amended backstop agreement does not tell you explicitly what would be the PE applied for share price calculation. Based on the back envelop calculation using $17-$18 price with 13.5x PE , it would be in the range of 1.259 - 1.33. There is also mentioned of $11-$12 per share price for rights offering which turns out to be $1.037 - $1.132 as PE. Depending on which PE you want to use, market offering is expected to be between 8.8x and 10.6x of PE based on underwriter's evaluation of the market. Price is already set for issuing new stock and the price will be tightly controlled until PCG raises $5.75B in next 30 days starting from Friday. I assume court will make a verdict with order and PCG declares equity offering on this Friday afternoon.",0.9938
3949,"Company defaulted on debt today, announced bk, who is buying a single share? I can't get into that mind set...",0.0344
3950,"It is getting obvious what Newsom motives are,make a deal with Pimco and Elliott group to take over PCG. Then they in return sell it to the Mayor’s group. His Court filing shows heavy bias against the current management. He wants to change the entire board,wants them to hand over their a License when demands. Transfer all agreements that present management has worked to achieve to any third party. This guy better put his crack pipe down and come back to reality.This is a private company still",0.9584
3951,"Folks they have Insurance and CA now has a $20 Billion utility liability fund, this is to protect utilities from always going Bankrupt which protects shareholders",-0.0536
3952,55+ next week...huge relief for company and dividend may reinstated sooner rather than later imo,0.7696
3953,... but no ones looking after the common shareholder.,-0.256
3954,one word: Tesla,0.3677
3955,Finally trending the right way again.,0.0713
3956,"The pop fueled with only speculation will fade before close, maybe see mid 11's or bit lower, once Newsome gets out of the way it will pop again and keep going",0.3741
3957,She's wanting to fly! ! !,0.3652
3958," MAJOR NEWS ALERT: Pension Funds Starting to DUMP PCG stockas SEC, FBI, & Two Federal Judges close in; DEBT EXCEEDS ASSETSDOUBTS RISE; ? If COMMON WILL SURVIVE: read the news and do your own due diligence",0.0407
3959,I don't have any PCG. Is this a good stock for me to buy? Should I wait till all the dust settles?,0.7561
3960,"My best guess is fair value is $35-40 as she sits with the most likely outcome, which is PG&E contributing the bulk of the 14 billion fund for past wildfires. It could be better or worse depending on how much PG&E wants to fight the state and how well the state holds out. In any case, there is significant upside from here.",0.9443
3961,"A non dividend, non profitable utility? Really? Of all the utilities to invest in...this is not one of them. Full disclosure...I made a ton on puts during that big first drop and then again on calls when it popped. Left a lot on the table but hey, not perfect. Now it’s back to puts. Just sayin.",0.9153
3962,I guess when I called out 11.60 for this week it was not so far fetched.,0.4915
3963,PG&E Corporation (NYSE:PCG) stock won “an Outperform” Ratinghttps://www.google.com/amp/s/bovnews.com/2020/11/30/pge-corporation-nysepcg-stock-won-an-outperform-rating/%3famp,0.7605
3964,"This month is going to be very eventful for this stock. First, the Judge said he is going to approve the agreement with the Insurance companies. Second, CPUC is going to rule on the Plan the Debtors submitted for their approval. I think they will prefer the Debtors plan over the Bondholders Plan. No one in the right mind wants to hand over PG&E to Elliott's team. If that happens, then see at 10.",0.9631
3965,12 tomorrow or next week.,0.0249
3966,Over 15 tomorrow!,-0.1769
3967,"I think we are going to enter a bullish trend right now until the earnings... Remember that has been over a month the stock has been steady declining... Get on board, this is the bottom.",0.7883
3968,"All said and done it is the fact: after close price goes up on over 2 million shares. Longs ( possible incl insiders/family and so on ) buying, or shorts covering, or both on positive news. Bottom line stock price going up next week. See you in 12-14 range......",0.9063
3969,"As we get closer to July, the small investors who are betting this stock is going south will see a sudden drop or some will get margin calls to cover. Unless they change course now and change position before it is too late Steady longs .",-0.2661
3970,"1st 1/2 hour volume 300K, second 265K, third 138K, big money can't adjust, too late.",0.4422
3971,Did the shorts promise us a $5 or sell today? Instead the bullish 3 day streak rolls on.,0.6669
3972,THANK GOD I moved my 401K to stable and took my profits from $PCG (bought as low as the $3s) and then bought $TVIX when it was in the $40s and $60s. Just sold most my $TVIX in premarket. Great Depression 2.0 is coming my friends. Been warning left and right anyone who had a pulse of the upcoming blood bath$^GSPC$^ICIX$^DJI$YANG$TVIX$TSLA$TQQQ$SQQQ,0.93
3973,"Almost 1.3m shares traded after hours and all at once (16:04:01) it barely budged on price, strange.",0.2746
3974,"many vehicles burned in garages. they strengthened the fire. are car manufacturers liable, in addition to forest management, builders, landscapers, whoever is responsible for global warming, and PGE ? it is important to accept that acts of God do happen. negligence or arsen is a different story, of which we have no evidence",0.8523
3975,What happened to Syrus?,0.0291
3976,Not pG & E ‘s fault. Company is running full power—- not bankrupt.,-0.3502
3977,I mean.. I think we all expected the equity offer to be at discount no? This is just overreaction. Another opportunity to get in. I got in 2 weeks ago @ 11.12. Maybe considering reinforcing the position.,0.5296
3978,California legislators said that it is in State's interests to avoid bunkruptcy of PG&E. PG&E was allowed to recover its costs via rate increases for 2017 fire.,-0.3869
3979,Things are looking up!,0.2561
3980,"The 5 month long downtrend still intact. Nothing but more negative news to come (e.g. poor earnings report April 29, news that David Tepper bailed during the 1st quarter, criminal charges for starting the Zogg fire (failed to shut off power during hot dry wind conditions) and more. So we will see 10 before 12.",-0.8418
3981,PCG will open tomorrow at $6.5 and close at $1.99BK filing percentageMonth Ago - 85%Last Thursday - 60%Last Friday - 70%Today - 85%Tomorrow - 97%Last week - 60% of BKhttps://www.reuters.com/article/us-pg-e-us-bankruptcy-restructuringchief/exclusive-pge-to-tap-restructuring-chief-in-final-bankruptcy-preparations-sources-idUSKCN1PN05H,0.1745
3982,"OMG  NEWS LEAKED Monday $ sub $5 sure to come. NEW low coming Prev $17Here's the Criminal Indictment Newsprecursor: PG&E Corp. shares PCG, -5.36% fell 4.8% Wednesday to lead S&P 500 decliners, after a report that the California Public Utilities Commission has initiated a process to decide whether or not the company should be split up. The report by Bloomberg News said that regulators were concerned about the potential liabilities the company is facing from its exposure to recent wildfires in California that killed more than three dozen and caused billions in property damage. The company has acknowledged that one of its power lines was damaged right before the outbreak of the huge Camp Fire in northern California last month. The cause of the fires is still under investigation. The stock has fallen about 51% in 2018, while the S&P 500 SPX, +0.92% has fallen 11%.",-0.8547
3983,"i like how they admitted guilt and then stated they're ""including a 10.5 Billion dollar charge for related liabilities..."" like that number will cover everything related to the fire........................ and that we'll believe them.",0.4782
3984,"The Golden State has hired bankruptcy attorneys and financial advisers to help develop the plan and ensure that wildfire victims get justice and ratepayers and employees are protected, he said during his state of the state address in Sacramento.“We are all frustrated and we’re angry that it’s come to this,” Newsom said. “PG&E didn’t do enough to secure dangerous equipment or plan for the future. My administration will work to make sure PG&E upholds its obligations.”Man that sure sounds good for stock holders!",0.9431
3985,"This should be halted soon enough, News pending.Wait till the Judge approves their DIP Financing for5.5 Billion. What do you think that will do to common!?LOLStay Thirsty longs",0.7489
3986,"The fire victims should understand that the trustee, the administrator and the lawyers have a vested interest in dragging things out as long as possible to boost their billable hours and bilk the trust fund as much as possible.",0.9043
3987,"With all this announcement. It is more certain than ever, PCG will exit BK. I put my share for sale at $25.",0.404
3988,Bankruptcy means $0 to the existing shareholders. New shares will be issued to new shareholders after reorganization. It's business law 101. Why people don't get that?,0.1445
3989,"PG&E's (NYSE:PCG) $13.5B settlement with wildfire victims likely dealt a ""fatal blow"" to the plan by bondholders led by Elliott Management to take over the company, as well as any scenario for a zero stock price, Citigroup's Praful Mehta says in raising his price target to $10.50/share from $5.",0.3275
3990,Don't be surprised if we are in the 16's this Friday.,-0.1265
3991,"Now Re: Stock dropping to ZERO or staying around $6 PROBLEM WITH THOSE HYPOTHESES - ITS ZERO THAT WINSWHY? Simply because they are SO DEFUNCT in regards the Debt to Equity ratio: THERE IS NEGATIVE VALUE as in BILLIONS BEHINDWe're not taking about the ""normal"" bankruptcy situation here; this is in the utter Disaster category. THERE IS ZERO EQUITY IN THIS COMPANY hence, how in the Sam Hill can you anticipate the stock having any value when the company it represents has NEGATIVE VALUE IN THE BILLIONS?For the love of God, STOL THE INSANITY",-0.856
3992,I still have 1/2 of my original core in PCG. Just waiting to pull the trigger to throw the rest in. Might wait til Tues,0.8526
3993,https://www.bloomberg.com/news/articles/2020-03-20/pg-e-glides-toward-bankruptcy-exit-as-state-turns-to-fight-virus,0.0
3994,https://www.google.com/amp/s/www.law360.com/amp/articles/1263241,0.0
3995,"Here's a little fun fact. Back in December 10, 2019 the stock price was at $12.30ish before it went on it's slow miserable decline that everyone have endured for a full month to $10.20 on Jan 10, 2020. After that it was a spike to $11 and continue to climb up to $18 by Feb 10, 2020. Not long after that Covid 19 hit the market and driving pcg down to $7-8 by mid March.As of April 9th this stock was around $12.00 and went on another slow steady decline again for almost a month. $10.14 on May 1. If history repeats itself, we might see a nice climb back up to $17-18 range this month. What might knock this out of the ball park (or at the very least keep this at mid or upper teens) is if they get approval for BK exit after that. Covid 19 is unfortunate and soon many more bricks and mortar businesses will go into BK protections, only companies that thrives are Tech, bio tech, groceries and utilities where they can still generate profits throughout this crisis. PCG like other utilities missed earnings, but the key take away isn't the missed earnings. It's the fact that they still have a decent earning even tho many stores have to close up shop due to stay indoor order.",0.9583
3996,PCG hold on!!,0.1713
3997,Tomorrow is probably important we’ll see if the price hold or not. My hope is that it’ll climb higher so come next week’s bk exit it’ll boost it up another 25-40%,0.8703
3998,Definitely feeling bullish here again.,0.6027
3999,"California government approves PG&E safety certificateSACRAMENTO, Calif — The five voting members of California’s Public Utilities Commission effectively certified PG&E as an officially “safe” utility Thursday, under a 2019 law signed by Gov. Gavin Newsom.The CPUC granted the electric monopoly a 2021 state safety certificate even though PG&E was charged this month with 33 crimes in Sonoma County for sparking the 2019 Kincade Fire and is under investigation for possible murder charges in Shasta County because of the 2020 Zogg Fire, which killed four people.Multiple critics told the five CPUC commissioners Thursday that the safety certificate gives PG&E a “license to burn.”Under the terms of AB 1054, the state law that bailed PG&E out of bankruptcy, utilities pre-certified as “safe” are not required to prove they acted reasonably to charge customers for the cost of the damage caused by the flames.The safety certificate also gives PG&E the ability to tap into a multibillion-dollar state wildfire fund, paid for by customers, to help pay damages to fire victims-- and perhaps most importantly, it caps the amount of fire damage that PG&E shareholders would be on the hook for paying back to the fund.The CPUC did vote Thursday to put PG&E on what it calls “enhanced oversight,” a move that in effect requires PG&E to file more reports to the CPUC about how it is fixing problems it’s had meeting some of its safety goals.",-0.5923
4000,"I don't subscribe to WSJ, just saw this headerPG&E Has Worked Hard to Reduce Fire RiskIn 2019 we had no deadly catastrophic wildfires and a 25% reduction in fire ignitions associated with PG&E assets in high fire-risk areas.Jan. 7, 2020 1:24 pm ETPerhaps given its focus on PG&E’s past, “PG&E: Wired to Fail” (Exchange, Dec. 28) doesn’t mention the significant changes the company is already making to deliver better outcomes for the people we serve.Most notable are PG&E’s efforts to reduce the risk of catastrophic wildfire caused by electric equipment. In 2019 we inspected all our electric assets in high fire-threat areas and resolved every immediate safety issue we found. We continue to trim vegetation around our lines at an unprecedented rate and beyond...",-0.3723
4001,"lol, shorters are celebrating although it's up almost 8%??? This is a good investment, I think we'll hit $15 by Christmas, and $35 within a year. Even with 50% dilution we should see 3x todays price!",0.9481
4002,Thanks for the replies. I bought 2/15 calls yesterday when it was trading at 11$ expecting a surprise return this morning and all i got was a loss even after stock jumped up in price,0.6878
4003,We are reaffirming our $11 per share fair value estimate for PG&E after it completed its $9 billion equity raise on June 26. The $9.50 per share offer price was lower than we expected but not low enough to have a material impact on our fair value.,0.8386
4004,The stock movement is totally opposite of logic. It seems the whole thing is rigged so most people would lose.,-0.4616
4005,I get all my investment advice from Yahoo message boards. Hasn't failed me yet.,0.6857
4006,I thought this was going to 0 today but now I see there is 1 before 0.,0.2945
4007,newsom=socialism,0.0
4008,"If there's REALLY bailout in the talks, the stock would not be trading sideways now. Price action of the unexperienced buying from the big guys.",0.6279
4009,Bets placed? I say we see $15 early!,0.1367
4010,I am already loaded in this PCG but picked up more shares. Next Monday Patti Poppe shows up and I think things will turn around.,0.604
4011,"Dennis Montali seems to be a good guy. I like his moustache, very cool. He is very professional",0.8504
4012,Earning week my thinking is 12 +,0.1036
4013,"short term i see mid 12's long term mid 50""s",-0.1254
4014,"Yahoo keeps deleting this post. FIRE VICTIMS ATTORNEYS WERE THE ONE'S ASKED FOR THIS AMENDMENTThis makes the agreement twice as strong as I thought PCG was the one asking for the amendment , but no it is the other way around. The Fire Victims are the one’s asking. This will play well in today’s Court hearing. The Judge hears this in the afternoon session, so for us in the East Coast it will be after the market closes.",0.758
4015,Climbing steadily,0.5592
4016,This will need to break 11 in order to start making meaningful moves and cross both 50 and 200 DMA.,0.1744
4017,If PG&E was in business of starting fires it would have outperformed the market for sure.,0.5236
4018,People realizing that with all the natural fires burning there will be nothing left to blame pcg on. Manage you land better Newsome:),0.5869
4019,"Market is down but PCG is up... very good sign! PCG has learned lot from the past fire. Don't see any reason for stock not to go up! I think for 2020... PCG paid huge insurance premium... $750 million to secure $1.4 billion of liability coverage. I hope that PCG don't have to claim at all but in case, this will help!https://www.bloomberg.com/news/articles/2020-07-30/pg-e-fire-insurance-costs-skyrocket-after-bankruptcy-wildfires",0.964
4020,"Hey guys, don't forget about the 31 Dec. deadline.Federal District Court Judge William Alsup orders the utility company to “provide an accurate and complete statement of the role, if any, of PG&E in causing and reporting the recent Camp Fire in Butte County.”https://sf.curbed.com/2018/11/29/18118024/pge-camp-fire-wildcire-order-probation-san-bruno",0.4968
4021,In a bankruptcy 99% of the time the common stock becomes worthless.,-0.4502
4022,2% bump after hours,-0.0488
4023,Is it safe to invest in any company in California?if the utility can be held responsible for damage from wild fires can't any company have the same possible 30 billion in potential liability. Lets assume that any company car in the state has an accident causing a similar fire. Why wouldn't the company that owns the car be held liable? An unintentional accident can drive ANY company into bankruptcy.,-0.7241
4024,"I must be living in ""The Upside Down."" Company announces bankruptcy, but the stock is up.",0.5585
4025,That’s a lot of shares being traded for a virtually no news day. Wonder how many shorts decided to cover today.,0.3169
4026,"Oops....hit ""Post"" too soon. The concern I had when I read their press release was the entity that wasn't mentioned, the stockholders:The company believes its Plan is confirmable, satisfies all requirements of Assembly Bill 1054 (AB 1054) and complies with the Bankruptcy Code. It is the product of extensive negotiations, treats all victims fairly, protects customers and employees, and will enable PG&E to emerge from Chapter 11 as a financially sound utility positioned to serve California for the long term.",0.851
4027,EVERYONE IS DISAPPOINTED W/ PGE1st. The 120+ Dead; & DON’T EVER FORGET;2nd.The Families: DONT you DARE FORGET;3rd.The Public THEY SERVE & WHERE $ is;4th.100’s of FAMILIES LEFT HOMELESS;5th. AND WHILE NOT AS IMPORTANT BIllions of Dollars of Shareholders money Gone up in CARELESS SMOKE AND DONT FORGET THE TWO VERY ANGRYFEDERAL JUDGES; Criminal & Bankruptcy It’s jist not a good thing here for anyone associated with this company I’m any way shape or form. I vote to abolish them and reorganize the entire company. They do not deserve to run and or manage it any longer We The People Cannot afford more losses,-0.0153
4028,Almost time for that end of day sprint!!!,0.5275
4029,"I agree this stock is undervalued. Electric utilities have an almost guaranteed return on facilities necessary for maintaining system reliability and as more infrastructure is built, the public utility commissions allow a return on the investment. Without the ROI, it is difficult to build a reliable transmission system, especially with the amount of FERC mandates that are pushed, via NERC.",0.7299
4030,"My cheapest 5K shares today at 9.29 and the MMs gave up. I'm covering mates, I'm accumulating! Let's go PCG",0.8017
4031,"Default day on the bonds correct, think that will be around another 21 billion in liabilities",-0.5213
4032,"The article below has a lot of good info but make no mistake, PG&E isn't concern about shareholders right now. There main focus should be making their grid as safe as possible. Bankruptcy is the least painful option for this company. The alternatives involve massive debt that they are responsible for. The only discrepancies are what the payment terms are.",0.481
4033,Govt/Corp news release 101: Release news late Friday to minimize number of people who hear and soften the backlash,0.4329
4034,$20 soon,0.0011
4035,"In the worst case, it goes to 9$ you lose 10%. In the best case it doubles to 20$ you make 100%. Where’s the catch?",-0.0187
4036,Judge hearing just ended. Think CPUC hearing is going to drag on til market close. So long as we hold around 11.5 range i think we'll be in good shape tomorrow and come next week.,0.8788
