,Recent headlines and conversations for BIIB,Polarity
1997,MBRX needs different facility to produce more product for complete reduction of tumors on lungs,-0.0944
1998,"old axiom...when a quality stock with solid earning dip like this, it reverses quickly. get in and sit and be patient. long term solid investment.",0.9284
1999,Yes four hundred !!!!!!!!!!!!!!!!!!!!!!!!!!! Research and learn,0.7682
2000,Likely open up round 281-282 tomorrow...nice AH recovery...should get vack at least 1/2 of todays loss..ez 285+,0.3637
2001,Fake news rehash and cherry pick of failed trial from 2 years ago,0.0235
2002,When are the earnings for bio Jen? I’m lost and can’t find any earning dates anywhere it says on Yahoo finance it was supposed to be today but on my Schwab account it has nothing in the earnings date pocket on the top right hand side.,0.9192
2003,"Mark my words, it will turn around very soon! This is exactly the time to buy when everyone is scared!!!!",0.4531
2004,OK BOYS -- drop down once more....push the bears deep into their hibernation cave and then....RUN TO THE SUN. OBV remains just fine. Boolean,-0.3245
2005,"from private investor and Avxl blogger Peter Karol, hot off the press, a new article.his Conclusions:""In Conclusion$BIIB is picking and choosing studies and group of patients, and with the exclusion the fast and furious down the 6 feet down slide and at 3,285 patients much can be claimed.If the claim that the blinding of the study has been compromised and the fact that on qualitative and subjecive measures Aducanumab improved most the we can stipulate that the CDR-SB was affected by this.The improvement in MMSE scores puts in doubt the scenario of significant efficacy as applying the same criteria to Blarcamesine trial Phase2a gives 5 fold advantage over Aducanumab to Blarcamesine.The above point was made in face of assumed average initial MMSE score for Aducanumab of 27 point versus that of 22.5 for the Super Responders of Blarcamesine. Relatively healthy vs. Already diseased and rescued.Starting with almost healty subjects (MMSE scores 24 to 30) might distort the trial as the fast deteriorating patients are excluded and the duration is only 18 months. See illusration above.The incidence of ARIA still present vs. almost none on Blarcamesine side.Just another attempt to rescue the amyloid hypothesis for Alzhiemer’s on closer examination doesn’t hold water.The simplest expalaination of Aducanumab strategy is to remove the worst offenders and still compare to placebo arm containing those worst offenders but your claim rests on the fact that relatively healthy rest of the dosed arm do not start to deteriorate untill much later.""",0.9428
2006,6/12 and 6/13 protest and meeting with fda by ALSA attempting to get early approval for bcli NurOwn. Als patients only live 3 to 5 years.,0.6929
2007,Topped all analysts' expectations and raised guidance. How can WS possibly put a negative spin on this? Also we have a new CEO coming in to clean up the mess made by the former one! Great news and a much needed fresh start for BIIB. Now all we have to see are some positive drug trial results again and its back to the races for BIIB!,0.9694
2008,Why is Cassava Sciences up 10% today? Why is Biogen flat today. Ask yourself this question and let me know...,0.3444
2009,Biogen should buy up this little company ProMIS Neurosciences Inc. (PMN.TO),0.4451
2010,PatiencePeople are hearing what they wantThe goal is noble,0.7068
2011,"The root cause of all age related diseases including alzheimer's disease is NAD+ depletion. All the big pharmaceutical companies have been wrong on this. No matter how hard they dig, they will fail until they realize NAD+ depletion is the root cause of Alzheimer's disease. Supplementing Tru Niagen to increase NAD+ will prevent Alzheimer's.",-0.5076
2012,IMO Market overreacted to news. Will start to gain some ground next week $250-$270,0.4412
2013,Is this moving in concert with CELG or because of latest enrollment?,0.3874
2014,call the lawyers,0.0723
2015,Seems as though the panel had a bit of an ax to grind. #$%$ off that the Staff stole their thunder.,0.537
2016,So Biogen is pulling a product they haven't sold yet and the PE is 10. Seems like a good buying opportunity.,0.8905
2017,Great...now up to what it was 6 years ago ..,0.2312
2018,BIIB will not have any significant move until Aducanumab picks up some exciting. This is a potential game change drug with peak sale anywhere between 5 to 20 billions. So far it looks promising. One year have has passed by since it entered into phase 3. The earlier phase results looked very exciting. The improvement on the key biomarker - clearance of amyloid deposit - is beyond any doubt. The two cognition measurements were also significant although not as remarkable as the biomarker. It is most likely due to belated effect on these two measurements. It looks like Biogen will have read-out data some time next year (the trial will not be finished until 2020). This will probably be the most anticipated event in drug industry,0.9892
2019,FDA does not have to follow AdCom opinion and can still approve the drug,0.7907
2020,"Biib , is becoming so corrupt.",-0.3071
2021,I bought 100 shares at 223 a share today...I also bought axsm which looks really good,0.7607
2022,So its down around 100 pts -- it's only money !Give it 2/3 years and it may go up.The sun always shines. Have a nice day.,0.4407
2023,When people realize that Biogens Alzheimer’s treatment does not even work and most definitely will not be FDA approved this stock will drop like a rock again like it did when they said it was futile to continue with the product that is now being “fast tracked”...Mark my words!,0.9515
2024,We might get a bump up at 254. JMO,0.5044
2025,"Great ER and guidance--that is all needed, although some people still doubt. Bottom line is BIIB still is a cash cow///",0.686
2026,Lot is this is short covering!!,-0.5652
2027,Biib may well be the biggest hated stock on WS. Management is weak and screwed over the investment community big time by putting out erroneous trial results that they later flip flopped on $80 losses to hedgies and tutes and when they returned to the scene of the crime it was about getting a pound of flesh--which they now love to get. Stock and shareholders continue to pay a very big price for poor management decisions that have amateurishly inflicted pain on an unforgiving street.,-0.7766
2028,Make or break day for BIIB. When does the report come out?,0.1827
2029,"$24.80 EPS per this summary tab . They don’t show EPS metric which is simply $265 stock price and divide that by earnings of $24.80 give 11.0 EPS a fastest stat . ( most stocks can’t compare to this because their earning are tiny or negative yet they sell way over this multiplier of 11.0 . Can someone help me understand why the summary tab her on yahoo is not showing this attractive EPS ratio .. just showing “N/A” . Also inspite of this pricey stock value of $265 , it would appear to be a bargain even if they don’t get FDA approval on Alzheimer’s .. do you concur?",0.9745
2030,"It just dropped a few min under the moving average, I took profits.Goodluck everyone!",0.3549
2031,"Volume is not that high for the % drop. Only 11% of float traded. I usually buy on 3rd day after capitulation. As long as it is at or below these levels on Monday afternoon or Tuesday morning, I shall buy for a 10% profit....",0.7504
2032,Double beat and raised guidance. Should be a good day. Congrats longs!,0.8821
2033,So logic goes there is a healthcare scare and healthcare stocks... Drop like a rock!! You can tell markets are computer driven and have no real base of logic... All algorithm driven. The GOD'S have spoken and say it is a casino. Boolean,0.8529
2034,Is the FDA meeting for their Aducanumab in June or July....I own SAVA not BIIB,0.5747
2035,Why this stock is moving up after hours? Any news?,0.7106
2036,"PTI new therapies to STOP the progression of the diseases such as Alzheimer's (3:45 mark); start listening at the 2:35 mark, folks if this does NOT get your excited, well you might NOT have a pulse:https://www.bing.com/videos/search?q=yumanity+therapeutics&ru=%2fvideos%2fsearch%3fq%3dyumanity%2btherapeutics%26FORM%3dHDRSC3&view=detail&mid=97E9F8617AADB92BDBAE97E9F8617AADB92BDBAE&&FORM=VDRVSRAdded BONUS, PTI shareholders will own 35% +/- of YMTX when it starts trading...Heads up $BIIB $LLY PTI/Yumanity might have the treatment for STOPPING the progression of Alzheimer's Disease...",0.8935
2037,"Buy it cheap today, $57 yesterday",0.5238
2038,It was a marginal drug to begin with. Don't know that a 30% hair cut is warranted. Swift recovery to 300 within weeks.,0.4051
2039,why are we up this morning ?,0.2882
2040,See IHUB post # 222115 stating AVXL news better in Alzheimers than BIIB.,0.5385
2041,why is it down ah?,0.053
2042,aducunamab is still not over...Biogen is still preparing for launch...FDA confidently came out in the support of Aducunamab...FDA came to Biogen to submit the trial result after Biogen stopped the study...it may be painful till March but we definitely see the light at the end of the tunnel...have patience and keep faith...,0.8986
2043,"SEC needs to ban algo trading where computers sell to other computers and go back to humans buying and selling. Destroys wealth in seconds, for no reason at all. Soon investors will shun the entire market.",-0.4163
2044,It’s a joke! Morgan Stanley maintained BIIB underperform with price target $211.,0.3904
2045,Seems like FDA is dragging its feet to see LLY data first before killing biib drug for good. Careful; mid March,0.7286
2046,+ or - earnings?,0.0738
2047,Fall and winter is almost here and there will be jumps in BIO medical stocks. Why BIIB still getting short? I wish shorts will be in debt or bankrupt when fall and winter comes.,0.1915
2048,I think the new CEO buys AVXL as his first acquisition.,0.5326
2049,You guys should be all over Sarepta SRPT SRNE and CMG.,0.04
2050,$180 in next couple weeks.,-0.0906
2051,Looks like a buy sub 238 sell above 330,0.4888
2052,Be interesting to see if any insider trading sales were made on Thurs,0.5924
2053,"All the daily calls for class action lawsuit are really advertisements masquerading as news! You would think Yahoo would label these as ads, and spare us the attempts at manipulation. Biogen is not responsible on how the FDA releases news.",0.7259
2054,ouch lol,-0.1695
2055,Biogen to buy brainstorm cell bcli for als cure,0.6786
2056,https://seekingalpha.com/instablog/21922151-bioresearch-alert/5426736-overwhelming-evidence-suggests-biolargo-s-fda-approved-novel-iodine-disinfection-technology,0.0
2057,https://www.cnbc.com/2019/11/04/fda-verdict-on-biogen-alzheimers-drug-could-be-a-political-decision-analyst.html,0.0
2058,"Thank you FDA for early approval sNDA for $OCUL , next is sNDA for $AMRN , buyout could come early too from $BIIB $GILD. $MRK and $J&J",0.9648
2059,"AMRN, let’s check the numbers HCW price target is $51 base on 6M target population, now with Reduced it/ CVD the new population target jump to 60M to 70M so , what’s gonna be Analysts price target now? Think BP $PFE $NVS $AMGN $AZN $BIIB $GILD $ABBV should partner or buyout, so many lives will be saved",0.9273
2060,Sell Sell Sell......Low 270s .....260s coming....,0.1398
2061,"This is not the first major drug company to give up on a cure for Alzheimer's disease. The entire medical system relies on disease and sickness to generate profits. This is why there will never be a cure for any of the major diseases and afflictions. Development of drugs is nothing but a smokescreen designed to keep the fires of hope burning and keep the prices of drug companies rising. Today's action in BIIB is the perfect example. The stock will likely come back based on the next great hope for a cure of something. The cure for this and many other diseases lies in lifestyle changes and the use of supplements. These diseases usually arrive after many years or decades of environmental poisoning, the lack of nutrients and a lifestyle that destroys the body over time. Anyway, sorry to see this happen where a stock gives up so much in a day. But the market makers have done very well I bet.",0.9917
2062,$315? misprint?,0.0
2063,There seems to be support around the $320 level range. Lets see if that holds in the regular session tomorrow. It'll take the market a couple of days to figure out the likely timeline related to the Mylan patent ruling. I'd be surprised if there's a material impact to 2019 earnings.,0.9233
2064,Let’s go!,-0.0763
2065,"Good morning everyoneAccording to Nasdaq's Stock Consultant, BIIB is currently a........ ""Short Trade. Target 1 PT: 306.16""MTNB ",-0.2118
2066,wondering if they have time for another trial prior to March 7th.,0.6888
2067,All are moving to AVXL. Seems to be the safest and best effective Alzheimers drug with amazing results.,0.9562
2068,Lets face it. the only biotech to survive will be the buyer of AVXL.,-0.3819
2069,"Short Master Guru Jim Cramer is skeptical about Biogens Alzheimer's disease drug: ""Be careful... Use caution""! He warned us to not put too much faith in Biogen drughttp://dlvr.it/MrXbMt",0.4507
2070,Europe just approved it...this is going to increase share value significantly...,0.8389
2071,SGMO buy it now,0.1669
2072,which big pharma is going to eat them??? Merck?? BMY??? Amgen???,0.6179
2073,Barron today mentioned that biotech especially Biogen would still appreciate. Anyone has any opinions regarding this?,0.6597
2074,Low volume on another down day.,-0.2365
2075,"anyone know if the aug 5 date in this article also applies to the ""old"" finance mbs? tia http://shipandbunker.com/news/world/771743-legacy-yahoo-messenger-to-shut-down-on-august-5",0.7337
2076,"Would paying out a dividend help? I'd rather they acquire like they are doing, but the stock is complete garbage right now. It needs something to lift it.",0.7506
2077,AZ drug will never pan out. It is only a story by post hoc manipulation.,0.3263
2078,"If you’re looking for a short and sweet guide to the day’s biggest news, I recommend http://tradenow.xyz. They breakdown the most important pre-market news and it only takes a few minutes to read.",0.7287
2079,Are the Baird Boys in hiding....do we need to send out the blood hounds??? Where is the bravado now.....or..perhaps...I was and am right. Boolean I am doing the same with Occidental Petroleum.... analysts are not that good kids... Boolean,0.5316
2080,anyone want to guess what it closes today?,0.3157
2081,Surprised this stock is above $260 from those results.,0.6917
2082,It will be 350 by end of year,-0.1025
2083,I think the drop to $320 was likely the result of the patent news. I think the next 6 bucks is likely a function of the NASDAQ swoon. I think BIIB should be over $320/share by this time next week - assuming of course this isn't start of another market correction triggered in the wake of the collapse in the trade talks with China.,0.2561
2084,I went to Twitter they saying fda votes no,0.1945
2085,test,-0.1245
2086,"Can't believe it is so quiet here.Aducanumab p3 result will be out at the end of the next year or a couple of month into 2010. It is worth to wait. This drug showed great promise by an early stage trial. It is the biggest hope of AD drug. It it failed, there would not be an Alzheimer's drug in next 10 years. The amyloid theory is supported by strong pathology and genetics evidences. The only miss connection is a drug based on the theory. Aducanumab represents the new generation of the drug target amyloid. It is different from previously failed drugs. I am confident that it will be success.",0.9829
2087,People know to fade this.,-0.0248
2088,Bought 15 shares of this trash. Upupup,0.1287
2089,"“When informed of redosing , every AD patient and every family was excited and there is overwhelming desire to go back on the drug” this says it all about the efficacy of Aducanumab. The redosing study is being started for humanitarian reasons with FDA’ s blessing . Buffet’s investment is an affirmation .",0.9345
2090,"The CFO is ousted in Biogen. Let me guess, because this CFO does not know how to increase stock value for BIIB... The current Intel CEO is from a hedge firm. Dohhhhh",0.9213
2091,"@Truong -- on a serious note, whats to defend? they've had some bad news lately.",-0.4838
2092,"Greedy shorts, when was the last time this went up 95$ in one day ?",0.1584
2093,Come on $300,0.0541
2094,"Given the stock’s price action since mid-October, the market seems to be saying that the committee’s vote this Friday will likely be unfavorable.",0.1159
2095,Time for everyone to come over to SAVA. Breakthrough Right to Try status soon on their AD that actually works!,0.571
2096,Everyone do your self a favor and go look at AVXL while you can.,0.5765
2097,at what point is this in play? they are down around 53 billion and headed lower. who would be the logical partner?,0.3323
2098,Old article: https://investors.biogen.com/news-releases/news-release-details/biogen-plans-regulatory-filing-aducanumab-alzheimers-disease,0.3116
2099,"I'm not a conspiracy theory believer type person, but the biib price action this past month makes one question how our stock markets truly work. I had purchased two hundred shares before the Aducanumab announcement. Of course, I was pleased at the news and hoped for more share price increase. Instead, down, down, and more down. Why does the good news and poor price action feel so manipulated? I don't think of myself as being naive, but a whole bunch of people have been dumping shares at lower and lower prices.",0.8921
2100,shorting with all you got,0.1039
2101,"My top two bio performers ..... BIIB & TGTX. Accumulating, as funds become available. 3 to 5 year, holds.",0.7813
2102,237 close?,-0.0726
2103,What the heck happened to the more updated news on Yahoo finance? Everything I see is now 4 days old! They need to fire all the engineers responsible for this mess!,-0.2128
2104,Wow. Looking at the price you would think Biogen is going out of business. What's next? Bankruptcy? Selling off their office furniture? Kind of crazy.,0.6605
2105,below 100 by friday,-0.1328
2106,"This new partnership between Samsung Biologics’ and Biopharma 3SBio is an excellent move for Biogen. It will bring to take Biogen into the Cancer therapy space with bevacizumab biosimilar for Avastin, a repeating revenue IV drug for various cancers, including colon & rectal, as well as many other types.https://www.centerforbiosimilars.com/news/eye-on-pharma-samsung-bioepis-to-partner-with-3sbio-on-biosimilars",0.8982
2107,Around 175 to 180 to enter otherwise credibility risk is too high. How stupid and out of touch is this management,-0.439
2108,BMY PAID $65 FOR CELGENE AND BIIB WORTH $40* BILLIONS THAT IS RIDICULOUS.,0.4097
2109,Word must be getting out FROM THE FDA ???????,0.7662
2110,STRONG REBOUND HERE .. TO $239,0.6257
2111,They should buy or partner up with GBLX. They have patents & patent pending. Let me know what you think.,0.8887
2112,"I am probably stating the obvious, however the news about Biogen's agreement with Alkermes is purely defensive in nature, intended to loosing market share.However, and perhaps more importantly, it is NOT an offensive move on Biogen's part.As I have posted over and over, they having been paying a lot of ""lip service"" over the years to actively pursuing M&A, in order to be more diversified, and less dependent on the MS market space.BUTT..... actions speak louder than words. JMHOAt least Gilead has taken some calculated risk/reward analysis and bot Kite, in order to expand into the CAR-T cancer space.",0.8687
2113,Sold a May 15 call at $305 for $900 assuming price is flat for a while because of delay on Alzheimer’s drug.,0.3037
2114,Biogen is so undervalued. Has to go up from here,0.1958
2115,"@Chevy, are you serious?!?!! You sold??? Jesus bro... PATIENCE. Bio breakout has been brewing for months. I averaged down during that ugly 3 day sell off last month.",0.9137
2116,Book value is $66. What are you afraid off? Forward PE is only 7.,0.7507
2117,AVXL presents this afternoon at CTAD....5:30 PThttps://www.bloomberg.com/opinion/articles/2019-12-05/biogen-has-more-hope-than-data-for-alzheimer-s-drug-aducanumab,0.1773
2118,BIIB longs unfortunately are riding on the wrong Alzheimer's treatment pony.........SAVA,-0.5334
2119,"AMD and Dr. Su continue to drive the $MU hot air balloon closer to the power lines. Afraid the recent earnings report and subsequent stock value of $INTC is following right behind it. Nobody likes to see once proud chip sector organizations gasp like this, but organizational excellence always prevails.Evan has things humming along for $SNAP. A tremendous day with many accolades of besting $FB. $TSLA remains a hold as it dips lower - still in my speculative portfolio.My village idiot friends are getting destroyed at $TVIX. I can't get them to stay away from energy. $BIIB steady.A nice lunch earlier today. Little d really enjoyed the bike ride through the light rain.Ring a Ding Ding!!",0.9869
2120,Biogen must be getting a lot of pressure from large (institutional) investors to prop up stock until they can unwind.....,-0.5074
2121,"Don't worry folks. Aducanamab will be approved for at least compassionate use. It won't be a blockbuster drug though. The ""approval"" will be a rally to sell on IMHO.",0.336
2122,"The pre-recorded FDA slides on adu are amazing! If there were no FDA logo on the sldes, one would think they are Biogen's slides. AMAZING!I bet APPROVAL!",0.9497
2123,I'm back in. Selling was wayyyyy overdone.,-0.0117
2124,Its needs a blockbuster discovery to comeback .I respect the cause of this company.,0.916
2125,"People are doubtful about beta- amyloid hypothesis. Does anyone knows Lily, Merck, Pfizer drugs all failed because their drug cannot remove amyloid at all or removal without effectiveness?",-0.5722
2126,Casino Royalhttps://www.barrons.com/articles/biogen-stock-jumps-after-alzheimers-drug-submitted-for-fda-approval-51594217611,0.1847
2127,Holded for few years gains than back to nothing again!!,0.627
2128,Biogen is way too much undervalues.,0.0386
2129,BIIB reached a new 52 Week High at 352.36,0.4256
2130,Biogen played you long’s like a fiddle... you can’t sell until Monday!Adcom will be a big NO!!!FDA will follow their recommendation and not approve...Buy the best of breed in AD if you want $$$,0.9583
2131,UBX will be the big winner in age related Diseases !,0.5367
2132,Biogen should buy SAVA as soon as they can if cassava sciences will even sell to them. BIIB better be ready to pony up $5 billion for the buy out now... it would make all the Biogen longs very happy. Everybody already knows that Biogen‘s current AD treatment is DOA at the FDA. Biogen still has a chance to save their company since several of their other products are failing or generics are taking over their market share.,0.9635
2133,Buy now. Someone got confused with MERK and everyone is sellling randomly. Good time to get some more. .,0.5729
2134,"Why drop now?? Tech is so high, BIO medical already bottomed many times. BIO shouldn’t drop. Tech stocks are overpriced.",0.9481
2135,I dabbled with a little today if this closes near or at high of day I will pick up more either at the close or after hours or premarket..,0.5828
2136,Roche released this morning they have shut down their Stage 2 Alzheimer drug due to poor results. I have seen BIIB go down hard every time another pharma has shut down their studies - and there have been several the last year or two.,-0.7901
2137,TXMD is BIIB at $7/sh.......,-0.0068
2138,Does anyone know WHEN the alzheimer’s drug will be up for review ?,0.6027
2139,Attn.Biib shareholdersEach share sold at 300Gets u the winning company for sava aktzheimer drug You get 30-1Sava goes to just 25 imagine the leverage u get.,0.8389
2140,"I don’t see any news to account for today, other than alexion, which shouldn’t bear one way or the other.",0.3692
2141,That's a garbage drug.,0.2031
2142,Taking off...looks like the drug is doing food,0.5882
2143,"2 things can save this stock, covid vaccine or electric vehicle, they should change their business model.",0.8982
2144,R.I.P,0.0
2145,"Biogen is being pushed down then bought up by institutions to reap rewards when Biogen acquires FDA for Alzheimers treatment... Biogen is very undervalued, ( longterm investor) with its strong revenue and low P/E this company should easily be trading in 350-370 range, that w iij thout FDA approval, when the get approval for Aducamaub, should trade 460-470... by up on dips as the institutions are doing so.",0.968
2146,"BIIB's PE is about 8 and they have a big headroom even if their income will be down a half and their PE is still about 16 which is a bargain compared with the industry. However, this is not enough for the Street and why?",0.8127
2147,"BIIB must be confident of getting it approved (chances are above 50%), they know better.",0.8874
2148,"So I just went through the 10K. China was not a major market for any of the drugs in the existing portfolio in 2018. Looking forward, Spinraza was approved for sale in China. But I'd doubt if China was expected to be a major contributor to sales in 2019. Also would a 25% retaliatory tariff by China on Spinraza really impact revenue? Prescription drugs have fairly low price elasticity of demand.https://www.globaldata.com/spinrazas-approval-in-china-will-help-biogen-weather-threats-from-strong-pipeline-of-drugs-says-globaldata/",0.1449
2149,Good time to MUTE all the dimwit shorts.,0.4847
2150,"I added more shares to my initial (2 year old) position. In terms of RISK/REWARD, this is a great bet. If Adu is approved and sells well, BIIB will fly to $600.",0.9126
2151,"Company needs a better PR department in my opinion. Stock isn’t seeing the press it needs to, and as such is mostly unknown to the retail market. Nonetheless, it’s valuation and sales speaks to its ability as a company. Think this could be doing a lot better.",0.9416
2152,"If this keeps going down for no reason, I'm going to have to buy more...",-0.3644
2153,https://seekingalpha.com/instablog/15663412-joe_retail/5284863-can-resverlogixs-apabetalone-succeed-biogens-aducanumab-failed,0.0
2154,Can't even go back to retrace it's last week PPS. Dirt.,-0.432
2155,"old axiom, when a stock has this kind of reaction to bad news it more often than not winds up dropping another 25% within a month. does not always happen but we will know in a month if it happens here.",0.1035
2156,"TECFIDERA was approved under the National Medical Products Administration priority review process evaluating therapies with urgent clinical needsMore than 500,000 individuals worldwide living with multiple sclerosis (MS) have been treated with TECFIDERA, which has a well-established safety and efficacy profileBiogen’s expansion in China now includes treatment options approved for relapsing MS and spinal muscular atrophy",0.9806
2157,This stock should be at least 300 by any metric,0.1717
2158,I am approved this drug for treating all Alzheimer’s patients At least it can slowing down the progressive of the disease. I will take it if I have it.,0.5985
2159,Acorda Therapeutich Love Big Brother Biogen ,0.7185
2160,"Worried about Biogen's Aducanumab? Don't be... https://pharmaboardroom.com/articles/worried-about-biogens-aducanumab-dont-be/Doesn't the author of this article work at Promis Neuro? I don't see any tangible connection here in the corporate presentation, but looks interesting... https://noble.mediasite.com/Mediasite/Play/c2e91bce651747dcb02e2da9890d15ec1d",-0.4506
2161,Nice run today.... and the buyback hasn't even started! Once can expect short covering will start soon to lock profits which will cause a double impact for price recovery. Easily see the stock closing around $250 by Friday before settling down.,0.7666
2162,"Biogen interested in Vaxart could be partnership could be buyout. I don’t have a link, I don’t have proof. Just something I read on another stock message board",0.8979
2163,it was just a partnership announcement but made is look like a buy out,0.8113
2164,Intelgenx has an ongoing Phase 2a study for Alzheimer's Dementia worth looking into.https://www.globenewswire.com/news-release/2019/01/23/1704103/0/en/IntelGenx-Provides-Update-on-Phase-2a-Montelukast-VersaFilm-Clinical-Trial.html,0.5461
2165,Seems like the $5B buyback has started! great time to buy at these levels!,0.8712
2166,It drops like crazy!!!!,0.572
2167,EPS $26.83 and no gain on positive day? So fake,0.4722
2168,BofA price target 343. P/E 13.7 positive ruling on lawsuit and Aetna just covered spinal diseases. Takeover still ???? I think it's going up,0.8811
2169,It turns out the futility analysis was faulty.,-0.2602
2170,Halted! Hopefully it will reopen before the day is out for market reaction.,0.3017
2171,If big money isn't moving in now I'll eat my hat!,0.1062
2172,"BIIB was testing Anavex's (AVXL) proprietary drug-A-273 which has shown tremendous potential in a large myriad of neurologic diseases (dementia/Parkinson's disease/Rett's syndrome etc)--now that their drug has ""tanked""-look for a strategic partnership with Anavex--the CEO of Anavex (Dr. Missling) is far too shrewd to accept a simple buyout",0.9101
2173,"AC Immune and WuXi Biologics to Establish an Exclusive Strategic Partnership...>>> AC Immune to draw on WuXi Biologics' expertise in manufacturing innovative New Biological Entities against CNS disorders including proprietary WuXiUP continuous manufacturing platform that can significantly reduce cost of biologics>>> AC Immune to gain access to WuXi Biologics' proprietary discovery platforms including the WuXiBody(TM) Platform used for the generation of bispecific antibodies>>> WuXi Biologics to become a preferred partner for bioprocess development and manufacturingDr Chris Chen, CEO of WuXi Biologics commented: ""We are excited about finalizing this exclusive and comprehensive partnership and are pleased to enable AC Immune which has proven itself as a global leader in CNS diseases by partnering with Genentech and Lilly. Our comprehensive partnership would include discovery, development and manufacturing of multiple biologics and vaccine modalities including bispecific antibodies through our proprietary WuXiBody(TM) Platform. This platform coupled with WuXiUP tackles technical hurdles of conventional bispecific platforms and tremendously reduces the cost of making these biologics, which is critical for success of biologics in treating CNS disorders. We will continue to invest in developing next-generation globally leading technologies to enable global clients and transform biologics discovery, development and manufacturing. Together with global partners like AC Immune we are developing and manufacturing life-saving biologics to benefit patients around the world.""http://cws.huginonline.com/A/171580/PR/201812/2229542_5.html",0.9957
2174,"BIIB shoud buy Supernus Pharmaceuticals, Inc. (SUPN). SUPN's P/S=2.5. Furthermore, it has a new approved drug which just start to sell. SUPN's market capital is only $1.6 billion. It will be easy for BIIB to swallow SUPN easily.",0.8896
2175,Why down today? Can’t find any news,0.0361
2176,Easy money at $260. The market clearly overreacted. Watch for a quick bounce after the dust settles.,0.5316
2177,BIIB reached a new 52 Week High at 357.85,0.4256
2178,"Looking at the chart, shorts didn't see this coming...No one did! Usually the smart money is ahead of the curve, not this time. Yay!",0.8276
2179,Only one winner long term and that’s AVXL,0.8378
2180,https://www.youtube.com/watch?v=v0g5ZOJ6-6M,0.0
2181,Michael Ehlers can be credited with a lot of the recent drug failures. A change is a good thing.,0.6255
2182,How high will this go???????????? Hint when you see a spike up then be very careful,0.6926
2183,I thought BIIB’s Alzheimer trial failed? Its website still shows a few Alzheimer trials. Can someone please explain?,0.7259
2184,"Who’s buying $RDUS ? $GILD , $JAZZ. $AZN. $BIIB",0.2731
2185,"My game plan: hold until after tonight's teleconference. All they bad news is already out there...only good news can come from them. Sell tomorrow at 310+. Trade between now and Feb between 290 and 310. Buy prior to 4Q earnings call in Feb, where they will present timeline for NDA submission. Stock will pop again. Sell most before submission of NDA, but hold some in case they get approval.All the bad news is out. All future catalyst will be for the upside. But I'm trading, not buy-and-holding because there are plenty of skeptics that will create enough volatility to make trading exciting.",0.9507
2186,"take this,carp out and shoot it.",-0.167
2187,BIIB is maintained underweight rating by Morgan Stanley,0.2598
2188,Biogen likely to win approval for Alzheimer's drug: Jefferies (source: Seeking Alpha),0.8464
2189,"the suckers that bout last week are going to lose 70 percent of their investment on monday. dont chase stocks. period. those chasing FAANGs now may suffer the same loss. once again, dont chase stocks. buy stocks at a discount valuation that you determine yourself, not what everyone else determines.",-0.2388
2190,"Excellent wsj opinion piece today! The highly respected newspaper has a Review and Outlook article titled “the battle over an Alzheimer’s treatment”. The editor argues forcefully for FDA approval of aducanumab. I thought it’s a quality, well explained argument and I recommend reading it.",0.9239
2191,so... verdict is CRL ? or solid NO ?,-0.2793
2192,Negative first vote,-0.3824
2193,Uh oh...halted.,-0.2631
2194,pathetic,-0.5719
2195,SOON THREE HUNDRED?????????????? Wonder drug???,0.606
2196,"I have been a shareholder for the past three years, I’ve seen the roller coaster of this stock.. Currently have a substantial portion of my stock holdings is in Biogen. If you examine Biogen earnings and Extremely low PE, you can recognize that stock is very undervalued. This stock should be trading in the 325-335 range, just alone on the earnings and that would bring it PE more in line to other competitive companies...Biogen has many drugs they are working on besides Aducamaub. People are so forcused in Aducamaub that Biogen is trading at a discount. If Aducamaub does get approved then the stock will go to low 400’s. In my opinion, I think it will get approval from FDA with some conditions. Since there are no drugs out in the world to treat Alzheimer’s, this drug Aducamaub is a start to help slow the process down...Biogen should go up gradually, far to cheap for a 15Billion dollar company with a PE of 8...",0.9855
2197,going to wait for the 1130 push,0.0681
2198,I don’t understand why the share price dropped. I read significant improvement in the reduction of the plaques in the brain. This is over an 18 month period. AZ is a chronic disease if there is a reduction in 18 months imagine the reduction over 3 years. Next imagine the cash flow over the remaining lifetime of those on the drug. No other drug has had positive results in reducing plaque. I got into Biogen at 260 and out a few times. I only own a few thousand but I’m not selling. This could be the buying opportunity of a lifetime. I would love it if it went down to my cost basis so I could buy more. IMHO. GLTA longs tomorrow let’s see where we stand a few months from now when the results are actually thought about.,0.9828
2199,"What a difference a couple of days make. If I bought this last Wednesday instead of last Friday, I could have made $5k instead of $500. But that's dopey's timing for ya.",0.1677
2200,Not looking good for BIIB...https://finance.yahoo.com/m/6dea1753-8672-3060-a445-4d7f41e4fdcb/biogen’s-alzheimer’s-drug.htmlOh by the way SAVA is up 20% for the day. Why is Biogen down 2 1/2% today...hmmm?SAVA!,0.5351
2201,A positive day... this won't last long.,0.3374
2202,While this certainly was bad news it’s also an opportunity..I’m gonna let this play out a few days and will look at starting a position for possible call writing..,0.7115
2203,"Motley Fool is one of the cheap busboy's writers wall street uses when they want to post some fake report about some earnings results,Booyah",0.6837
2204,240.58 that's the mark,-0.053
2205,What cause sell off at end of day today?,0.2626
2206,"$251 MAY, $310 Third quarter. Look at Boeing.back to $390 in no time.",-0.2411
