,Recent headlines and conversations for MCD,Polarity
3546,Such #$%$ mgt... biggest mkt rally in history n this pic doesn?t move,0.2149
3547,Best drive-up situation in the world!! That's where they will excel!,0.8029
3548,Bounce @ 123.00 waiting for the drop,-0.2609
3549,MCD IS GOING UP MORE!!!!,0.4408
3550,Took the staff to $MCD for burgers and ice cream today to celebrate Independence Day. Office ladies love the swirl cones and It’s better than me trying to please them with my foot long,0.966
3551,Lots of McHaters out there today.,0.3079
3552,"Chicken McNuggets work pretty well if you want to practice and can't get to a driving range,",0.7776
3553,Not a great investment at these levels....not until sub 170.,0.6174
3554,I get engorged every time I see both drive thru lanes full and cars not able to enter the parking lot at $MCD. I love the McChicken and this drive thru worker best. She always gives me extra ketchup which I rebottle at home.,0.9638
3555,CONGRATS if you loaded up on the June 19th CALLS when they were dirt cheap under $200 ,0.707
3556,"I think McDonald's ending 2 for $5 Mix and Match promotion is a huge mistake. Everybody else is still doing it. It will lose customers. Not too many people are willing to pay full price in this economy, especially for the quality of food McDonald's offers.",0.1324
3557,Longbow upgrades MCD to Buy!,0.2009
3558,Noticed a modification to the quarter pounder seasoning a slight soy addition perhaps ground softening transition to more plant burgers,0.5835
3559,Still looking at 220 by next week!,0.155
3560,their talking like the worlds going to end and McDonalds is still 28 PE knock it off and go downalready.,0.7141
3561,"$10,000 invested in 2003 is now $144,000, without dividend reinvestment. Who really cares what ""analysts"" predict? Let them play their daily game.",0.7516
3562,"I dont buy Mcd, they have no value offers. Always go with Dominos and Texas Chicken.",0.5921
3563,"Appears ""Breakfast menu all day"" had some unintended consequences.But every time MCD stock price takes a hit, Mickey bounces back well.I'll stick.",0.4956
3564,good recession stock?,0.2142
3565,Selloff into earnings day...cant be a good sign..smh,0.468
3566,"maybe will drop to 188 should go back to 153+10 or so = 163 eventuallylong term trade, even 170 beats bondshttp://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=&symb=mcd&x=0&y=0&time=8&startdate=1%2F4%2F1999&enddate=4%2F25%2F2019&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=4&lf3=2&type=4&style=320&size=4&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11",-0.1498
3567,$210 tomorrow. MCD,0.0024
3568,The sky is really falling,0.4072
3569,I thought McDonald’s will go to 190 but now I believe it will go to 200 easily; Anonymous keeps posting nonsense trying to badmouth the best restaurant company,0.7788
3570,Easily 200 dollars a share,0.5574
3571,"MCD is one great American company, and a fantastic long term investment. God bless America!",0.9588
3572,Let the dust clear. This will be up by the end of the day.,0.528
3573,like i said-165 was the pin for today.,0.5246
3574,I want higher taxes and unemployment Democrat policies rock,0.3877
3575,"What is the point really, you will need to take off the mask to eat anyway. This will negatively impact the .business imho",-0.3261
3576,The worm is trying to turn...195,-0.0203
3577,"$165 by Hallowe'en, any predictions? Correct guess wins a pumpkin spice latte. I say yes, and perhaps $170 by Christmas- maybe even Thanksgiving...",0.8631
3578,Going over $204.00 today !!!!,-0.3131
3579,$3.50 for two breakfast burritos and a large coffee. $MCD will hit $220 on that alone.,0.156
3580,Keep it down to run up at earnings. At least I hope so lol,0.7891
3581,"He goes MCD, into the crapper",0.102
3582,"IF MCD wants to see buyers pour into the stock and send the price soaring to $250-$300 quickly, then announce a stock split imo. ",0.7433
3583,Analysts Price targets $225-$250 ,0.0816
3584,Hey guys we are all making $$$$$ enjoy the ride,0.7133
3585,Just added to my position.,0.3295
3586,McDonald's fries are the best !,0.6631
3587,Stick a pin in this thing. It's done.,0.125
3588,"Southern people dont buy --- MCD hates the south , we voted for President Trump--- MCD supports NBA - BLM -NFL---the flag haters , MCD likes police hater , baby killers , BLM-----",-0.8704
3589,Black Rock and Vanguard will take a huge hit --PEP---MCD - their largest holdings -------Both are SLOW --they should have SOLD when the first DUMP on the flag--- Load the truck LIBS ---buy the company---,0.5894
3590,WE NEED BUYERS...IF WE GO BELOW 165 I SEE IT GOING TO 140'S REAL QUICK...LOOK AT THE CHARTS....,-0.7549
3591,"was way overvalued, now correcting. hopefully 160-170 soon",-0.0604
3592,Watch for a split in the next few months or sooner.,0.4214
3593,Yum China said fast food business is tough.,0.0893
3594,The best stock sure bet to reach 200 easily and safely,0.9203
3595,"McDonald's is on sale, buy baby buy",0.5679
3596,Patience my friends it will all be okay,0.6471
3597,"""Pria"" saying 2.85% fed rate likely soon2.52 MCD dividend / 2.85 + 184 (now) = $162.70 per share",0.3178
3598,Still big winner ytd . Lot of room to sell. ...,0.7808
3599,"""McDonald's is sued for $10 billion for alleged bias against Black-owned media""Race hustlers gotta race hustle",-0.3363
3600,Why??,0.1331
3601,MCD will be back Big! May be bottom after earnings. buy in May...great!,0.1981
3602,"Easterbrook's McDonalds hasn't been doing so well recently, might see a rally on this news.",0.4753
3603,"They have mobile ordering like SBUX now. I go there a few times a week just to get fries. Last few months they have been getting busier and busier. Sorry I didn't buy the stock, now.",0.585
3604,Will buy at $140,0.0391
3605,No other value stocks are cheaper than MCD. Loaded at 157.50. Good luck to all.,0.789
3606,"I'd love to see Mickey Dees compete more with Burger King. Burker King has some great deals, like a 5 dollar Whopper, fry and drink special, and an unbelievable 2 for 6 buck deal. I eat there 95% of the time when buying fast food compared to Mickey Dees!!",0.9643
3607,Giveth and taketh away..,0.0247
3608,"Anyone else eat a ""McChicken"" and was awoken feeling like they had one eye and three legs?",0.8453
3609,Most of the gains in MCD happened between 1984 and 2000. Went up 20 times. But from 2000 to now less. Divvy is important but growth is more.,0.7703
3610,The man we orchestrated MCD's rebound is gone. All the ideas left with him.,0.26
3611,"As the economy tanks due to the antics of the ""Orange Genius"" in DC, more people will be going to McDonalds to eat. Ride the wave! (God, I miss Obama.)",-0.5537
3612,"Made this comment late April,since then the madness has continued....stay close to exit!Something does not add up - apart from the question about the quality/offering by what is in effect a fast food takeaway, Valuation PER OUTLET (pls don't call it Restaurant) is $9.6 Mio, this is insanity, Revs per outlet 2.15 Mio, that is in line with many restaurants, Net just 130k, also roughly in line, restaurants ARE NO GOLD MINE in the best of times, compare this to $MCD, McDonalds, that is bit problematic comparision as it is a franchise model, but still, val per outlet 3.6 Mio, highish but after all there is a strong franchise with long track record, sales per outlet basically a franchise fee, but net 150K, so not that different, so why is $CMG valued nearly 3 TIMES higher?",0.9853
3613,"Singapore just banned drive thru of all fast food chain. They singled out McDonald's because McDonald's employees first infected among themselves then infected customers using drive thru. All new cases are traced back to multiple McD employees in many stores who live in the same dorm because these employees are from other countries under working visa. Singapore citizens don't want to work this minimum wage job so they imported employees. Now they have hundreds of people infected with Covid 19 at once after almost zero cases for months. Also this proves drive thru is dangerous in spreading the virus. Now all McDonald's in Singapore are closed. Before today, they had drive thru and food delivery by 3rd party open for business.I think when US implements massive testing, they will find many Americans got Covid 19 from these drive-thru just like in Singapore. US should immediately close all fast food chains like Singapore.",0.9296
3614,MCD is up 5.18% to 178.94,0.1818
3615,Earning is coming January 30th what to expect ?,0.0442
3616,McDonald’s has proven its self. This Is one of the biggest real estate companies in the world. But most only see food.,0.2624
3617,Jus how long can we can expect this 8 1/2 yr bull market to keep charging?,0.5462
3618,Could fall to $99 very soon. Now people know breakfast is not selling as well once it loses the novelty.,0.3542
3619,"prices have went up, low quality products, shake machine is never up. No lines anymore, few customers hardly. Not the Golden Arches I know and love.",0.7366
3620,"SO MANY COMPANIES NOT WILLING TO, OR CAN’T AFFORD to pay their investors a dividend. MCD CONTINUES to look out for their investors. Stay long ",0.6586
3621,DOW went up .33MCD went up .66robbing the index funds?maybe they should throw it out of the index funds for that reasonpeople get ripped off seriously if that happensmay explain how it got from 110 to 191 in two years,0.1026
3622,current liablities$21 B in 2014 to $37B in 2017at 3.28%$1.2B per year,0.0273
3623,"I've enjoyed zero losses since August using a simple system. I monitor Dow 30 tickers and wait for selloffs such as MCD. When one occurs, I research the underlying cause with Barron's, WSJ, Motley, Bloomberg and conversations from Yahoo. If the selloff is not secular, I sell bull put verticals with the long ATM to provide max extrinsic, 90 day OPEX min. My risk must be less than 50%, typically, 30%. As soon as the ticker rise provides a 25% return, I leg out. However, if the trend is positive, I watch short term for my exit. Typically, exits occur around FIB retracements. I built one study which is a composite of Boll Bands, Keltner Channels, using Heiken Ashi candles, ATM averages, and volume averages. This all in one study took 3 years to compose. Trump has made trading very easy. It's a certainty he will screw up so just be patient and this terribly incompetent man will create entries and exits.",0.9711
3624,Is it True MCD plans to discriminate against whites by only promoting Blacks and women WOW or did I hear the story wrong,0.8127
3625,Burger King talking about methane. Man are they stupid. Long and strong $MCD,0.6596
3626,Okay enough. In at 192.40!!!,0.408
3627,"Lordy, my MCD shares are almost a double now, not including the increasing divies. I'm going to have get one of those superb turtle iced coffees, with a tad of caramel and the chocalate swirled around inside cup. Scrumptious I'm telling you.",0.9411
3628,"invest don't speculate, Warren Buffet or Charlie Munger said thatwho wants to invest in a company whose stock price is being manipulated? No one.",-0.5754
3629,McPickle sandwich was a Fool Day Prank.Stock falls.,-0.4826
3630,This company is junk like the product they sell and the american empire!,0.3169
3631,when will dividend increase be announced?,0.3928
3632,Germany downgraded by IMFEurope slowingMCD is up .61% with the down down 383,-0.54
3633,I dress up like Grimace to get free taco. $MCD $INO $TSLA $NIO,0.5868
3634,197s for close....because she just can't hold anything higher. Thats true even with positive catalysts. Wait until some bad news is released. She is fully priced here.,0.8105
3635,nice to see it up by more than 1% today,0.6296
3636,"sellMCD is up 45% in one yeargrowth is pretty low relative to the PEand buybacks and dividends have sent the debt level to the skyand the buybacks artifically make the PE look better, though its way too high anywaysell, let it drop 20% or even 15% or even 10%likely to go back to 20% lower at some point , around $176shooting for a 2 % and change dividend and facing a 20% drop in stock pricesell",0.7862
3637,To McDonalds Longs : you are in a really good place . McDonalds Corp appears to be sliding into a strategy phase where :1)More & More McOpCo restaurants getsold to O/O -McD books nice gains .2) McD Corp outsources services to O/O's that it previously provided in-house . Bottom line ?Fewer Corp employees needed . Regionalpresence diminishes except for a small real estate contingent .3) Rent & Service Fees increase ( less corpstores )-corp expenses plunge .4) O/O organizations begin assuming mostif not all training functions & logistics (and costs !).5) McD in a strong position to push itstotal vision on O/O . All very very positive short and intermediateterm for Corp & stock but ... be warned ...that favorable pendulum will eventually turn -,0.8605
3638,http://money.cnn.com/2018/02/02/investing/why-dow-dropping/index.html,0.0
3639,Got in at 189 and 199. Nice stock so far.,0.5855
3640,Best French fries at McDonald’s . We all knew that for years,0.1154
3641,"The fact they got rid of Chief People officer is good news people ,shows management acts fast to get all the negative out in 1 day to make way for clear sailing green ahead. This is smart business. 1 bad day instead of many. Great opportunity to buy dont look a gift horse in the mouth so they say.",0.9223
3642,225 soon. yummy!,0.5714
3643,"let the market serve you, not instruct youWarren Buffet likes that rule. He learned it from ""The Intelligent Investor"" by Ben Graham.When they say ""buy the dips"" they are instructing you.",0.884
3644,This keeps going down ,-0.2209
3645,"Just heard from the radio that McDonald's again launched their 2 for $4 breakfast sandwiches again. In the beginning of every quarter, Easterbrook takes this promotion away and hoped customers will pay the full prices then the sales plunged. One month later, he put the promotion back again to compete with other fast food chains. We are in the middle of the first quarter, I can say for sure this quarter's earnings will be bad because they have wasted the last 30 days. Drove by McD every day twice, if there are no promotions, there are very few customers based on the cars parked outside.",0.7212
3646,"NO KIDDING ,, that was due to bad earnings, now a Rat got caught in the hen house for another 5 dollars- REALLY!! was it worth that much- heck no- due for a big bounce , better switch to long.",0.3795
3647,Will MCD split ?,0.0604
3648,Nice after hours rebound.,0.5525
3649,"I'm late, I didn't kno MCD has the M turned upside down for W-Women! not sure if it's for a day, week or what...",0.3439
3650,The market is up over $120.00 and MCD is down over $1.00 what am I missing???,-0.5726
3651,"bit expensive, perhaps debt level could be lowered with that much free cash",0.3367
3652,sell sell sell panic panic panic,-0.8434
3653,"Lord Jesus , the greedy wicked love the darkness, why should they see any light? Show them the darkness in the form of sickness and fear , that’s what they can see . In your name Jesus I pray you show the wicked what they see.",-0.6781
3654,Congratulations to McDonalds for paying dividends on a regular basis year after year and giving a nice increase (15%) to the shareholders. Thanks - Good Job!,0.9458
3655,Bullet Proof,-0.0725
3656,$MCD Target Raised by Telsey Advisory Group Outperform USD 250 » USD 260,-0.1957
3657,This is one of the worst stocks to own. I sold mine at a loss because I can put the money to better use rather than waiting maybe a year just to get my money back and making no money at all.,-0.0565
3658,white castle in direct competition with the big 3 hamburger company,0.3933
3659,Anyone seeing the new picture of Deluxe Chicken Sandwich coming out in February. It looks thick and juicy. Can't wait to try all three chicken sandwich at McDonald's. They all look bigger and thicker than any other fast food chains currently offer.,0.1948
3660,"Today when MCD passes $214, I've got to get a choc/vanilla twisty ice-cream..",0.1221
3661,Will fill the gap to $158.3 faster than expected !,-0.3039
3662,This stock stinks. It went up $9 on the day of earnings and proceeded to give it all up the following days.,0.4659
3663,"Major League investor David Kerr, has targeted a price of $210 per share.",0.4335
3664,the dividend per quater is only good for a dollar,0.6078
3665,"“ Leaked McDonalds recording shows the company is fighting against parts of Trump's coronavirus bill that would give workers paid sick leave”So sick workers have to go to work at MCD because they don’t have paid leave. “Coronavirus can survive up to 5 days in materials like wood, paper and plastic“So all the drive though packaging can transmit the virus just as easily as being in the restaurant.!https://www.businessinsider.com/mcdonalds-pushes-back-against-aspects-coronavirus-sick-leave-bill-2020-3",-0.3405
3666,if it goes up its the BOTsits overpricedsee my previous postssee the SEeking Alpha article$106 Seeking Alpha i believeI think I got around $150,0.3013
3667,Panic buying of MCD stock in progress,0.2879
3668,"Sales down 20% hey let's buy even more with this high PE ratio and debt, don't worry we'll sell more hamburgers!",0.492
3669,"McDonald’s had their best quarter in last decade. Down 1 percent in pre market. Boeing had the worst quarter in the last decade. Up 3 percent in pre market. I do understand stocks are about the future. But at some point reality has to set in. The reality of what these companies truly earn and not what they could, might, maybe earn.",0.8348
3670,"loss of sales,months before the customer's come back",-0.2419
3671,Advanced modigliani technical analysis is indicating the stock to reach 200 in the next month. This kind of analysis is very complicated to perform but it has a success rate close to 100 percent.,0.8062
3672,MCD is not oversold yet. Stock loses Steam everyday as the market comes closer to the closing bell. that means big players are still getting rid of the stock in a hurry,-0.2929
3673,BOOOOM goes the dynamite!!!!!!!!,-0.3024
3674,Burger King is the King! McDonald's is Jive! Burger King #1!,-0.2977
3675,Why is Yahoo Finance showing MCD closing at + $3.34 at $164.13. Fidelity shows MCD closing + $4.51 at $165.30. Can someone please explain this to me. Thank,0.5625
3676,"This stock is headed nowhere, only thing half way decent is the dividend.",0.4845
3677,$230 a share for a company that can’t produce an ice cream cone. am i missing something?,0.437
3678,Slow and steady….,-0.2274
3679,Mcdonalds is heading for under $100.,-0.0515
3680,"adp employement number27,000pretty weak",-0.4404
3681,"I've own MCD for many years, so I know its a solid company. Hang in there folks we're gonna come out of this stronger as a nation. Semper Fi",0.7444
3682,"Worse restaurant in USAThe Sullivan, Indiana Mc Donalds is the worse restaurant in the United state bar none. Evidently the corperation has no one who checks on there francises.These problems been going on for weeks . Here is a sampleWent inside Sullivan, Indiana McDonalds 2 weeks ago Thursday and they were grossly understaffed. One guy cooking and about 4 people shouting orders at him the whole time he was there. He finally had enough and said the F bomb as loud as he could and said I quit and walked out. Took me 1/2 to get my food.Friday I go to same McDonalds at 9:30 p.m. and inside locked up and had a car parked across one of the drive thru's so was down to one lane. After waiting about 15 minutes the guy took my order and I asked him what was going on and he told me they were down to 4 people working. I asked him what they paid and he told me minimum wage. I asked him if he was aware the Mc Donalds just 20 miles up the road was paying $9 a hour starting out and he said they were talking about raising the salarys to $8 a hour. No wonder they cant't get no help. Tonight I go out to Mc Donalds in Sullivan , Indiana and the doors were locked up and lights all out . My question this has went on for at least 3 weeks. Does McDonalds not have a district person to go and check on franchises? Evidently not because I have called and left my name on how are we doing McDonald voice and no one ever calls you. Someone in cooperation needs to go out to that restaurant and see for themselves what going on out there. The franchises should be pulled if you cant run a restaurant better then that. So hope some one who is higher up in Mc Donalds lets district manager if they have one know he is not doing his job",0.9859
3683,totally sucks,-0.3612
3684,"401K money buying mcd at the top, while they unload their shares",0.5795
3685,You can get McDonald's delivered these days.,0.1198
3686,664.84 k 421.50 k. sold. becarefull looks like firms are scaling back invested stock portfolio,0.5768
3687,"Looks like we will touch $170 by Labor Day, wonderful! Even better than my predictions, with a Christmas div hike bonus in December. Shorts and haters are Ebenezer Scrooge...",0.8409
3688,"McDonalds deceptive ads. Convinced me to buy a fried chicken sandwich.What a piece of sheet.I?m not saying the stock is bad.This skinny fried #$%$ Was basically a larger MCD Chicken nugget. Gross, Cheap and missing any real chicken!!",0.6983
3689,MCD is firing on all cylinders get in before the 31st reporting and stay there,-0.0678
3690,SHOULD I BUY ? SELL ? WAIT ? What do you think,0.8229
3691,GREAT JOBS REPORT! Who the hell said sell? RSI 35 so even if you are technical trader it screams BUY. Think Ill get more at this low price!,0.6658
3692,Still time to short this PIG,-0.6847
3693,BOOM ,0.25
3694,"Regarding the cheese lawsuit, a quarter pounder with cheese tastes entirely different than without cheese. I prefer without cheese and have also seen this ""sales technique"" at Wendy's, whom I believe was first doing this. It used to be the cheese sales push ""would you like cheese?"" when ordering, now it has to be said ""no cheese"" by the customer, who still pays for the cheese! Does it say ""world famous CHEESEburgers"" on their signs? NO! They read ""hamburgers""! That time ago when both Wendy's & McDonalds were pushing cheese on my order, I would say ""No, then that would be a cheeseburger which I do not want"". I was sick & tired of being offered cheese, now It's up to me to say ""no cheese"" or scrape the consequences off the best I can. What a way to have a strong company ""bottom line"" with customers saving them money inherently by subtracting items & cost of such. Once again, their signs read ""hamburgers,"" not ""cheeseburgers""! I'm definitely against this ripoff! Add Steak & Shake to the list, as they also have cheese automatically on their ""steakburgers"" (same signage, ""famous steakburgers"", not cheeseburgers). Seems to be an industry standard now. Why people want cheese to literally sour their hamburger is beyond me. To each their own bowel contentment or disruption.",0.9464
3695,McDonald's initiated at outperform with $218 price target at RBC Capital Markets https://research.tdameritrade.com/grid/public/markets/news/story.asp?docKey=1-SN20191210004679&cid=1-SN20191210004679-MIP,0.1613
3696,This may be a decent investment,0.4996
3697,Nice day to jump in. That 2% ceo drama discount was appreciated. Don’t dip the pen in company ink. Simple concept we all know. Right?,0.8167
3698,can she do $200 - y'all need to push it a little.,0.2392
3699,"Was in Rome two weeks ago. Could not believe how beautiful the McDonalds there are ! All very big, completely automated, with McCafes and PACKED !was very impressed that I came home and bought the stock. Good luck to all !",0.9586
3700,More selling on the way,-0.0285
3701,"This stock should shoot up to $115 next week, hope its earnings look good!!!",0.8101
3702,Bought the dip,0.2154
3703,"Dear heavenly Father , let your Kingdom come and Your Will be done on earth. This system of things, the economy , man's rule , all forms of government and all kingdoms on the earth is worthless . Please come and destroy man's system in the name of Jesus Christ , whom you gave all authority and power in heaven and earth. Thank you that you allow the corona virus to spread because you humble the haughty and the greedy , and the wicked . They are completely alienated from you and are in complete darkness. Please show them the darkness in the form of severe sickness , fear and trembling . Please release destructive forces of the earth to destroy the wicked , in the name of Jesus I pray and ask . Please Father , let your Kingdom come , many of us want to completely submit to your authority and the authority of your dear Son Jesus whom you sent . The wicked love the darkness, bury them in darkness Father by means of earthquakes and volcanos . Thank you Father in your Son's name I pray.",0.8672
3704,"THE ""TRUMP BEAR MARKET""",-0.3324
3705,"I sure would like to see this split at least 2 fro one or 3 for one asap,",0.79
3706,"I get a lot of ""thumbs down"" here.",-0.2801
3707,"I have a yeast infection. Do they have hire people with that at MCD. I heard if you apply the sauce from a Spicy McChicken to it, you can stymie the yeast infection, so this jo could be therapeutic.",0.6406
3708,"It's a flat report, buoyed by inflation. The company and the economy is still contracting. Look at full year sales!. This qtr. is flat and it does not mark a turnaround.https://corporate.mcdonalds.com/content/dam/gwscorp/nfl/investor-relations-content/quarterly-results/Exhibit%2099.1.pdf",0.4455
3709,Way overdue for a new sandwich.,-0.2646
3710,I eat 21 McChickens a week.,0.0867
3711,dead money until the new chicken sandwiches come out on Feb 24 and who knows when McPlant releases in the USA. 180s would be a good entry,0.5059
3712,$220 within next few weeks!,0.1057
3713,"McDonald's drive through 50%+ of business before corona, they are even more packed now.",0.2614
3714,"I eat there every single day, A+ Food.",0.1081
3715,"not all of the DOW needs to correctCAT has great returns, I thinkMCD not so hot, especially considering their balance sheet and managements lack of concern to pay it down, instead of trying to push the stock price up with buybacks and dividends",0.3625
3716,"Illegal immigration grew by 740,000 people under Obama in 2016 due to overstayed visas",-0.6366
3717,buy STWD now!,0.2298
3718,"Of all the stocks in my portfolio, mcd is the biggest loser. Who'da thunk it. Please recover mcdaddy.",-0.1218
3719,"Cramer just said on CNBC ""people are hiding out in MCD and CLX, but they have no earnings growth, and I think it will get harder to hider there'!!!!!!",0.3149
3720,"I think its great McDonalds is getting into meatless alternatives. Think of millions of fewer cows flatulating, and warming the planet. I just hope people realize that meat is an important staple of the human diet, and has L-Carnitine, Glutathione (antioxidant), is high in protein and improves muscle mass, rich in minerals, and helps prevent Iron deficiency anemia. All government food pyramid recommendations include several servings of meat.",0.9713
3721,"Consider: MCD owns, or exclusively leases to per square feet, the most trafficked real estate in nearly every country on earth...",0.5151
3722,McDonald's needs a new Ceo.,0.1182
3723,"I like McDonalds on occasion but I never eat there anymore because their prices are outrageous. I can get the 4 piece chicken tender combo at Bojangles for $6.60 that comes with large tea, fries and the biscuit. Basically about TWO DOLLARS CHEAPER than a combo at McDs with a similar calorie count...",0.9271
3724,McDonald's is the first one that sold their bonds (new issued for this occasion) to The Fed on 3/17/2020 with many DOW 30 stocks. The Fed did so to stabilize the stock market by giving away cash. But today The Fed announced to buy every corp bond. McDonald's is no longer special. Because now every US company got the same treatment!,0.6071
3725,ROME will rule the world,0.2041
3726,"Revenues cointine to drop!! this purveyor of pionk slime will suffer as people turn to grass fed beef and quality healthy food (not processed cheese, etc). OF course mosrt of the people that eat at MCD like the garbage. Most candidates for the 600 pound life fat loss program!!",-0.7881
3727,One quarter pounder with cheese and a side of vaccine please ...,0.8528
3728,sell this trash... nobody likes them these days,0.4913
3729,From my understanding McDonalds stock lost value when the vaccine news came out and it was presumed that everything was going to open up and McDonald's drive thru business would suffer. With the second wave coming and lockdowns looming McDonald's should go back to being a pandemic winner.,0.8984
3730,I really need a big mack in these harsh times. up n at em,-0.1806
3731,"I guess the pooh salads, the cleaning fluid drinks and the heroin Dr. Peppers ain't selling, eh?",-0.1603
3732,"I've done well trading MCD this year but don't have a position at the moment. I've seen some negative commentary in recent weeks about the valuation and that's keeping me from going back in before earnings. However, I might nibble if I can buy around $156 before the call. I agree that the renovated stores are great, and have spoiled me for other fast food. Ordering from the kiosk and having the food brought to your table, rather than standing in line, is a game changer.",0.9319
3733,"I don't want my McDonald's eggs & coffee to go green. The reason people go there is for inexpensive food. If they want cage free & sustainable they go to Starbucks and pay $7 for a cup of coffee. We want lower costs not higher.....Know your customers & investors MCD mgmt! get a grip, this is absurd",0.6078
3734,Should see selling pressure before $200.00 be careful.,-0.0951
3735,It seems MCD is heading to $180 today,0.0822
3736,Not sure why people eat there. The time i have in the past - I feel rotten after eating one of thermals. Imagine people who go there regularly.,0.3488
3737,"the new chicken sandwiches, veggie meat burgers and full reopenings will boost MCD in 2021 and beyond.",0.7671
3738,Don’t be afraid of McDonald’s this is 200 stock,0.4228
3739,It’s selling on any strength,0.5097
3740,This is crazy. How can one reprimand a President/CEO about lying about sexual relationships?It is his absolute right.,-0.2009
3741,Ok I bought some..,0.296
3742,Junk food is ALWAYS so good...Good for the soul!,-0.1684
3743,"When the leaves are falling, the divs keep calling...",-0.0291
3744,"The McDonald's near my house, on the way to the beach was packed! Wish I had more money to buy more shares. For now, just reinvesting my dividends. Good luck to all MCD longs!",0.9349
3745,I was first here!,-0.1333
3746,never again eating there after tweets!!,0.2442
3747,MCD might rebound tomorrow if GOOGL has a bad earnings report. Then people will sell risky assets and money flow back to safe haven stocks again.,0.4529
3748,"The two big price drops are coordinated with huge volume. Once these people sold, they won't come back. This forms a top for MCD. In the following months, we are getting lower and lower since higher price is now impossible. Smart people take profits here. You may come back in 2019.",0.8339
3749,"Love the $5 for 2 Filet o Fish. All I eat at that price, it is, with some added Tabasco, an epicurean treat. $MCD long and strong.",0.9335
3750,why is this down today?,-0.106
3751,"No reason for down day, more market BS",-0.4796
3752,Can someone tell me why MCD has so much debt?,-0.2181
3753,"For decades, real estate has been a bedrock of McDonald's revenue strategy, with the company effectively serving as a quasi-REIT. “We are not basically in the food business. We are in the real estate business,” Harry Sonneborn, the first president and CEO of McDonald's, once told a group of Wall Street investors.If mortgage REIT and commercial REIT are next to implode because Covid 19 crisis intensified, MCD will be in bigger trouble than other fast food chain companies.",0.7702
3754,Is this a Good Entry Point?,0.4836
3755,The minimum wage is forcing McDonald's to get rid of the human being. McDonald's will be eliminating the humam being from it's restaurants. U will soon be buying ur hamburger from a very pretty Robot. The good news is there is no molesting charge if U pinch a pretty robot's behind.,0.7427
3756,I heard she called him big mac lol,0.7298
3757,MCD reached an all time high at 218.43,0.3228
3758,All the bashing think earning $7.54 a share had anything to do with the stocks move.?,0.401
3759,"McDonald great company, but look at Luckin coffee of China, great turnaround story , has 6000 coffee shops like Starbucks, new management, new auditors , profitable at store level, benzinga and Motely fool like it too. Can be a big winner. Do your own due diligence for Hugh profit.",0.9912
3760,Going to buy MCD fries now. ,0.1543
3761,Won’t go much lower. They have very tenured management. Little hiccup for the long term investors.,0.3125
3762,I usually eat very healthy but once a week eat salty and delicious MCD fries!,0.875
3763,"HERE COMES 200!!!!!! SHORT PG!!!! Same chart, same philosophy....overbought and WILL retrace!!!!!!!",-0.8106
3764,junk food stores should be banned,-0.6441
3765,The US Government continues to PUMP the US Stock Prices artificially via infinite margin trading desks to giveaway trillions of dollars in the form of Capital Gains!FED Must HIKE the rates by 3.5%-4% to stop Skyrocketing Inflation!National and Corporate Debt is now unbearable! The US Government MUST and WILL Hike Corporate and income tax rate by 200-300% very soon!The US Stocks are in the MEGA BUBBLE! The Market is INSANELY OVERVALUED and OVERBOUGHT!A HEAVY MARKET CORRECTION and FINANCIAL CRISIS is imminent!$GE $BA $MCD,-0.9866
3766,Wow..up over $7 today but after hrs down over $4?...why the sell after hours?....,-0.5697
3767,Back to 230,0.0529
3768,Mcdondalds Striking ? This can't be good news for mcd 10.00 per hour to 15.00 ?http://www.usatoday.com/story/money/2015/11/10/fast-food-strikes-begin/75482782/,-0.3143
3769,"2Q sales down 30%, MCD to close 200 restaurants.",-0.3106
3770,MCD QTR Pounder is favorite meal of DonTheCon. This stock has runway to fly and the endorsement from DonTheCon.Buy! Buy! Buy!,0.9089
3771,"My crystal ball calls this the GE, Woolworth, and Sears of fast food. Take profits and diversify out of this name.",0.6318
3772,Yum is eliminating royalties for many months. McDonalds not far behind.,0.1406
3773,Time for $15 Big Macs!!,0.2862
3774,McDonald's is giving free bacon today at 4PM (one hour only). What is the best way to get this promotion? I said one medium iced coffee and one McChicken. You pay two dollars and get a good meal with bacon.,0.945
3775,"listen, let me make this simple for everybody, McDonalds stock went up because of buybacks, so talking about how much they make on an egg Mcmuffin is ridiculous, people aren't to suddenly get the urge to buy more egg mcmuffins , lol",0.7855
3776,522 people in Western NY sickened by McD salads,-0.3972
3777,Why did $200 fail? Thoughts?,-0.5719
3778,Went to the Richfield Ohio store today. Horrible long wait in the drive through. Two cars pulled out of line. The weeds in the landscaping are two feet tall. The receipt was barely printed so I can't give them direct feedback. Mickeys is slipping. Too bad,-0.3831
3779,MCD CALLS UP huge from the lows ,0.4842
3780,"Retail will be dead as Trump and Head of CDC said, do not go out gathering",-0.6583
