,Recent headlines and conversations for MA,Polarity
1953,All of the payment stocks are green!,0.281
1954,target $450 raised today!,0.0787
1955,"@Ulrich - Maybe, maybe not. MasterCard is one of the best companies in the world, but it is also extremely overvalued. This weakness could simply be a rotation out of overvalued stocks into undervalued stocks.",-0.2331
1956,Based on a discounted cash flow $MA is reasonably priced right now https://simplywall.st/NYSE:MA/mastercard,0.5283
1957,Testing new lows again soon if the infection and mortality rates don't go down!,0.1585
1958,Going nowhere but down in rising markets after great earnings. Why???,0.8928
1959,Stay with the best of the bast global businesses and that’s MA & V!!!,0.5967
1960,"MA and V both have very impressive margins. Here's MAs: 100% gross margins, obviously due to zero COGS, EBITDA margin 63.95 percent, operating margin 53.15 percent, free cash flow margin 48.2 percent. So this company is a profit machine. Go home bears.",0.88
1961,500Coming,0.0
1962,Never in doubt baby. That card is swiped all day.,-0.2161
1963,Millions will loose their jobs in the next few weeks. This is far from over.,-0.3734
1964,294.50 support on it’s way back over 300,0.3767
1965,"It looks like MA is going to be next in China and join AXP. What is V doing, not even close?....",0.604
1966,"MA has crossed over into oversold, and is currently trading at favorable discount leading into next week’s Qtr Earnings report!",0.7646
1967,Does this stock ever go up?/sAdded a bit to my position here. Will continue to do so if it goes down further.,0.1198
1968,"I got in @ 149 right in the morning, could wait and get in lower but I'm happy anyway",0.7643
1969,"Love this stock, wish i owned more shares!",0.8815
1970,"Damn wish I didn’t buy last week lol. This thing may be headers much lower, Good thing this is a long term hold!",0.8312
1971,I use my card every day and that has not changed because of virus issues.,0.4824
1972,"1st quarter figures will be out around the 25th. Since the world has shut down. I would guess 40% reduction in transactions. Not good, stock will free fall.",0.5088
1973,Not now. Huge pullback,0.5665
1974,Waiting for $265,0.0102
1975,Will open high and experience pull back down to a loss today,-0.2671
1976,MA upgrade initiated by Seaport Global Securities at buy with $370 price target.,0.2953
1977,Nice little 1 1/2 percent gain so far here today. I'll take it! Beginning the climb back up to $360 plus I hope. Good luck all!,0.9693
1978,I lile this stock. +400$ here we come!,0.2887
1979,Green at closing again? Hope so...,0.2852
1980,Add 38 shares to round up.,0.5232
1981,no pop,-0.2121
1982,What's going on? I haven't seen this drop 10$ in one day in ages.,-0.1787
1983,New 52 week high. Nice!,0.6747
1984,Why is MA dropping?,-0.2184
1985,Just me.I thought for sure this would be at 380,0.444
1986,A Beat for MA predicted.... https://ca.yahoo.com/news/higher-digital-spending-aid-mastercard-131001069.html,-0.0458
1987,"The folks on this board are sheep. Every time MA is up, they think it is going higher. Why? Simply because it's up. Only a fool takes cues from price action.",0.3495
1988,Really think it's a bad decision to sell this stock before holiday shopping. Held my shares for many years and will continue to do so. Credit company stocks will excel for the holidays.,0.9244
1989,"We have bottomed out, I hope.",0.564
1990,Terrible market on many levels. Hold tight and don't sell.,-0.2418
1991,Strong Buy under $300,0.5546
1992,"Name me a better, more consistent growth stock?",0.7862
1993,"380 is top for next few months...take your profits now, and run with tech stocks...you will make a lot more profit",0.8272
1994,Sell while you can! Going down to 150$ to match PE 20!!!,0.5384
1995,"MA beats EPS 0,12$",-0.2563
1996,Alright what gives? Getting worried here now.,-0.0367
1997,what do all these new fintechs use? $MA $V networks,0.167
1998,MA is down 4.93% to 283.36,-0.4608
1999,Wake up guys,0.3981
2000,"So what’s going on here? Yesterday, they post great earnings, market up and MA drops. Today they are flying up. Really don’t get this —I had expected them to be up about 10 yesterday given their recent drop (for no good reason) from about 220.",0.8434
2001,"Added to my position at 144.29. No valid reason for this sell off, so may buy more if it goes down further.",-0.1027
2002,"An investment of $10,000 at Ipo would be worth almost $700,000 plus over $100,000 in dividends and growing. That’s the kind of investment that builds giant amounts of wealth. Only been in the market for a little over year and this has been my best performer by far, hope it continues.",0.9707
2003,We got $300 and now we need to close above.,0.3545
2004,Looks like online shopping has made up for some of the travel loss. Go MA!,0.5901
2005,"Just added to my position, thank you whoever sold",0.5994
2006,Ma overvalued.,-0.3169
2007,about time people realized selling MA down to $185 was stupid. Now lets get back to the $200's and make new high by EOY. Holidays are here and consumers happy to spend.,0.7058
2008,It keeps tanking and tanking. What kind of stock moves up 4% on one day and then collapses the next day after?So many week hands who bought in yesterdays short squeeze.Should go down over 4% today given what we have seen already in the first hour of trading.,-0.8126
2009,Damn. could have got in at $313.00. Got a feeling I can get back in lower before summer.,-0.5194
2010,"The fact that I just got MA at under 200 is absouluty amazing. By the end of the year with good earnings this will be sitting back around 215-220, and a year after that? 250-260 would not surprise me. What a golden oppurtunity to buy.",0.8802
2011,"Is it time to buy? or ,wait for after peak of spread ?",0.188
2012,40 P/E with 11% growth. insane,-0.1991
2013,"It’s been stuck in this range forever, come over to $SQ",-0.395
2014,"I Just read something about AMZN and payment system and am trying to understand better , so forgive my ignorance right now. To preface my question. let me say MA will go up and hit $290 based on this ER and overall strength of the economy, see my prior posts. Your opinion please on following question:""Does the announcement yesterday from AMZN about their emphasis on payments using Alexa and partnering with others companies to execute?""....it seems anytime AMZN sticks their nose in an industry it hurts the staples of that segment in response.",0.9262
2015,Bought more recently. $335 by the end of the year 2020,0.0087
2016,"MC need to announce something in crypto currency space, watch it go to 5K in no time",0.3106
2017,Strong Sell. Pullback coming.,0.7053
2018,What I need is for this to do the same trick it did last December.,-0.0191
2019,forever stock,0.1663
2020,"Briefly hit $400 early today most likely riding the Visa results to that new high, then dropped back down. With MA results tomorrow coming in, should get back and stay over $400.",-0.2467
2021,ma is going to $200 by next week.,-0.0351
2022,What a gift! These people print money...are you serious?,0.5096
2023,"What is the main important in business .. WIN .. this information won't affect this stock ! NTWKWatch fundamentals, earnings, Capitalization marketwatch all data, prospects, sales since 2014.Now it is the bottom chart ! $ 5 soon $ 9.95 ... Decade $ 1500 ! Comme in with the next winner.Time to joint the new mi$$$$$$cro$$$$$$soft software in the world, good luck an be happy, very happy",0.9787
2024,V reports in AH today!- I added to my MA position and am now completing my additions on the other half of the dynamic duo before the close!- What a Bonanza to have caught these stocks at HUGE discounts!,0.885
2025,"Market is too volatile and the Fed input were not that great yesterday, book profits and sit sideline.",0.7405
2026,Board gets very quiet on down days,0.2747
2027,Buy the opening dip on very small volume!,0.5405
2028,Nice move,0.4773
2029,How does this drop $10 in a day?,-0.2486
2030,Hit pre-pandemic levels and Europe hasn't even opened up yet!,-0.2366
2031,It fell because of Visa —being investigated by DOJ. Probably it was part of an ETF,-0.3398
2032,"Ok, $155 by friday! Lol",0.6816
2033,"I'll take a half percent gain everyday for the next 10 years. Kind of like I got with $ma for the last year. Slow, steady and strong brings the type of profits you can bank at leisure. Much better than trying to time flimsy growth spurts.",0.9661
2034,MasterCard overbought?,0.0046
2035,Final assault on $300 now underway. And sooner rather than later. Love this stock. Must own.,0.7036
2036,MA reached an all time high at 319.63,0.0757
2037,Everyone still bullish on this lol. PE ratio still awful. I sold at 300 a while ago and don’t plan to buy in until it goes to 200 .. yes 200 is happening with a recession on our hands,0.7296
2038,Horrible performance zero bids looks like 300 next,-0.1328
2039,Visa is better choice for now.,0.5801
2040,Earnings are going to be a miss. First reported.,-0.0847
2041,All this talk about bitcoin and it gets killed today. Look at the stead MA just do it’s work!! This is the play to be in! MA and V forever!!,-0.5975
2042,MA will exceed expectations,-0.2141
2043,Future proof!,0.1674
2044,"This is just a minor bump in the road. Don't sweat it, afterall this is Mastercard.",-0.3812
2045,Caught the drip perfect. 241.14 and loaded up again. MC and V are the best I have ever owned.,0.881
2046,About time it corrected. Long over due. Great stock and a life time hold but it has been up so much.,0.7405
2047,Buy & Hold Free Money,0.5919
2048,this is absolutely ridiculous!,-0.4026
2049,It’s time to buy this MA dip because tomorrow might be too late for this awesome business that will rule — along with V in the post pandemic world!,0.7482
2050,"@Nope:How does your comment relate to MA & V’s “awesome fundamentals “?*** Is MA in the business of manufacturing plastic?- It appears that you need to get your “wokeness” together, bra’ — to dispel more than a few misconceptions!",-0.2667
2051,"This crazy stock has gone up 30% since I bought it. Questions: should I take short-term cap gains on it, or hold it? Will this collapse during market correction? Small dividend doesn't invite a long hold if it's not going to continue to rise, but it sure has done well the past few months!",0.4514
2052,Overvalued,-0.25
2053,Where are earnings?,0.0779
2054,Overreaction. Their revenue was still 3.8 Billion Dollars for the quarter!,-0.2019
2055,Former vp of $ma and $sq are part of $ftocNow! Fintech 10x here,-0.1123
2056,Here comes $ 209!!!,-0.262
2057,Some big short somewhere is losing his BEHIND and posting everywhere!!! LOL!,0.4586
2058,"Oversold. Great buy here! Future looks bright. With vaccine coming out and increased travel, this will go up.",0.957
2059,Why did Mastercard suffer more than Visa in the recent dip?,-0.2678
2060,purchased at $78keep on going,0.0205
2061,Unsustainable,-0.25
2062,Anyone have a reading on what all these new players jumping into FinTech will ultimately mean for companies like MA and V?,0.1407
2063,does this market rally keep going?,0.0308
2064,kicked my self for not buying last week in the 260s. Now's time to buy back in,0.3943
2065,Like I mentioned in another post. People are still using credit cards. No doubt. People have credit card problems and always will especially in times of need liek now. When you don't have a savings you will always turn to the plastic.,0.2874
2066,High volume and down huge. Tomorrow another big down day.,0.4393
2067,MA reached an all time high at 239.50,0.0757
2068,"don't be afraid of MA - spent 89,000 in 2010, up 1,662,% today! Avg. cost $22.58 per share!%",0.408
2069,good earning from Amex should bode well for MA,0.5554
2070,WHAT'S GOING ON WITH MA & VISA?????,-0.2413
2071,I’ve been really disappointed in MA and V. Both have been stuck in mud for a while now. These two stocks should be way up for the year?,-0.2388
2072,Buy at $225 by EOW,0.3637
2073,Reason for pop in MA & V is they are raising their transaction fees for merchants shortly..,0.1568
2074,Did I not say 400 by summer ,0.0498
2075,Could we get a little sunshine in here ?,0.4618
2076,"MA & V never stay down for long!- Today was a great chance to load up all the way to the closing bell !!!*** Look out for the rebound as early as Monday!- The U. S. Economy is totally primed to take off, and “the dynamic duo” will be leading the cavalry!- What an awesome opportunity to buy these great businesses at fabulous discount prices!— Today was a MA & V Bonanza!!! ",0.9732
2077,"RBI bars Amex, Diners Club from adding new customersMumbai: The Reserve Bank of India (RBI) on Friday restricted global card networks American Express Banking Corp. and Diners Club International Ltd from onboarding new customers, citing non-compliance of local payment data storage norms. “This order will not impact existing customers,"" the regulator said.*** Advantage to MA & V!",0.7198
2078,"6.6 million more people loose their jobs this week. CarMax closed 40 stores 15,000 laid off. Market goes up? Like a puppet on a string.",0.591
2079,Lol here we go again,0.4312
2080,Haha it’s still well overpriced with current economy. Will test the low 300s and even 290s. Wait to buy 100%,0.3804
2081,A buy here,0.0888
2082,just turned negative.....lost all days gain. Why?,0.5991
2083,"$151.49 to under $149 now. LOL. Wall St Crooks. Meanwhile they keep running up FB, APPL, BABA. Got to love it lol. SMH",0.9195
2084,"Next stop, $350. All aboooooard!",-0.3827
2085,Wow the 200$ support just broke!!!! ,0.8412
2086,RBC up grade of MA: to $412 from $350: “based on travel / projected consumer spending — maintains outperform rating”.,0.0293
2087,$MA Target Raised by Deutsche Bank Buy USD 383 » USD 420,-0.5116
2088,Incredible comeback today by the Rolls Royce of Fintech. Any glimpse of a pullback and the buyers come storming in. Fantastic stock to own that just keeps getting stronger. Enjoy! :)),0.9591
2089,Looks like strong support at 274. Hope it holds.,0.8862
2090,$PAGS suffering just like many other payment stocks. out of favor at the moment with the big guys. look at $V and $MA. two giants with unquestionable solid fundamentals and both basically flat in the last 3 months. market rotation at its bestI will continue to buy this dip,0.8361
2091,g ping higher,0.1947
2092,Hi I think it's goes $200.,0.0363
2093,"PE Ratio of MA is till very high. For those so sure we're going to 400 soon, beware.",0.3892
2094,It is back to the value from end of July. Awesome.,0.7741
2095,What's happening to MA after-hours? It's down 2.04% as of 3:17 p.m.?,-0.504
2096,We need a bit of a breather as does the entire market. Stocks are way over bought. MA will head back to $265-266 and then head to new highs again.,-0.291
2097,Looking for another buying opportunity soon. My guess is $138,0.7
2098,V and MA are the best stocks to own for reliable long term gains.,0.8297
2099,This should be up 2-3%!,0.3331
2100,Kind of thankful for this virus it really shows what companies prepare for things like this and what companies don’t. $BA $WMT $MA $JPM $GM $TSLA. Quite laughable how these company’s don’t have security nets for pandemics and international emergencies you would think they would have some way of maintaining a stable sell to buy rate.,0.9594
2101,Buy and forget it safe invest,0.4236
2102,Huge impact with slowing economy will be oversee for MasterCard,-0.2963
2103,any news went up 2.75 after hours,0.255
2104,Huge buying opportunity,0.7351
2105,"Mastercard keeps going higher and higher every day. The 6 billion share buyback program is in full swing. I feel sorry for anyone who has not bought Mastercard shares. Sitting on th sidelines while watching Mastercard rocket upwards must be very, very difficult for those who do not own any shares.The train has officially left the $360 station, sit back and relax and enjoy a martini. Next stop is $370""All Aboard""",0.9738
2106,SANTA RALLY!!!,-0.321
2107,Guy adami from CNBC said to sell MA!,0.3638
2108,I'm just looking at the dividend payout for Mastercard. To me it's not that appealing. What do you think?,0.717
2109,down 3% on good news,0.352
2110,https://www.tipranks.com/stocks/ma/forecastSTRONG BUY,0.3079
2111,Stock is in breakout mode as predicted on here 9 days ago.,0.732
2112,"In the interest of truth in advertising ,Mastercard and Visa should label their products 'debt cards'.",0.5402
2113,this stock is no good...people are excited at 277...we bought at 293 seeing the target at 310....?????,0.3753
2114,I keep reminding myself that I always sell puts on stocks im not afraid to own. I definitely will be owning some MasterCard come Friday. I just don’t like being in the hole as much as I’m gonna be. That’s ok it’s like real estate when you buy a house you always think man I overpaid and a few years later your sitting on tons of equity,0.9389
2115,More lockdowns and business closures = eroding economy and MA share price. Buyer at 280.,-0.6095
2116,"That volume at 195 was huge, big buyers stepped in",0.4966
2117,It seems $390 is being a stubborn level. Break it now! So we can get a run over $400 next week going into ER.,0.4652
2118,Not a good sign that every time we rise the sellers come in immediately.,0.5802
2119,Still waiting for $300? Enjoy time when you can buy below $300. Don’t rush to fast.,0.4754
2120,MA finishing of a power rebound day!!!,0.7139
2121,MA & V are both on sale in the teeth of this mostly “digital shopping” holiday season — where the dynamic duo will be the primary beneficiaries — because cash is nonexistent in online shopping!,0.8497
2122,It needs to get back to $800,0.068
2123,SQ: $130 EOY!,0.4537
2124,Oooof. Look at this sell off after this dumpster fire of a rally,-0.5228
2125,"For how long will the US Government continue to PUMP the US Stock Prices artificially? Everyone knows that the US Market is in the MEGA BUBBLE; it is even more overvalued than Tulip Mania Bubble! The US Stocks are INSANELY OVERVALUED and OVERBOUGHT! The Valuations are impossible to justify!For how long can the US Government run this fraudulent Stock BUBBLE, while Corporate revenues are tanking, Corporate and National Debt is Astronomical, the Valuations are beyond insanity, Political polarization is at max, there are ongoing and upcoming wars, the real resources are limited, Economy is Collapsing, Competition is intense, the Stock Dilutions are at record highs, everything is getting worse, China, Russia, and many other countries are set to ditch the US Dollar as an international reserve currency. Now there are 100,000s of companies worldwide competing for $1 revenue! The US Companies that barely generate revenue of $1-2 million are trading at $50-60 Billion Market values, while in Asia, the same companies with better fundamentals, 100 times more revenues, are trading at 99% less market value! The US Company valuations DO NOT MAKE Sense at all! Why would one invest in US Stock Tulip Mania while he/she can buy the 1000 times better company share for a 99% cheaper price? The US Stock Market is a MAJOR PONZI SCHEME designed to patch fraudulent pension systems in the US temporarily! There is NO PROPER Revenue Collection by the IRS since 2016. Taxes are extremely Low, and Nobody is paying custom duties! People want more free money without working, more free checks, more capital gains, more stock hypes every day! This fraudulent ""no need to work"" policy of the US Government will END TERRIBLY very soon! Inflation is skyrocketing, but the Government is lying about inflation! $AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9045
2126,"There's word on the street that a large group of consumer debtors may just stop paying their credit card bills for two or three months. How do you think this will impact MA and other financial institutions? I heard this was going to take place in the past, but it never materialized. I would appreciate any thoughts....",0.7561
2127,Holding long! $PYPL $MA $FINX $V. LETS GO!!!,0.7136
2128,Is there any news on the DoJ investigation today? It's really bouncing.,0.0688
2129,Can someone explain why there is such strong selling going on? Is it the trade war fear?,-0.4058
2130,There she goes. Going below $300 today,0.1948
2131,A small cap pays. Also good,0.0579
2132,I don't get it.MA is much better than VMA should be 350 by now.So insane an manipulative,-0.066
2133,"Tomorrow will hit $200 again, I will buy more",-0.0272
2134,"Don't let the profit-taking today bother you. What a great report ... the long term trend is all UP. Put your shares away, and forget about them.",0.8873
2135,"So here is the deal.........next week is a game changer week and the beginning of the rebound. Here is why my belief is bolstered that we are at the bottom and near the end of this crisis;1) next week we will have more testing which will increase the count BUT will significantly lower the death rate2) next week is the second week of the 15 day self quarantine, this will get lifted in many areas3) the congress will have passed immense spending/relief bills to help people and businesses4) money from MM's will begin to funnel back to stocks from their heavy cash positions5) other countries like France, Spain will start to use the new drugs and will show great improvements on virus6) Trump will push the drugs that are showing promise, these are proven drugs already in use for other issues7) announcements will be made on back to normal schedule8) Trump wants to be proven Right on this hopeful cureThen we get back to pre-virus levels. Good Luck!",0.9695
2136,"JP Morgan credit card sales up 13 pct, bodes well for MA",0.6741
2137,with unemployment down... wages up... the young folks are better educated...and Mom and Pop has always give them the best... SO CREDIT CARD USE WILL SOAR! Spend that money ... people.... spend that money!!!!!,0.868
2138,"Thinking if the Republican s keep the Senate, the markets will go ballistic.",-0.3649
2139,MA IS EXTREMELY BULLISH TODAY!!! GO MA GO!!!,0.393
2140,Not today $300. Price overvalued.,-0.0491
2141,Do people realize how stupid they sound when they say “this stock is manipulated because it hasn’t gone up in a straight line with no blips and outpaced it’s earnings/revenue growth”??,-0.4124
2142,lets all trust trump and our govt get ahead of this virus and eliminate this threat,0.1473
2143,What a finish! Tremendous pent up demand for MasterCard. Upwards and onwards amigos!,0.6885
2144,"MA: Dollar been strong , could translate to POOR earning number for MA",-0.5988
2145,going down to 269...sell sell sell...buy back at 269 tomorrow,-0.1291
2146,"The GRIM REAPER is talking about ""our dark winter is still here"" ""worse before we get better"", ""vaccine plans are dismal failure"" and the usual ""empty chair at the kitchen table"".No mention about modeling successful States like Fla, So Dakota, Texas etc. Just open the businesses and economy, let people work, let them earn and they will spend. That is the only thing we need to do and stop trying to have government borrow its way out.If we open up, people will spend again and all lives will be lifted..........and MA and V will rocket.",-0.5558
2147,Closing $269.25,-0.25
2148,$v and $ma have low dividend yields and have a lot more room to grow. These are great long term stocks that are hardly talked about,0.8109
2149,Profit taking.,0.4864
2150,Did MA announce any buyback in the Conference call ?,0.6717
2151,buy more now,0.1587
2152,Its tanking hard now. Failed breakout at the downtrend causes technical selling.,-0.6211
2153,not a Trump fan but been waiting for this since 2012 when the Chinese promised the World Trade organization to let MA and V into China.,0.7654
2154,Up or down tomorrow?,-0.0661
2155,"Mastercard: Growth Unimpeded, Stock Is a Buy According to ""The Street"" today!!! I expect $ 280 or higher by today's close!!! GO MA GO!!!",0.532
2156,record high tomorrow,0.3682
2157,by the end of the week 265 plus minimum. my honest opinion. based on technical research naturally and fundamentals...,0.8053
2158,"Anybody think we will hit a new all time high after earnings tomorrow? That is entirely possible, in my opinion.",0.2628
2159,Great Day MA! Well done!,0.7123
2160,"I am confused by the decrease in MA price today. This stock will reach $ 220 by December 31, 2018!!!",-0.5806
2161,Great opportunity to add on today’s volatility in anticipation of decreasing selling volume from profit taking —. with the requisite MA rally to new highs off these lows!,0.8647
2162,"BEFORE COVID-19 unemployment was at a all time low, but now it is roughly 30%. It appears it will take a long time for those laid off to find another job quickly. Look at Hertz just filing for Bankruptcy! The stock market was extremely valued before COVID-19 hit globally. Now the US stock Mkt is just back to pre Covid levels, meaning overvalued again.",0.9282
2163,"Very, VERY “paltry volume” in the early trading leading the decline in V & MA!***Play the rebound in these stocks of two of the greatest businesses of our time.",0.735
2164,cross border volume still an ongoing problem,-0.2514
2165,"Tons of flights cancelled. City's #$%$ down, staying in there houses... This will get worse. No credit card transactions. This has lower to go. I'm looking for a good entry.",-0.5455
2166,Drop like a rock,0.5919
2167,Poised for a possible breakout. Should see some catalyst from earnings coming up,0.8884
2168,MA is very strong it's going shortly to 300+,0.3816
2169,When will we hit $400 and then $500?,-0.0505
2170,"All time high coming compadres. A must own stock for any balanced and diversified portfolio. We don’t care what you buy, where you buy it or how much you pay. Just buy it and whip out that those interlocking circles. :))",0.9335
2171,Due to political destabilization in the country expect pullback.,0.0762
2172,Today will be next good day for MA ! Keep growing !,0.5837
2173,Going back to 52 week levels. Thinking around $220ish. Economy is in terrible shape. Down down we go.,-0.722
2174,V flying right now,0.0139
2175,Simply irresistible. :)).,0.3736
2176,Any one know of a logical reason MA is dropping today? Does not make sense to me with all the good news coming out about economy,0.5673
2177,$380 tomorrow plus dividend reinvestment!! Let’s go MA. Time to run wild!!,0.6569
2178,Keeps going down.,-0.242
2179,Look at MA rally!!!,-0.5501
2180,I'd like to thank the shorts for holdin out a little longer ; ),0.7739
2181,good buy,0.53
2182,One of the few stocks in my portfolio that are green today. Growth investing is taking a kicking,0.6969
2183,Friday market will go down. Buying opportunity!,0.4708
2184,$2.15 v $2.01 EPS.,0.0
2185,great well managed company. nowhere to go but up with this stock. good luck to all MA investors!,0.9222
2186,MA is rallying!!! It is bullish!!!,-0.3362
2187,I am STRONGLY BELIEVE IN MASTER.,0.2692
2188,https://investor.mastercard.com/investor-relations/investor-news/press-release-details/2020/Mastercard-Updates-Second-Quarter-2020-Operating-Metrics-06-24-2020/default.aspx,0.0
2189,"well, this past months earnings are gone. buy if you can.",0.5741
2190,BUY BUY BUY !!!,0.7675
2191,"$ATOS, no volume, no pattern, hanging out around 2.90, the pivot point, if you are bored these are some trade ideas:(I'm not a professional advisor and these are my personal ideas, could be 100% wrong )FYI: weekend market debts to us,Tomorrow $SPY and $QQQ are green, $SPY Calls option, 402.5$, 26 March$QQQ Call options Strike 325$, 26 Marchswing trade, but whenever you feel good sell it, $OXY Call options, 9 April, Strike 31$Call options, $BA, 16 April, strike 300$Swing Call options, $MA, Strike 380$, 26 Aprilbuy shares or options and don't be greedy. Enjoy",0.4383
2192,Is the earning price already baked in?,-0.03
2193,"MA is one of the great global busineses on the Planet, and is at the forefront -- along with V -- of the trend towards cashless transactions!- Investors should remember to focus on the awesome ""business of MA"" for great gains!",0.9489
2194,The comments really die here when we drop,-0.7167
2195,Up over 4% today at 12:30 PM. Another good day for MA.,0.6568
2196,Why MA will close positive today?,0.3427
2197,Classic ...some profit taking and goes green soon after ...LOVE MA !,0.2406
2198,Smart investors are buying up MA ,0.5433
2199,Better than expected earnings. $315 by the end of this week!,0.5869
2200,It's just a better reason to move your manufacturing back to the U.S.,0.2352
2201,Are my 3/13 245p garbage?,-0.0629
2202,where can we get more info on puts for master card..help,0.3417
2203,Short MA now?,-0.6225
2204,I like visa better,0.6684
2205,MA and V are must owns for any growth portfolio. They will continue to deliver big capital returns over time. I own both stocks at cheap levels and am still not finished counting the profits.,0.7337
2206,"309... if it closes the month below that, LOOK OUT BELOW, very big drop is coming",-0.5115
2207,Down $2.50. What gives?,-0.2108
2208,Buy MA and GH.... GH is going to double soon.,0.2001
2209,Sell at high price! If $300 is roof sell now.,0.5358
2210,"very low volume and down $6 from today's high of $282. I see no reason other thanMA guiding this holiday season number of 3.1% vs 5.1% from last year, as there are less days this holiday season. I would believe MA had this number in their ER guidance. Tempted to by more here but in this crazy market I'll wait a few more days if MA drops $270 or so.",0.1273
2211,Morgan Stanley raised its price target on Mastercard to $444,0.288
2212,lorrie I did buy MA at the IPO and still own it today,0.3697
2213,SHORT SQUEEZE just starts to force the bears run. It is amazing to see MA moves like rocket today.,0.6743
2214,"So. If I sell at 281 and then buy back in at 270 or something like and keep doing it, I can increase my holdings by 20 or so each trade. Eventually I can accumulate more shares instead of just holding onto the ones I bought high. Week by week. good idea? or bad idea?",0.9441
2215,"oh boy, this was like the perfect storm. market sell-off + missed results. I will load more. bring it!!!",0.8268
2216,Super strong and perspective stock. Will jump to 500 in few years and 1000 USD from 5 to 10 years. Mark it.,0.8077
2217,MA needs to split the stock. Don't bother telling me it doesn't change the value. Splitting the stock helps an individual to buy 100 shares of a great company. Splitting 3 for 1 would be nice. 4 for 1 would be better. Not many can afford 30k for 100 shares.,0.9625
2218,MA is down 6.23% to 213.74,-0.4608
2219,MA has averaged a 45% return the last three years. That pencils out to a double every 1.6 years which is incredible for the 10th largest company in the USA. Lot more to come in coming years too. Just getting started. IMHO,0.5302
2220,Winnie 9am,0.0
2221,keep going more than $200 dollars,0.1777
2222,Why down more than visa,-0.1251
2223,Short here. Coronavirus coming to US.,-0.4838
2224,"Terrible trade on my part from last Thursday when I bought puts against MA. From now on....when I say go long, go short. If I say go short, go long. This way, you should definitely make some $$$ LOL!!",0.5533
2225,"Market up, $MA down, market down, $MA more down",-0.512
2226,Nice steady climb. Onwards and upwards,0.8909
2227,You guys are so funny. It just goes with the market tides. The rest is #$%$,0.8626
2228,looks like a bit of insider trading with that 6 pt move on one day last week.,0.6908
2229,Hey not to get off topic but is your last name Juliano,0.5592
2230,Seeing as it will never get above $350. I want it to go back to $200 like last March. So I can get in on the repeat cycle back to $320.00,0.5805
2231,MA is great stock. But it’s already fully loaded for 2019 year.,0.3372
2232,Looking good pre today!,0.6525
2233,Going to drop around $300,-0.3775
2234,$280 is so close I can taste it. No stopping this freight train. THE Fintech to own :)),-0.192
2235,"I personally would take profits here. $MA is a great company, but it’s overbought. Just my opinion. Nothing goes up forever.",0.8246
2236,"""Most of the major BNPL services are primarily linked to debit cards so they are generally good for Visa (V) and Mastercard (MA), not bad,"" Lisa Ellis, analyst at MoffettNathanson, told Investor's Business Daily. ""If BNPL really takes off in a large scale, it is primarily bad for the credit card issuers — particularly credit card issuers that appeal to lower-FICO consumers.""",0.6715
2237,safe investment for people getting in ...maybe? those invested in ...no chances of a profit for next 12 months....overbought and oversold ...going the shopify and netflix way ....,0.8549
2238,Mastercard is down 4.95% to 342.86,-0.2462
2239,"Been long MA and V, but man are they frustrating",-0.3932
2240,EUROTRASH STORY'S: Mastercard battles return of $19 billion UK class action.,-0.0291
2241,MA is top holding in myportfolio & not really impressed with its performance last 4 months.,0.7284
2242,MA or V? which one is better?,0.4304
2243,"Mastercard EPS beats by $0.18, beats on revenueMastercard (NYSE:MA): Q1 Non-GAAP EPS of $1.74 beats by $0.18; GAAP EPS of $1.83 beats by $0.25. • Revenue of $4.2B (+5.0% Y/Y) beats by $150M. • Gross dollar volume of $1.71T and purchase volume of $1.29T.",0.0268
2244,OK. I think I've got a handle on this. Just put in an order for one share with a limit price of 280.00. That should hold it.,0.8927
2245,Mute that clown Ulrich. This is just wall street's taper tantrum on selling growth names and rotating into value. There is no recession coming for another 5 years atleast. Buy and hold solid companies like V and MA and one will be rewarded in the long run.,0.8731
2246,The big winner from Apple’s presentation yesterday was (drumroll).... MasterCard! On to $300 amigos!,0.7553
2247,Keep Ma and V. No reason to sell,-0.3949
2248,Rising bottoms for MA!!! GO BABY GO!!!,0.6125
2249,So with all the good news why are we so flat today?,0.557
2250,"Holly C@!$, pre market down 18. After yesterdays landslide!",-0.2538
2251,MasterCard dying slowly.,-0.25
2252,Heard of ULTIMATSTOKCALERTS ? They have been killing it and just send me a huge winner .,0.3353
2253,"MA is trading in way, WAY oversold territory — in gift horse  zone!!!",-0.3264
