,Recent headlines and conversations for UA,Polarity
3802,Been dead money for a while. I dont think being in Kohl's is really going to help the bottom line. This is a 10 year hold for me because I dont see how I'm going to see $32 in the near term. However will look to add more and are hoping for entry point of $16-17 to lower my average.,0.3523
3803,"All analyst action lately misleading all. Here is real reason.I have good amount of Tax loss last year. So in november, I brought bunch of In money calls. And Mid december I sold stock. Workout very well because price of stock raise quite a bit between november to December. In order to protect my gain, I sold bunch of different Calls expiring jan 19th. So I can claim tax loss without issues. Now nearly 10 of those calls got excercise ahead of time.Next I get call from my broker cover that short immediately. I force to buy it back and give up all my tax loss benefit for those 1000 stock which was biggest of all tax loss benefit.All these analyst working for those big player who shorted and now can't find volume to cover at lower price. Period.This is how badly Enitre stock market manipulated. Analyst will upgrade stock that all time high and will downgrade stock that all time low.$FSLR where I make most profit last year. I started buying $35 range and analyst keep downgrading, last downgrade put price target way below cash this company has on hand. Now this is company was still profitable even when most of other solar player can't make profit. Has history of better cost control and profitability yet they assign price target that below unrestricted cash on hand almost 50% below book value. Now that stock gone from $25 to $70+ since that last downgrade.",0.9858
3804,"Given the Curry 4 roll out is Friday, the stock should be rising.",0.6523
3805,"Eight years of a leftist creep in the White House who pandered solely to the creeps of the nation, legal and illegal. Now, the Creeps are deservedly in an animal like panic.",-0.6477
3806,I think this company is one to buy and hold long the best growth stock over 10 years period the brand won’t go away,0.921
3807,I love this stock as a long term play. I live in West Africa and see all the kids playing soccer here wearing UA gear (much more than Nike or Adidas). Huge overseas growth potential and a quality product. They grew too fast and just learning how to be this big and expand efficiently. They'll figure it out soon and this stock price will be in their rear view mirror.,0.9836
3808,Crushing the resistance level today!,-0.1067
3809,"Under Armour, Inc. is expected* to report earnings on 05/01/2018 before market open. The report will be for the fiscal Quarter ending Mar 2018. According to Zacks Investment Research, based on 17 analysts' forecasts, the consensus EPS forecast for the quarter is $-0.05.",0.5775
3810,Down premarket,-0.2444
3811,Slow down this rise my heart can't take this.,-0.1625
3812,bought some today. there's gotta be substantial sales boost off the Nike news imho,0.6861
3813,Thoughts on the new ad campaign??https://www.bizjournals.com/baltimore/news/2019/09/10/under-armour-kicks-off-football-season-with-new.html?ana=yahoo&yptr=yahoo,0.2811
3814,Worst timing and first bad investing decision to buy at 24.90 before earnings. International Development starts with soccer and that takes time. I still can't see the bottom at the bottom of the well since pe is too high for guidance I took my remaining 75% of what I put in and into SHOP to make it back.,0.8319
3815,can down a little more!!,-0.3533
3816,In the short-term UAA does not seem to be like a good trade. the other week awesomeSTO-CKS alerted this company i think. google them .,0.6794
3817,2 days in a row that she shorts are getting SQUEEEEEEZED! I love it!!,0.8037
3818,UAA is down -4.92% to 19.91,-0.2462
3819,I still love you UAA,0.6874
3820,I’m in the market for some Under Armour shirts. This company will survive.,-0.0074
3821,10k is okhttps://m.youtube.com/watch?list=RDJQbjS0_ZfJ0&params=OALAAQE%253D&v=JQbjS0_ZfJ0,0.0
3822,U.S. Special Forces Operators are transitioning to UA tactical gear.,0.4873
3823,With a show of thumbs up- how many of you think Mike is a fat loser that lives in his moms basement and is having a gay affair with John?,-0.0713
3824,"Great products, I see UA merchandise being worn all over the place.But the business is being run about as poorly as the Trump administration.What a train wreck!",0.1009
3825,Buy before Golden States wins tonight!!,0.8035
3826,Aha!,0.5811
3827,#$%$ is going on UA,0.0273
3828,Onward to $25!!!,0.2323
3829,Any news? Why the POS goes up today?,0.462
3830,"Couple of thoughts here:1. Have you seen the resale market for the Rocks UA shoes?2. The above along with the Curry4 are certain to make positive impacts on their shoes sales moving forward***Shorting a stock that has 25% of the float already short is a risky proposition. My take is you will see a short squeeze in the next week or so. All of the negativity from the Motley Foll (multiple articles a week) are talking about things people already know and have priced in....what is NOT priced in is the sneaker division trouncing last years sales in the coming quarters on VERY low comps. Football season is also a good reason to go long....UA is very strong....buy great companies low for the spike......see TGT, WFM, SBUX etc....yes they are not what they once were, but when you buy after they got lambasted you got a 30% return in very short order.",0.8822
3831,UA reached an all time low at 7.17,-0.1847
3832,I will keep saying to everyone...this company going to be bought out..we will see,-0.0086
3833,"Just remember, you don't lose any money until you sell...or they go bankrupt.",-0.0601
3834,John is like morthttps://m.youtube.com/watch?v=p-ID6-6cd5w,0.301
3835,There is also a legitimate chance of UA going under.,0.4979
3836,UAA is down 8.99% to 10.42,-0.2462
3837,UA will go up big soon,0.2134
3838,"After hours someone sold or bought 15,000 at 12.7496... ?? or its just short covering?",-0.4749
3839,To buy in.....?,0.1287
3840,"Needs 33% haircut from here for forward p/e of 12 ,$7 a share might be a buy but things could look must worse after terrible 4th quarter.",-0.8588
3841,12 low 17 high in 6 month,-0.0367
3842,UA is toast.. Going under $10,-0.0616
3843,lost alot of money on this stock. Company not doing anything internationally to get their products out there to the consumer. Is this another LA gear? Company doesn't want to spend money for the long term. And no dividends.,0.5893
3844,Where are the bashers? Don't leave us now! We will miss you.,-0.21
3845,Go ua to 20s in no time,-0.3176
3846,"lower prices for goods, lower SGA, lower pay offs to athletes = lower stock price. See you all at $5. IMHO",-0.7874
3847,nobody want thie rstuff andmore their stuff is not cool anymore,0.5389
3848,Not Touching with a ten foot pole after all the Boycott News out There! Wow!,0.595
3849,"Are you kidding me? Tanger outlet in NJ line was around the corner , costumers coming out with 2 hands holding bags, the way I see it $40 by the end of the year.",0.747
3850,Get out now.. Sub $10 tomorrow..,-0.2149
3851,Just like GoPro/CMG..this will probably dip again before $25,0.5951
3852,10 year low ouch,-0.6761
3853,UAA is up 5.66% to 23.13,0.1818
3854,"Just can't catch a break here. Is Kevin Plank going to do anything other than collect his salary,benefits,and worthless stock options???",0.2547
3855,So how soon do the tutes figure out that Plank cannot pay his debts. They are the only ones holding up this loser of a company.,0.5375
3856,closing under $10 today,-0.2346
3857,I won’t support anything that deals with nfl. Sit on nation anthem go for it. You just told all veterans to f off,0.7075
3858,Wiewawooowa,0.0
3859,Very encouraging earning report released this morning.https://finance.yahoo.com/news/under-armour-reports-rise-fourth-121258979.html,0.6223
3860,Is that the same John that i have already muted?,0.4933
3861,chart is screaming for 18-19 range - technical trading.17.1+ close and boom,-0.0305
3862,"The Fed has already announced that they will be raising the interest rate 3-4 times this year. If UA cannot pay down their billion+ in debt today, how are they going to sustain the mounting debt going forward? Hype, logo, and branding do not pay the bills. Your continuing investment in this loser is going down a rat hole. And you all have given up your voting rights to stop this mad man! Wake up!",-0.7795
3863,Is anybody forgetting steph curry coming back,0.1139
3864,Target is 20.94 today,0.0036
3865,is this still part of the dead cat bounce?,-0.608
3866,"They need to change they designers, they can’t survive with ugly shoes and clothing",-0.3637
3867,$8 price target. Just unreal. $8 frickin dollars.Wasn't this stock once above $50? Thanks Kevin Plank - inarguably the very worst CEO in all the S&P500. Let me feel good for one second - KEVIN PLANK - YOU SUCK!!!!!!!!!!!!!!,0.7793
3868,wow sunk .54 in last 20 min. of trading day. that was strange,0.4201
3869,"The P/E seems high but market cap at $8B? They will have to go after Margin at the cost of Revenue and they won't be able to leverage fixed costs, so margins will further decline. They are over valued still.",-0.7624
3870,Nice two days of trading this is setting up to run,0.7832
3871,This is what happens to you when you go against the TRUMP Train!!! #MAGA !!!,-0.3692
3872,Buy now and this is bottom,-0.0061
3873,And the hacking thing only gonna get worse just to make sure everyone gets an iris scan.. full control! If your freedom needs to be sacrified for your safety you will lose both,0.849
3874,We need to root out those ANALysts who badmouthed UA - like investorplace(junk) - put their names on a website to warn people away.,0.6596
3875,Terrible management .,-0.3642
3876,"Curry 5's are ugly sneakers, too expensive, and nobody is wearing them!",-0.5433
3877,LOL..what a head fake rally yesterday. Feel bad for those got caught,-0.7917
3878,ok John we all know your a short but dam dude trying to post nothing but negative news isn't going to work buddy ...UA is on it's way up .. GET USE TO IT !! just take your loss and go buy another stock ..get off of here ...,0.8483
3879,Will UA go up,0.0994
3880,Really odd - the ANALysts worked together and there are no rules now,-0.432
3881,Prepare for dilution!,0.1499
3882,"Sec looking into AH trades, all from same account",0.4089
3883,Roller Coaster of the year award over here.,0.6682
3884,"GOP Senators Embrace Awkward Russia Probe That Could Hurt TrumpSee you later Trump, you #$%$ weirdo. You'll be impeached for treason.",-0.871
3885,Hey rosee....I love posters who always bragg and tell us what we should have done...after the fact!,0.8195
3886,UA is down 14.97% to 16.08,-0.2462
3887,UA is down 4.92% to 19.34,-0.2462
3888,TRXC FDA APPROVED. HUGE POTENTIAL FOLKS. I never invest in clothing industry,0.9259
3889,unbelievable. it was such a promising company,0.6163
3890,The Rockdelta shoes is selling out fast,0.0606
3891,Under armor is the biggest lower ripping people off for years now it’s payback time,-0.2443
3892,what's the difference btw UA and UAA? Which one should I choose?,0.3309
3893,"Can't beat Wall Street at its own game. They have been heavily sorting this stock for awhile now. Company is still growing and making money. Hopefully, the company can find another growth engine. Until then, the shorts are in full control.",0.919
3894,UAA reached a 52 Week low at 11.69,-0.1464
3895,"When the CEO decided that he needed more control and made different classes of shares, that was my clue to get out. He didn't want any extra input.",0.5986
3896,i love their running clothes though ... pretty much i bot every running gears from them (not shoes yet) - I don't like Nike or Addidas,0.8919
3897,"I'm not really into technical analysis, but it seems like every time this thing gets around $22.00, it either stops, or pulls back ?",0.4306
3898,"Big Question is where does this open at tomorrow? EBTI said to drop 38% in 2017 so this is far from over,expect another 15% drop to at least around 16.34 then overshoot lower as the shorts are in control to low $14's.",-0.8012
3899,Next resistance at 29.09. Still just a 10B company...,0.1044
3900,Too expensive!!,0.1502
3901,"UA Down again today ..... All indices are up .7% ... Europe and Asia were up 1.1%UA has lots of Administrative / Distribution problems to go with Poor Quality, Terrible Fit and Out Dated Designs.No positive news for UA in the near future ...... Sell Now .... Buy it back when it bottoms at $13Get out now .... Don't be a Bag Holder",0.2928
3902,Why up so much today?,0.3025
3903,And the shoes after such a succes with ghe hovr onlu up 1 or 3% is a joke to me,0.4865
3904,think we see 16's next week? looking to reduce my cost basis of 18.55,0.0145
3905,UAA reached a 52 Week low at 8.00,-0.1464
3906,"Their thing is going straight outta business. Remember starter? How about Reebok? This going the way of the failed apparel companies, with too many receivables, too much inventory, and a boatload of debt. See you at 0",0.4931
3907,Brady headed back to the Super Bowl... UA Athlete.,0.618
3908,I think UA is in trouble....,-0.0118
3909,Good thing we didn't listen to John. Right guys ;),0.5865
3910,"5,000 under $10 here will double my money in 2020",0.1254
3911,"6billion? wow, this is going to $9.99",0.5955
3912,Well hello mr ups man! This is nsips reckoning! Southpark very funny,0.7231
3913,"Martin just talks, show us a printscreen! All you said all the times youre in over a million now",0.2645
3914,wtrh buy it,0.1415
3915,Another Cramer Top Pick! With more loses to come in 2017 stay away from this puppy!,0.3477
3916,TAGG green day easy $$$,0.4991
3917,"Sold my shares today. I was simply looking for an earnings bounce and i got the bounce before the earnings. May regret it, but I see too much optimism on this board.",0.837
3918,Looking good so far!,0.5585
3919,"Joe Terranova(CNBC-business news fame) once reiterated that the SWOOSH was the Father's sports icon and his young sons buy almost everything that is made by UA and UAA. Therefore, the latest and greatest to the youngsters is now anything Under Armor""",0.917
3920,watch it rise now,0.1717
3921,Adidas CEO's comments appear to have helped UA's share price today. More than our CEO has done to help!,0.7704
3922,And how about the shady guidance going forward? At least you won't get sunburned!,-0.0829
3923,UA is up 7.44% to 7.94,0.1818
3924,"SELL ALL US Stocks in this TULIP MANIA BUBBLE! US Stock Market is a “GET QUICK RICH” Scheme!Nasdaq Composite Current average P/E=80Nasdaq Composite Current average P/E=20What is the reason for these ABSURD COMPANY Valuations in the US Stock Market?The US Stocks are in the MEGA BUBBLE, in a TULIP MANIA BUBBLE!Nasdaq Composite, the Ponzi Scheme index, is up 200% since 2016? Why? What is the reason for this insane OVERVALUATION?The Economy is COLLAPSING, the Situation today is way worse than 2016, Corporate Revenues are tanking, Corporate and National Debt levels are at Record highs, Trade war, Coronavirus Pandemic and Politics have damaged the Economy significantly. US inflation is at a record high today and the unemployment rate is skyrocketing. Masonic organizations have created this Corona Hoax to PUMP the US Stock BUBBLE, to poison the population with harmful vaccines!!!Furthermore, the World countries are refusing to use the US Dollar as an international reserve currency due to unlimited, ruthless, and uncontrolled money printing! Despite so much terrible news US Stocks and subsequently, the Market Values of Garbage companies are hitting new records every single day!$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $XPEVhttps://www.cnbc.com/2020/09/18/barclays-says-market-valuations-at-dotcom-bubble-levels-downgrades-large-tech-stocks.html",-0.985
3925,"Every dog has it's day, but this dog's turn hasn't come yet.",0.1024
3926,"At its root, Under Armour is a corny company. I've commented on this before but their ad campaigns are corny and the company itself feels like an old person trying to fit in with the young crowd. Whomever came up with the ad campaign of, ""Protect This House"" and ""The Only Way is Through"" doesn't have any feel for the attitude of the young demographic and their corny campaigns have doomed the brand. That said, I'd buy some UA in the 3.20 range. However, I wouldn't buy a single share above that price.",0.9606
3927,I am in Jackson hole vacationing with my family. I was shocked to see under armor in many of the stores with hats shirts sweatshirts there was no sign of any other athletic manufacture. Their stuff was the most expensive but the highest quality. I don’t think I’ve seen location Branded material like that. I talked to the owner of the store and he said they were doing a much better job. It’s not just about sneakers,0.9389
3928,"The Government is about to send 3.5 to 4 trillion into the economy, which will prop up the market for another 6 months. In addition, most people on unemployment are making more than when they were working. It’s an extra 2400 a month.",-0.5103
3929,"The leadership is so bad. The stated strategy is so off the mark (and this is the strategy over the last 3 years, for the record, so nothing to do with Covid). Their product has been and continues to be off trend. And the brand is not cool (see SNL Middle Age Mutant Ninja Turtle animation). Not sure how anyone thought this recipe would work...get out and take the loss..",0.758
3930,Price Target Cut to $16. from $27.! Analyst say's it's double that of Nike and no longer warrants such a high multiple! Oops!,0.3672
3931,"I don't believe the sunshine pumpers nor the doomsday people. The real answer is somewhere in the middle. What do the rational folks think? Buy below $12? Average cost down to $10? I think there's an entry point here somewhere, just not sure where.",-0.4627
3932,Hurray,0.5719
3933,Short interests building up,0.1723
3934,UAA is up 8.44% to 8.74,0.1818
3935,"Terrible management ,, expecting it to tank today , another 8-10% down",-0.6761
3936,"What you look for is these ""green shoots"" signs that things maybe stabilizing/ turning around. Management refocus, some really good hires, focus on global execution, revenue stabilizing, etc.. This is hopefully a slight change in stock perception also where people take a look. This is the first quarter in a while where there is some positives (intl Rev). Now as they continue to execute, earnings will recover and the the high p/e of today looks cheap. Thats why you buy stocks when they are out of favor. I actually see some real positives in strategy, products and focus. Many of the people who bash daily and just cant even fathom anything positive will flip or disappear when the stock recovers. Just my perspective",0.9879
3937,What's the difference between being deeply in debt and and having bloated unsold inventories?,-0.7846
3938,i see more superdry than under armor in my country. superdry 300M #$%$,0.1422
3939,"until now, I am quite satisfied with its products, much better than nike's",0.7401
3940,Accumulating more shares here.Even CROX was able to rebound from the single digits with their turnaround efforts.Under Armour is way better. Buy and hold. 5 years from now you'll be smiling.,0.907
3941,Data breach going down,-0.4526
3942,Gee the price keeps falling. It must be the Curry influence. LOL,0.5929
3943,Needs to get down to $5 for it to be a buy...probably within next 2 weeks or so...Nice job BOD....and your boy Frisk and his pals...getting it ready for that sale...,0.4657
3944,This stock will be $5 after earnings watch them short the hell out of it some more it will happen watch,-0.6347
3945,Now it is a buy!,0.2377
3946,LOLhttps://finance.yahoo.com/news/nike-climbs-earnings-top-estimates-212414023.html,0.0
3947,"thinking about buying UA, could you please tell me why the drastic drop in April happened ?",0.2095
3948,Earnings call on a Friday? Will they be trying to hide bad news ???,-0.5978
3949,"Hang on, elevator............. goin down",-0.2835
3950,"Three color ways have sold out for the new UA HOVR shoes, the new released curry golds that were releaseed on Friday are almost sold out as well, the low top curry reds are sold out. Also something that UA was not doing well in the past was selling to women and that looks like its changing as well. The HOVR shoes are selling very well for women. The days of Under Armour making bad shoes are long gone.",0.9026
3951,"Is this the same ""Rock""? It must have cost them a fortune to get him back. Boy he sure is a loyal promoter! lolhttp://fortune.com/2017/02/10/dwayne-johnson-rock-under-armor-kevin-plank-trump/",0.8144
3952,Any news about upgrade ??????,0.5045
3953,Cramer is a stock manipulation master! Do the opposite of what he says to make money.,0.1772
3954,"Maybe next year they should skip the investor update, lol",0.5729
3955,"Why isn't there any merger talk? this is still a strong brand. I go to the gym and I see a lot of people wearing UA sneakers. where is Adidas? How about Lululemon? They have the female side, UA can have the male side if you will.",0.7249
3956,Lol right down 3% now see it move up in a hour or so to up 2%,0.5704
3957,UAA - THE GREAT MASK. So what do you have to hide? DUH,0.7628
3958,"Looks like UA can not keep up with the demand for online sneaker orders , especially this new hovr cushion models. Earnings will go up up up for next 3 to 5 years! Keep complaining you loser Nike lovers! UA, Protect this House!!!",0.8945
3959,Anonymous - I think you are wrong and hate speech against the CEO is not productive IMHO. He just needs to realize the premium on UA goods is no longer justified and SGA needs to be seriously reduced. Until then its single digits with no near term inflection point. Again IMHO,-0.8408
3960,"my son wears UA & nike only, so do all his friends. UA is the cooler of the 2 to be wearing.",0.6834
3961,Sell before too late,-0.1201
3962,"Really ugly Q1. Revenue fell 23% to $930 million, though approximately 15 percentage points of the decline was due to “pandemic impacts”... So management estimates that revenue would have been down 8% even without the pandemic!!! That is scary for a brand navigating the crisis. Back of the envelope gives fair value around $2.5 B which is about $5.30/shr.",-0.8451
3963,"Was in an athletic store this past weekend, and they said they’ve sent back over 200 UA items, bc they aren’t selling.",0.1316
3964,it's worth $11 a share,0.4767
3965,Might UA be bought? I read that Lindsey Vonn etc. got a lot of shares,0.6497
3966,Starting to feel way oversold. Lululemon valued ~5 times larger than UA with half the revenue? Doesn’t make a lot of sense to me. I get that LULU is growing a lot faster but I expect a UA pivot into more athleisure. The brand still super strong too IMO - mgmt needs some inspiration though.I plan on waiting for the trend to reverse to pick up shares. This could go lower.,0.984
3967,Why is this down over $2 premarket?,-0.2825
3968,Cut F/w Guidance in half... Holly #$%$.. Sell!,-0.2871
3969,The CEO insulting his American customers who voted for trump (63 million of them) is NOT a good idea. Planck should resign or the Board should fire him before the stock drops to zero.,0.1748
3970,well again I thought this might rally when it got to 23. now at 16. was I wromg. yes way wrong.,0.2113
3971,"I sold my position at $13.70 last week, expecting a decline going into earnings. However anything mid 12s or lower I'll prob buy back in before earnings.",0.1332
3972,"NY YANKEES AARON JUDGE, head to toe Under Armour. They no longer want to Be Like Mike, they want to be AARON JUDGE.",0.7651
3973,This is one sad stock. Lost all gains in 2 days. Kevin Plank should be fired.,-0.6095
3974,Here's your 15 plus 5 next week.,0.4284
3975,"this is comical to watch. US closed Friday near a 5 day low. The trend every day nearly since the big pop is opening bell buying by people hoping for a better story only to see US sold off at closing bell. Us on upgrades an a bullish CEO call hovers at the low end of the pop, never rising higher.",0.9446
3976,Hey Mike they beat revenue forecast by almost 80 Million and hit their projected EPS forecast. Those are two most important fundamental metrics a company is graded on. go pound sand your #$%$,0.5816
3977,Just bought more $19.90 keep it low I'll keep buying not only the stock but those great shoes on my feet going for another pair made these my work shoes oops,0.8392
3978,"Fellow shareholders, lets join in calling Plank ""Spaceman Plank"", as his head and brain are in the ""CLOUDS"" I hope the Spaceman name goes wild for what he's cost us all",0.8483
3979,Bought at 11.88 - I remained loyal. Y’all should too. It’s UnderArmour people. They’re not going away!,0.6077
3980,Everyone makes everything about politics . Why ... the left are a bunch of snowflake cry babies. They are sore crooked losers,-0.8008
3981,The UA HOVR shoes are almost sold out in red and white. Black is almost sold out as well.,0.2899
3982,bot a lot near $15 ...,0.4517
3983,I want what RJ is smokin LOL,0.6077
3984,"Under Armour was the top gainer in the S&P 500 Index (SPY) following a bullish note from Stifel analyst Jim Duffy. Duffy said, “Recent discussions with Under Armour leave us highly encouraged by leadership commitments to profitability improvement,” wrote Duffy. The S&P 500 Index rose by 12.25 points or 0.44% to 2,746 yesterday.",0.8956
3985,"My guess is that UA is due for a pullback in the short-run. check out awe-someSTOCKS, its a pretty reliable service. of course you have to do your own due diligence, but they generally point you in the right direction.",0.6583
3986,"DOWNGRADE COMING ANYTIME NOW CRASHINGBELOW $9 ,Q4 NUMBERS PROBABLY WON;T BE THAT GOOD EITHER",0.7984
3987,"Someone told me before I sold last week that Under Armor reminded him about another long ago athletic wear company called ""LA Gear"". Does anyone know what he meant?",0.4375
3988,"This company definitely has potential to come back. I'm not counting it out, and I don't think anyone else should either.",0.72
3989,"Hope you get it, the stock must go up do not short here",0.3668
3990,Stevo ...UPM is a shorter ...he is still on here lol,0.7398
3991,Stock is just going to ZERO. You can see......stock has a short interest of something like 50%. Everyone believes the equity is worthless.WHERE ARE ALL THOSE GODDAM PUMPERS TODAY WHO PUSHED THIS DOG SHEET STOCK ONTO ALL THE UNSUSPECTING BUYERS IN THE LAST FEW MONTHS? WHERE ARE YOU SONS OF #$%$ TODAY??????I own 400 shares bought at $32. Just the most horrible stock ever invented. I guess I will look to sell for tax losses by year end. Just imagine how much lower this POS will go when many of us are all doing the same thing.I CAN SEE THIS POS IN THE SINGLE DIGITS VERY SOON......MAYBE EVEN $5.KEVIN PLANK SHOULD BE SHOT.,-0.5943
3992,Zucks is bad mouthing this stock. Again,-0.3696
3993,If kevin plank resigned it may hit 20 again,-0.1645
3994,Does anyone actually wear under armour?,-0.0334
3995,UA is down 8.06% to 9.19,-0.2462
3996,"They have 2 tricks 1. Sold to themselves to depress the price. 2. Buy puts, then sell the stocks to depress it.",-0.7222
3997,"DickyD and the rest of the crew just mad they've lost money on UA, just like SNAP investors. Seriously, the company is going nowhere. I don't know what virtual reality headset you're wearing but no one wears UA. From a financial standpoint, it's way overvalued and they are in a weaker position to outspend competition.",-0.5579
3998,"Buyout rumors!! Apollo is in advanced talks to buy company, possibly next week. 11+ billion",0.5503
3999,UAA is up 19.30% to $21.70,0.1818
4000,Goes UP goes DOWN why?? nobody knows,-0.1144
4001,I lost everything I had on this #$%$ I want all of us to sue #$%$ Plank the arrogant #$%$,-0.7407
4002,That Steph Curry and Under Armor deal isn't paying off with all his God talk. LOL,0.7115
4003,Townhall : People Are Threatening To Boycott Under Armour After Its CEO Praised Trump,-0.2454
4004,"Silencio before the storm....Inventory keeps rising, sales keeps going down, brand is sheiteDont sell!",0.5524
4005,Bearishh,0.0
4006,Notable High Call %$MLCO 98.3% call$HL 96.7% call$HIG 96.2% call$NGAC 96.0% call$BGCP 95.4% call$SIL 95.3% call$SSRM 95.3% call$UA 94.6% call$PSAC 94.5% call$GSAH 93.7% call$FNKO 93.5% call$ON 93.3% call$YUM 92.3% call$RTX 91.8% call$KWEB 91.6% call,0.3456
4007,who pumped UAA?,0.0363
4008,They still have a lot if growth potential. $19 bucks a share is a steal. wait and see.,0.4992
4009,"just added 1,000 shares.",0.3856
4010,"Great sell price before drop off,...... from hipe of what........??",0.6434
4011,Going down...down .. and down.....,0.0247
4012,Did we just hit 52 weeks high ???? Here we go !!!!,0.6666
4013,I'm in at 18.38 it's a long hold for me hoping to see green soon.,0.6923
4014,This company is pure #$%$. Sell this pos and never look back,0.1791
4015,44.71 to 15.25 ... how did that happen?,-0.0043
4016,Buy and HOLD :-),0.2884
4017,This will rebound over the coming weeks. Right back to $20. Easy money.,0.554
4018,Want in on some hot income producing stocks that have been overlooked by everyone else? Just go to https://excellentstockalerts.blogspot.com/ .,0.389
4019,Looks to be back on the upswing. Good time to buy more here. Could close over $20 today. Not many stocks on sale. However this one of them.,0.713
4020,"NEW YORK, Feb. 10, 2017 /PRNewswire/ -- The law firm Gardy & Notis, LLP announces that it filed a securities fraud class action lawsuit in federal court on behalf of investors who purchased Under Armour, Inc. SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Under Armour, Inc. of a Class Action Lawsuit and a Lead Plaintiff Deadline of April 10, 2017 – UA SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Under Armour, Inc (UA, UAA) & Lead Plaintiff Deadline - April 10, 2017",0.9164
4021,missing out on the mlb is a huge deal. i think sell for 2 days then get back in.,0.3706
4022,Any update for UA?,0.0355
4023,"So much for the relief rally as 50% of the USA is now going to Boycott UA thanks to Kevin Planks comments calling Trump Passionate, The comments received criticism across social media from those who don't support Trump. Some activists are vowing to boycott Baltimore-based Under Armour,that also leaves the door open to athletes who don't like Trump also to Boycott UA,also entire sports teams who didn't endorse Trump to Boycott UA,Wow! Kev really put his foot in it and timing Wow! See I told ya this was gonna get even better!",0.6129
4024,its swueezing,0.0287
4025,$35 soon,0.0011
4026,2Q forecast worse than expected? Expected by whom? Mafia?,-0.5648
4027,Buy now or never!,0.2467
4028,whats going on here?,-0.0179
4029,When is UAA’s turn?,0.0311
4030,UAA is down -4.95% to 20.95,-0.2462
4031,Cramer said buy?????????????????????????,0.287
4032,"If you have owned this as long as I have, you aren't losing your money. I have owned for both splits with a cost basis of $6 and I don't plan to sell. I was at a basketball game last night where both teams were wearing UA stuff and I was wearing a UA stuff. The brand is a great one.",0.9308
4033,"holiday season just around the corner, this will do well",0.5558
4034,I was in China 3 years ago. No UA lots of Nike. Why?,-0.0251
4035,James if your not long on this your nits,0.5257
4036,Hi ho hi ho off to 6-7 we go,0.5555
4037,"Still down $1.51 per share since I bought some shares 10 days ago, thinking it will appreciate over time because of its popular lines of products.",0.8301
4038,R I D E new ticker electric truck calls....scanner says April,0.3127
4039,Biatches!! Still not sild out,0.3654
4040,"Why is UA Stock going down ???? ...... The question is all over this board ..... Here's Why !!!The average UA consumers are 45 - 50 Year old manles seeking their glory days.You can see them everywhere sporting their Neon Green Running Shorts, Compression Tee's and Matching Green Sparkly Hoodie covering too many trips to the Buffet but proudly displaying that Huge UA Logo .... They look silly and that's why the 18 - 24 year old demographic won't wear UA.It only gets worse from here .... I've been telling everyone to Sell Now and Buy back in Q3 2018 when it will sell for $10 and wait for the Buy Out..... Sell now .... Don't be a Bag Holder.",0.9514
4041,"Gotta get out, takin my profits........ hearing back to $18 soon",0.6212
4042,Might be a buyer when PE gets under 20! Until then just watch the slide!,-0.2656
4043,"To all the ""GET OUT NOW"" and ""DON'T GET LEFT HOLDING THE BAG"" and all the posts that use ""..."" instead of commas like normal people:These are the Shorts actively pursuing a price drop. What an act, feigning to care about anyone else's brokerage accounts besides their own - which, by the way, is NORMAL to only care about your own but this pretend game is getting old and ugly - they are solely posting for the sake of making their short positions profitable. You don't see Longs on here getting all up in arms and spouting ""GET ONBOARD NOW BEFORE THIS SHIP SAILS"" or ""DO NOT SHORT THIS STOCK YOU WILL BE SORRY,"" no, you see reasonably minded (though sometimes maybe a little too eccentric *cough* Caleb *cough*) and logic-rooted comments about UA's future outlook, globalization, turnaround, etc.Anyone Longs on here reading this post - don't fret, the ridiculous and obnoxious ""...""-peppered rantings of these hyenas will wear off soon enough. As for you Shorts, try out growth investing for a change - I promise it's a lot less work than having to pretend like the world is burning down around everyone all the time. Also, holy #$%$ you are annoying!",0.981
