,Recent headlines and conversations for GS,Polarity
3813,"slash aid(JTA) — A Michigan Democrat who is all but certain to become a congresswoman said she would “absolutely” vote against military aid to Israel, sparking criticism from a Jewish Democratic group.The candidate, Rashida Tlaib, also said in an interview that she favors a one-state solution to the Israeli-Palestinian conflict, as opposed to a two-state solution that would establish a Palestinian state alongside Israel.Tlaib, the daughter of Palestinian immigrants, recently won the Democratic nomination in Michigan’s 13th Congressional District. The Republicans are not running a candidate in the Detroit-area district.She is one of two Muslim women likely to be the first to be elected to Congress. The other is Ilhan Omar, who handily won her Democratic primary Tuesday in a Minneapolis-area district.Asked whether she would consider slashing military aid to Israel in a Monday",0.9597
3814,"James Dontino, adding to his position in GS.Dontino is adding to his GPK, position too.",0.3785
3815,IS OVER BOYS. DOWN TO 200,-0.6804
3816,"READ BEST POST EVERSharon Brous, Conservative, IKAR: Resh Lakish was Rabbi Yohanan’s hevruta, his sparring partner, and they were perfectly matched. Every time Rabbi Yohanan argued a point, Resh Lakish challenged him twenty-four times. Rabbi Yohanan answered each challenge with his own, until the matter became clear to both of them. After Resh Lakish’s death, Rabbi Yohanan was inconsolable, realizing that he could not find truth without someone willing to challenge him, to sharpen his thinking (Bava Metzia 84a). Our greatness depends upon our willingness to engage with narratives and perspectives that make us profoundly uncomfortable. As a community, when we silence the voices we don’t like and marginalize the people asking the difficult questions, we all lose. The Talmud calls us to hear the challenge. It seems to me that the vitality of our community rests on that proposition.",0.9716
3817,GREAT AGAINSurvey Finds 42% of Americans Will Retire Broke — Here’s Why..Trump,0.3795
3818,Breaking: Ilhan Omar has been accused in a Florida Court of passing sensitive information to Iran through Qatar...,0.5096
3819,what the market knows is no one ever fixed the issues from 2008 they only pumped free money and left the whole thing and people in the same place. Now the exact same thing will happen again and it will be even worse this time until we they decide to fix things and not just issue bailouts which are short term.,-0.0609
3820,"In all fairness, shouldn't Mueller have recused himself. No matter what, his strong Political loyalties will always run the risk of having the appearance of tainting the findings of the Special Counsel...https://bigleaguepolitics.com/old-pals-robert-mueller-was-john-kerrys-high-school-lacrosse-captain/",0.5639
3821,"Very pricy, peaked",0.0
3822,"Don Trump, Don Xi it is vitally important the two leaders of the ""Families"" get together for the mutual good. It would be good for business ""capice""?",0.893
3823,This could pop any minute now 213.00,0.0667
3824,"Of course, with the elections barely round the corner...And markets JITTERY...And Donnie trying to back off his MORE TARIFF bluffs(Already downplayed by Kudlow earlier this week - Nothing is set in stone)The Lying Blinking Amoral DonaldSUPPOSEDLY had a 'great trade conversation with Xi'...AND the markets believe himOf course, China is NOT saying anything...Even IF there was EVEN a conversationJust wait until after the G-20THE SUPPOSED FACE-TO-FACE MEETING",0.7196
3825,President Xi to Donnie'BRING IT ON'I am President for LifeYou will soon be historyAs your China dependent economy FAILSWith SPIRALING INFLATIONWiping out ALL benefits of tax cutsWe have more than enough surplusTo take care of our peopleALL you have is THE 1%And TRILLIONS of DEBT(Which we own a HUGE chunk)No more BoeingNo more CaterpillarNo more FordYUP...Negotiating from your position in a cornerBRING IT ON,0.9098
3826,TRUMP SAID HE KNOWS MORE THAN THE DEPT OF JUSTICE.,0.6085
3827,How did short GS long BAC work?,-0.0494
3828,GS $30 by December.,0.0141
3829,Nice 25% move off the lows of December 24th. Sweet!,0.6798
3830,Whilst the focus has shifted to Woodward's bombshell regarding coronavirus...Biden and the Dems...Need to get back to The Atlantic stories...About Donnie's quotes about Veterans...And the MilitaryOnly the diehard Trumpers...Buy his corona defence...And no minds to changeMust hit the veterans voteWhere there are 'UNDECIDEDS'Enough money to keep running ads...Maybe buy some time on NFL too,0.6743
3831,"You are going to see a slew of BK filings in about 3 months, mostly small companies and service companies w/chain stores---the first wave. For now it's just a few dribbles here and there. You cannot be too hyperbolic about how bad it is going to be in Q2.",-0.5343
3832,To say you want peace means little!!!!!!!!!!!!!!!!!!!! It is the terms of the peace !!!!!!!!!!!!!!,0.8637
3833,JPM just rolled out the first Bank Backed Cryptocurrency.,0.2227
3834,"How So Much More Dangerously Bizarre Than Usual Has Our Political Rhetoric Become?????Case In Point: Who Said On 9/7/20? ""The Only One Who Wants To Defund The Police Is Donald Trump."" (Hint: Joe Biden)...",0.4362
3835,Read it and weep. The Scheissters aren't feeling so happy lately https://www.goldmansachs.com/media-relations/press-releases/current/pdfs/2019-q1-results.pdf,0.3703
3836,"I am looking for a 30%-40% probability of the second circuit breaker getting tripped before EOD. It will depend on large part on the extent of margin calls around 1:30 or so and if the algos move off that in a negative feedback loop. PPT could move in to prevent that---but tomorrow is another day. The volatility is likely with us until The Election (duh!, I know).",-0.8245
3837,IF TRUMP IS SO SMART AND KNOWS MORE THAN THE GENERALS HOW COME CNBC SAID HIS POLL DROPPPED 10 POINTS,0.8777
3838,DT gs forever,0.2834
3839,"(ORDER LIST: 592 U.S.)TUESDAY, DECEMBER 8, 2020ORDER IN PENDING CASE20A98 KELLY, MIKE, ET AL. V. PENNSYLVANIA, ET AL.The application for injunctive relief presented to JusticeAlito and by him referred to the Court is denied.",0.7206
3840,Iran Calls Trump’s BluffThe President is caught between hawkish goals and dovish means,0.0721
3841,Oct 18 th 1943 the Js of Rome rounded up sent to Auschwitz.Mussolini refused to do it.Pope did nothing to prevent .The Bulgarian Orthodox Church refuses to let the Germans deport its Js community to death camps. Saving many of its citizens .Took a stand against the barbarity ....A profile in courage From the Vatican however based on their shameful history I expected nothing from them ....,-0.1679
3842,Just added some more today will be taking profits two weeks from today.,0.6726
3843,"Dear Mr. Fang Fang,$NIO is closed at $26.50 today. Is it still valid your target price of $7? Otherwise, you should issue the new report soon. Good luck with your career too!Daniel",0.8672
3844,Fed REPO operations has been extended through Jan. 2020. Doesn't that just spell good news for the wall streeters.https://www.cnbc.com/2019/10/11/the-fed-is-extending-its-overnight-funding-operations-through-january-2020.htmlBetter run before the music stops,0.4324
3845,One only has to understand derivatives to know that you can't disrupt a multi trillion dollar bond market without devastating all assets. don't be fooled by the euphoria.,0.5708
3846,All the bank stocks are up except this one. I really don’t know what and how to comment on this nonsense. It’s been down every day since earnings report. Instead of criticizing other stocks. Maybe it’s time to concentrate on how to make your investors happy.,0.7311
3847,Just decking it at Jeffrey's trailer having a few cold ones. It's good to talk about the good old days.$gs $mnkd $aveo $wll,0.7903
3848,Everyone is talking about the 'Nunes memo' aka ''Donnie memo'...And NO ONE is talking TANKING stock marketESPECIALLY the Market Cheerleader...The Donald himselfStay tuned folksMore to come...LOTS MOREOn BOTH frontsAnd Donnie won't be talking the markets and economy much longerHe'll be PLEADING THE FIFTH,-0.776
3849,"I’m going to make The Call to Convert some PUT INSURANCE on Select Equities and give The Green Light for The Street to Take Advantage of The GEM$ Scattered On The Landscape with a Rotation and Sidelines CA$H looking to Go LONG in a New Set Of The Usual. Congratulations on The Last Group that ALL made over +1,00O% Minimal Gains and Of Course Staying LONG in The Obvious. Send me ANYTHING NEW to my Private Inbox and I’ll TTYL on The Private Board(s).GOOD INVESTING!RL BERGER",0.9778
3850,"According to the latest polling, Real Clear Politics indicates that President Trump's won't be re-elected.",0.3633
3851,"its all from trading, down from here, peak earnings",-0.1009
3852,"Welcome to Kayleigh McEnany...And to the New and Improved...State TV Propaganda like RussiaOn August 6, 2017, she hosted the webcast, Real News Update on Trump's personal Facebook page, in which she recapped all of Trump’s accomplishments from the previous week...Former U.S. ambassador to Russia, Michael McFaul, likened the webcast to the kind of state TV propaganda seen in RussiaKudos for similar REPEAT performance about COVID-19 performance...Clearly much better with ""FACTS and FIGURES"" than Donnie...No lying, but TOTALLY out of context...And, on any questions that mattered relating to present day status...Like China sanctions or Debt Cancellation, etc...Or Operation Warp Speed Vaccine Development (of which Donnie claims he is In-Charge)..""Not getting in front of Donnie""YUP, as she PROMISED...She will NOT lie(Until Donnie tells her to)",0.9599
3853,We could use some help---GSAH--a Goldman Spac---needs a few strong hands...News is pending..,0.6105
3854,RUSH LIMBAUGH REVEALS LUNG CANCER. ONE DOWN 2 TO GO,-0.7223
3855,"The Settlement Vote at the UN was about INTERNATIONAL LAWDelighted to see that 14 members of the Security Council UPHELD the lawsAnd there NONE againstSo where exactly does the United States stand...Where is the Moral FiberOr have we become spineless in upholding our own VALUESNutty says ""Friends don't take Friends to the UN""Well Nutty...""Friends don't let Friends continnue Breaking the Law""There were ENOUGH warnings issued...Time again and again",0.9507
3856,WOW ... vindicated ...,0.8091
3857,No Donnie...Threats and Blackmail may have worked for youIn DOMESTIC electionsTHEY WILL NOT WORK...IN GLOBAL POLICYTry another route at the UNWhy not just PULL OUT altogetherSince US is no longer a world leaderUnder your presidency,-0.3436
3858,"IF the choice of Doral for the next G7...Was so ""Bold, Transparent and Full of Integrity""...Perhaps the COMPARATIVE ANALYSIS of the supposed 12 properties...Should be made available PUBLICLY...As well as the PROJECTED Revenues and Costs for the Summit...And while we are at it...Maybe AUDITED Operating financial statements for the last 3 yearsAnd Mulvaney should be available...To take Q&ALets not forget that Doral was suggested by Donnie himself...To a table filled with HIS YES MENWhat are He and Donnie trying to hide?",0.8101
3859,POLL: Barack would crush Donald in election...,0.3611
3860,States running out money for Unemployment...Cities out of money for Essential servicesHospitals out of money to care for COVID-19 and no elective surgeriesNone can PRINT their own moneySo it is not just a Small Business problemDonnie and the GOphers...REMAIN TOTALLY CLUELESS on the true state of the economy...The ECONOMY is not just Wall Street and Small Business,0.6802
3861,"Where's ole small chall today? Where R U lil fella? I hope you are having the merriest Christmas season ever. If he hasn't already, I hope ole mroeland has driven down from the Great White North and serenaded you with some very special Christmas carols.",0.976
3862,"“We are no longer going to give money to people who are against the U.S., or say, ‘Death to America,’ "" (Nikki Haley, 9/13/18)",-0.444
3863,"Leading Orthodox rabbi endorses Donald Trump for reelectionThe 95-year-old rabbi said it would be “worrisome” if the president loses, citing rising secularism as a threat.",0.3784
3864,ALEXANDRIA PLEDGES REFORMS WILL BE MADE AND BDS WILL PREVAIL,-0.2196
3865,VOTE FOR THE DONALD 2020,0.4334
3866,LONG UNTIL WRONG,-0.0693
3867,University of Chicago study: 2/3 of unemployed workers making more than they made after “Care” Act implemented. Doesn’t even count what they’re making working for cash off the books. Democrats want to extend this BS.,0.1196
3868,"NO PEACE SENTIMENTS HEREEscalation in Israel’s Settlement Policy: The Creation of De-Facto Annexation15.11.17For the full Settlement Watch report click here.The past few months have seen unprecedented developments in the settlements, causing severe damage to the chances of a two-state solution. Accelerated population growth, approvals of housing units in the West Bank and East Jerusalem, promotion of bypass roads, advancements of Knesset bills, home demolitions and changes in legal interpretations – all lead to a situation of de-facto annexation of area C. Without any official declarations, the Israeli government is preventing the viability and contiguity of a future Palestinian state, while treating lands in area C as its own. The implications of the abovementioned developments are far-reaching for Israel, the Palestinians and the region as a whole.Peace Now’s new report summarizes key developments of the last several months and analyzes their impact, individually and together, on the viability of a Pal",0.9387
3869,"SufferingEach of us will take from this book what most resonates with us. For this reviewer, it was the chapter on the poet Hayim Nahman Bialik, who wrote a celebrated poem about the pogrom, following a five-week evidence-gathering mission to the city. “In the City of Killing” compacts in its lines a discourse of national grief and prophetic wrath, a lamentation and a jeremiad. It articulates a grief and rage hitherto believed to be not fully articulable. “If we were to stand and scream all our days and our nights, it would not suffice,” the Russian Jewish author Joseph Hayim Brenner wrote of the pogrom.",-0.5288
3870,Frontpage news on abusing workers at Goldman sachs. Great sign of future profit so bought some more today.,0.7984
3871,"More from Gilead...We've been here before...Please pass the saltBTW, even if this is 'helpful'...This is NOT a vaccine...Please pass the pepperIn the meantime, GDP in Q1 shrank 4.8%...Decline of 3.5% was expectedRECESSION levelsQ2 should get to GREAT DEPRESSION levelsShorting into YET another GAP opening",-0.522
3872,DEM Sweep in Nov. w/Warren as VP? Just wondering if that is the next shoe with which the market will have to deal after getting through the coronavirus debacle. First things first though...........,-0.243
3873,Should I wait for 190 tomorrow? New to GS.,0.2663
3874,Most unpopular people in the world ??????????????? Just what are they doing?????????,-0.3352
3875,"Support for Texas' Supreme Court Constitutional Challenge to the way the 2020 Election was conducted in Four States is definitely beginning to garner increasing support, not only from other States, but from some Constitutional Scholars as well. The core issue behind Texas' complaint is believed to be that it is Constitutionally Unfair to Texas as well as a number of other States to have the Four States mentioned in the Complaint operate under a vastly different set of Voting Rules in a National Election than does Texas and these other States who are Joining Texas in the Complaint. The more one thinks about this logic, the more it seems to start passing the reasonable person common sense test...",0.8741
3876,New 52 Week High 87 90 9New 52 Week Low 93,0.1283
3877,Donnie's FINAL 4th of July...At taxpayers expenseThe extravaganza at Mt Rushmore...No social distancing...No masks...Even as the pandemic ragesLet the death score mount...THE SHOW MUST GO ON,-0.6976
3878,"It's a sign of the times that Joe's defenses consist of ""you haven't actually proved criminal conduct,"" and whataboutism - ""so what if Joe's a #$%$ Trump's even worse!"" A ringing endorsement if ever there was one. ""[T]he Biden campaign has not yet explained or confronted these seven uncomfortable realities, many which have emerged not from Russian disinformation but rather from former associates of Hunter Biden and former government subordinates of the vice president.1. Appearance of a conflict of interest""Joe Biden's claim that ""not one single solitary thing was out of line"" is contradicted by the facts. Multiple State Department officials, including Biden's former ambassador and deputy chief of mission in Kiev, have testified they believed the vice president created the appearance of a conflict of interest by continuing to oversee anti-corruption policy in Ukraine while his son served on the board of a company called Burisma Holdings that was under corruption investigation. The officials also said the Biden family behavior in Ukraine undercut U.S. efforts to fight endemic corruption in Ukraine.""",-0.8971
3879,"Stock and debt offerings, Spacs, mergers, and underwritings were on fire last quarter...GS will have a pretty impressive quarter.",0.5038
3880,"Jewish heaven for his attorneyNEW YORK (Reuters) - With a menu that includes matzo ball soup and gefilte fish, as well as a full-time rabbi and a chance at the occasional visit home, the U.S. prison where Donald Trump's former personal lawyer will spend the next three years is unique in the federal system.Michael Cohen is due to report to the Federal Correctional Institute in Otisville, New York, about 70 miles (110 km) northwest of New York City, on Monday.The 52-year-old Cohen will be housed in dorm-like accommodations at the facility's minimum-security camp, which prison consultants say has become a destination for Jewish inmates due to its proximity to New York City's Jewish and upstate New York's Orthodox Jewish enclaves.""He's going to what I like to refer to as 'Jewish heaven,'"" said Larry Levine, founder of Wall Street Prison Consultants, who served a 10-year prison sentence that ended in 2007 for racketeering and other crim",0.86
3881,We have now ALREADY reached a new milestone...Even in the NASCENT stages of testing...We now have more COVID-19 cases than any other country...Even more than ChinaYUP...Its ALL UNDER CONTROLAnd lets open up the country...So we can fast track to 1-2 million cases...NO WE CAN'T...DON'T HAVE ENOUGH SUPPLIESIs that why Donnie deserted the stage left early...Or did he want to CONgratulate his economics team...That markets have gone straight up last 3 daysThe Ballon will burst soon enough...As folks realize...DEEP RECESSION followed byL-shaped recovery...As it is a DEEP GLOBAL RECESSION,-0.6614
3882,"So, Donnie is using Disaster Relief Funds...To fund Unemployment and other Stimulus programs...THROUGH FEMABut here we are...With National Weather Service predicting...A HIGHLY ACTIVE hurricane seasonWill FEMA have enough funds for the Hurricanes?????How come NO ONE is talking about this",0.6981
3883,GOLDMAN BREAKING OUT...EARNINGS $3.69 TOMORROW.,-0.4135
3884,Debt both private and public is at alarming levels around the world. The crash will be like dominos............,-0.6127
3885,today write puts,0.2251
3886,This is a bank not a tech stock. Trading close to 18 PE. Nuts!,0.2289
3887,$NIO is about to go GREEN.Onward and upward to the right!,0.4163
3888,$NIO - big afternoon rally coming...big big jumps in the coming weeks...and as always Enjoy! ,0.7131
3889,they earned almost $7 in the same quarter last year. 30% more than current quarter.,0.0252
3890,"Jimmy you may want to hold, GS has been forming a bottom and could reverse today and at least get you out in the low 200s if you really need to sell.It may close green today as it keeps bouncing off previous lows. Think in due time you should hold for now but that’s just me.",0.243
3891,The newly installed IMPEACHMENT CLOCK at the WHTICKTOCKTICKTOCKTICKTOCK,-0.2712
3892,KUSHNER FAILS TO DISCLOSE MILLIONS OF DOLLARS IN LOANS FROM WALLSTREET TYPICAL BUT DARE YOU PROTEST,-0.5652
3893,"HOW CAN THE DOW BE UP OVER 200 POINTS AND 1400 STOCKS ARE DOWN, ONLY IN A W.S. MANIPULATE DOW",-0.4532
3894,What’s happening after hours? Stock is up almost 5%,0.3073
3895,$NIO was under consolidation during the month of July and shorts and bashers took advantage of that time to discourage the Nio longs. Many people sold at around $10-12 range. We passed all the news and progression of the company so new investors understand that Nio is not playing around. We knew August is bullish but weak hands will be weak hands. Those with strong hands ends up winning the long run with proper due diligence.,0.9451
3896,If you are looking for intelligent comments you came to the wrong place,0.1291
3897,$NIO is gonna be the better long term than gs.,0.715
3898,Biden is On Track To Lose Pennsylvania Because of His Own Highly Negative Anti-Fracking Comments. Congratulations To The Biden Campaign Handlers And Please Keep Up Your Good Work...,0.694
3899,Can't win 'em all...Best to take your losses...Covered futures short day-trade...Got to my exit pointThere is always another dayForecast for week still stands,-0.7151
3900,Mnuchin still plans on going to SA to maintain ties.,0.5113
3901,"I wonder if AOC would also support the banning of beer which is likely very near and dear to her heart because of beer's carbonation... each one of those tiny little bubbles contains CO2. I suspect that not only AOC, but probably most of her supporters would rebel vociferously against the banning of beer. FWIW, while we're on the subject of Good CO2, I wonder how many people understand that all other things being equal, crop yields increase with increasing atmospheric CO2 up to an optimum level. The Earth Atmosphere now contains roughly 400ppm CO2. Given just currently commercially available field crop varieties, atmospheric CO2 levels could double to at least 800ppm and still show a beneficial effect on crop yields. Isn't it fascinating how Man fits perfectly into G-d's Creation as long as Mankind remembers to be a good 'Steward' of Earth's 'Garden' (including helping Endangered Species to survive). 'Nature' was Created to Benefit Mankind's Growth, not Limit Mankind's Growth. 60+ Million Silenced Tiny Screaming Voices Agree. ""G-d Blessed Mankind and Said To Mankind: 'Be Fruitful And Multiply'..."" (Gen 1:28).",0.9973
3902,China is about to open its $42 trillion financial sector to the world. Will give GS chance to boost their share five fold according to Bloomberg.,0.8225
3903,Trump Approval Remains in Low 40s,0.1417
3904,Program trading againGS will cross over 210+ by noon,-0.0078
3905,"Judging by the apparent major toll on the health of those individuals in the public's eye who are seemingly afflicted with severe TDS, this potentially debilitating mental disorder could soon possibly become officially recognized as a real mental disorder in Professional Medical Literature. This is not meant to be a joke!!!!! I just wonder how many other people noticed during his latest Congressional Committee testimony how drastically Mueller seemed to have deteriorated both mentally and health wise. If these actual or potentially and apparently severe adverse health effects were in any way associated with TDS, then additional evidence could also manifest shortly and we could potentially see adverse health effects begin to express in other TDS champions, especially in over-the-top TDS sufferers, possibly including Nadler...",-0.6014
3906,The Art of the NO Deal...aka Tariff Man...Strikes againLOVE IT...This guy is destroying the ONLY thing going for him...Stock Market and EconomyHe can BULLY his party members (except one - David Amash)...Even try to BULLY the DEMS (Sorry but Pelosi has got you)...But try Xi?????FUHGET ABOUT ITChina thinks LONG terms...Always has...Very LONG historyAnd they DO have a lot of economic weaponryTo wipe out Loudmouth DonnieSorry Donnie...You ain't winning,0.8383
3907,Earnings are often priced in. Flat to negative today though.,-0.4564
3908,Is GS going back to 230?,0.0529
3909,"Boy, what a difference a Virus makes!!!!! This year Iran was forced to cancel its' Annual Military Day Parade which traditionslly shows off Iran's latest weaponry to their people and the World. This year Iran had a 'Substitute' Parade (since large gatherings of soldiers and civilians would be dangerous). This year's Annual Military Day 'Parade' consisted of just a convoy of vehicles showing off Iran's latest inventory of (are you ready for this)... medical equipment to fight the virus which they refer to as 'the invisible enemy'...",0.9317
3910,The Donnie is AFRAID...Won't agree to anything...THE DEMS ARE MAKING HIM LOOK BADFinally...LET TRUTH BE TOLD,-0.1275
3911,"Best place going forward will be dividend paying food stocks and T,",0.6695
3912,When in traffic we observe the traffic laws hoever one entity makes its own laws and derides those who disagree who???,0.5922
3913,Sure and Steady decline for Goldie...To my stated 2021 target...250-260Staying with NET SHORT position(long position with covered Call options...And Naked short Call options),0.081
3914,To The 'Tweeting' Donald its all About Money and Wealth...To US its all about our American Values...Liberty Justice and Equality for AllAmen,0.6196
3915,"gs business strong down, but it has temporary profit, that can extend it's life, but it can't support it's stock price,",0.7109
3916,end of day 207.80.....under/over?,-0.0012
3917,Are the numbers real? Of course not! Jesus threw them out of the Temple many yrs. ago!,0.3758
3918,"BDS VICTORYWorldNo 'Made in Israel' label for settlement wines: Canada courtAFP AFP 19 minutes ago Reactions Reblog on Tumblr Tweet EmailAmichai Luria shows off a bottle of his wine at the Shiloh winery in a Jewish settlement in the occupied West Bank in November 2015 -- one of his wines was at the center of the case in Canada on country of origin labeling (AFP Photo/MENAHEM KAHANA)Ottawa (AFP) - A Canadian court on Monday ruled that it was ""false, misleading and deceptive"" to label wines made in Jewish settlements in the occupied West Bank as a ""Product of Israel.""Canada's Federal Court had been asked to rule in the case of David Kattenburg, the child of Holocaust survivors who disagreed with a decision by the Canadian government's Food Inspection Agency to allow the labels.Kattenburg, who criticized Israel's policies towards the Palestinians, argued that such labeling ""facilitates Israel's de facto annexation of large portions of the West Bank,"" according to the court ruling.The CFIA had defended its usage for the wines made in the West Bank settlements by citing the free trade agreement between Canada and Israel.That move was backed by Canada's attorney general, who said it was reasonable to refer back to the free trade agreement, given that the Palestinian territory is ""not part of a recognized country,"" and such a label would meet Canadian requirements.But Judge Anne Mactavish said because ""there is no dispute that the settlements in which the wines are produced are not part of the territory of the State of Israel,"" she was finding for Kattenburg.""Identifying the wines as 'Products of Israel' is false, misleading and deceptive and interferes with the ability of Canadian consumers to make informed and rational decisions to buy conscientiously,"" she said.""Individuals opposed to the creation of Israeli settlements in the West Bank need accurate information as to the origins of a product to be able to express their opposition,"" she added.""Incorrectly identifying the wines as 'Products of Israel' inhibits the ability of consumers to express their political views through their purchasing choices"" and limits their freedom of expression, she said.Mactavish said the CFIA will have to determine how to label the wines.In 2015, the European Union approved guidelines for member states to include the phrase ""Israeli settlement"" on labels of products from Jewish enclaves in the West Bank, east Jerusalem and the Golan Heights, all of which were occupied by Israel in the 1967 Six-Day War.Israel was furious at the move.",0.9925
3919,"Commodity analysts from $BAC said in a recent report that they see silver averaging near $30 this year. They expect a 281 million ounce supply shortage and 9% higher industrial demand. $GS repeated its bullish view on silver, saying it projects the metal's price to reach $33 per ounce this year, spurred by increasing green renewable energy. $AG $PSLV",0.6463
3920,"Opened the door to scrutiny of “This is one of the most progressive-liberal districts in the country and Rep. Omar is one of the most progressive-liberal members of Congress,” Jacobs said. “She’s a fit for the district even if Democrats around the country are uncomfortable with her positions and her style.”Omar, a Somali American immigrant, became a national figure in 2018 as one of the first two Muslim women elected to Congress. But her tweets last February insinuating that lawmakers support Israel because they have been bought off came under intense bipartisan criticism. She added fuel to the fire last March by suggesting that Jewish Americans have divided loyalties between the U.S. and Israel.Trump moved quickly to try to make Omar and three other freshmen congresswomen of color — known as “The Squad” — the face of his opposition, saying they should “go back” to their counties, even though only Omar was foreign born. His supporters chanted, ""Send her back!"" at a rally a few days later in North Carolina. But Omar received a hero’s welcome at the airport when she returned home from Washington that week.Trump's attention to Omar has helped her raise enormous amounts of money, and she's used the national stage effectively, Jacobs said.Omar raised more than $2.5 million through last year’s third quarter, the latest figures available, and had $1.56 million in the bank. Her fundraising was more than triple the House incumbent average, according to the Center for Responsive Politics.Omar did not immediately respond to a request for an interview ahead of her kickoff.",0.9894
3921,Rudy Giuliani's $20K per day legal strategy...IS A DISASTERPlan B...Try to get Legislators to pick alternative ElectorsFor the Electoral College votesDonnie invites Michigan legislators to WH...MORE anti-democracy planning...And interference in FREE ELECTIONSTHIS TOO IS DOOMED,0.2191
3922,@#@# I AM WALKING THROUGH MY OFFICE #@#@@#@#@#@ IN A BLACK SATIN BUSTIER #@#@##@#$MNKD $WFC $VRX $GS AAPL $JCP $FB $ARNA,0.0332
3923,"CRAZY TRUMP WANTS TO SEND CHECKS WITH..MAKE AMERICA GRATE VOTE FOR ME ON NOV.3, AND HIS NAME ON THE CHECK",0.1714
3924,"What was that about BI-PARTISANSHIP...The Donald said at his SOTUHere are the FIRST actions1. Lashing out at Schiff, Warner and other Dem leaders about Nunes memo Yeah he knows its just a matter of time before the INDICTMENT/IMPEACHMENT2. McCain#$%$ bill on Immigration No way Jose",0.3333
3925,228.80 in the morning who did that?,0.0014
3926,Have told ya before...China trade talks NOT as great as WH wants you to believeXi knows he is NEGOTIATING with...A guy who CANNOT BE TRUSTEDHINT: Xi was also listening to CohenAnd Chinese believe in HONOR...Donnie is FAR from HONORABLE,0.9326
3927,I have zero doubt that the Tariffs will send the U.S. into a recession within 12-18 months. Look at what the steel companies (who were supposed to benefit most) stock prices are telling you. The depth of the recession is uncertain. The length will be for as long as the tariffs remain in effect.,-0.5681
3928,LAS VEGAS. BETTING MARKETS STILL SHOW JOE,0.8249
3929,"For those that don't understand what has happened to the middle class blue collar worker's that I talk about her is some fact's what happened to us, now think about this because it is very serious to the majority of families in the USA. I look/compare the 1967 dollar because we had plenty of opportunities to work and live a reasonable lifestyle and, still have a few luxuries or saving's. The 1967 dollar compared to 2017 dollar in today's dollar you would have to make $7.34 for every dollar you earned back then when, most worker's were making around $5-$6 per hour. Now multiply that out to see that blue collar middle class worker's would have to be earning between $35-$44 per hour today not counting benefit's, how many blue collar job's pay that today ? The answer is pretty close to ZERO, then you wonder why families and worker's are upset ? This is what's wrong with our country and economy if you want consumer's to consume, they live paycheck to paycheck now while desk jockies that don't produce a product make more than that, and then don't forget that CEO Pay use to be 100 times what their average worker made compared to what they do today 1,000 times plus. Now you might say that they produce earning's for investor's but this is what I say on their knowledge to do that, I can give a kid a choice between having 1 or 10 pieces of candy for a dollar and see the same CEO knowledge !!!!! We don't even think about this overhead of people that don't produce 1 piece of a product, now why is that being it's such a high number of dollar's in overhead? Think about what has happened here because, you all educated idiot's don't understand the problem. Well there is a start of your education call it Worker 101, do you think your smart enough to understand it? How about we start controlling immigration and support staff and, start bringing the middle class back over a period of time to where they should be ? Think About it. God Bless The USA.",0.9938
3930,306 gapComing,0.0
3931,"Good. It was not a 500 point gain for the DOW do GS loses again. They don’t stand a chance the way things are going. Down, please. Take the elevator; the drop is faster.",0.5991
3932,LT just can’t get a break. New British Labor Party leader apologizes for the party’s Anti Semitism under her hero Corbyn.,0.6432
3933,"$GS and their short minions did all they could. But... $TSLA is force of nature. We will see who wins in the long run. Now that their short term bet is not doing so well, they profess their expertise in long term outlook. What a farse...",0.6038
3934,in 236 last night,-0.052
3935,"Out of our collective pain, we will find our collective purpose: to control the pandemic, to save lives, and to heal as a nation",-0.342
3936,GS THE ECONOMIC SHAKEDOWN CONTINUES ----SEE NORMAN FINKLESTEIN,-0.4503
3937,Post deleted... General Golan comparison. Nutty's Israel to 1930's GermanyNutty hypeventilating...Maybe he should see how true Golan isNow Nutty wants everyone to forget about it...Cause he knows it is SO TRUEThis is what he has done...Just like AH,0.8535
3938,THE EXACT REASON much and the banks made that comment when they did when no one even thought of it was because the banks are starting to get calls and assets are falling. They made the comment because they new full well they may not be able to make the same comment in days or weeks from now.,0.866
3939,Will Goldie close under 190 today...Setting up for next leg DOWNHeading to 150 by end of summer,-0.1312
3940,Hizbollah leader Hassan Nasrallah claimed they weren’t doing anything improper in the Fatherland. He said trust me on that.,0.654
3941,"For two decades, some Israeli officials and Israel partisans have worked to embed a new, Israel-focused definition of antisemitism in institutions around the world, from international bodies and national governments to small college campuses in heartland America. This effort is now snowballing rapidly. As a result, advocacy for Palestinian rights is well on the way to being curtailed and even criminalized as “hate.” Read moreIsrael-Palestine Ti",0.7685
3942,Edgar Allen Poe,0.0
3943,Fred bin: Thanks to the Israel boycott I have discovered some great MADE IN ISRAEL products I would never have bothered to look for.Top of the list is Dorot garlic sold in traders joes Whole Foods etc...delicious Also since imitating the boycott of soda stream The stock has risen from 15 to nearly 90...Pauline ,0.6888
3944,"U.S. T-Bill rates just went negative, Rut-Roh!",-0.6838
3945,BOUGHT A LOT OF STOCK THIS MORNING A LOTTERY TICKET,0.1482
3946,I’m looking to buy in there Earnings will be announced very shortly. Wells Fargo beat so I think GS will beat,0.6707
