,Recent headlines and conversations for IBM,Polarity
2986,"Rometty needs to go - with everything stacked (weaker $, new mainframe) is this the best IBM can do??",0.7355
2987,upgrade from JPM and new chip still it is going down.If it was AMD it could have 15 to 20% up.,0.6423
2988,IBM : could hit 160$ by Friday option expire,0.1938
2989,Possible turn a round,-0.1471
2990,"if it can break through 141 today, I'd call it a recovery... big if",0.0893
2991,"IBM would improve financial performance by laying off all staff, selling all assets, buying government bonds and continuing to pay a 5% dividend.",0.7325
2992,"Aren't IBM's competitors, MSFT & AMZN - too big and muscular for IBM to compete with? How can a 100 billion $ company compete with 2 trillion $ companies?",0.3075
2993,This new management is very shady!!! First they announced a spin off!!! Then on the quarter conference call they suspended their guidance!!! Can you thrust them????,0.7352
2994,"If anyone knows how to invest on here, you have to realize that this a great opportunity to buy more IBM. Of course I am looking for a 2 year window for $200/share. Dividends help immensely also. Most long term investors usually make money.",0.9442
2995,Red Hat employee stock options all going to vest in full when the transaction is completed. Employees are going to stay with Red Hat till the deal closes and move on.,0.6004
2996,"every stock is a short,, this is a game where shorts always take their cash,, then they let the market run then hit it hard again,, IBM has no strength ,, no real buyers",0.442
2997,"IBM’s EPS is down 21.64% from $3.42 in the third quarter of 2018.Its revenue comes in 3.89% lower than the $18.76 reported in the same period of the year prior.Operating income for the company comes in at $1.67 billion, which is 37.92% worse than the $2.69 billion reported during the same time last year.The IBM earnings report also has net income coming in at $1.67 billion.This is also a 37.92% from the company’s net income of $2.69 billion from the third quarter of the previous year.",-0.6595
2998,If it drops below $100 I’ll buy nobody knows on the recovery from bad mgmt. $137 target absurd,-0.2127
2999,"IBM is now a CRYPTO $ play, I see this going to $400+ with a 3-1 stock split by 2024 and along the way collect a hefty dividend By hosting workloads on IBM Cloud – the industry's most secure and open public cloud for business – clients will be able to use IBM Cloud's confidential computing capabilities delivered with IBM Hyper Protect Crypto Services and backed by the highest level of security certification commercially available.",0.9422
3000,"If IBM's stock price continues to go down to below $100 and stays there until the company splits in two by the year-end, each of the split companies will become an easy target for the corporate raiders! If they do manage to get their hands on this once iconic company, IBM will become unrecognizable and die slowly. It will eventually join the ranks of Xerox, Sears, and Eastman Kodak et al. sooner than anticipated! Just my humble opinion. ……………Tex",-0.3228
3001,Locked in my dividends. Easy money,0.4462
3002,"Watch for Ginni to step down in the near to mid term and a subsequent 10% pop in PPS. RHT was expensive, but should create a lot of value moving forward. Think about opening a position.",0.8969
3003,"Apple, Amazon and all these companies are making huge strides in healthcare and Ginny is doing nothing. Every hospital in the world needs records in the cloud. Healthcare is very untapped in technology and wide open opportunities. We never had any of these resources when I became a RN. You had a reference book that weighed 5 lbs and your knowledge that is all.I just may have to give up on IBM. I have lost confidence. If they could get a new CEO maybe, but that woman does not want to move on from her gravy train.I",0.9501
3004,IBM is no longer International Business Machines given as to where most of its developers are situated. It is Indian Business Machines.,0.0321
3005,Ibm by 2029 should have 700m or less shares out standing n eps of 40 to 50 isnt out of the question with 160b in top line,0.5005
3006,does lead me to believe IBM might not see these levels if ever again. 158 to 148 do I take my loss here,-0.2356
3007,we shareholders are in shock with this pre mkt. I wonder if this terrible ceo is playing golf at Augusta,-0.3227
3008,"To my fellow suffering longs: Moffett Nathanson analyst Lisa Ellis, who had a sell rating going into earnings, valued IBM at $140 per share. My point here is that if you hold IBM, it doesn't make sense to sell it at $134 or $133 per share. Obviously, I'm not suggesting buying more of IBM. But coupled with some smart option positions, it makes more sense to sell IBM when it goes over $140 / share.",0.9433
3009,Feel bad for those who bought call options in IBM in the last few days. This company just can’t stop fisting its shareholders,-0.5374
3010,"The deal reeks of desperation at a flailing firm that is quickly being made irrelevant. Management might also be telegraphing a steep dividend cut to help ""pay for growth initiatives at newly acquired Red Hat"".",0.6949
3011,Selling IBM shares at $139 is short-sighted. They are in the right space and the Red Hat acquisition changes the formula and the revenue trajectory. The company has transformed and positioned itself well for the next 10 years. Will make about $14.20 a share in 2020 and trade at $175-$195 in 18 months. $140 is a good accumulation point.,0.8777
3012,Remove the IBM Immelt who has proven records of incompetency. IBM will go up to 135 right away.,-0.2355
3013,Remember when longs were relentlessly taunting suspected shorts after earnings?,-0.0512
3014,"Red Hat is a game changer for IBM. Red Hat was/is the world's leading provider of enterprise open source solutions and will add business, but much much much more importantly, Red Hat they will change IBM’s attitudes and behaviors of the combined company and its employees. IBM’s entire company culture will change from within - and this is exactly what the doctor (dr. Watson?) ordered. IBM 2.0. Big Blue shall rise again!",0.8093
3015,"What does US Steel, IBM and Sears have in common? Poor management, lackluster boards and failing earnings. IBM at one time invented new products and made new markets. Those managers are long gone. The new MBA’s don’t want to risk (invest); rather follow at best. They will buy into it later.",0.7943
3016,WARREN BUFFET IS JUST ANOTHER RUN OF THE MILL STOCK MARKET #$%$.DO NOT LISTEN TO HIS #$%$.LOOK AT THE CHARTS - & DO YOUR HOMEWORK.IBM IS PRESENTLY IN THE SELL ZONE - PERIOD.,0.782
3017,dark side is still very strong...this trading doesnt have anything with IBM revenue or earnings...,-0.2796
3018,I can’t believe it hit $133. Likely $160 in 1 year.,-0.0372
3019,Buffet knows bs when he hears it,0.2801
3020,I know there lot of names for successful companies that don’t make sense. But this kyndryl spells misery on top of misery. This company execs are rushing to bring it to the ground as fast as they could. Way to go ... and hélas an American icon is looking like the worst of high tech companies. Ask yourself why ?,-0.8142
3021,Think about it. IBM wouldn't made this decision if it wasn't fully enthusiastic about its cloud effort. Just the beginning imo. Buy.,0.134
3022,IBM will dominate cloud and its shares are a gift under $250.00.,0.4071
3023,Huge huge HUGE volume today. Almost 3x average volume already. Going up.,0.8944
3024,what happened to the rally?,-0.079
3025,Who know why ibm dow after the bell?,0.0205
3026,"IF you feel as I do, the board has abdicated its responsibility and violated its shareholder fiduciary role, VOTE YOUR PROXY to REMOVE THEM! This needs to be done before IBM ends up like GE and the CEO that ran that company into the ground while the board played pocket pool.",0.8884
3027,If the board wont act to right the ship...VOTE your proxy to get rid of ALL of them!,-0.3288
3028,"If Buffet is gone, what are we doing here?",0.1573
3029,"Even if rometty quits or gets fired, who will take over? It would be like replacing the captain of the titanic after it hit the iceberg. It's over, down into the depths she goes. While the executive orchestra of incompetence is still playing.",-0.8004
3030,our company dropping a lot of IBM hardware and going for Amazon AWS.,0.2865
3031,dropped to 19 in the Valueline Div Portfolio plan to add as it rises.,0.2792
3032,IBM best days are in the past. There is no reason to buy. They have yet to reinvent themselves. Unlike Microsoft. If it wasn't for the stock buybacks this PPS would be near 100,0.6627
3033,"Buybacks are short term ""fixes"" to goose the stock but EARNINGS, results drive the price in the market. IBM used to drive the technology bus. Now its in the last row by the toilets.",0.7329
3034,Red Hat partnering up with Nvidia can only be a win-win!,0.2696
3035,IBM Financial Engineering will surely not disappoint and will come up with some smoke & mirrors figures for the bulls to lap up...,0.2163
3036,"The best question to ask yourself when trading or investing in an individual stock is ""if you didn't own the shares today , would you buy them""? The answer is usually a pretty good indication of what you should do. Foe me ....on IBM....I don't own them and wouldn't buy them.",0.8963
3037,Why is this stock going down big today when the DOJ is flying high ?Incredible how this company is being led into the ditch. One American icon falling ... due to being outsourced,0.6063
3038,Wondering if I ought to switch to $AMZN or $IBM. Thoughts?,-0.0559
3039,Why did Buffet buy Red-hat? To make a few quick bucks? That doesn't sound like Buffet. Can someone explain what Buffet is doing investing in a company that is in contract for sale?,0.4911
3040,Gonna be more of the same on Thursday. Massive earnings beat on both lines resulting in a 10% jump. Just like last quarter,0.7159
3041,160 after earning,-0.0698
3042,the best thing that I B M could do right now is get a new CEO. Clean house upper management. IBM might then have a chance. Us shareholders have waited way too long.,0.9285
3043,would be nice if we can touch $130 today and maybe new resistance level going forward!,0.7544
3044,"According to registered IBM users on LinkedIn there are nearly 12,000 people at IBM with VP in their title. Assume 20 percent are retired or former IBM employees and you have one VP managing just 30 people in IBM on average. A VP gets all kind of perks at IBM. If IBM ever expects to re-emerge as a player it would make sense to let half of those VP titles go. You can’t keep laying off worker bees every year and let your VP’s manage less and less revenue and staff.",0.9125
3045,Please tell me if I am missing something here. I can buy an old established company that is now one of the leaders in cloud technology and receive a well covered dividend of over 5 1/2%?￼,0.6507
3046,It's nice to see a second day up in a row. This rarely happens these days with IBM - even when the market has a good day.,0.7737
3047,Posted at the $ibm MB ... nice new revenue in critical needed 10x cloud capacity with corona! https://finance.yahoo.com/quote/IBM/community?p=IBM&messageId=ab34192a-3269-413d-8cc3-668d90020a84&bcmt=1,0.787
3048,"IBM isn't even factoring in all the revenue from Red Hat while accounting for all of Red Hat's expenses.""However, IBM has said that it would report only a portion of Red Hat's actual revenue for some quarters, while recording all its expenses as required by U.S. accounting standards.""Good opportunity to buy a growing cash flow positive company with a great dividend and over 100 billion dollars in backlog revenue.",0.9228
3049,Big Blue shall rise again!,0.0795
3050,https://www.barrons.com/articles/ibm-stock-downgrade-neutral-legacy-businesses-red-hat-51571668644?siteid=yhoof2&yptr=yahoo,0.0
3051,"ok, I am at a cost basis of 159, so now thinking of adding at these levels. I think earnings will be good again. The ship is turning around....a bit slow though. Div is great and should be safe and sustainable....unlike GE situation.",0.918
3052,"whats wrong with IBM again today,,,,,,now we are in 124 level, yesterday 127,, this is getting old the stock cant hold any level",0.3589
3053,"Undervalued AMD, the best in super computer, beat Intel and others...….. Intel old antique flaw processors with patches no match...………...",0.7712
3054,RGNX will be receiving royalties also on Sarepta DMD drug EXONDY57= ETEPLIRSEN that could amount to 10%= 100 million next year in 1 Billion in sales. there is an arrangement that Sarepta is using a vector of RGNX that has a 98.9-99.5 % identicalality to RGNX vector and which RGNX owns. RGNX brought the litigation against Sarepta with expectation of friendly conclusion as both companies are sharing same gene therapy programs vectors involved are AAVrh74 and AAVrh10. very good news for RGNX which controls the 100 AAV gene therapy platform vector delivery system and has a $6 billion Private market value which is 3.1 x current market cap of RGNX,0.9751
3055,"For those who really want dividends there are better plays such as Xerox. Their PE was like 5 or below . IBM is bought by investors because it was akin to buyijg Msft or Aapl or something like that. Now it cannot even be an Nvda or Tesla, and we are now comparing IBM to Zoom. Can you believe that ?",0.9068
3056,"Could this FINALLY be the breakout we've been waiting for??? With earnings coming up in a few weeks, c'mon IBM DON'T disappoint all the loyal holders as you have the past decade!!",0.9575
3057,"GE, always made there numbers......Jack Wealth CEO........Canos says IBM doing the same thing.......30% over valued....6% to lose 30%........????",0.3834
3058,Heard on the vine today....More U.S. layoffs planned for the third quarter.,-0.5172
3059,"The CEO is way over her head. If IBM insists of a woman CEO, it is plenty OK, just hire the right person.",0.8469
3060,Oversold in the short term,-0.5043
3061,BP Ties up with IBM's quantum network. Great news for IBM.,0.7973
3062,"IBM's dividend is already pushing 5%. If this doesn't put their dividend at risk, I'm buying everything I can under 110.",0.2891
3063,Big Blue is making a huge comeback.https://newsroom.ibm.com/2019-01-17-IBM-Vodafone-Business-Join-Forces-to-Drive-Innovation-in-Rapidly-Changing-World,0.2446
3064,IBM boils... a matter of time before it explodes...,0.0721
3065,IBM paid too much ... ibm does not know how to negotiate.. moreover rhat. Is more heavy on Linux,-0.163
3066,My greatest fear as a long is IBM may well lose its spot in Dow 30. Few high tech is now trading in May 2020 price. Wall Street has valued us only equally only to Zoom one third the size of Nvda or Tesla.,0.8732
3067,Great day for IBM stock. I bought it at $115. It’s headed to $125. Taking my dividend today and waiting for the next leg up. A lot of Director’s are finally buying.,0.8835
3068,whoa!,0.3524
3069,Usually Female Tech CEOs never have happy endings.,0.6339
3070,Must be in Bizarro World - All markets in the red and IBM in the green!,-0.4231
3071,How many shares in the new company will be givin to existing IBM share holders ?,0.5236
3072,"Until God's chosen people/Investment Funds develop a love and invest in this company, IBM stock is destined to stay in the basement. JMHO ............. Tex",0.7097
3073,"The SNOW stock is at a huge PE and its cloud data managment/storage is not equal to what IBM has in this area.This point is made confirm IBM is vastly undervalued. After the spin-off, expect the IBM cloud stock to generate huge valuation - . That can be expected using SNOW as an example of where the IBM stock can go.I will assume IBM will allocate most of its dividend income to Newco - the spun-off stock. I will hold Newco because IBM growth will support Newco growth, and I like the dividend income.",0.9521
3074,Ibm should merge with cisco and compete against the big guys,-0.0407
3075,Heading to $100? Any thoughts?,0.1142
3076,Ya want a collapse of markets and mob rule in the streets of the major cities? VOTE DEMOCRAT! The IBM board has become WAY too over the top playing pandering politics. NOT YOUR JOB BOD! Focus on getting IBM moving forward again or resign for seat!!!,0.9176
3077,IBM was down for a while but obviously not for the count as they are looking like there not just back up but standing taller than ever. Still flying under the radar with their innovations and high number of new partners signing in so many cutting edge technologies as witness last week it's time new upgrades on the stock with aggressive new higher price targets.,0.9739
3078,IBM has topped out in the short term. PUT VOLUME high today and will now fall down 5-10%,-0.0999
3079,The NEW spin off company will have 60 billion dollars in backlog orders according to Bloomberg.,0.7233
3080,"Warren Buffet better Man Up! He better cough up some dough, and come back to IBM! We need to get this tech stock cranking! Warren Buffet is just the Man who can get this tech stock to soar! Warren Buffet - U are hereby drafted!",0.9642
3081,"FIRE Ginni and make Whitehurst the new CEO ... should this occur, I have visions of IBM reacting positively and see the stock price going up dramatically over time, just as MSFT did when Balmer the bozo left and Nadella came in!!! BTW, the entire IBM BOD needs to be fired since their PC hire was in office for so long and they were desperately trying to save face!!!",0.9367
3082,Time to start piling into IBM for next quarter earnings! $200 in 2021!,0.2573
3083,Come on Big Blue! Your ER and CC thereafter will drive the market mañana.,0.6659
3084,"god, i am saved. was planing to buy this last friday. monday will be big drop",0.5454
3085,I needed this news yesterday :(,-0.3181
3086,"Awesome buying opportunity here now! We are below our 50 day simple moving average, with an RSI level of 35 indicating this is oversold. Time to get in now to ride the wave back up. Good luck all!",0.973
3087,One has to hit the ask to play poker. Up we go!,0.671
3088,161.70 -7.42 (-4.39%)After hours: 4:41PM EST It will be opening in the high 150's tomorrow.,0.6523
3089,Holding strong compare to apple,0.7618
3090,"We made progress in 2020 growing our hybrid cloud platform as the foundation for our clients digital transformations while dealing with the broader uncertainty of the macro environment,"" said Arvind Krishna, IBM chairman and chief executive officer. ""The actions we are taking to focus on hybrid cloud and AI will take hold, giving us confidence we can achieve revenue growth in 2021.""",0.8271
3091,i like the 6buck div,0.3463
3092,"I wonder what the percentage of you guys on this board are missing a chromosome.. IBM will never keep up. IBM hasn’t done anything in almost a decade, move on..",0.4783
3093,Ex dividend coming in 2 weeks !! Now is the time to buy !! Great 2018 coming and PE <12. Great buying opportunity now for upside growth.,0.9727
3094,https://www.cnbc.com/2020/04/06/arvind-krishna-takes-over-as-ibm-ceo.html,0.0
3095,"IBM is selling for 10 times earnings and pays a 4% div,and its starting to grow revenue,whats not to like,",0.5092
3096,"Lets hope she is wrong....No Bueno it appears. Morgan Stanley analyst Katy Huberty lowered her rating for IBM shares to Equal-weight from Overweight. “Our CIO survey published this week highlights risk of core IBM revenue declines,” she wrote. “We expect 4Q results in-line with our estimates and see risk to CY20 EPS guidance.”",-0.5004
3097,same price as may of 08..this us the sears of tech stocks..can't believe buffet still owns it,-0.0167
3098,"ibm was 150 a year ago now 118, guess the hedge funds are the winners since they shorted it big",0.6771
3099,"IBM used to be a colossus. IBM and Bell Labs together did much of the digital transformation. ATT got split...Wall Streetmade much money but the US no longer has a company capable of making 5G infrastructure. IBM also go attacked bythe antiturtrust boys...that and grossly incompetent management that callled every tech turn wrong means that IBMis now a midsized, shrinking company....pretty much lagging in every product category. Hard to see how it could turn around. There may be one last hurrah as Romety is let go at long last...an opportunity to cash out. A recovery wouldbe dependent on some technical advance, or perhaps evern good routine management. Hard to see how that couldhappen unless a neww CEO comes in to effect massive layoffs of middle and upper management.",0.9257
3100,"A friend of mine works for IBM; she says IBM is a dead horse, with little future, and the spin off was to hide losses. I would rather own MSFT.",-0.0611
3101,Market telling IBM it better start turning it around and give future guidance,0.52
3102,#FIREGINNIROMETTY - SHE HAS UNDERPERFORMED THE S&P 500 BY 100% OVER LAST 3 YEARS!!!!,-0.6519
3103,Not an investor - but why is it tanking when it beat analyst expectations?,-0.2428
3104,"If we follow the playbook after past earnings, up for next 5 days....all is fair in t he game",0.4682
3105,My Nvidia shares lit....... Then there's my IBM shares. Time to grab me a 12 pack of old Milwaukee's best,0.9158
3106,In order to prosper the corporation must foster and maintain a culture of loyalty and win- win atmosphere. IBM has destroyed itself from within... most engineers working for the company will leave at the drop of a dime l... why? Because the company treats its employees poorly as though it is obliging them with work. There is no one in charge ... the management is filled with incompetent individuals who are obsolete and don’t unleash the talents they have at their hands... primarily because the talents have either left or are about to leave... Spinning into 2 companies is just a laughable musical chair game ... and believe me I know what I am talking about... now the one tiny hope IBM has is its AI intellectual properties accumulated over the years... whether the talent can be kept to even having the wild thought and imagination of being able to compete with the likes of Google and amazon and Microsoft is something yet to see...Otherwise as far as cloud computing goes... they have lost the war on that badly with no point of recovery...just as they lost the PC battle...It truly breaks my heart to see once a great company to work for with so much innovation is in a dying path... titanic in the making...,0.9831
3107,The research shows IBM a strong company and it's all the negative coverage that holds the stock back.,0.688
3108,I see a recovery to $150 soon.,0.1406
3109,bitcoin collapsing yet ibm blockchain is their highest priority ???????.....can it get any worse ?????,0.4553
3110,IBM book value (true value after they sell EVERYTHING in IBM including building ....) is only $7.13/share and its earning per share is only $9.52/share. Why do you pay $132.95? WHY you pay for a company will be bankruptcy soon?,0.8455
3111,I worked for IBM back in the early 2000’s. They only cared about the mainframe computer. There was no ingenuity whatsoever. They couldn’t move past the mainframe mentality. The upper management needs young new blood that can think outside the box. First thing is to fire that incompetent CEO!,0.6233
3112,"Another day of big market gains, and another day of IBM going RED! The trend in inescapable with current CEO, yet the board isincapable or unwilling to act. What a great company this used to be, and yet, with all it's patents, technology and skilled workforce, they're incapable of selling! Someone please explain how this turns around...I'm all ears..",0.8992
3113,IBM will go nowhere until Management totally gets rid of Ginny Rometty who is still Chairperson for the remainder of the year..Why they kept her on after she totally dismantled this company during her tenure is mind boggling...,0.2421
3114,IBM share price is at a pivotal turning point. 2020 will see the benefits of the Red Hat merger. End of 2020 this will be a $165 stock.,0.449
3115,bullish 2 job stock,0.377
3116,Interesting $ibm is green too... today is their ER after hours. Do you think we'll hear partnership with AMD for new cloud datacenters with AI GPUs and EPYC Milan? That should do it getting us over $60?,0.9104
3117,IBM is going to be a lot of dead fried chickens in the smart planet,-0.4344
3118,Paltry trade volume relative to IBM's newfound interest will take us to $160 in short order. Buy.,0.5816
3119,"I sold at 137 a couple weeks ago. As soon as these two get on the conference call and open their traps, the earnings bump fades. I was hoping it would go the other way to get back in, what a great dividend stock that can play big offense.",0.9426
3120,https://finance.yahoo.com/news/ibm-comcast-ventures-back-fund-160000318.html,0.0
3121,"Very short supply of IBM shares, most analyst bullish and Buffett it out of the way.",0.4693
3122,The only number that matters:Revenue $B2011 106.92012 104.52013 99.82014 92.82015 81.72016 79.92017 79.12018 79.62019 77.12020 1H 35.7,0.1692
3123,The CEO just bought more shares at the $110.31 price so he knows something we don’t. Hang in there and we will see this move up quickly.,0.8099
3124,can anyone tell me how red hat makes ibm a player in cloud or hybrid cloud?,-0.3159
3125,"IBM has a lot of interesting tech. Looks like the new CEO may be better positioned to monetize them. For instance, IBM blockchain may not provide much revenue now, but will drive customer cloud spending. Seems like a good entry point to buy IBM now. The risk reward ration is too good to pass. IBM may be a turn around story like MSFT a few years back.",0.9751
3126,"IBM quarter highlights along with revs/earnings beats are substantial Cloud growth, increasing margins and paid $5B in debt. What's not to like? GLTA!",0.7789
3127,"way oversold,less than 10 times earnings and a dividend way north of 4%",0.6634
3128,"IBM: need to catch up with the market RISE 146 147 tomorrowTriangle has been resolved on the UP SIDEStock market continues to RISE 150 easy when SHORT rush to cover, start tomorrow OPEN 145",-0.2804
3129,It may go test the resistance at 153.,-0.1201
3130,I think you're wrong about IBM. It's a blockchain player and won't come up short. The whole market is red right now.,-0.3349
3131,IBM=Future of Blockchain,-0.0079
3132,Down $4 from yesterday's high. WTH happened?!!,-0.6702
3133,"Instead of thinning out the tech ranks then back filling with more middle managers who essentially couldn't manage a restroom properly, IBM would be up there with Amazon. There was once 250 thousand technical people in America who did excellent work and got the job done, now its less than 20 thousand and layoffs are coming again. Morale is flat. Off shore workers do not have the same drive American workers do to get the job done. Convinced by accountants to off shore to lower labor markets to see better results on the bottom line. All to save a dollar or two. Rommetty is IBM's Jeff Imilt who ran GE almost into bankruptcy before the board took action.",0.9295
3134,"Based on the EPS and PE, IBM is a $150 stock easy.",0.6959
3135,Another bad earnings expectations on the horizon.,-0.4395
3136,"With GAAP earnings at $1.87, there is no way they can keep the dividend at current levels going forward.",0.2053
3137,AWS and MS laugh at IBM.....Rometty must take huge blame but those who preceded her are also guilty,0.0178
3138,Are you ready for IBM's bad earnings tomorrow?,-0.0852
3139,"This CNBC interview is hilarious, cackling cuckoo Rometty going on and on and on. But has she said anything strategically? If the 2 companies will coexist next to each other, what is the value then. Why spend 34 billion dollars when a partnership will do the exact same. I really don't see what value this brings, either to RHT nor IBM. Except of course for the $$$ in the RHT shareholders.",0.964
3140,hahahahahhaaha. IBM is a value trap for investors,0.036
3141,what happened here. It was up over $136 before close and I open it upi this am and it says it closed down by $.80 what in the world is going on?,-0.3986
3142,Why up ah,0.4353
3143,I'm grateful to be an IBM shareholder right now.,0.5146
3144,"IBM continuing to trend upward with positive news . A SOLID buy and hold for long term investors.!!Great dividend! Looking at 130.00 by December 31, 2020. jg",0.9441
3145,The passive dividend investors should have been buying at these prices for their Roth's.,0.5722
3146,"The way is shaping up after Red Hat, plus cloud and cognitive software growth is silently positioning for the present days. I've read posts referring to an old company, as if the company was judged from its desktops. A matter of time it rebounds.",0.8293
3147,Have 60 call contracts Jan 26 call; How to trade it before/after earnings?,0.3751
3148,$200 target. Simple the DOW must keep going up and IBM lags but not for long.,0.609
3149,Praise the Lord! There is a God! Buy.,0.7858
3150,Get ready... earnings beat then a series of analyst upgrades based on the RHT deal closing...,0.3795
3151,will age dicrimination suit take bite out of future earningd?p,0.0055
3152,"In the past couple of weeks, I have read posters on this board promoting their prices targets between $220 and $400. What is the time frame for reaching these targets? Will any of us still be alive?",0.8282
3153,"$IBIO Part 1 of 2… For those that are new and investigating IBIO, several people here don't sleep. Ever. You will find a lot of information here. IBIO has many ongoing projects, and has received funding in the past from DARPA, the NIH and the Bill and Melinda Gates Foundation. Here is a list of the projects:Covid vaccines (2)Anthrax MalariaHookwormSwine FeverH5N1 / H1N1 InfluenzaIdiopathic Pulmonary FibrosisAnti-Cancer Biobetter3D printed organsCollaboration with AzarGen Biotechnologies' Development of a Rituximab BiosimilarSystemic SclerodermaSome business related accomplishments include the selection by IBM for IBIO to receive no charge use of the $IBM clinical development solution for 18 months, beginning late June 2020. IBIO was added to the Russell 2000 and 3000 indexes in late June 2020 as well.",0.7686
3154,What will it take to get rid of this CEO?,0.1416
3155,I bought this on the Valueline dividend portfolio a week later Buffett dumped it. Later Valueline did too after hanging on for a big loss. Then justified by say decreasing holdings. Then it came back in the Appreciation and Income for awhile today it’s gone.,0.7463
3156,It had no where to go but up hopefully it will move back to the $136.00 price. Longs it hurts but hang in there.,0.5215
3157,Forward PE 9.5. Think about that. Accumulate here.,0.4943
3158,$130 is just around the corner as the new lower level resistance....NICE!,0.1248
3159,"See below. Can someone explain what Chanos is saying in yesterday's article on Yahoo's Summary Board:Chanos said that 'they still like Tesla' but there are so many better stocks for them to trade now. ""Probably my highest conviction is an idea that will surprise the viewers. It's a company that nobody's heard of called IBM (NYSE:IBM)."" He said that IBM is a 'value trap' and they had a lot of success through the years in companies that looked cheap but have had structural fundamental problems. ""The company (IBM) we think, is still engaging in basically accounting high jinx. And it's hiding all in plain sight if you take a look at their numbers."" Jim added that IBM was supposed to earn $9 pro forma in 2020 but the actual number was just $6. He thinks that it's going to be only $5 dollars this year and $4 in 2022. ""IBM increasingly has engaged in lots of games to do this and the latest one is they're going to do a spin-off and now take a lot of charges, that they're going to ask you to add back as part of the adjusted earnings so that the actual gap earnings don't look so bad"". Jim Chanos said that IBM tried to do this thing about 5 years ago and they can only do this sort of 'illusion' for a short period of time. For him, we're in a period where IBM will sooner or later announce that ""we're not really earning $9, $12 or $13. We're actually earning $6, $5 and $4. And it's going to be the next reset.""",0.9835
3160,"Great interview Ginny conducted with PM May. I think, from a number of things we're seeing at IBM, that Ginny is hitting her stride. Over the next couple of years, look for IBM to reestablish its total leadership in high end business leadership.",0.8968
3161,"IBM sinking fast, my previous price point $120, lowering to $115.",-0.2556
3162,"I am waiting to buy this at $140 or lower. 67% of the capital structure is debt. These guys have racked up lots of debt to try and effect this turn around. I mean, they had no option, but the stock has become a trading stub. Take years to pay down the debt.",-0.8186
3163,Nothing innovative here. They're a 100 year old company playing catch-up with companies that are 1/10th of their age.,0.6032
3164,You people just want to believe there's something happening when in reality the only thing is the dividend and that is dwindling for new investors as it goes higher along with a stretched multiple. The believers will hang themselves again on another false pop in this stock. Just line up the next round of bag holders who will get a dividend but see it lost to a falling stock price.,0.2923
3165,"AMD scored 'huge' win for El Capitan supercomputer, says Rosenblatt Rosenblatt analyst Hans Mosesmann noted that AMD (AMD) announced yesterday that it would be supplying both EPYC CPUs and Radeon GPUs in the DOE's 2 exaflop capable El Capitan supercomputer, which is a win that he called ""huge."" The El Capitan win ""has immense implications for HPC/supercomputing markets"" because next generation supercomputing architectures are leading indicators for where hyperscale and PC compute platforms are headed, argues Mosesmann. He also suspects the Street is not registering is that these contracts were expected to go to the pair of IBM (IBM) and Nvidia (NVDA) and/or to Intel (INTC), the analyst contends. The El Capitan win is an important element of the AMD story being much more than a market share gain one, contends Mosesmann, who keeps a Buy rating and $65 price target on AMD shares. AMD $HPE $IBM $NVDA $INTC",0.9734
3166,adios ginny,0.0
3167,"This is a stock you own for the dividend, not for those investors expecting aggressive growth.",0.6869
3168,Volume is HUGE today. The smart people know. August 2nd is the BIG Blue and Red day!,0.8015
3169,IBM needs people who understand technology at the helm and not MBAs who only know accounting.,0.1736
3170,The CEO must go.,0.1649
3171,Bonafide clamor for IBM shares continuing. Buy.,0.4137
3172,Not that bad of a report. Pretty in line in fact. Red Hat will transform IBM's future to one that will be significantly more upbeat. Buy the dip.,0.5715
3173,picked up some this morning to start position here and collect that 5% dividend. Will be tremendous impact from the Redhat acquisition in the quarters going forward imo,0.623
3174,Ginny needs to go to the Bunny Ranch where she can serve as a comfort woman. I don't think she's suitableto be a CEO.,0.6386
3175,WOW looks like 2 years worth of dividends going to be wiped out in 2 days but everyone don’t worry the forward 3 or 4 year dividend might pay off still so stick with the stock,0.5939
3176,Sell while you can still profit. This company will be in the rearview mirrors of every major tech company.,0.6238
3177,Buyer beware,-0.3397
3178,"GR still needs to go, but I'm dipping in at this level",0.4572
3179,BUYING TODAY. I EXPECT THINGS TO MPROVE NEXT WEEK AND A RATE CUT COMING SOON. THIS STOCK IMO SHOULD TRADE IN THE 170-180 AREA NOW THAT WE HAVE A NEW CEO AND ARE GROWING EARNINGS AGAIN,0.9663
3180,Snowflake which has very little revenue with no tech know how worth almost the same as IBM. This is an insult to the market,-0.5191
3181,I am bullish on IBD now fo the first time over last 5 years!Target $180 in one year!,0.6055
3182,still great dividend. not to be cut. better than GE dividend cut in half leg,0.7476
3183,"Market's down but when the big boys (DnB) think this stock is a bargain,.....and TRIPLE their investment at these rock bottom prices.....what happens to the stock?",0.9395
3184,"IBM , I believe this is the only the beginning.....",0.1524
3185,What a great shorting opportunity. Selling the 150 calls in the August monthly chain is a great choice.,0.9044
3186,"Despite decent earnings and guidance, IBM just couldn't handle those ""nose bleed"" levels!!! Failed miserably at the 200 day SMA which was NOT a good indication!!!",-0.5733
3187,One big advantage that American companies in digital economy of crisscross ecommerce World is they are much more secure than other competitors. I think we are going to see huge dominance in criss-cross e-commerce arena if invested accordingly. IBM and crisscross ecommerce platforms are winners in future.,0.9428
3188,Just tripled down at 152.. let’s gooooo,-0.1465
