,Recent headlines and conversations for K,Polarity
592,https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html?utm_term=.974eae3b6615,0.0
593,Yield near 4%.......,0.2365
594,"It didn’t run up before earning. Don’t see it get beaten so much, it is still good compare to last year",0.4386
595,Crybaby liberals and snowflakes favorite red map.Yes indeed--President TRUMP....the GREATEST EVER...better get Mt. RUSHMORE READY boys !! Here's the county by county ELECTION RESULTS AGAIN....WHAT a WIN !!http://imgur.com/hWJk55W,0.945
596,"looks like the co is getting ready to spin off their fake meat business, morningstar. they are currently offerring to buy back $3 bil in debt l over next 4 weeks which proceeds from a morningstar ipo could replace. k's fake meat business which is larger than beyond meat's businesss",-0.0718
597,Is their anything on her resume thatwouldn't get beaten on?And the WASHINGTON POST????????Can't believe she did what Trump said. https://www.washingtonpost.com/news/the-fix/wp/2017/04/10/susan-rices-track-record-is-taking-a-beating/?utm_term=.cee28666dad5,-0.3093
598,Michelle Obama the worst first lady ever. She said she was not proud of America and hated living in the house slaves help built.https://m.youtube.com/watch?v=aQdG-zVCVvE&itct=CA4QpDAYAyITCIDE7dvwvdICFQmCqgodcE4DjzIHcmVsYXRlZEjsy7rThb21wlI%3D,-0.1839
599,"Strong value still exists here, most of the other stocks in this industry are trading at a higher P/E and pay out a lower dividend.",0.8153
600,Racism charged at new England plant just out at BB News!Wow this can't be good for a company That claims its not Racist!,-0.8945
601,Democratic Party burning up and self-destructing as they loose elections from coast-to-coast since 2010.,0.4563
602,racist company,-0.5844
603,Check out NYT gay black report freaks out after being touched by pretty women. The guy needs psychological treatment.https://m.youtube.com/watch?v=WqGsqWrtEK8,0.6978
604,Get out of this company NOW... major BOYCOTT going on. Apparently they support the pedophilia party of Hillary Clinton and the FAKE NEWS,0.2758
605,It's near to 52 week low. .,-0.1077
606,Glad President Trump will cut off federal funds to sanctuary cities. Watch the video below and you will agree with me.https://m.youtube.com/watch?v=HXg245lltEE,0.3908
607,k is a boat anchor. it cannot move up!,0.4667
608,The dork is ready to help you improve your trading. Join today! Check out https://hotstocksanalysis1.blogspot.com/ .,0.8732
609,gary must be paid by the post.Are his serial posts paid for by cereal?,-0.0064
610,Keep up the good work gun owners. We are driving this pos to new lows.,0.3384
611,"Own a boat load, want a boat load more!",0.681
612,"If you own stock in food companies like K, or any others and you shop on amazon, you deserve to lose money. We need to boycott Amazon. They will be doing their own brands and cut out the national brands like Kellogg and General Mills. Don't help Amazon. Boycott them.",0.8885
613,Fake Meat company???,-0.5731
614,Rachel Maddow total bias liberal failure. Watched the video and have a great laugh. https://m.youtube.com/watch?v=zekYvAGxrCM,0.6607
615,"This is about to climb, look at the news!",0.433
616,Never forget Obama told the biggest lie of any president in US history if you like your health insurance and Dr. with Obamacare you can keep both.,0.535
617,Silly Kellogg. As a Canadian and regular Breitbart reader I can only say what nonsense. What good does the corp does when it alienates its consumers. I do not own shares in this company but Kellogg will be under tmy radar when I do my grocery shopping. Kellogg CEO should immediately fire the PR imbecile that came up with this nightmare and appologize IMO.,0.9067
618,do you think they will add fake meat to their cereal?,-0.293
619,Fritz- spammer girl friend another Trump hater cannot even answer simple questions. Watch and see how dump many liberals are. https://m.youtube.com/watch?v=pZvbA4vnhtw,-0.4963
620,Will never buy a Kellogg product ever agian,0.1574
621,Check out Hillary video she is corrupt to the core. Thank God she lost.https://m.youtube.com/watch?v=8-vbqSLritY,0.7493
622,"Democrat liberals your losing daily loser Democrat party  ObamacareLiberal democrat voter REMINDER: Here's what 8- years of golf gets you. Under President Obama, Democrats lost 986 state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Oh, Democrats lost the White House, too. Democrat party Democrats should hate Obama by now. Keep posting your liberal nonsense keep losing.",-0.9444
623,"I visited the web site today. Wanted to learn move about ""Incogmeato"", I couldn't find it. REALLY, it's not there. REALLY! Really! really... LAMO, the whole site is LAMO. How did this brand get so strong in the past with this level or marketing? This cannot be, I'm thinking I'm really stupid and just too old to get it. Somebody help me!",0.9093
624,"Kellogg Company Declares Regular Dividend of $0.54 per Share and Announces Plans for 4% Dividend Increase. Bullish indication in KDJ and RSI, according to stoxline.",0.8842
625,"Perhaps a short-term pull back is more likely before the next rally on K? Yo you should really check out awesomestoc-ks, they seem on point with their stocks.",0.4894
626,"K, is priced far too high, it provides a stable dividend but w/ growing debt, slowing sales, a brand which needs a refresh to inspire people and more healthy products not ones loaded with processed sugars/corn syrup and white flour... Can anyone give me some feedback as to the psychology behind why some people are willing to pay so much for a company which is very overvalued even if the dividend is reliable but the price of the stock is at a super premium like K's is. I am someone whom only buys good companies with excellent balance sheets with recurring revenue growth at low valuations, I research and wait for the right time. I know everyone has a different investment philosophy but I don't understand paying such high prices for companies. Adobe which has growing revenue, offers an excellent product I like too, will continue to do well I am sure but it is super, very overvalued with a price to book of 9 and price to sales of 11.5, why do people pay so much for these companies? It is like buying a healthy apple or orange for 5 dollars which can be bought for .50 cents else where. All the best to everyone, health is our greatest wealth ultimately. I look forward to some discussions on this topic of buying overvalued companies ie. TSLA is another one.",0.9986
627,"Donald's Advice For Coast Guard Grads:"" I'm Doing A Tremendous Job As President""(""plus be born rich so you don't have to be losers in the coast guard whose budget i'm cutting so rich peoplecan pay less income taxes"")",0.7868
628,LOL! At Fake news MSNBC lying Brian Williams and gay Rachel Maddow suffering total meltdown after having to call Trump our next president. Boy where those to liberal losers wrong. https://m.youtube.com/watch?v=2oZpTzTL9cU&itct=CAcQpDAYCiITCOePyuqovdICFYmTqgod_DEPGDIHcmVsYXRlZEjM9MPAnu3E7lI%3D,-0.8737
629,Another Obama voter goes postal. https://m.youtube.com/watch?v=CfSG1WhVMp0&itct=CBAQpDAYASITCNvpj5X3t9MCFZDAqgodStYGajIHcmVsYXRlZEj3rbvV27uxv5oB,-0.247
630,Kellogg is down 5.05% to 60.00,-0.2462
631,"Hey guys, did you hear solar power is up to almost 1% of energy generated?https://www.eia.gov/tools/faqs/faq.php?id=427&t=3",0.9102
632,"Fascist left wing Democrat Party destroyed itself in about the same time as the third Reich.... Both parties used same tactics against their political adversaries, loathed the military, promoted thugs to high offices, used intelligence agencies to jail opposition, promoted racism to bolster their agenda.The parallels are profound... you just can't make this stuff up...",-0.6321
633,"Maybe ""K"" will be moving their headquarters to the Middle East where their corporate values are more aligned with the general population!",0.7409
634,Is it possible for AMD to reach $15.5 next week before Friday? Do you think shorts will f#%^@$^#k us again?,0.3562
635,Is it a good buy here guys?,0.507
636,https://m.youtube.com/watch?v=9KS9X0Nd1HU,0.0
637,Bad news for Democrats that love their Obamacare get ready for your premiums to go up to 20% or more. Soon democrats will be crying like babies asking GOP to fix the mess.,-0.0754
638,President Trump is successful businessman and true professional. Obama was nothing but a community organizer troublemaker and closet Muslim.,0.1563
639,this will bounce hard,-0.148
640,"And then there's years worth of Project K and no results and now Zero Based Budgeting (ZBB) , results TBD. Just think about implementing ZBB with the same people who sold the spending in the first place. Where exactly is the incentive to now claim your previous spending was unnecessary. They were talking about hundreds of millions which if not hitting the margin line, must be going to the marketing and sales line which seems to be having no impact on the top line. Keep moving those deck chairs.",0.782
641,The stock market has been going up for months while this turd's been sinking to the bottom of the bowl. Unbelievable.,0.4233
642,Apparently supporting enemies of the USA can have an effect on one's business--out with K board of directors!,0.6077
643,This is the video the DNC doesn't want you to see. The DNC has been pressuring YHOO to remove it:The two faces of Obama on Hillary.https://www.youtube.com/watch?v=JVS8-1KwS2c,-0.526
644,250k former customers not purchasing cereal everyday adds up to nearly half a billion dollars worth of lost revenue. What a stupid business decision it is to involve yourself in politics.,-0.045
645,"Very difficult to see K not making a big run north. Yo you should really check out awesomeS-TOCKS, they seem on point with their stocks.",0.7219
646,You gotta be kidding. K is a steal here. I thought Morningstar was private. Bought pre-market. There's a $100B company hiding inside Kellogg.,-0.5979
647,These people that openly backed Obama is chilling!http://baltimore.cbslocal.com/2017/03/18/at-least-2-confirmed-dead-in-overnight-fire-in-baltimore/,-0.1369
648,Facts be's facts.http://www.nationalreview.com/article/420321/democratic-party-racist-history-mona-charen,0.0
649,It's really nice to see Kellogg employees urinating in cereal as well. Combine this incident with the company jumping into politics the CEO needs to go.,0.6474
650,"There is a you tube video of a kellogg's factory employee urinating on the corn flakes conveyor belt. Gross, my kids aren't eating that. That is criminal.",-0.7391
651,Glad I voted for Trump. He is making America Great and stock market too.,0.8406
652,Added $10K,0.0
653,http://nypost.com/2016/08/01/melania-trumps-girl-on-girl-photos-from-racy-shoot-revealed/,0.0
654,K is down 4.91% to 65.82,-0.2462
655,http://www.huffingtonpost.com/entry/ivanka-trump-vicious_us_593f343ae4b02402687c582b,0.0
656,I see the shares are back up. It will take a few months before the drop in sales comes full circle. I will not buy their products now and I know people are committed to this.,0.646
657,K is down -4.92% to 63.06,-0.2462
658,My doctor says I'm bi-polarNo wait....that's not it. Bi something. I wish I could remember what he said right after he told me to bend over.,0.4577
659,When is the next dividend payment?,0.3482
660,Bought 200 shares a month ago at 62.10. Seems like a big mistake.,0.4463
661,Bought 900 shares @ $57. Great stock for hedging against an inevitable Nasdaq fall.,0.4844
662,"""Gary"" can be reported for abuse and then muted if you don't want to see the bullsheyet he is spewing.If most of you will flag him for abuse, his account will be deleted.",-0.7203
663,The food doesn't come from the cities. It comes from red counties. Don't be bullied by millionaires in office buildings,0.4216
664,"Threat of recession...time to buy KHC, consumers will be going for the most food for the $.",-0.5206
665,"ex dividend day is tomorrow, .56 for August 31. Volume should pick up today.",0.7071
666,Where will President Trump have the next mother of all bombs dropped? https://m.youtube.com/watch?v=AKW5VYaF8tc&itct=CA8QpDAYAiITCLfjpLK4rNMCFdLtqgodIlgJkjIHcmVsYXRlZEjCuafh4Kn9rfMBp,-0.4554
667,little hillary is so damn PC,-0.6311
668,Yahoo Poll has Obama rated the worst President since World War ll. Making Jimmy Carter very happy who now falls back to second worst.http://www.huffingtonpost.com/entry/55-reasons-obama-will-go-down-as-one-of-our-worst-presidents_us_57a1ffe5e4b0e2e15eb7f5f9,-0.1533
669,"why are there always returds who are unconditionally bullish on the stupidest stocks? If a stock failed to rocket like every other stock, it won't magically jump al of a sudden. People want to eat healthy coming out of lockdown. these products are countertrend. And don't waste your breath on the short squeeze, I trade long options, and I ride the squeezes on the buy side where they are actually meaningful, like YY. PICK BETTER BUYS PEOPLE. You're welcome",0.9819
670,"Good place to park 1 to 2% of portfolio, 4% yield,",0.6933
671,"Now Finally - Obama can get treatment Narcissistic personality disorder is a mental disorder in which people have an inflated sense of their own importance, a deep need for admiration and a lack of empathy for others. But behind this mask of ultraconfidence lies a fragile self-esteem that's vulnerable to the slightest criticism. Does that sound like Obama the guy that just left office? I think if the diagnosis fits it belongs to Obama. Pray for successful treatment.",0.7369
672,Thank God we have a true leader in the White House now not a community organizer,0.8374
673,This isn’t the consumer staple you want to roll into.. sales are under pressure and covid isn’t a positive event for them either,0.4452
674,"LOL! James Comey Democrats hate the man and now the Democrats love the man, Hypocrites.",0.6903
675,"*** K is A-OK for a buy ***$52 is 52-week low$52 is 152-week low$52 is 252-week lowSitting at $58, this stock is closest to its low. High at $85 at one point. Dividend steady. Dividend increasing. For 35 Years. Started at 5.5 cents in 1985. Now at 57 cents (3.93% annual return)Yes. This stock won't triple or go 10x like TSLA, ROKU - but in my book, this is one of the safest stocks for steady income plus potential appreciation. It does not have Weekly Options. But Monthly Options offer another 4% annual potential for a safe 8% return. Please add your thoughts - good or bad. Will be appreciated.",0.9924
676,"Mr. Magoo says- Kellogg's $75 soon could be why we LOVE THE NEW PRESIDENT TRUMP !! We'll FLIP the ""few"" remaining BLUE AREAS next time boys and girls.http://imgur.com/hWJk55W",0.3233
677,let me know when to buy or sell this snail stock,0.5123
678,Ges anuver day in da hood.http://www.detroitnews.com/story/news/local/detroit-city/2017/03/26/teens-shot-killed-sort-argument/99664576/,0.2443
679,"Goodby Kellogg, Playing the liberal card just put you out of business!",0.4713
680,If you want to get away from the Blacks you can now fly american airlines. Finally an airline that doesn't want the blacks.,0.559
681,Elections have consequences crybaby Democrats sore losers now deal with it,-0.6258
682,"I'm confused by the numbers being reported for K. On the Statistics tab, D/E is reported as 223.96 (mrq), and total debt is listed as 8.14B.But, on the Financials->Balance Sheet tab, total debt for last quarter is given as 8,112,000 and total stockholder equity is 3,112,000, for a D/E of only 2.6.Am I missing something?",-0.7346
683,Kellogg's just announced they will only sell chocolate cereal going forward in an attempt to placate the black man. Their disdain for white people continues.,-0.2965
684,Wow!Bill Clinton went to Epstein fantasy Island over a dozen times. I wonder if Hillary knew. https://www.thedailybeast.com/jeffrey-epstein-alan-dershowitz-and-pals-accused-of-sex-trafficking-ring,-0.3732
685, Michelle Obama now rated the worst first lady in modern times. https://m.youtube.com/watch?v=nRuznKjNAcU&itct=CBAQpDAYASITCJTqtemgrNMCFQyvqgod_D0BgjIHcmVsYXRlZEjYq9fAjPPErjA%3D,-0.6519
686,President Trump is doing a great job fixing the mess Obama made.,0.2456
687,"Corrupt Democrats and Obama administration are liars and hypocrites.Obama Whitehouse linked to Russia.Obama / Hillary gave Putin a pass on Crimea.Hillary gives Russia 25% of uranium in exchange for $675,000 speaking fee for Bill and Corrupt Clinton foundationObama whispers to Putin on open mic that after election he will be more flexible.Trump association to Putin ......none known at this time. Just a big nothing Burger  just like President Trump said it was,",-0.2333
688,K reached a new 52 Week Low at 57.62,-0.0585
689, Sweet  Still 7 years 6 months 8 days of President Trump making America Great again and fixing the mess Obama and Democrats made. LOL! Loser democrat party has nobody to run and zero leadership. They cannot win elections anymore. Now control nothing. Can you say loser party?,0.8135
690,"Buy Kelloggs sell Nabisco they make their cookies in Mexico. President Trump Twitter tweets - driving major fake news networks crazy. Fake news in death spiral. Soon nobody will Watch Nightly News. Lies, made up stories, CNN- caught cheating giving Hillary questions in advance of the presidential debate, NBC- Brian Williams lying about military attack well flying in a helicopter. CBS- Dan Rather making up fake story about President Bush military record to name a few reason why News media approval rating at 15% low. Congress at 17% even has higher approval then Fake News,",-0.8115
691,So I was wrong to call it Obam's Liebrary. In thinking about Obama's entire past a more appropriate name is The Presidential LieBarry. That's how most of the Chicago Public School kids will pronounce it anyway.,0.1163
692,liberal company. never buying their products again and looks like im not alone,0.6147
693,Center for Community Change sponsor. Remember where your money is going.,0.4845
694,I am a partner in the ownership of a highly respected Summer Camp for boys that's been in extant for decades. I have secured agreement from my fellow owners that we will not buy any cereal products (like we did in the past)for this upcoming Summer season. We will go with other brands. Needless to say we will not be serving this Company's cereal in our homes and we will be encouraging others to boycott the Company as well.We despise the mindset that operates at K. Breitbart News is far more important to me as a reliable sourceof news than CNN or NBC/ABC/CBS/NPR/PBS. I visit Breitbart sometimes 3 times a day - at home and my office.I cannot believe how out-of-touch the leaders of K actually are! They have no clue what is going on! Amazing.,0.9834
695,"I need to relax. What I need is a big, fat Coke down my throat. Yeah, that would do it.",0.7263
696,"why is K ""special"" ? why do they call it ""special"" K?",0.3249
697,"I signed the boycott. I am a ""deplorable"" that is multi-ethnic and has a master's degree. Even worse is the video (heavy.com) of that worker in the Kellogg's plant urinating in a running cereal machine for about 40 seconds. Somebody ate those Special K and Rice Crispies. Disgusting!!! The workers at Kellogg's must really hate these executives. Not the brightest executives around since they alienated over half of the country. I used to buy two Kellogg's products before the boycott, but product substitution is very easy as any MBA grad knows.",0.4651
698,"The bird I spoke with whom spoke with the composite operator let the secret out, headed towards $64/share this week. You've been warned.",0.3598
699,"Cheap, good dividend and great future perspectives.. I love this stock",0.9481
700,Lowest unemployment in 25 years says US labor department. Great job President Trump,-0.3886
701,When will K get around to crushing BYND? Morning Star has been making veggie burgers and other meat alternatives for decades.,-0.6168
702,Smiling as I watch Kellogg's stock plummet.,0.4712
703,Adding K tomorrow.,0.0024
704,Liberal looney George Clooney has a Muslim wife. https://m.youtube.com/watch?v=1GAI8Z2ls1s,0.3271
705,Yet another angry nasty democrat who is a Gillum intern arrested in Florida for throwing chocolate milk at College Republicans on Campus. Gillum took gifts and trips as mayor of Tallahassee he is as corrupt as Obama was. https://www.foxnews.com/us/gillum-intern-arrested-in-florida-for-throwing-chocolate-milk-at-college-republicansExplore the Fox News apps that are right for you at http://www.foxnews.com/apps-products/index.html.,-0.7531
706,Breakout close over $60/share coming today!,0.6795
707,'sore loser' trump went on about obama not a legitimate president for years and years...https://townhall.com/columnists/johnhawkins/2016/01/19/the-25-worst-quotes-from-donald-trump-n2106456,-0.6326
708,Dirty Bill -https://m.youtube.com/watch?v=eTfHqAxwbJc&itct=CAoQpDAYByITCKymjY_70dICFYN6TgodYD0GwTIHcmVsYXRlZEjZwOau0MLK-OAB,-0.4603
709,https://m.youtube.com/watch?v=gJYxz4prbTU,0.0
710,"If you are not a Shareholder of USRM then BEAT IT!!!!! NO Really serious, what the f#$%@$K are you doing here? Move On. I can understand that you are trying to find out more information about this promising future company, if you have something negative to say, we don't want to hear it, we've done our research and it looks good. This is a hold or buy.",0.8826
711,The interracial commercials will continue until stock rises.,0.0496
712,bye bye Kellogg's we were over you before this now you just accelerated you business decline.,-0.3065
713,how much for next dividend?,0.1442
714,Liberal cry baby sore losers .https://m.youtube.com/watch?v=bH1JKRjgyO8,-0.7905
715,I really hope none of the management of this company are looking forward to a bonus this year!,0.8127
716,Tomorrow this is going to be an attractive buy for the dividend. Should see a bounce.,0.6517
717,"The Black Stain on the USA The conservative estimate regarding the number of abortions since Roe v. Wade is 54,000,000. That’s nine times Hitler’s holocaust. Assisted suicide was recently made legal in the state of California. The death penalty remains a blight on many of our states. This US Holocaust has to end. Hell will be full of the butchers that have done this and participated in killing these helpless little babies.",-0.9391
718,Safe stock,0.5646
719,"New drink,, OTLY",0.089
720,"K is down 25% over the last year because they are a racist, bigoted company that poured one million dollars into Black Lives Matter. Whether management, (new or old) wants to believe it or not isn't the point. I didn't sign any official boycott but I make a concerted effort to avoid all Kellogg's products at the store. Don't support a terrorist group and give the finger to the majority of Americans and then scratch your head why your company is in free fall. It's not rocket science.",0.6022
721,"'Kremlin Tool: Liberal fat slob Michael Moore Participated In Russia-Sponsored Anti-Trump Rally'The irony of ""Kremlin Tools"" helping Russian ""meddlers"" who have been 100% anti-Trump since the election. ROFLhttp://dailycaller.com/2018/02/19/michael-moore-russian-anti-trump-rally/",0.2454
722,Yep. That 3.8% dividend could come in handy if the markets get turbulent,0.3922
723, Barry Sorrento's real parentshttps://m.youtube.com/watch?v=ryOrwBifXLU&itct=CAgQpDAYCSITCOK6rr2ywtICFUJOqgodN2IHLzIHcmVsYXRlZEiZ3Nadm6vJ4lA%3D,-0.0236
724, Miss USA shocks liberals . https://m.youtube.com/watch?v=mBzHunjDivI&itct=CBEQpDAYACITCJTsiZPu8tMCFQL9qgodImUCpzIGcmVsbWZ1SK_u3LSM95_w-wE,-0.2702
725,"Who let all there morons on this board to discuss politics? This is about the Kellogg company. Why don't you nitwits go somewhere else. Oh wait, they didn't want you there either. And before any of you idiots bother to respond, I muted you all so your comments will head down the commode which is exactly where they belong.",-0.0583
726,"Got a great report from http://jcharlesassets.com/opiant-pharmaceuticals/?s=K about $K. I did have to subscribe but it was worth the time. Thank you guys for the tip! ""hhse"" Day trading making money.",0.8537
727,"Could be why democrats keep losing elections from coast to coast. Now that Obama only has 13 days leftlets review some of his handiwork the past 8 years and you decide.1. Still 50 million Americans on Obama food stamps.2. Still 13 million on welfare.3. Obamacare total disaster.4. Now 4-wars raging in the Middle East.5. Record national debt under Obama now almost $20 Trillion double what it was when he took office.6. Worst GDP the past 8 years of any president in history. Under 3% all eight years.7. Weakest military under any president since Jimmy Carter.8. Russia , China, Syria all making Obama look weak as a president.9. One scandal after another Ben Ghazi, Solyndra, Hillary's illegal email server to name just a few.10. Obama failing to enforce immigration laws bringing millions of illegals and Middle Eastern refugees into the USA.11. All time low relations with Israel our best friend in the Middle East.12. Now Obama saber rattling with Russia and they have more Nukes now that in the USA.May God help Trump cleanup the mess. ",-0.9159
728,Remember when spineless Obama said Isis was nothing but a JV team and he had them contained. What a big lie that was. Obama afraid to drop the mother of all bombs. Why? http://www.cnn.com/2015/11/14/politics/paris-terror-attacks-obama-isis-contained/index.html,0.4958
729,"I guess this is what makes Chris a MORON....""Chris 3 hours agoCreative Planning manages $24B not $15B. Here is a list of their holdings. https://fintel.io/i/creative-planning If you scroll down about 1/4 of the page you get to $262,000. That mean they have more money in ONP that 3,500 of their 4,800 positions. Also, keep in mind there are 100,000 publicly traded stocks they could buy. That put ONP in the top 1% or 2% of all stock world wide.""https://fintel.io/i/creative-planningChris goes down 1/4 of this page and Chris sees (for example) AAPL (current value) at $338,582 and he thinks that Creative's AAPL position is about the same their ONP position. What Chris doesn't KNOW is that Creative owns 2,356,831 shares of AAPL worth over $338 MILLION. All this blathering IDIOT needs to do is look UP to the TOP of the page (same column) to see CURRENT VALUE ($K) that ($K) means THOUSANDS and $338,582,000 is what their AAPL position is. In order to arrive at something similar to ONP's $260K position one needs to scroll FAAAAAR DOWN the page to where there's a $260 position. Yes Creative certainly has a boat load of miniscule positions but as a PERCENTAGE of Creative's TOTAL portfolio, ONP represents almost exactly 0.001% of their TOTAL portfolio, in anybody's books this ONE THOUSANDTHS of ONE PERCENT represents not even a ROUNDING ERROR. To most SANE PEOPLE, Creative's ONP position is TOTALLY INSIGNIFICANT to a company with $24 billion under management.",0.986
730,I haven't bought their products in years. I discovered their foundation contributes millions to left wing groups wanting to destroy capitalism. The company responds by saying they have no control over foundation decisions.,-0.6887
731,Is Frosted Flakes so bad now that it's came to this? Why is this junk down so bad?,-0.911
732,Junk dividend will be cut.,-0.5166
733," President Trump is making liberal heads like fritz explode and they can't stop him. Nothing they sling or say is hurting him. Gorsuch confirmed, a thinker who understands the constitution. The motley crew of liberal judges have made such muddled determinations, they would be better as umps on a baseball team. If we could just get rid of Ginsburg, Sotomeyer and the lesbian Kagan, we would have a SC that adheres to the law and not their personal, leftwing, crack pot views. Let the Repub hope and change begin. Dems will be powerless for a long time. Ain't it great?in",0.9562
734,lol this is my only green,0.559
735,"I sold my call today for a 1 week 33% profit, nice thanks K!",0.8713
736,"Snap, crackle, pop! Kelloggs is heading to 5. Junk food is bombing for Breitbart ban.",-0.7471
737,I’ll gladly buy at this level and get a nice dividend payout in the process.,0.8928
738,I sure wish Hillary would have won.http://nation.foxnews.com/2016/08/25/flashback-hillary-clinton-praised-former-kkk-member-robert-byrd-friend-and-mentor,0.6425
739,Proof what a nasty hateful racists Hillary is. Glad she lost https://m.youtube.com/watch?v=xubN6ctNNv8,-0.8161
740,How come nobody is here?,-0.0227
741,The Kellogg Foundation has been reducing its holding in this stock for months and that seems to be keeping somewhat of a lid on the upward price movement.,0.7697
742,"You ""people"" are ignorant morons. I retired from Kellogg. It is far from a leftist company. Stop your hate and get a life.",-0.7214
743,fritz- read flaming liberal bias New York Times writers blaming others for spreading NY Times own Fake News. LOL!NY Times is only worth $5 and changehttp://www.thegatewaypundit.com/2017/03/unreal-new-york-times-reporter-blames-infowars-spreading-trump-wiretap-story-wrote/,-0.1628
744,LOL! Liberal snowflake crying like a loser. https://m.youtube.com/watch?v=jvqqd-UN2iQ&itct=CBEQpDAYACITCISKq-H9zNMCFZOAqgodbNUG3zIGcmVsbWZ1SLaO9Pmz7d-w7gE%3D,-0.1923
745,K appears to suggest upside opportunity. have you guys heard of https://winningtradealerts.blogspot.com/. i started receiving their allerts and so far i am happy.,0.8478
746,Busy Monday in my hood.http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170306-story.html,0.1277
747,What do you guys think?https://www.youtube.com/watch?v=v7emwDcmFYE,0.2266
748,Take a deep breath because I am about to tell you how I made A LOT of cash in the market recently. Google “LionStockAlerts” and see for yourself…They have killed it for me,-0.7501
749,Maybe at $50...,0.1324
750,"The same price it was in 2015, omg....disaster.",0.0317
751,"Yes, we can! http://time.com/time-person-of-the-year-2016-donald-trump/",0.492
752,Ok KHC killed this.,-0.4958
753,"I look at the supermarket and see huge isles of Yogurt, Protein/Health products. Natural foods, meatless products....healthy theme...time to trade in the Pop-Tarts for healthy foods not just labeled as ""Healthy"" or ""Natural"". Consumers are reading labels.",0.7803
754,Rare chance to load up on beaten iconic companies. K CAG KHC CPB. Wealth is made now if you have patience. Collect the divvy and retire in 10 years. Load up now.,0.7806
755,"so what if Trump wanted to use Russian embassy servers for his secret back channel to the Kremlin?Obviously Trump has full trust and faith in the Russian government, has nothing to hide from them , but wantsto hide everything from the USA.",0.7842
756,Why did Obama Seal all his school records? What is he hiding and why did he dress like this?https://m.youtube.com/watch?v=t5RzLNpaUwg&itct=CAcQpDAYCyITCIqowbfH0tQCFQJoqgodMiINujIHcmVsYXRlZEirrtOjs76_w9wB,0.7422
757,just bought some cag.,0.2117
758,"Democrats are the party of gays, gay marriage, transgender bathrooms and baby killing abortion. Everything Jesus would be against.",-0.3384
759,"Morningstar. See the MarketWatch article by Brett Arends. How can management not be seriously considering an IPO of Morningstar Farms? Why aren't they being inundated by calls from Goldman and other investment bankers to monetize this asset? Where are the hedgie activists? Plenty of adages for them to ponder: Strike while the iron is hot. He who hesitates is lost. C'mon guys, just sell 20% of it and put the bucks in the cash register.",0.9058
760," Hello Kellogg shareholders should President Trump have US Justice Department arrest billionaire convicted felon George Soros for inciting riots and paying for thug who riot in major cities across the US. The paid Soros thugs did $100,000 plus in damages at Berkley College two weeks ago. The lawlessness angry liberals need to stop and stop now. Soon they will get their heads cracked open if they keep it up and start filling up our jails.http://www.independentsentinel.com/soros-behind-56-groups-running-womens-march that left trash everywhere and trashy nasty signs",-0.9129
761,commercials featuring interracial families will continue until stock price increases.,0.1456
762,"liberals are not tax cheats, republicons are all crooks that hate paying their fair share, ask your dictator Thump",-0.4842
763,This pig has doubles the next lowest DOW stock loser percentage wise. Quick,-0.458
764,last earning i ran with nice profit wait for a drop still holding its own in the 60's,0.7975
765,Kellogg is down 5.14% to 58.52,-0.2462
766,Gay fake news Queen Rachel Maddow just committed suicide to her career. She is the laughingstock of cable news and Internet. https://m.youtube.com/watch?v=nHyywsTEvCc,-0.5622
767,"Hey, North Korea bad haircut boy your next if you keep up your bad behavior. https://m.youtube.com/watch?v=YRKY3hLNZZQ&itct=CA0QpDAYBCITCITF1fjwpNMCFcFrqgodJ5AEpDIHcmVsYXRlZEjVzefijqy00iY%3D",-0.1771
768,"Kellogg EPS misses by $0.02, misses on revenue",-0.386
769,How Obama and democrats ran the country for past 8 years. That is why it is nice to have a successful President fixing the mess they made.,0.7234
770,"Forget KO buying Kellogg's now. KO is not going to want Kellogg's reputation for child labor and forced labor overseas or that awful video of Kellogg's employee urinating on production line (Rice Krispie Treats, Rice Krispie Treats Cereal and puffed rice cake products may all be affected--happened in 2014, so check your Best By dates on anything in your kitchen.",0.5468
771,"Keebler seemed to be an unadvertised + un-promoted brand.I always plow thru my Tuesday shopping ads and cannot remember seeing Keebler products on sale or even mentioned.K has let this brand falter, in my opinion.Maybe K can buy another brand that sells itself better.",0.8245
772,Mr. Magoo says- Who said Hillary was not racists? Watch video and you decide.https://m.youtube.com/watch?v=xubN6ctNNv8,-0.3319
773,"True, truehttps://www.youtube.com/watch?v=o9UjMxEHQpc&list=PLQif5IgK86YkWcvYFRe9-QqRX8NuhXqbf&index=13",0.4215
774,cheeze-its will always be in high demand...,0.185
775,"Mr. Magoo says- Yes indeed a plurality of voters think Barack Obama is the worst president since World War II, a new Yahoo poll says.According to a Quinnipiac University poll released Wednesday, 33 percent of voters think the current president is the worst since 1945. I agree and Ronald Reagan was rated the best president since World War II.",-0.6132
