,Recent headlines and conversations for UNH,Polarity
2164,Surely this is not selling off because of the Democrat Debates tomorrow night? Come on people use your heads.....Democrats will not get universal healthcare.,0.7214
2165,"I bought a ton of UNH and ANTM. These stocks sold off like we are getting rid of healthcare. Does anyone remember when Bill Clinton got elected? These companies make money hand over fist!!!!!!!!! It was painful and averaged down, but I can't believe this sold off like this. These are money makers. And baby boomers are needing more and more care. I would be surpised if these are not back over 300 in a couple of years.",0.9312
2166,"No one wants Sanders to win less than the Democratic party national leadership. Go do some reading by typing in ""brokered convention"" or similar. That should open your eyes. I'm long UNH.",0.9151
2167,long term shareholders are #@&$!&,0.486
2168,trump picking up shares on this,0.4731
2169,"So they can't even get single payer passed in liberal states like CA and CO, let alone the entire nation? The Bernie herds may be loud but they are outnumbered by people with common sense.",0.4828
2170,"HOW YOU CAN STOP THE SUN FROM SHINING!. UNH WILL BREAK OUT AFTER JAN 17 BECAUSE UNH IS THE KING OF HEALTHCARE, IT HAS THE HIGHEST ROE, IT KNOW HOW TO USE THE LEVERAGE OF FREE CASH FLOW TO INCREASE THE PROFIT MARGIN THAT MAKES THE MOST ROA AND ROE.",0.918
2171,Top is on here,0.1854
2172,Wondering if this is a good buy point for UNH or if it is still too high after the big move up ($15 in one day!) when it reported.,0.8428
2173,Unh- folks won’t have insurance soon,-0.0738
2174,"in tomorrow's bloodshed, UNH may drop to low 260s again...",-0.4899
2175,Will be another lame year for the healthcare sector. Too many know nothing news personalities pumped it as undervalued....lol,0.2931
2176,This wants badly to reverse into close... Something is not letting it happen.,-0.4695
2177,This should go 20 up,0.2616
2178,http://www.businesswire.com/news/home/20161128005202/en/UnitedHealth-Group-Discuss-2017-Financial-Outlook-InvestorHere is this years statement mentioning 9.60 adjusted net earnings for 2017,0.2137
2179,"Should i keep this one for the long run, or sell now before market bottoms again?",0.7763
2180,Down $40 (over 10%) from Jan. 8. following a solid report and solid guidance. What else can the reason be except uncertainty about what the Dems may do to the business model? Cuz based on the fundamentals the stock should be in the $360-380 range. All the HMO stocks are struggling for the same reason. HUM is $100 below its PT.,-0.4634
2181,fack Bernie,0.0
2182,How does a healthcare company act like a tech stock/ $111 in Jan. 2016 to $264?/ REALLY? How much more can assets be inflated by the FED with cheap money?,0.826
2183,UNH is a $500 stock - expect analyst upgrades coming soon!,0.3608
2184,What happened to insurance companies in Canada when they switched over to universal health care??If you weigh the current odds of Bernie winning.....If you have decent money here.....Bail out and put ur money in a safer company like Disney....or if you have the balls Canopy Growth,0.8959
2185,"DE JAVU! 2 MONTHS AGO, IS THE SAME OLD NEWS. IT IS BS, THAT BIG BOYS SQUEEZE THE WEAK HANDS AGAIN. EARNINGS REPORT WILL BEAT THE ESTIMATE AGAIN. I ALREADY TOLD YOU LAST FEW MONTHS.",0.4973
2186,It appears that investor confidence is just not there even with great numbers. Makes no sense. I don’t think Medicare for all will pass. It dragging down all of my healthcare portfolio,0.8385
2187,"Who bought UNH when it drops 4.28 a while ago is very lucky. I don't see any reason why UNH will drop like some analysts downgrade UNH. Today all the tech sector has happy hour, but the dow 30 drops like a rock. I jump in too soon, if i wait just 15 min. I will get UNH when it downs 4+ points which is guarantee that I will not lose money for today. I think UNH will close around less than 2 points.",0.9218
2188,This is going to 250 will all the expenses of the testing and sickness coming!!!!!!,-0.4111
2189,No reason this stock shouldn't be sitting over $400 by now. It will.,-0.0815
2190,"Just another undulation caused by temporary risk off sentiment, and yes, overdue given the state of the COVID-19 pandemic. Coupled with a lack of movement from the gov't on additional stimulus, this move was anticipated by many. Creating a great buying opp for us short term traders. Takes nerves to buy and take a hit, but the rewards come soon enough. The bump in GDP brought on by the consumer spending related to the first stimulus proves that it works for the medium term, and there will be another package coming. Meanwhile stock up on stocks while they are on sale. And don't pay attention to the punditry per the presidential election... unless of course you anticipate taking over a half million in gains, in which case I'd be taking it after the election if Joe wins. I believe there are some insiders at UNH that fit that category, not the least of which is the CEO and former CEO, but their sales would hardly be enough to move the needle.",0.9895
2191,Up 50% from March lows! Why are people smoking?,0.5307
2192,Split?,0.1474
2193,Absolute slaughter,0.2663
2194,UNH still has an open gap that needs to be filled the stock has done nothing in 3 months but go sideways until they let the stock go down and fill that gap it will just go sideways.,0.3012
2195,"BUY, BUY, BUY TODAY.",0.434
2196,Just keep buying UNH when it is in deep red because it has nothing to do with CHINA.,0.6223
2197,"This is an interesting set up for tomorrow morning.. It’s rare to take a hit going into earnings, usually we are looking at a run up in the days before the conference call, then a premarket pop on the eps news.. and a fall back to the trend line as the conference call wears on.. But Now we are sitting a hair below the December 2018 high, it’s as if all of 2019 was a wash and we are about to set the sails for 2020.. I miss the steady hand of Helmsley on the tiller but I think our management team has learned not to go political in the conference call.. They need to keep their heads down and run the company, let the politicians say what ever they say, and ignore them. Obama often called the insurers “evil”, Helmsley just kept pivoting, diversifying and quietly explaining healthcare to those with ears to hear.. I hope that our new leadership does the same in the wild political gale of 2020.",0.9914
2198,This will be $300 by year-end,-0.0457
2199,next lows to watch for test and bounce - 265 and then 260. under 260 we go to 244 area.,-0.2284
2200,UNH and Walgreens merging - Huge Upside!,0.6001
2201,exceptional value at this level. I added to my position.,0.7683
2202,will that after hours $2.25 show up tomorrow?,0.0356
2203,Bernie's offering free stock for every American we need to be fair every American will get free stocks from every company,0.8742
2204,Free everything,0.4981
2205,Selling robots at work on UNH.,-0.001
2206,"Bought at 35 years ago, doing very well for me",0.2855
2207,I sold 5 12 July $250 calls just for some downside insurance. No pun intended. Seriously.,-0.4537
2208,support broken next level 212,0.2073
2209,Got out of UNH to many headaches and the stock is mired in controversy unethical overcharging. Look at self storage as a means to cash in on a secular trend in aging baby boomers as they store thier memories and move into apartments or smaller homes whats a few hundred bucks a month to protect your memories for life. EXR is the best run company and also sports a 4% dividend yield to go with that. Has recently had a nice correction and is 20% of it's high.,0.9074
2210,The crooked analyst downgrades UNH today. It is so funny that they downgrade a few days before earnings report. Let's see how the traders react to the news. UNH is very strong and number one in health care sector. It just increases dividends and buy back stock. I probably pick up some if the price going down over 5 points.,0.9513
2211,Lowlife shorts will soon get killed off when this political nonsense stops imo.,-0.8829
2212,This stock isn’t even overvalued... PE 22 with years of good track record? What other stock is better than this?,0.9075
2213,"Less patient visits, insurance pocketed the premium ??",0.2412
2214,185 next stop - when...? shortly - a play on words.,0.1575
2215,Bernie will not get the nomination. It looks like Dems came to their senses and turned the tables on him.,0.3578
2216,Where’s Eric?,0.0
2217,The only stock with a worse news flow than UNH and the healthcare insurers is FB. It is unbelievable.,0.5672
2218,"Nov 24 210 call for $184 and I already up $2.32+, all idiot shorts are losing their shirts....hahaha",-0.5066
2219,231.00 for 4 hours today so far lol. No shame,-0.1878
2220,"Medicare for all is impacting all the insurance companies. Not to mention all the software providers and any other healthcare segment company that will be basically put out of business by Medicare for All. Problem is Medicare for all isn't going to happen at least not in the foreseeable future. Can you imagine what would happen to all of these companies, the employees, the stock holders and so on. Healthcare is 20% of the US economy. Bernie and Elizabeth are not taking any of this into consideration. Not to mention how many trillions of dollars Medicare for all will cost. So, looks like UNH is going to suffer until and if someone besides this pair are the candidates for president.",0.604
2221,"UNH is still under selling pressure, but it is better than last week. I think the worst is over, so 235 is not possible at this time around. I want to to buy after this week.",-0.4052
2222,I think it is a great time to pick up UNH at this price and hold your breathe until Tuesday.,0.8291
2223,All managed Health Care stocks are down by average at least 4%. Whatever these Democrats are taking it's not going to happen. I doubt it will even pass House; forget the Senate and WH. This is just noise and folks are dumping it. In my opinion it is a buying opportunity provided it holds $250 support. There are so many negative articles in the press; can cause lot of panic among trader's / investors.,-0.0815
2224,Nice comeback by UNH after the silly selloff last week. Nearly at a New 52 weeks high. What a steady performer.,0.8906
2225,The wrath of J P Morgan!,-0.1081
2226,You guys have a dirty market maker in this stock who is poison,-0.6167
2227,One of the greatest investor retired last week and he said the best skills to acquire is a STRONG STOMACH. I'm a beginner and I'll have to take his advice and ride this one out. Ouch and my stomach hurts big time.,0.9302
2228,Buy on Monday before earnings release on Tuesday. There will be a big big bounce on Tuesday.,0.5643
2229,UNH has price target of $340. Not sure why people aren’t jumping on this now.,0.4706
2230,UNITED HEALTH CARE'S MISSION STATEMENT: WE ARE DRIVEN TO DENY OUR HEALTH INSURANCE POLICY HOLDERS ANY HEALTH CARE BENEFITS WHATSOEVER.. UNTIL THE DAY THEY DIE..... GREED IS GOD.... GREED IS GOOD... GOD BLESS RONALD REAGAN AND THE GOP.... MAGA MAGA MAGA... ISRAEL FIRST... AMERICA LAST.... HAHAHA... YARMALKAKA.... NETINYAHOOHOO..... YOU LISTEN TO ME... I TELL THE TRUTH... MAGA MAGA MAGA... HAHA.,0.8667
2231,"Buy dips, and sell rips....?",0.2238
2232,"From Barrons: ""The stocks trade for an average of just 12 times projected 2019 earnings. And UnitedHealth, Anthem, and Humana already are generating double-digit growth in earnings per share. “Anyone who has a 12- to 18-month horizon and a value mind-set should be buying,” says Ana Gupte, an analyst with SVBLeerink. She puts only a “generous” 5% chance of Medicare for All getting enacted."" So the bill has only 5% chance and analyst is being generous. ALL NOISE brought by the media creates buying opportunities especially UNH having reported positive earnings beating expectations along with Raising profit guidance for the entire year!",0.9853
2233,"in the past, any talk of cutting Medicare brought resounding opposition. What is different now?",-0.2309
2234,"It is time to pick the cherry, because the drop is slow down.",-0.5581
2235,When will ESPP stock plan last offering period ( Jul'17 to Jan'18) shares deposit into the account to trade ?,0.4923
2236,"Bye, bye Bernie.",-0.3721
2237,"Healthcare for all!!! It will only cost 32 Trillion. You tax payers got it, right?",0.505
2238,Lol this stock is he absolute worst ever,0.4258
2239,"The stock market is always forward-looking, so it's about how you perceive that. Irrespective of Bernie's outlandish proposed structure, a public option structured around the Advantage plans is the minimal that an overhaul of healthcare will include. So although the majors will survive, as they should, not destroying an entire industry, they will look much different than they do now. That gravy train, ripping off employers and consumers will end, leaving them much leaner at drastically reduced valuations. This is why over the rest of the year, irrespective of coming earnings, they will not be able to factor in the inevitable impact on their business model.",0.7861
2240,Might consider buying around $100,0.2623
2241,UNH is done. Amazon is here to stay,0.1349
2242,Stock is the largest best run HMO and yet is being treated like garbage even as Cigna is up some 6.60 the last two days. That’s almost 5%. UNH would have to be up 9.00 to be on the same level,0.9215
2243,GO DOWN GO DOWN I NEED MAKE MONEY,-0.4142
2244,Here we go again. Down again.,-0.2007
2245,Lol wow,0.765
2246,250 at open !!!,-0.2925
2247,"heres in the deal in my opinion. unh is a great company they are growing. the stock touched a December low only because of uncertainty with congress affecting healthcare. this wont come into effect for many many months, and it wont be medicare for all I can guarantee that. this is probably a short lived sell off in healthcare. unh is a good long term hold and in short term I think it will hold the support and move up from here",0.9184
2248,"UNH looks very good to me as a Pure Earnings Long play. I am planning to go Long tomorrow afternoon with a large chunk of hard capital, to hold through Earnings Release. I expect this company to deliver strong earnings, beats on EPS and Revenue consensus estimates, along with positive forward Guidance, and I expect the stock price will react positively, climbing up through the $290's and perhaps breaking $300 on Wednesday. Company has an OUTSTANDING Earnings History. Analyze the past TWENTY quarters of earnings releases. Going back 20 quarters, they have beaten the EPS consensus estimates ALL TWENTY times. And Revenue consensus estimates?? They beat 18 out of 20, and the two misses were absolutely TINY, 0.1% or less on both. Such a record is rare, and speaks to quality management at the top, and excellent financial discipline. I like the sector, and this stock is currently fairy valued. It is not cheap, but if you analyze all financial data, you see the valuation is okay. There is plenty of upside potential to $300+ in the near-term, and every reason to think a very good earnings report can give us a pop very close to if not above $300. Analysts are currently very bullish on this one, and I see few headwinds that could result in a downturn following the earnings release. Risk/reward ratio looks to be EXCELLENT to me, as a Long play Pure Earnings trade, and I am 99% certain I will be making this trade tomorrow. Would love to hear from other traders with reasonable arguments in agreement or disagreement. :-)",0.9974
2249,Sold all my position in early July at around 258 per share. Good company but lots of uncertainty.,0.0211
2250,These guys are deep into so many aspects of health care. Seems solid for long time- over $300 in 1-2 years,0.7288
2251,"Someone just go ahead and plug this thing into some life support. Anyone thinking Bernie, Slow Joe or Pocohantas will win the election is seriously hurting. Can't believe these bums are affecting healthcare stocks.",0.8618
2252,On the day UNH jumped $18 (on earnings) Anthem jumped $14. Anthem reports Wednesday morning and will likely beat by a wide margin. Question is ......will UNH bounce higher because of Anthem's beat?,0.258
2253,UNH is up 10.82% to 289.69,0.1818
2254,If by some chance this gaps open and goes up to 230 then sell because,0.5038
2255,Sold my unh in july at 245 and repented when this went into 280s. ..never thought i would see this again in 240s. Is this the right time to buy or wait for 230s?,0.3441
2256,Traders Beware libs debating next week. Last time after debates took a little hit,-0.2053
2257,Lately UNH trades like a YO-YO. I love it because it will flex the muscle by Jan 17. I don't see any reason why UNH will go up this morning more than 1 point and turn red after Trump's news conference. The herd gets panic is the time to buy some more because UNH will prove that ROE is the best among its peers. GET SOME MORE because you will not see a good op. to buy it very often.,0.9807
2258,The stock came in hot. People were going to sell no matter what. Great time to buy. Will rebound within 4 days.,0.7698
2259,Nothing is free!!! Look at Venezuela lol,0.7982
2260,This management is totally asleep at the switch. Where is the big stock buy back? Guess they were just kidding,0.7012
2261,Does management just allow this manipulation for a year or what? They ever heard of a stock buy back,0.5674
2262,call 220 expires this week still does not move. It will be a big payday for them. BELIEVE ME.,0.5904
2263,Sold half of my positions so I can have some dry powder in case Bernie goes crazy again,0.0479
2264,All healthcare insurance stocks are under pressure and they will be until 2020 election is over. United Healthcare is the best in the sector and it's making a lot of money. but everything will change if Democrats take the Senate and the presidential election. Medicare for all or universal healthcare if implemented will cut United Health Care price in half probably even lower like someone else posted before me bring it down to the very Extinction. I am long the stock but this is a reality that we need to face as a stockholders,0.931
2265,"Hit a major support level of December of where markets and many equities found support and initiated whats called today the ""V"" bottom.",0.7053
2266,Yikes. Is this a result of upcoming RBG replacement and outlook for ACA?,-0.8542
2267,"Big Pharma is taking ads against me because I am MASSIVELY lowering your drug prices, which is obviously not good for them. Medicare premiums will also be going down. I am the first President to take them on. Don’t fall for their false ads. Biden plan is for very big increases! it this true?",0.8158
2268,do we anticipate a sustained pop after earnings?,0.1201
2269,Lower is fine with me..... Have my low ball number set or I will adjust slightly. :) Happy #$%$ camper I am. Not even close to it yet.,0.6913
2270,245 by next week?,0.0454
2271,BUYERS COMING IN THRU OUT DAY -- BUT LAST HOUR GOING TO DOUBLE,0.7567
2272,Bernie is a moron,-0.4939
2273,"wow, earning are next week damn it",0.2995
2274,"one step forward, 3 fn steps back",0.1622
2275,"Watch $257.70. That's the 50 dma and that's where the rally failed on Wednesday. If it breaks above that level and holds for a few days, and if the other health insurers participate in the rally, then perhaps we can get hopeful for $265ish prior to the quarterly report. But.......beware a selloff in to strength as we move closer to the primary season since healthcare will be a high priority topic.",0.9492
2276,"Single payer system inevitable. Health care is out of whack for 80% of ordinary people with family incomes of less than 70K/year63% of American families make 70k or less per year. They can?t afford health care. Worst hit are individuals 40 and up in age. Mind boggling are the costs of having health care. In some cases payments- monthly are 50-100 percent of individuals living arrangements. A Texas man working in a restaurant as a manager with 47000$ income at age 51 was paying 629/month, yet his apartment monthly rental was $650, how the heck do you justify this #$%$??? CEO of UNH makes 20 million per year! Greedy MF Bas , hope this scam of the century is taken out for good. We need single payer-govt to get the job done so we can then spend 600/ month more on groceries, gyms, movies, restaurant meal, dry cleaning, sports etc. we can grow our economy 2-3 percentage points as a result.",0.9212
2277,"Panic selling so far in 2019 after an excellent earnings... It is going to take time because the policy headline risk is not going away anytime soon, but if we have patience it will push forward again. All-for-one healthcare was tried in a few states in the past and it failed miserably so I'm not too worried.",-0.8155
2278,Get in while you can!,0.3067
2279,Use logic and commonsense that whether possible that UNH will have disappointed earnings on Wednesday. UNH is like SWISS WATCH in term of earnings.,-0.1143
2280,If I've learned anything about this stock it's that it almost always checks back to somewhere around the 50 dma after its post earnings run. I assume that's what's going on as I see nothing on the wires to account for the selloff.,0.5993
2281,flat since Dec awaiting the next rise,-0.0664
2282,"This was a proper flush out. Def bottom. $235 end of next week. Also the June $260 calls are on fire, so other big investors agree.",0.1613
2283,Going back to 220,0.0529
2284,Psssssst! This is that Dip you've been waiting for...,0.3184
2285,Dead Cat Bounce is the most frustrating and maddening of all grrrrrr!,-0.8932
2286,"A friend of mine used to say, ""listen to what the stock is telling you."" It's telling you fund money is leaving the whole group. Who cares if it's rational.........it's happening.",0.8979
2287,"wise to look at unh revenues and profits, not trade war.no one is raising tarriffs on health insurance.",0.787
2288,Anyone have a handle on why the health insurers are all down on a flattish day for the market? ANTM down 2% with earnings on Wed. $70 below PT.Carry over from the Orange Menace's drug price EO's? Concern about costs related to resurgence of COVID? Any thoughts?,0.2434
2289,"UNH headquartered in MN""Political Leadership"" in MN starting to smell badIn Minnesota, it's illegal to harvest more than three ballots.https://www.nationalreview.com/news/trumps-calls-on-u-s-attorney-to-investigate-reports-of-illegal-ballot-harvesting-by-ilhan-omar-supporters/Trumps Calls on U.S. Attorney to Investigate Reports of Illegal Ballot Harvesting by Ilhan Omar SupportersBy BRITTANY BERNSTEIN",-0.3485
2290,Still at a 10% discount - at least. JMO,0.4197
2291,"eric dissapeared like a coward. 20 posts on a red day, but gone on the green ones. What happened eric? I thought it was going to $200?",-0.1111
2292,Folks when is UNH expected to announce it's next dividend hike? It feels like stock has recovered from it's dip since the health insurance news from those trio of companies. A sustained break above the 230 levels should act as a confirmation IMO.,0.8759
2293,Up 4% that’s super nice!,0.8283
2294,Congrats to all who got in under 220,0.4678
2295,Looks like some pretty strong resistance at $225.,0.851
2296, with Crazy Bernie,-0.2993
2297,When are we going to see $240 again?,0.0905
2298,"For how long will the US Government continue to PUMP the US Stock Prices artificially? Everyone knows that the US Market is in the MEGA BUBBLE; it is even more overvalued than Tulip Mania Bubble! The US Stocks are INSANELY OVERVALUED and OVERBOUGHT! The Valuations are impossible to justify!For how long can the US Government run this fraudulent Stock BUBBLE, while Corporate revenues are tanking, Corporate and National Debt is Astronomical, the Valuations are beyond insanity, Political polarization is at max, there are ongoing and upcoming wars, the real resources are limited, Economy is Collapsing, Competition is intense, the Stock Dilutions are at record highs, everything is getting worse, China, Russia, and many other countries are set to ditch the US Dollar as an international reserve currency. Now there are 100,000s of companies worldwide competing for $1 revenue! The US Companies that barely generate revenue of $1-2 million are trading at $50-60 Billion Market values, while in Asia, the same companies with better fundamentals, 100 times more revenues, are trading at 99% less market value! The US Company valuations DO NOT MAKE Sense at all! Why would one invest in US Stock Tulip Mania while he/she can buy the 1000 times better company share for a 99% cheaper price? The US Stock Market is a MAJOR PONZI SCHEME designed to patch fraudulent pension systems in the US temporarily! There is NO PROPER Revenue Collection by the IRS since 2016. Taxes are extremely Low, and Nobody is paying custom duties! People want more free money without working, more free checks, more capital gains, more stock hypes every day! This fraudulent ""no need to work"" policy of the US Government will END TERRIBLY very soon! Inflation is skyrocketing, but the Government is lying about inflation! $AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9045
2299,$350-375 year end,-0.0351
2300,"I am long UNH. I can't believe how volatile this thing has become. Definitely seems like a buy here, if you have any gun powder left after all it's recent buying opportunities.",0.8892
2301,Bernie is going to handout free boobjobs and hair replacement. He is our man 2020.,0.6206
2302,"If UNH can overcome the rates today, I think by Monday UNH will move up to 265 and then shoot up to 275 by Tuesday.",-0.1305
2303,Today's game is about the $312.50 strike price expiring today. Open interest for calls and puts looks about even.,0.5343
2304,Told you,0.0772
2305,this awesome stock will easily achieve its $287 Target by year's end if not sooner. The political #$%$ from the Democratic side means absolutely nothing. these politicians love their private health insurance more than the rest of us. it's government paid...,0.9586
2306,"Great numbers and guidance, but taken lower by a 77 yr old socialist that caved into Hillary. This stock is a buy!",0.543
2307,crazy to see a name like UNH trading at damn near ath with election year approaching rsi80+. wow. i don't see massive upside here at all,0.8108
2308,GPO comin for UNH? Headin across the pond for some tax break like ascent?,0.6692
2309,"Somewhere a bunch of lousy bankers are buying this right now...This is the biggest blantant pile of BS I've seen on Wallstreet in the last year. Medicare for all, so we must sell.. Who is buying this garbage story?? If you sell on this then you've been had.",0.3599
2310,$61B...that’s a lot of biscuits in anyone’s kitchen!!!,-0.283
2311,This stock is almost BeautifulIt has such nice constant growth ￼With a good dividend and fair valuation. Great fundamental Heath and overall I nice company,0.9638
2312,Would you buy here?,0.2115
2313,It is time to load up UNH because it has no good reason why it drops 4 points. I believe some big boys press it harder to squeeze out the weak hand and scoop up at the close.,0.8223
2314,This is a crazy valuation for UNH. Just saying,-0.2375
2315,"Yep, right on schedule, the shorts are back, and spewing the usual democrat party line about medicare for all. Tomorrow, we go ex-dividend. How many of them are willing to cough up the dividend on the share they borrowed from us? Not too many. Wait for it. Tremendous short covering coming.",0.8752
2316,earnings should help big time. isnt this just going down on speculation in politics?,0.629
2317,I just sold out of my position. $100 gain on 12 shares Thanks UNH. WHEW!,0.8961
2318,Bought 80 shares 217.20 already in the green.... ha!,0.6135
2319,"Bought a lot of UNH, ANTM, and CI these couple of days. I wonder if the drop has to do with the new poll showing a 3-way tie between Biden, Sanders, and Warren?",0.3191
2320,300 by year end,-0.021
2321,Add today’s gain to yesterday loss and you are still lower. Nevermind the Dow is up Some 650 points. This stock has severe issues,0.4099
2322,Any opinions about how the primary will effect it?,-0.0269
2323,"To this day I still do not understand the street. Beat earnings, raised guidance and it’s still not enough. Guess burritos, fake meat and auto parts is what holds this country together. Gmafb.",0.5472
2324,"They all run up to the hill today by going to the defensive stocks like COST, UNH, NKE.and AAPL. Don't forget AAPL and UNH are the stars of Dow 30 for so long.",0.7648
2325,I don't know what they're doing but keep doing it!,0.2755
2326,DOJ is part of executive branch not judicial. Only US supreme court can determine if ACA constitutional. Will probably have to wait until next year,-0.6171
2327,"If the new health care plan works for Amazon, Chase and Berkshire employees, It can easily be tailored to everyone with every facility that participates and any person who pays the premium. Welcome to amazon health. Prime Members get 10% off on premiums and quicker service at participating facilities. Looking froward to it after all the #$%$ Washington has created for healthcare. Here comes the giant competition for UNH and all the other healthcare care insurance companies. Sell UNH buy AMZN",0.9784
2328,UHC is not being honest to shareholders relative to significant problems with their HSA processor Optum Bank. Their software is not performing.,0.6556
2329,The BOD needs to slap some heads and shake things up. Management is screwing the pooch.,0.6615
2330,UNH in the future may require insureds to wear a Fitbit to be eligible for lower rates. Other healthhcare companies will follow.,-0.1919
2331,"Sold 500 share Friday @ $288.50. Was in about 6 weeks, buying in for $224. That's a $64.50 per share profit, or ten bucks a share per week. Over 32K profit. Some taunted me for buying too soon right before the recent lows, and no doubt some will question the wisdom of ""selling too soon."" But I do that often and somehow my account is higher that it has ever been... go figure. I will likely buy back in on another dip. GLTA.",0.9601
2332,Medicare for all is the reason why all Healthcare stocks are going down and it does affect very existence of health insurance companies. I see further downside further Bernie Sanders goes further UNH price will decline. As of right now he is the leader from all presidential Democratic candidates,0.108
2333,Nice earnings.. Not sure its enough to move the stock up after a great run. We may pullback a few dollars before headed higher. But on in all a great report this morning.,0.9469
2334,Worst stock even on its own industry. Underperforming everything: worst stock on the Dow this past week,-0.6723
2335,Its naked short sales by GS that will never deliver typical Wall Street fraud,-0.7934
2336,"Single payer Medicare for all, will be like out postal service....how is that working out idiot socialists???",-0.2129
2337,"the market has to factor in all healthcare companies regarding price or value of shares...elections and candidates are not positive for investments in this sector when the news is about cutting costs....so far as medicare for all? dont believe it. ALL government workers, politicians, teachers, fire, postal, etc etc, have insurance far superior than medicare... and they will not have it taken away.. but drug prices will be targeted, the question is will this be negative for research and development...(the usa is and has THE best) but this is due to capitalism.",0.5335
2338,What a bunch of whiners... This dip is a good chance to add to positions.,0.8005
2339,Typical action in UNH today. $7 off the high because.........index buying related to algo's took it up for no underlying reason..........and took it down for no underlying reason. It's all program trading in a volatile stock.,-0.0371
2340,Stay long and strong. Don't think UNH is going anywhere.,0.7108
2341,"I was intending to sell a little bit of my holdings after tax time, due to a need to diversify, but find it very hard to willingly do that right now, regardless of my low cost basis. I voted for Bern last time, but he's lost me with this drive to destroy an entire segment of our economy. I'm probably keeping the hatches battened down, and waiting for calmer waters, to sell.",-0.5185
2342,Sold 750 shares into the rally yesterday @270.50. Glad I did. It was a bear market rally at best.,0.7545
2343,UNH may hit the bottom yesterday and rebound nicely. It looks like 238 not 235 is the resistance for now if the market from now till next 3 weeks is not in tail spin. I believe that ACA will not have any impact on the future earnings.,-0.6366
2344,"Johnston, no evidence of shorting. LMAO",0.4889
2345,Lol seriously losers. Every hmo up today but guess who lol,0.6896
2346,Bernie! Bernie!! Bernie!!!,0.0
2347,"See, any dip to $260 is a buying gift.",0.7178
2348,Bernie ahead of Trump in the polls,-0.2384
2349,50/50 chance bernie wins atm........Look how quickly Biden crumbled in the first debate when challenged on policy records......One Establishment candidate down........,0.5056
2350,"Inflow money from hedge fund to health care sector 3 days in a row, is very good sign since quarter starts. UNH should get benefit from the inflow money because UNH's growth rate is in 20+%, plus 20 dividends increase and stock buy back will lift UNH even higher.",0.9677
2351,AOC endorsed Bernie is probably not good and almost guaranteed either Warren or Sanders be the nominee,0.7093
2352,"Headwind starts. Healthcare companies are not ready in addressing this issue. Remember, politicians are elected to represent voters. Before CEOs wake up, stocks will continue down. Can $180 wake up this CEO?",0.8298
2353,CLOV will do well in the end. The time to accumulate is now. Give it two years,0.4115
2354,"isn't this ""downgrade"" $50 late? what a joke...",-0.2346
2355,Well this sucks,-0.0801
2356,"""No man's life, liberty or property is safe while Congress is in session."" Mark Twain",0.7546
2357,"Get in now, good entry point, will close over $264.50",0.2513
2358,"Spikes up, like this, make me more nervous then the dips. I'll take it, though!",0.4355
2359,Jesus. WTH?,-0.6087
2360,77.5 Dow points drop for this single stock! what gives?,-0.1549
2361,"I had this stock along time ago around $100. If you were to hold a stock, this is the one! I'm basically a day or week trader. Sometimes you win, sometimes you lose. My 2 cents.",0.7941
2362,Screw u Bernie !,-0.1759
2363,Back up the truck!!!,0.6439
2364,Green green green all day!,0.2162
2365,"All I know is I hope this thing keeps going up so I can get out of my Healthcare mutual fund. This is one sector I'm absolutely sick of being in, no pun intended...",0.7755
2366,Gonna go green. Unh is intrinsic value is 254. Buyers will grab the dip for sure,0.6871
2367,No need for benefit managers under Medicare for allFeel the burn.Lol.Not,0.1474
2368,"Will UNH be in the 240s prior to earnings? If it doesn't recover, I fear it may drop to the 210s.",0.1323
2369,UNH will explode after the earnings on the 17th.,0.4228
2370,No reason to believe this won't revisit the initial Covid-19 crash. I'll be buying in the mid-200's.,-0.333
2371,"800,000 shares dumped the last 8-10’minutes and there is no way their were buyers lined up to buy hay much stock so my guess is the specialist absorbed that stock and is now long that stock. My guess is he will try and bounce this at some point just so he can unload that. So if my some miracle this stock is up 1.00 or 1.50 tomorrow I would sell this or buy some at the money puts. No way today close is the bottom of this move",0.941
2372,UNH is down 7.01% to 263.98,-0.2462
2373,"I guess the divy announce means nothing, down over $20 in 2 days",0.5261
2374,Going to go up 2.5% today at least. The Bernie story was made up garbage/headlines to prey on people's emotions. Why did the banks lower their targets but keep their buy and overweight signs on this? Not hard to figure out.,0.5074
