,Recent headlines and conversations for DAL,Polarity
3474,This stock is a hold over the weekend and beyond. Both democrats and republicans back helping airline companies with another 30B and the news could be out today or over the weekend.,0.795
3475,Warren Buffett said that it will take 8 years minimum before Delta is profitable again ;(,0.6429
3476,"GE may be good stock to get on now since it's pretty low. As more planes fly, more turbines it'll need again. Just my two cents.",0.8359
3477,9 dollar per share loss.. how long can a company last that?,0.6592
3478,"With huge losses, sell and get into a stock k that is making money in these times. It is nuts to hold on to DAL in hopes the airlines picks up when it is reported that it will take 2 to 5 years to get back to to pre covid 19 passenger travelers. Time and money only makes sense to invest in a asset that everyone needs today. good luck and sell before you lose your money invested in DAL.",0.8944
3479,Travel Starting to tick back up from 3 weeks ago. https://www.tsa.gov/coronavirus/passenger-throughput,-0.0028
3480,6 months from now those who buy now will be the real winners.,0.6261
3481,Great news. More cost cutting as 17k employees leave voluntarily.,0.6049
3482,The drop after hours will reverse as folks realize that this is In recovery mode and will push into the 40’s soon,-0.3658
3483,I bought at $27 and will buy more. Delta will be around for a long while!! Just have to wait it out. This is not an in and out stock!,0.8284
3484,I WLL NEVER FLY UNTIL THE VACCINE IS NOT DISCOVERED IT'S VERY DANGEROUS,0.5999
3485,There you go! Positive vaccine trials! People will fly again!!!,0.9219
3486,"DAL is my big win this year, and RAD my big loss. In this game, you wind and sometimes you loose. God bless DAL",0.8312
3487,Just bought 50 shares of DAL! I'm so pumped for this stock.,0.6052
3488,Everyday a little bit more. https://www.tsa.gov/coronavirus/passenger-throughput,-0.0213
3489,"Delta stock held up after the late day sell off, good sign. There is support around these levels.",0.769
3490,"Beginner question: i am holding Delta ave $20.42 is it a good idea to add some daily or should i wait? also, when is the best time to buy during the day, can we tell?",0.9535
3491,I think I must have just broken some options record.,-0.1675
3492,"Nice. It's time to take some profits. It's been up 20% in a 2 days. It think it might pull back to $25. It's healthy for a pull back. Long run, it will be above $35. Good luck long.",0.977
3493,Delta caves to terrorists BLM,-0.6671
3494,Getting ready to pop into the 37/38 range,0.3795
3495,Delta Air Lines is up 14.67% to 37.13,-0.037
3496,"In his shareholder meeting just now, Buffet announced he sold his entire holdings for all four airlines... Get ready for the drop on Monday. Holy Lawd O.o",0.3545
3497,"What happened the last time Warren Buffett said he was reducing his stake in the airlines.......it went up. So he exited with a huge loss, so what....I do t think it will move the needle as much as people are saying.",0.7946
3498,December quarter 2020 GAAP pre-tax loss of $1.1 billion and loss per share of $1.19 on total revenue of $4.0 billionDecember quarter 2020 adjusted pre-tax loss of $2.1 billion and adjusted loss per share of $2.53 on adjusted operating revenue of $3.5 billionFull year 2020 GAAP pre-tax loss of $15.6 billion and loss per share of $19.49 on total revenue of $17.1 billionFull year 2020 adjusted pre-tax loss of $9.0 billion and adjusted loss per share of $10.76 on adjusted operating revenue of $15.9 billionDelta ended 2020 with $16.7 billion in liquidity,-0.6675
3499,Although I currently do not own any shares of DAL I think I may buy a few shares when it consolidates. I sold my lots on the way back up and I think I want them back.,0.8233
3500,DAL already gave its earnings and guidance. No reason to be down a penny today.,-0.1604
3501,Forward net earnings 2BB for the year IMHO. 21BB market cap. As long as the dividend is in tack should be a good long term investment.,0.8035
3502,No flights to or from Europe indefinitely. It has to go down.,-0.4768
3503,Worth getting in at $35?,0.1828
3504,Again guys...too early.,0.0494
3505,Delta means Change! I’ve CHANGED to other AIRLINES!,0.1993
3506,wheres the boycott... c'mon drive this stock down.,0.4463
3507,any dip below 30 is a good time to load up,0.7195
3508,Earnings will be out of orbit... Massive demands for traveling is unfolding... The TravelWar is going to be explosive!!!!BUY THE AIRLINES!!!#AAL #UAL #BA #LUV #JBLU #DAL #MESA #ALK #SKYW #HA #^DJI #^IXIC #GOLD #TSLA #AAPL #GME #MSFT #FB #AMZN #GOOGL #EBY #GME,-0.3589
3509,I swear every time I hear Corn Pops say “C’mon man.” I think of Bart Simpson...#AAL #UAL #BA #LUV #JBLU #DAL #MESA #ALK #SKYW #HA #^DJI #^IXIC,0.0669
3510,Delta normally does earnings in the early AM release...4th quarter was released at 6:00am on the 14 of January 2020,-0.0885
3511,love the negative narrative in the face of a rising share price. Comical!!,0.6838
3512,Back to the lows since I bought yesterday. Of course,-0.0176
3513,it's over shorties. you had your fun and if you didn't get out it's too late. you will wake up to a minus account. remesivir has been approved by the fda to treat wuhan virus! If all goes well vacationing will commence and these stocks will soar on the news that people are buying tickets!,0.9664
3514,"Now that the leftist rioters and Democrat “leaders” have officially proven that the lockdown was an absolute hoax, the travel stocks are taking off.",0.1396
3515,"Anyone see the chart for new cases? The thing is starting to spike upwards. Yesterday there was 136,000 new cases world wide, compared to just 92,000 1 month ago. TSA Volume also went down. What does Buffet know?",0.8391
3516,Everyone is betting on delta this shows how solid a company they are,0.2718
3517,What do the mean by wider than expected loss? What did you think was going to happen with sales when flights where canceled,-0.2201
3518,ER is out. DAL beats estimate by 45%. To the moon!,0.7097
3519,I got to ask ... with Covid 2.0 scaring wall st today how can you not buy puts on any airline stock?,0.4643
3520,Each day new restrictions are put in place. It's inevitable that domestic flights will be cancelled,-0.4381
3521,"how do I know when to go long? one of the clues is gleening sentiment on these boards, seems to be a lot of bears, to me that means go long.",0.7588
3522,"$UAL $AAL $LUV $DAL $JBLU $JETS UAL adding 25,000 domestic/international flights in August compared to July, still like $LUV the most from the bunch but encouraging news nonetheless https://twitter.com/Clifton_Capital/status/1278297804121665536",0.8357
3523,"DAL is the best in this sector and this selloff was a gift. Back in today, at a bargain.",0.8534
3524,Ole Warren jut buy with a bit of his 125 billion in Cash????,0.3755
3525,Every short in the Airlines has hit the panic button....#AAL #UAL #BA #LUV #JBLU #DAL #JET #MESA #ALK #SKYW #HA #^DJI #^IXIC,-0.781
3526,UAL is going to cut May flights by 90%. Is Delta going to follow suit?,-0.243
3527,"The easiest and almost guaranteed 50% gain within 6 months. Do some research and go with your common sense. Don't over think or analyze too much, which could play against you in many cases. Trust me on this. If you really believe in something, go in BIG!",0.9533
3528,Set your share sell price $55-60 don’t let these bears use our shares,0.726
3529,Delta is back in the business with better safety measurements. They are resuming flights not because they want a power show but there is actual demand. Delta’s management wont let the planes  in skies if there’s no demand.,0.4296
3530,"Avianca holdings. the second oldest airline in the world started trading under avhoq after their first chapter 11 court date, the airlline is getting a bailout from their main operations country government.",0.224
3531,"I guest my new trading range for DAL is $30-$37 for the next couple weeks. I anticipated this to be around $35 by July, but this came way early than I thought. $36 is a bit pricey to enter now. I think it will pull back next week to around $31, unless a vaccine news is announced...",0.8568
3532,"DAL is a steal at this price. Yes, the market can be irrational sometimes and anything can happen. If we hit teens, better entry. The big airlines have their own protective moats. The airlines aren’t as competitive as they used to be. This is why buffet hated on airlines but ended up owning large amounts of them. They’ve solidified their place in our society and are essential for work. Delta may have continued their share buybacks a little too long with corona, but there was no way to predict how it was going to play out: Short term, we’ll take a hit but it’s coming back up. As a reminder for the Longs, DAL balance sheet was the best out of all airlines. We’ll make it through. If you’re scared, buy the dips and sell covered calls. I wish you all the best.",0.9743
3533,Agreed 15% run up today. 37 - 40,0.6067
3534,"You guys are forgetting the basic part of a good trading strategy.Dont buy in the middle of big rallies.This right now is perfect to buy puts. Not to buy the stock or calls.Here are the warning signs1. This is the 7th green day in a row. 2. Up like 30% since its last red.3. Vaccine is priced in. Seriously how many vaccine rallies can the market have? Notice stocks pull back after vaccine news. If all vaccine rallies held the SP500 would be like 4000 pts.4. Airlines lose with anything under 2 million passengers a day5. Second bailout is already priced in.6. Bailout is just more debt. You people think liquidity is free money. Its It's not. It's cash you get by increasing debt.7. Stock flies with vaccine and bailout reports, ignores the yet more furloughs and layoffs. 8. This has happened before. There are some very rich individuals that pump these to the moon and leave people holding the bag. Remember the June rally.Buy some 36 dollar puts. Double down with 39 dollar ones if it keeps going up and with some super cheap 27 or 28 dollar ones due in a couple of months.",0.9956
3535,"Lot of the loss was priced into stock price. Now it depends on the virus. Reality is very few people get sick or die. But the media is keeping the panic alive and well. It should end if the Democrats win as there will be no need to destroy economy. They will declare everything is fine within 3 months due to their actions, wink ,If Trump wins and the Country is returned to sanity , it should be even better.",0.9292
3536,watching more and more planes in the sky,0.5054
3537,Buy and hold is the strategy for airline stocks now!!!,0.39
3538,Taking my profits at this price. Going to open a savings account. Wonder if I need an ID card for that? ,0.7746
3539,Warren Buffett is getting old he can't afford to hold this stock for another 5+ years. Airline's was his dividend stock.,0.7389
3540,"Delta will make it to the other side, but the operations will be much smaller. They’re retiring planes to reduce cash burn. I bought in at 23 thinking it was close to bottom, but the bottom is yet to come.",-0.7363
3541,Russian vaccine is a go,0.7267
3542,"Delta, with $5B more of liquidity than American, avoids deep layoffs**American Airlines announces 19,000 staff reduction as it burns $30 million per day and ""crisis continues""**Path to recovery means continued layoffs, service cuts.Hopes for a vaccine keep investors optimistic for airlines stockshttps://theheadlinereporter.com/american-to-cut-19000-staff/",0.4166
3543,Futures green. Looks like trouble for shorts tomorrow.,0.0856
3544,DAL is the first airline company to report earnings tomorrow. Lots of eyeballs will be on Airline industry earnings. https://www.google.com/amp/s/news.alphastreet.com/delta-air-lines-dal-q1-2020-earnings-preview-looking-for-more-clarity-on-the-covid-19-damage/amp/,0.5508
3545,simply keep buying the dip. DAL has been beaten to death.,-0.484
3546,load up quick only temporary buy appbought 1000 shares,0.7183
3547,"Whoever thinks airlines are going back to their pre covid19 levels or even their 2016 levels anytime soon needs their head checked.The debt will be unlike anything they have experienced and they wont have the same revenue for a long time.Besides, the unemployment simply keeps going up and up.In the last 40 yrs which is more or less the time the airlines have had huge revenue since its hard to compare numbers from now to the 60s or even 70s, the US has had very high unemployment twice. One in 1982 and then in 2008-10. For 82 the country had had surges in unemployment since the second half of the 70s so it didnt happen overnight. The market went from 1000 to 1300 in the next 3 yrs. A 10% return yr after yr isnt bad but, as I said, the unemployment hadnt reached a +10% peak overnight. Nevertheless the recovery wasnt followed by a bull market of 15%.Then for the 2008 crisis, although there market did go up rapidly from March 2009 lows, the high of late 2007 wasnt achieved until the fall of 2012. So it took 5 yrs for the market to come back.My point is, the stock market has not had a 15% yearly returns after having huge unemployment. I dont know of any country that brings unemployment down from +15% to a healthy 5% overnight. I dont know of any country in the last 40 yrs that have solved a crisis like that in less than a few years, let alone a few months which is what the permabulls are expecting.By now we all know its due to the fed that stocks arent lower. Problem is its a double age sword. When the Government buys corporate debt it keeps them from crashing, but it keeps them from going bull. Look at Japan which their low activity when the government buys etfs and even stock. The still havent gone back to their highest level that was lost almost 30 yrs ago since when revenue comes its time to pay back the debt. Maybe this new generation of investors that badmouth Warren Buffet for living companies that have profits instead of losses can tell me which large economy has reduced unemployment levels of 15 or 16% to 5% in 3 months which is what individuals like the President is making people people.",-0.9607
3548,"So, is it correct that no one knows when they will report earnings? Could be today, could be next week? Please share info if you have it states something firm",0.9012
3549,Doesnt inspire confidence when they dont release earnings,0.853
3550,Why are airlines up today? $UAL $AAL $DAL $LUV $SAVE,0.2956
3551,seems like Delta has a very proactive management. vesting in for a smooth landing.,0.694
3552,Put another 500shrs on the slate...... for the long haul.........DAL getting stronger everyday..it will be a great year,0.8668
3553,Will the CEO be pushed out?,0.2613
3554,BUY BUY BUY,0.3739
3555,DAL - Revenue beats!,0.0801
3556,Told you guys it will come down to upper or lower 20s ideally around $25 and $26.,-0.198
3557,So Warren lost $50B in Q1 and out of that only $6B was lost from his liquidation of airline stocks. He lost $44B on his “other” (than the airline industry) investments in Q1. Why isn’t there ANY coverage or discussion on the bigger losses he incurred in other industries? It seems to me the Airline industry SHORTS ceased on this headline news to try to drive down the price of airline stocks today - but they didn’t succeed. I honestly expected DAL to be at $15-$17 at the EOD today.,0.8774
3558,"Healthy speed bump folks, load her up at cheap, she's doing another leg up coming next, you snooze you lose",0.7792
3559,Next week over 50s ,-0.0752
3560,@Andres that may have been the case if government did not provide free money now all these airlines have liquidity enough to survive a year. next 2 quarter government is paying 70% of their employees cost for free,0.7612
3561,Do NOT fly Delta. This airline is a disaster. I and many I know will NEVER fly Delta again,-0.1042
3562,Started a position here late last week. Seems like a no-brainer to $40,0.2706
3563,Are we going to see $37 again tomorrow?,0.0553
3564,so many hype players ,-0.5798
3565,"Yesterday was 21% of normal traffic... Place bets on tomorrow's percentage? I'm saying 23%. $AAL, $DAL, $UAL.",0.1601
3566,Please have your boarding pass ready. Thank you for Flying Delta enjoy your flight. DAL UP UP AND AWAY?,0.9236
3567,"https://www.tsa.gov/coronavirus/passenger-throughputHere is a passenger count for those that like to keep track...not sure how accurate but trending upward. Being patient isn’t for everyone. I’d like to think in time stock goes up, but it will be a wild ride in the mean time.",0.9547
3568,Been a steady day so far but looking good for a big jump.,0.8632
3569,Good news coming soon.,0.5467
3570,"In 2008, this stock was around $8-$9. Do you think our future looks brighter or dimmer than 2008?",0.5875
3571,The good news is I bought all my shares back and more way below my selling price yesterday. Sold at $31.76 and bought back under $30.50. All today does is make this a better buy.,0.8691
3572,I adding more shares today. Can't beat these prices,0.221
3573,Welcome back to 20s wait and buy at around $24 or $25. Delta’s expected revenue for this quarter is down by 90%.,0.4728
3574,The whole reopening is so rushed. The second wave of infection isn't that far away,-0.4398
3575,"Part of Buffet's distinctive ability to invest has been his capacity to be unemotional, and purchase stocks based on fundamental value. It is interesting to observe how Buffet - least with respect to airline stocks - may have become a normal person with emotions. We know that airlines are cyclical. Downcycle in 1991 (Gulf War), 2001 (Gulf War), 2008 (Global Financial Crisis), 2020 (Covid). Only way to trade airlines is to buy in downcycles, hold to upcycles and hope the airline you buy does not go bankrupt in the process. Yet Buffet got ""excited"" and bought in the upcycle, and got scared and sold in the ""downcycle"". He bought Delta at >$45, sold at ~$25, and we may see Delta back again at >$45 in the next upcycle. It seems that he too is human.",0.9502
3576,"Tomorrow's headline: DAL Delta Airline stock-price surges 9,5 % after Q1 beat.",0.061
3577,Well there goes Delta's load factor... ,0.5621
3578,I sold @37... I feel like a god,0.5516
3579,Looks like dal lost all steam. It was looking promising. Overvalued NVidia and Tesla fly. Why cant the airlines fly?,0.5018
3580,Time to buy at a discount,0.2813
3581,Hold and it will go up again in 1 or 2 days ,0.1111
3582,"“Saving the airlines is very important. We will handle United, Delta all of them” Trump",0.5812
3583,Buffett got fearful so I got greedy and bought tons at $18 ! Thanks Warren!,0.2294
3584,I wanna get in if it dips. Loading the truck,0.3452
3585,After ER it goes up 1.5% I think.,0.6012
3586,Earning report today before market but I don't see no news. what happent?,0.4042
3587,"Delta needs to FIRE its WOKE CEO, Ed Bastian, ASAP - the guy with 3 divorces can't even keep his own personal life together let alone try to properly run a major airline.",0.1037
3588,The TravelWar is about to get extremely brutal... All mayhem is about to explode with massive demand for escapes to paradise... Cure for Heritism is flying the friendly sky...BUY THE AIRLINES!!!#AAL #UAL #BA #LUV #JBLU #DAL #MESA #ALK #SKYW #HA #^DJI #^IXIC #APPL #GOLD,0.8814
3589,So the market largely shrugged off Buffet’s sale.,0.1222
3590,"Oh bloody hell today. Hope you all did not bleed much. It looks like the big boys will have the double dips that they wanted. Make no mistake, and I hope I am wrong on this one, this is not yet the dip. It looks like a drop to me. We might have multiple drops before we can see the 2nd dip. Future indicator shows the DOW up 200 points tomorrow, but it will be short lived. News media already succeded injecting fear into people's minds today. Probably we will not see the 18000 19000 level, but anywhere from 22000 to 24000 is very possible. People called me crazy when I told them 3 days ago the DOW would pull back to 24000 from 27000. Stay on the sidelines a bit longer.",-0.5073
3591,Any non bots here?,-0.0438
3592,"Robinhood Stocks: $DAL $TSLA $CCLDelta Air Lines, Inc. (NYSE:DAL) is one of the most popular stocks on Robinhood with 579,910 investors owning the stock.Tesla Inc. (NASDAQ:TSLA) with 538,425 investors owning the stock.Carnival Corp (NYSE:CCL) is also among the Robinhood's most popular stocks and it is owned by 486,743 investors.",0.8141
3593,Well also you got to look at his age. He needs money now not 5 yrs later when he is upper 90s. Vs other investors are looking future big returns.,0.7175
3594,Experts suggests that this virus will only get worse as is no cure for this virus in the foreseeable future. Everyone must plan and prepare for the absolute worse ;(,0.8007
3595,Retail sales hasn't been this low since 1901. Something very bad is about to happen:(,-0.6711
3596,"Don't worry longs, DAL will be above $40 by July. But it looks like the DOW will pull back a bit and so will DAL in the next couple days. It's a buy opportunity for us. Like I said DAL shot up from $26 to $37 in 5 days. It will have to settle somewhere in between.",0.9509
3597,$40 days away,-0.0209
3598,Sold and got into $DAL. Good luck guys,0.7167
3599,the bar was set low at the last earnings call ~~ now we can price in a beat at the next earnings....a trade deal will help get us there....,0.5996
3600,"Not good, this is going to revisit the March low of $19. Let's see if it's going to hold there.",0.2498
3601,I just wroted a warm and appreciative story about LiaWatha Warren and this cite keep's delteding it. She good. She nice. But she no...well. You no.Captain BoLet's us see if they censhure this postOut!!!,0.913
3602,Are we all waiting for the rocket to go into space?,0.3487
3603,Man there’s going to be a big short squeeze on all these airline and cruise line stocks if things improve big-time the next week or two with the virus,0.8412
3604,$23 tomorrow,0.0024
3605,DILUTION FOR YOUR BAG YOU SHOULD HAVE NEVER BOUGHT!The Treasury Department on Friday said that it would not require applicants seeking $100 million or less to provide compensation but that it was working with 12 passenger airlines whose allocations would be greater than that amount. Officials have said the compensation could include stock warrants and or other financial instruments.The department said it would provide guidance to those larger passenger airlines “should total requests for payroll support exceed the maximum amounts awardable under the CARES Act.”,0.9824
3606,"There most likely be a few airlines (small to mid) going belly up , thinning of the heard will happen. Delta is standing strong among the weak and will benefit any failure of the less fortunate ones.",0.4218
3607,Any thoughts on monday ?,0.0312
3608,"Someone call an ambulance, today's trading session gave me a bad case of whiplash... $32 then $33 and now -$31.00. I hope when Delta reopens the international sky lanes that they have plenty of adult beverages onboard.",0.7902
3609,"All the layoffs and settlements will bring a better cost efficiency. The long years of employment cost more and they are the ones who mostly left. DAL is solid in cash too, and very well positioned for the future!",0.8314
3610,Please go to 35,0.3133
3611,wow. soft volumes last quarter.,0.5716
3612,27 today hopefully and 30 by the end of the week!!,0.5562
3613,Berkshire Hathaway was the largest investor with over $4B or 11% as of the end of December last year. Did anything change?,-0.0538
3614,"CRAMER: Delta Air Lines: “No. No, you’re not interested in Delta Air Lines. You’re not going to be interested in any airline because a lot of these airlines are going to end up having to take money from the government and by the time they do that then you’re going to be so diluted that you’re not going to make any money.” By dilution could he mean share split, or adding share to meet xtra govt. shares?",0.8677
3615,"You so called investors don’t know what you are in for...it’s not just airlines, it’s the whole market. There is an expectation by the St. Louis Fed that we will have 25M unemployed! That is 16% unemployed! That’s a depression type number. We are already at 10%. You think it’s just. Ok’ing back! Also, every bear market has had the market low 90 days after the VIX hit its high (volatility). That happened on 3/16. That puts the mkt low on 6/16. Good luck moooorrrons! You clearly don’t understand where the economy is and what you invested in! The airlines are the least of the concerns here!!! Tuesday AM when DAL reports, who is much stronger than UAL, will seal the deal on this stock!",0.8798
3616,"No worry folks, we have the best CEO Ed Bastian to navigate Delta Airline, who's beyond capable and understanding the fundamental of multitasking, additionally he took an extra efforts to super focus on customer safety and comfortability during the flights, point is he knows how to take care of those hands that feed the mouths and he made that as a priority folks, just good business management, hands down...",0.9747
3617,Just some turbulence peeps.,-0.0415
3618,CDC just issued a travel warning.....no second wave?lol,0.0952
3619,diverting some of their fleet to non passenger flights.,-0.1841
3620,What news is driving this up in the last 30 minutes?,0.2872
3621,below 50 is good buy,0.3789
3622,"BOYCOTT is now ON against Delta and their cheating Democratic Party support, join us, fly a different airline",0.026
3623,The captain has turned on the seat belt sign. Time to fly!,0.6128
3624,"Trump must give the airlines the $25 billion they want. Otherwise with 200,000 people getting laid off in Oct. will guarantee his defeat and he knows it.",-0.1691
3625,A trading buddy asked me the other day about DAL and where I got the pick. I told her to check out (http://Thetraderguide.com). That’s where I get 95% of my winners.,0.8369
3626,I don't think they will give earnings until they can provide guidance on the payroll protection grants the fed is giving airlines.,0.0393
3627,Market and stock responding to overbought indicators today. A dime loss? I’ll take it.,0.0817
3628,"Ladies & gentlemen, this is your captain speaking.We’ll be flying at least 30% today expecting clear skies and beautiful views all the way to our destination.Make sure to wave at the shorts as we pass by, they’re stuck trying to cover....if you look to the left you’ll see the top of Mount Amazing Gains. No need to worry, we’ll be clearing that with plenty of room to spare.Sit back and enjoy flight....thank you for flying $DAL",0.953
3629,$60 on vaccine roll out. Buy now.,0.7631
3630,My father always told me that once the ship starts sinking..........well you know the rest. GLTA!,0.9041
3631,Which site is best to get updated info regarding airlines? DAL up and down and I get no clue why...,0.6013
3632,Praying big daddy Powell has some good news for us.,0.7717
3633,Delta share rising . Time to add this to your portfolio,0.7839
3634,"FYI, Buffett’s fund has underperformed the market for the last 3 years.",0.0809
3635,Airports are getting busier and more planes are flying now - wait for 2 weeks and you will see these airplanes $DAL $UAL $LUV $AAL all will take off - GLTA - Everyone in china and south korea flying like nothing happened with mask and globes so .. we have to do same and $MRNA vaccines is available for mass cure too.. win win bet here.,0.9462
3636,In for the long haul,0.7334
3637,Drive the car. It's faster and friendlier. Auto pilot automobiles will put airlines out of business.,0.7769
3638,why is this up so nicely today?,0.6354
3639,"Added 50% to my short position at $30.42 - the rest last week at $35. I can't believe this isn't at $25 or less by now. If I'm wrong on this one going DOWN, DOWN, DOWN I will never short a stock again. Ever",-0.8261
3640,Earnings will absolutely crush DAL SHARES..........the abyss is approaching!,-0.6017
3641,"Warren Buffet increased his holdings back in February, and now we get a 45% discount? This is a no brainer guys. They will either get support from the Stimulus package or Buffett will give them a loan at 8.5% like he's done in the past for other companies.",0.8969
3642,"DAL BEST OF THE BREED, SHE'S SMOOTH....AND WITH THE STEADY HANDS FOLKS, $45 NEXT GAP UP Y'ALL!!",0.9351
3643,"A lot of you are new to investing and you thought you were gonna be the smartest guys in the room buying what seems to be at a discount and getting huge returns soon. Let this be a lesson. You have to look at the balance sheets of these companies. You have to look at the big picture. Stop listening to Trump who lies 100 times a day. Stop watching Fox News that has an average audience thats 200 yrs old. Read international news. Read news from Spain, Italy, Germany. Many news websites have English versions. They have no idea when the flights will return and they have 1/10 of our daily cases. Olympics cancelled, international sports cancelled. China claims to have defeated the virus and they still dont have even basketball.Stop making excuses and telling yourself that people will fly again. Nobody is saying people wont fly again. What people like me are saying is that Delta for instance wont have the 4 billion a month revenue for a long time. Ed Bastian said it would take 3 yrs and what will the debt be then? 3 times higher? More debt isnt good news people. Even adjusted to shares outstanding all you have to do is look at the revenue and prices compared to a few yrs ago and its obvious that Delta is extremely overvalued. This is not 10 dollars because the Fed pumped money thats all. But the actual correction is coming and coming soon. And yes, they are called CORRECTION for a reason.Learn your lesson and save some of your hard earned money. Sell this immediately and wait to see what Q2 and Q3 brings. Look at the balance sheets and choose an airline you think that will survive. Those shares will truly be cheap and THEN you can buy some and get a good return in 3 yrs.",0.9855
3644,56m shares says lots of buyers!!,0.4125
3645,"great time to buy, added to my cash account.",0.6503
3646,"RE:OPENING GUIDELINES: Sanitation of aircraft interior passenger and crew cabins between flights using portable DECON units. Temperature check prior to check-in. DECON of baggage surfaces prior to loading. If these three are implemented, could start flying as soon as demand returns. Focus should be on marketing changes in sanitation.",0.4736
3647,You think a company who is making no money will have earnings report? What they going to report 9 sales lol come on it was canceled they have nothing to show but losses,-0.2873
3648,Have to pick one airline for international travel this is the one. Southwest for domestic,0.6605
3649,Still a good buy as long as its under $30 by the end of next week it will be over 30,0.7107
3650,CNBC hot topic is Buffett sells airlines. Buffett loss in Q1 is 50B+. WB has an access to insider info or he is much closer to this info than anybody else. As each and every investor he entitles to mistakes but he make too many mistakes for the last 10-12 years. The only right move (if we are talking about shares) was buying AAPL. Otherwise he would have been in a very poor situation. Question: if he is right selling airlines? My answer is yes but timing was extremely poor. He should have started to sell when Covid became a pandemic. He had a chance to sell at double price vs a current one. At least I did it (sold UAL for 81 and DAL for 46). His investment model already too outdated just because the market dramatically changed turning to casino type of entity.,0.9743
3651,"Every bankrupt company puts more work into the delta, one of the highest scoring and most durable companies to go through the crisis, in my opinion we will see $ 40 rate very soon",-0.75
3652,"Nice slow recovery from the dip, I'm almost 1K into the green now. Everything thing is going to be alright.",0.6898
3653,11% off the bottom,-0.2037
3654,clear for takeoff..............>>>>>>>>>>>>>>>>>>>>>>>>>>..........................,0.3898
3655,Fiona just brang home a ice cold case of Cornora beer and a ice chessed full of lime's. Frank told us that if we drink enough Corononoa beer we will be save when we go to CHINA!!! in a few week's so we building up our immunity's. We just got a call from a airline rep asking us if we wanted a N69 face mask for the flight and we a course decline it since we planning on doing all sor'ts of un speakible stuff to each other on the flight...it's is what we do.Captain BoFeeling the BuzzOut,0.9555
3656,"22-23 by earnings, then you know what’s coming",0.2252
3657,Why is AAL up so much?,0.2341
3658,End of the day we should be going back up. Should be!,0.4214
3659,It's laughable that this one goes up at all. All these airlines were marginally profitable before they all borrowed many billions in March. Now they have that debt and interest subtracted from a bottom line of fewer flights and empty seats. I think 2 carriers will go belly up this one and UAL. And they will do it by the end of October.,0.6423
3660,My oh my look at the good news ;). who knows how high it will fly today. BUT dont forget to take profits first thing tomorrow morning.,0.8076
3661,"What's with Pelosi adding into this bailout money for the ""school lunches?"" Is not the responsibility of parents like me to ensure I either make a lunch for my 3 kids or give them a dollar or two to buy something. When has it become the responsibility of the schools or city to feed the students?",0.7224
3662,is it a buy now? to sell them next week. short term investment,0.0325
3663,"Delta stock has a price point of 72.00 per share. If the ceo keeps his mouth shut, they should hit that easily.",0.6125
3664,Are we hitting $40 today????!!!!,0.5002
3665,Thinking another eight dollars down before any stability. Start buying at $15,0.4234
3666,I will never fly delta again boycott them .,-0.2744
3667,"Can't believe this stock/The DOW are holding here .......... look to 1918, when they did NOTHING.....it lingered for a year. After all these reports come out about how many died and the famous people that died...people ain't going nowhere...lets face it, half these traveling business people could do their work from their office anyway.",0.608
3668,Thank you Buffet! Buying the dip,0.7595
3669,"Looks like the Stock Gamblers and chasers are ignoring the news and hoping for free hype and quick capital gains.$CCL $NCLH $UAL $DAL BUBBLES will TANK by 95% from their current levels, if they are not bankrupt!https://www.thestreet.com/investing/norwegian-cruise-line-nclh-stock-sailing-delays?puc=yahoo&cm_ven=YAHOO&yptr=yahoo",0.1118
3670,well I guess it is going to be another sell day,0.5094
3671,"Uh-Oh......Warren sold ""some"" of his DAL. The story did not say how much.",0.2046
3672,Earnings report? When ?!,0.4114
3673,"Classic buy on the rumor, sell on the news. Airlines asked for $50 billion, but only received $25 billion. 30% of that needs to be paid back. It's not enough.",0.5716
3674,Last chance to buy this cheap.,0.5916
3675,Vaccine rally on friday when Fda approves emergency use for Pfizer vaccine,0.9366
3676,"Over twice, soon to be 3 or 4 times the debt. Half the revenue of a normal yr if lucky (could be less). CEO saying revenue wont be the same before mid 2023 and by then the debt will be 5 or 6 times what they had 4 months ago (in case you didnt know, you gotta pay your debt so the more debt, the less profits)The permabulls think it should trade for $30 lol",0.0208
3677,Look at today's curve. It's a V shaped recovery !,0.5656
3678,They are suspending flights due to poor numbers. I’m getting out this is bound to start dropping! I’ll get back in later.,-0.4093
3679,If the delta boycott is growing and has lots to steam you would have expected the stock price to have taken a major hit today but it didn’t. If those who really are against delta would have sold their shares driving prices down. Delta still seems like a good stock to own in terms of making money.,0.831
3680,"Waiting on TSA passenger counts from the weekend. Hoping to see at least one day (Sunday) crack 400K, but may not happen for a few more days up to a week from now. Slow and steady, but ever increasing...",0.8586
3681,I'm seeing a lot of Doom and gloom reactions here... so I'm betting the stock is going to rally after the report,-0.6798
3682,1 year 300% return,-0.0164
3683,this was the great announcement for the great lockdown? A 10% move on low volume lmao ..i guess wait for the amazing and uplifting earnings call and rosy outlook on future guidance. 2nd wave in Sept. Schools will be online into 2021. Middle seats not booked for airline. Bailout grant will last 3 months. And loans will continue and enjoy massive shareholder dilution as per gov!,0.9736
3684,Soooo tired of losing money on good companies like DAL that are grossly over sold and trading near 7 year lows.,-0.2785
